group,Date,group_index,weighting,start
AI-Exposed / Big Tech,2023-02-28,100.00400198263108,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-03-03,100.0,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-03-31,100.00000000000001,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-04-01,100.0,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-05-07,99.99999999999999,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-05-31,100.0044019664569,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-06-02,100.02959830866806,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-06-25,100.0,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-06-30,99.20141887856994,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-07-01,100.03208520189517,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-07-02,100.07500463370003,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-07-28,100.0,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-07-29,100.04670730516239,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-07-30,100.05370670797718,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-07-31,100.00394819784995,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-08-31,100.01427384670296,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-09-01,100.05092658122855,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-09-30,100.05967335462418,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-10-27,100.0,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-10-28,100.03419552590002,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-10-29,100.0391544349341,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-10-31,100.00103308826327,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-11-30,100.00892658856674,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-12-01,100.06383637820677,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-12-24,100.0,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-12-29,100.0184368932039,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-12-30,100.0836482140961,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2023-12-31,97.75505654124386,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2024-01-26,100.10899781862203,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2024-01-27,100.14948894096617,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2024-01-28,100.14261554043328,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2024-01-31,100.03955160134046,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2024-02-29,99.88148466683661,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2024-03-01,100.0725375813701,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2024-03-30,100.12657709801019,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2024-03-31,98.29462164611861,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2024-05-04,100.0,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2024-05-05,100.04892624652106,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2024-05-31,99.99953998372064,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2024-06-23,100.0,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2024-06-28,99.95936714975846,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2024-06-29,100.13103648592777,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2024-06-30,98.15398419379947,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2024-07-26,100.0,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2024-07-27,100.04572326890141,Cap-weighted,2023-01-01
