group,Date,group_index,weighting,start
AI-Exposed / Big Tech,2021-01-01,100.0,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-01-02,99.97306296987955,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-01-23,100.0,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-01-29,100.03773362445415,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-01-30,100.08427224213243,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-01-31,98.15359704072557,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-02-28,100.0,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-03-04,99.99999999999999,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-03-05,100.0,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-03-27,100.0,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-03-31,100.0,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-04-02,100.13285931558936,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-04-03,100.08663437048752,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-04-04,100.05450411520435,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-04-30,97.8709336866841,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-05-31,100.01223836913496,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-06-03,99.99999999999999,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-06-04,100.11890122662376,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-06-26,100.0425929941259,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-06-27,100.00647538945366,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-06-30,99.97433857928648,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-07-02,100.0,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-07-03,100.00344498970236,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-07-04,100.00849314502565,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-07-30,100.0,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-07-31,97.44549990069088,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-08-01,99.96387448593083,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-08-31,100.03927545343227,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-09-02,99.96040109366213,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-09-03,100.12715845559092,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-09-25,100.07035528027795,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-09-26,100.14348771367845,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-09-30,93.51957786663188,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-10-02,100.0,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-10-03,100.04212002128726,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-10-29,100.05070729980302,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-10-30,99.96095795863357,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-10-31,97.01677266917271,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-11-30,100.04316363386663,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-12-03,100.12923578252983,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-12-25,87.82128226605997,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2021-12-31,99.92973547824676,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2022-01-01,100.00170850400868,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2022-01-02,100.00609815692661,Equal-weighted,2021-01-01
