"Global X Artificial Intelligence & Technology ETF",,,,
"Fund Holdings Data as of 01/15/2021",,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
4.220,"005930 KS","SAMSUNG ELECTRON",6771720,80.04,"81,666.00","6,536,548.27"
4.181,QCOM,"QUALCOMM INC",2714923,157.09,"41,225.00","6,476,035.25"
3.683,"3690 HK","MEITUAN-CLASS B",BGJW376,39.67,"143,811.00","5,705,107.64"
3.032,NVDA,"NVIDIA CORP",2379504,514.38,"9,131.00","4,696,803.78"
3.002,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,"1,170.47","3,973.00","4,650,277.31"
2.839,NOW,"SERVICENOW INC",B80NXX8,513.76,"8,561.00","4,398,299.36"
2.768,AMD,"ADVANCED MICRO DEVICES",2007849,88.21,"48,615.00","4,288,329.15"
2.752,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,83.19,"51,251.00","4,263,315.41"
2.736,GOOGL,"ALPHABET INC-CL A",BYVY8G0,"1,727.62","2,453.00","4,237,851.86"
2.695,CRM,"SALESFORCE.COM INC",2310525,213.14,"19,585.00","4,174,346.90"
2.643,ORCL,"ORACLE CORP",2661568,61.78,"66,266.00","4,093,913.48"
2.592,"SIE GR","SIEMENS AG-REG",5727973,144.84,"27,725.00","4,015,793.39"
2.589,UBER,"UBER TECHNOLOGIES INC",BK6N347,55.52,"72,240.00","4,010,764.80"
2.580,FB,"FACEBOOK INC-CLASS A",B7TL820,251.36,"15,903.00","3,997,378.08"
2.528,ADBE,"ADOBE INC",2008154,458.08,"8,548.00","3,915,667.84"
2.503,MSFT,"MICROSOFT CORP",2588173,212.65,"18,231.00","3,876,822.15"
2.482,NFLX,"NETFLIX INC",2857817,497.98,"7,722.00","3,845,401.56"
2.479,AMZN,"AMAZON.COM INC",2000019,"3,104.25","1,237.00","3,839,957.25"
2.406,IBM,IBM,2005973,128.39,"29,034.00","3,727,675.26"
2.307,BABA,"ALIBABA GRP-ADR",BP41ZD1,243.46,"14,679.00","3,573,749.34"
2.279,CSCO,"CISCO SYSTEMS INC",2198163,45.43,"77,726.00","3,531,092.18"
2.267,INTC,"INTEL CORP",2463247,57.58,"60,985.00","3,511,516.30"
1.739,BIDU,"BAIDU INC - SPON ADR",B0FXT17,238.87,"11,275.00","2,693,259.25"
1.627,SNAP,"SNAP INC - A",BD8DJ71,50.31,"50,097.00","2,520,380.07"
1.425,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,40.72,"54,209.00","2,207,140.65"
1.340,TWLO,"TWILIO INC - A",BD6P5Q0,388.65,"5,342.00","2,076,168.30"
1.337,NOC,"NORTHROP GRUMMAN CORP",2648806,300.75,"6,889.00","2,071,866.75"
1.334,"000660 KS","SK HYNIX INC",6450267,115.97,"17,817.00","2,066,185.37"
1.214,MU,"MICRON TECHNOLOGY INC",2588184,80.72,"23,306.00","1,881,260.32"
1.066,TRI,"THOMSON REUTERS CORP",BFXPT09,80.49,"20,509.00","1,650,769.41"
1.040,EBAY,"EBAY INC",2293819,55.42,"29,061.00","1,610,560.62"
1.039,SNPS,"SYNOPSYS INC",2867719,258.92,"6,219.00","1,610,223.48"
1.038,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,222.56,"7,228.00","1,608,663.68"
1.007,MCHP,"MICROCHIP TECHNOLOGY INC",2592174,148.56,"10,501.00","1,560,028.56"
0.961,"STM IM","STMICROELECTRONICS NV",5962343,39.78,"37,437.00","1,489,403.72"
0.946,TWTR,"TWITTER INC",BFLR866,45.18,"32,439.00","1,465,594.02"
