"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 02/05/2025",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.31,META,"META PLATFORMS INC",B7TL820,704.87,"142,159.00","100,203,614.33"
3.30,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,53.66,"1,861,343.00","99,876,591.63"
3.28,ACN,"ACCENTURE PLC-CL A",B4BNMY3,398.25,"249,169.00","99,231,554.25"
3.11,CRM,"SALESFORCE INC",2310525,347.93,"270,474.00","94,106,018.82"
3.11,AAPL,"APPLE INC",2046251,232.47,"404,662.00","94,071,775.14"
3.07,NFLX,"NETFLIX INC",2857817,"1,011.11","91,823.00","92,843,153.53"
3.00,CSCO,"CISCO SYSTEMS INC",2198163,62.57,"1,454,218.00","90,990,420.26"
3.00,AMZN,"AMAZON.COM INC",2000019,236.17,"384,397.00","90,783,039.49"
2.94,IBM,IBM,2005973,263.30,"338,085.00","89,017,780.50"
2.93,"005930 KS","SAMSUNG ELECTRON",6771720,36.62,"2,421,939.00","88,689,307.14"
2.89,GOOGL,"ALPHABET INC-CL A",BYVY8G0,191.33,"457,119.00","87,460,578.27"
2.89,AVGO,"BROADCOM INC",BDZ78H9,232.00,"376,606.00","87,372,592.00"
2.85,BABA,"ALIBABA GRP-ADR",BP41ZD1,99.28,"869,715.00","86,345,305.20"
2.78,TSM,"TAIWAN SEMIC-ADR",2113382,208.57,"402,934.00","84,039,944.38"
2.76,MSFT,"MICROSOFT CORP",2588173,413.29,"202,514.00","83,697,011.06"
2.75,ORCL,"ORACLE CORP",2661568,171.66,"485,330.00","83,311,747.80"
2.74,TSLA,"TESLA INC",B616C79,378.17,"219,487.00","83,003,398.79"
2.71,NOW,"SERVICENOW INC",B80NXX8,"1,027.06","79,812.00","81,971,712.72"
2.67,PLTR,"PALANTIR TECHN-A",BN78DQ4,101.36,"797,095.00","80,793,549.20"
2.53,NVDA,"NVIDIA CORP",2379504,124.83,"614,606.00","76,721,266.98"
2.36,QCOM,"QUALCOMM INC",2714923,175.86,"406,124.00","71,420,966.64"
2.30,ADBE,"ADOBE INC",2008154,437.63,"159,194.00","69,668,070.22"
2.19,AMD,"ADVANCED MICRO DEVICES",2007849,112.01,"593,170.00","66,440,971.70"
2.03,"SIE GR","SIEMENS AG-REG",5727973,209.73,"292,649.00","61,378,366.16"
1.78,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,121.73,"443,238.00","53,955,361.74"
1.64,UBER,"UBER TECHNOLOGIES INC",BK6N347,64.48,"769,497.00","49,617,166.56"
1.33,APP,"APPLOVIN CORP-CLASS A",BMV3LG4,368.27,"109,148.00","40,195,933.96"
1.29,"3690 HK","MEITUAN-CLASS B",BGJW376,19.38,"2,012,015.00","38,993,239.86"
1.26,MU,"MICRON TECHNOLOGY INC",2588184,93.60,"407,003.00","38,095,480.80"
1.22,MRVL,"MARVELL TECHNOLOGY INC",BNKJSM5,116.46,"316,098.00","36,812,773.08"
1.21,"000660 KS","SK HYNIX INC",6450267,137.62,"266,031.00","36,610,108.54"
1.02,INTC,"INTEL CORP",2463247,19.65,"1,575,115.00","30,951,009.75"
1.00,CDNS,"CADENCE DESIGN SYS INC",2302232,302.65,"100,218.00","30,330,977.70"
0.99,SNPS,"SYNOPSYS INC",2867719,528.42,"56,500.00","29,855,730.00"
0.97,FTNT,"FORTINET INC",B5B2106,105.07,"279,878.00","29,406,781.46"
0.92,TRI,"THOMSON REUTERS CORP",BNBXPB4,169.23,"164,242.00","27,794,673.66"
0.75,SNOW,"SNOWFLAKE INC-CLASS A",BN134B7,188.93,"120,418.00","22,750,572.74"
0.71,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,276.17,"78,145.00","21,581,304.65"
0.65,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,213.24,"92,790.00","19,786,539.60"
0.62,TTD,"TRADE DESK INC-A",BD8FDD1,114.34,"164,019.00","18,753,932.46"
0.58,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,37.00,"476,492.00","17,628,540.46"
0.55,"EXPN LN","EXPERIAN PLC",B19NLV4,49.94,"335,139.00","16,738,491.51"
0.55,DDOG,"DATADOG INC - CLASS A",BKT9Y49,144.85,"114,288.00","16,554,616.80"
0.53,"WKL NA","WOLTERS KLUWER",5671519,184.15,"87,050.00","16,030,154.76"
0.50,"6702 JP","FUJITSU LIMITED",6356945,20.02,"754,387.00","15,103,110.86"
0.48,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,87.17,"166,609.00","14,523,306.53"
0.39,TWLO,"TWILIO INC - A",BD6P5Q0,147.11,"79,527.00","11,699,216.97"
0.38,ZS,"ZSCALER INC",BZ00V34,204.99,"55,934.00","11,465,910.66"
0.35,"6701 JP","NEC CORP",6640400,98.92,"108,352.00","10,718,049.23"
0.34,"6954 JP","FANUC CORP",6356934,28.79,"362,130.00","10,425,116.83"
0.34,HPE,"HEWLETT PACKA",BYVYWS0,21.36,"478,711.00","10,225,266.96"
0.33,OKTA,"OKTA INC",BDFZSP1,97.45,"102,274.00","9,966,601.30"
0.33,STNE,"STONECO LTD-A",BGKG6M3,9.34,"1,052,335.00","9,828,808.90"
0.32,"2395 TT","ADVANTECH CO LTD",6202673,12.55,"777,557.00","9,759,981.21"
0.32,"4755 JP","RAKUTEN GROUP INC",6229597,6.34,"1,535,801.00","9,735,975.97"
