"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 09/26/2025",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.86,BABA,"ALIBABA GRP-ADR",BP41ZD1,171.91,"1,326,697.00","228,072,481.27"
3.64,TSLA,"TESLA INC",B616C79,440.40,"488,397.00","215,090,038.80"
3.57,GOOGL,"ALPHABET INC-CL A",BYVY8G0,246.54,"855,241.00","210,851,116.14"
3.36,"005930 KS","SAMSUNG ELECTRON",6771720,58.71,"3,377,141.00","198,263,455.95"
3.28,AAPL,"APPLE INC",2046251,255.46,"759,507.00","194,023,658.22"
3.27,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,82.77,"2,334,818.00","193,256,532.98"
3.24,AVGO,"BROADCOM INC",BDZ78H9,334.53,"571,861.00","191,304,660.33"
3.23,ORCL,"ORACLE CORP",2661568,283.46,"672,215.00","190,546,063.90"
3.16,PLTR,"PALANTIR TECHN-A",BN78DQ4,177.57,"1,051,209.00","186,663,182.13"
3.13,TSM,"TAIWAN SEMIC-ADR",2113382,273.36,"676,414.00","184,904,531.04"
2.87,NVDA,"NVIDIA CORP",2379504,178.19,"952,419.00","169,711,541.61"
2.87,META,"META PLATFORMS INC",B7TL820,743.75,"228,183.00","169,711,106.25"
2.82,NFLX,"NETFLIX INC",2857817,"1,210.61","137,788.00","166,807,530.68"
2.79,MSFT,"MICROSOFT CORP",2588173,511.46,"322,413.00","164,901,352.98"
2.78,IBM,IBM,2005973,284.31,"577,160.00","164,092,359.60"
2.77,AMD,"ADVANCED MICRO DEVICES",2007849,159.46,"1,025,162.00","163,472,332.52"
2.70,CSCO,"CISCO SYSTEMS INC",2198163,67.22,"2,368,660.00","159,221,325.20"
2.65,AMZN,"AMAZON.COM INC",2000019,219.78,"712,212.00","156,529,953.36"
2.50,CRM,"SALESFORCE INC",2310525,243.43,"607,364.00","147,850,618.52"
2.12,"SIE GR","SIEMENS AG-REG",5727973,267.45,"468,885.00","125,404,767.68"
2.04,APP,"APPLOVIN CORP-CLASS A",BMV3LG4,669.86,"180,347.00","120,807,241.42"
2.04,UBER,"UBER TECHNOLOGIES INC",BK6N347,98.45,"1,223,666.00","120,469,917.70"
1.92,NOW,"SERVICENOW INC",B80NXX8,936.00,"121,211.00","113,453,496.00"
1.84,QCOM,"QUALCOMM INC",2714923,169.20,"642,398.00","108,693,741.60"
1.74,MU,"MICRON TECHNOLOGY INC",2588184,157.27,"654,539.00","102,939,348.53"
1.72,"000660 KS","SK HYNIX INC",6450267,238.19,"426,739.00","101,644,079.63"
1.69,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,140.25,"713,141.00","100,018,025.25"
1.53,INTC,"INTEL CORP",2463247,35.50,"2,551,502.00","90,578,321.00"
1.52,ADBE,"ADOBE INC",2008154,360.37,"249,566.00","89,936,099.42"
1.47,ACN,"ACCENTURE PLC-CL A",B4BNMY3,238.97,"364,228.00","87,039,565.16"
0.94,CDNS,"CADENCE DESIGN SYS INC",2302232,350.11,"159,183.00","55,731,560.13"
0.90,SNPS,"SYNOPSYS INC",2867719,487.76,"108,409.00","52,877,573.84"
0.74,SNOW,"SNOWFLAKE INC",BN134B7,224.64,"194,738.00","43,745,944.32"
0.73,"3690 HK","MEITUAN-CLASS B",BGJW376,12.93,"3,322,115.00","42,954,426.67"
0.71,MRVL,"MARVELL TECHNOLOGY INC",BNKJSM5,83.17,"504,939.00","41,995,776.63"
0.70,TRI,"THOMSON REUTERS CORP",BNBXPB4,157.02,"264,069.00","41,464,114.38"
0.64,FTNT,"FORTINET INC",B5B2106,84.32,"447,568.00","37,738,933.76"
0.56,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,226.04,"147,061.00","33,241,668.44"
0.53,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,246.67,"126,159.00","31,119,640.53"
0.49,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,38.19,"762,316.00","29,114,162.61"
0.49,"6702 JP","FUJITSU LIMITED",6356945,23.93,"1,210,273.00","28,964,628.57"
0.46,ZS,"ZSCALER INC",BZ00V34,294.65,"92,205.00","27,168,203.25"
0.45,STX,"SEAGATE TECHNOLO",BKVD2N4,217.51,"123,106.00","26,776,786.06"
0.45,"5803 JP","FUJIKURA LTD",6356707,93.81,"284,886.00","26,725,033.61"
0.45,"EXPN LN","EXPERIAN PLC",B19NLV4,49.48,"534,725.00","26,457,131.56"
0.44,CRWV,"COREWEAVE INC-CL A",BTTRKN7,120.34,"216,279.00","26,027,014.86"
0.44,DDOG,"DATADOG INC - CLASS A",BKT9Y49,139.07,"185,443.00","25,789,558.01"
0.42,"6701 JP","NEC CORP",6640400,31.36,"797,231.00","25,003,954.11"
0.42,HUT,"HUT 8 CORP",BQQ8816,33.16,"747,124.00","24,774,631.84"
0.38,BIDU,"BAIDU INC - SPON ADR",B0FXT17,131.34,"172,656.00","22,676,639.04"
0.38,PONY,"PONY AI INC",BRWKBD6,21.17,"1,070,103.00","22,654,080.51"
0.36,STNE,"STONECO LTD-A",BGKG6M3,18.72,"1,148,579.00","21,501,398.88"
