ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
AAPL,2025-06-30,94036000000,43718000000,28202000000,8866000000,15516000000,23434000000,28202000000,31032000000,2830000000,1.57,1.43,0.14,9.7902,331495000000,265665000000,36269000000,19268000000,82430000000,65830000000,-17607000000,14948179000,46835000000,5925000000,50374000000,27867000000,3462000000,3945000000,-21075000000,23434000000,3066917885430.0,205.17,14948179000
AAPL,2025-03-31,95359000000,44867000000,29589000000,8550000000,15278000000,24780000000,29589000000,32250000000,2661000000,1.65,1.62,0.03,1.8519,331233000000,264437000000,28162000000,19620000000,78566000000,66796000000,-15552000000,15056133000,49798000000,6269000000,54126000000,23952000000,3071000000,3758000000,-25898000000,24780000000,3344418823290.0,222.13,15056133000
AAPL,2024-12-31,124300000000,58275000000,42832000000,8268000000,15443000000,36330000000,42832000000,45912000000,3080000000,2.4,2.34,0.06,2.5641,344085000000,277327000000,30299000000,12843000000,83956000000,66758000000,-11221000000,15150865000,59306000000,6911000000,61910000000,29935000000,2940000000,3856000000,-23606000000,36330000000,3794079613300.0,250.42,15150865000
AAPL,2024-09-30,94930000000,43879000000,29591000000,7765000000,14288000000,14736000000,29591000000,32502000000,2911000000,0.97,0.95,0.02,2.1053,364980000000,308030000000,29943000000,22511000000,85750000000,56950000000,-19154000000,15408095000,66243000000,7286000000,68960000000,26811000000,2908000000,3804000000,-25083000000,14736000000,3590086135000.0,233.0,15408095000
AAPL,2024-06-30,85777000000,39678000000,25352000000,8006000000,14326000000,21448000000,25352000000,28202000000,2850000000,1.4,1.34,0.06,4.4776,331612000000,264904000000,25565000000,15108000000,86196000000,66708000000,-4726000000,15348175000,43172000000,6165000000,47574000000,28858000000,2151000000,3895000000,-26522000000,21448000000,3326716931250.0,216.75,15348175000
AAPL,2024-03-31,90753000000,42271000000,27900000000,7903000000,14213000000,23636000000,27900000000,30736000000,2836000000,1.53,1.5,0.03,2,337411000000,263217000000,32695000000,12759000000,91831000000,74194000000,4339000000,15464709000,41150000000,6232000000,45753000000,22690000000,1996000000,3710000000,-23205000000,23636000000,2629464471270.0,170.03,15464709000
AAPL,2023-12-31,119575000000,54855000000,40373000000,7696000000,14532000000,33916000000,40373000000,43221000000,2848000000,2.18,2.11,0.07,3.3175,353514000000,279414000000,40760000000,12952000000,95088000000,74100000000,8242000000,15576641000,50102000000,6511000000,58146000000,39895000000,2392000000,3825000000,-20139000000,33916000000,2891647635240.0,185.64,15576641000
AAPL,2023-09-30,89498000000,40427000000,26969000000,7307000000,13411000000,22956000000,26969000000,29622000000,2653000000,1.46,1.39,0.07,5.036,352583000000,290437000000,29965000000,17382000000,95281000000,62146000000,-214000000,15672400000,60985000000,6331000000,62611000000,21598000000,2163000000,3758000000,-21003000000,22956000000,2723079500000.0,173.75,15672400000
AAPL,2023-06-30,81797000000,36413000000,22998000000,7442000000,13415000000,19881000000,22998000000,26050000000,3052000000,1.26,1.19,0.07,5.8824,335038000000,274764000000,28408000000,11209000000,98071000000,60274000000,1408000000,15775021000,39186000000,7351000000,46699000000,26380000000,2093000000,3849000000,-17478000000,19881000000,3059880823370.0,193.97,15775021000
AAPL,2023-03-31,94836000000,41976000000,28318000000,7457000000,13594000000,24160000000,28318000000,31216000000,2898000000,1.52,1.43,0.09,6.2937,332160000000,270002000000,24687000000,12574000000,97041000000,62158000000,4336000000,15847050000,35899000000,7482000000,42945000000,28560000000,2916000000,3650000000,-19594000000,24160000000,2613178545000.0,164.9,15847050000
