ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
ADBE,2025-08-31,5988000000,5346000000,2173000000,1088000000,3173000000,1772000000,2254000000,2462000000,208000000,5.31,5.18,0.13,2.5097,28754000000,16984000000,4982000000,74000000,6200000000,11770000000,43516000000,430000000,2093000000,None,337000000,2198000000,72000000,None,-2057000000,1772000000,148620900000.0,345.63,430000000
ADBE,2025-05-31,5873000000,5235000000,2109000000,1082000000,3126000000,1691000000,2169000000,2378000000,209000000,5.06,4.97,0.09,1.8109,28107000000,16659000000,4931000000,74000000,6166000000,11448000000,41744000000,433000000,1735000000,None,360000000,2191000000,47000000,None,-3500000000,1691000000,174672200000.0,403.4,433000000
ADBE,2025-02-28,5714000000,5092000000,2163000000,1026000000,2929000000,1811000000,2244000000,2461000000,217000000,5.08,4.97,0.11,2.2133,29955000000,16860000000,6758000000,74000000,6155000000,13095000000,40186000000,438000000,1973000000,None,326000000,2482000000,26000000,None,-3250000000,1811000000,192089280000.0,438.56,438000000
ADBE,2024-11-30,5606000000,4990000000,1957000000,999000000,3033000000,1683000000,2041000000,2259000000,218000000,4.81,4.67,0.14,2.9979,30230000000,16125000000,7613000000,1574000000,4129000000,14105000000,38470000000,443000000,2072000000,None,361000000,2921000000,48000000,None,-2500000000,1683000000,228676600000.00003,516.2,443000000
ADBE,2024-08-31,5408000000,4854000000,1992000000,1022000000,2862000000,1684000000,2093000000,2306000000,213000000,4.65,4.54,0.11,2.4229,29830000000,15285000000,7193000000,1569000000,4128000000,14545000000,36911000000,448000000,1802000000,None,318000000,2021000000,57000000,None,-2500000000,1684000000,255825919999.99997,571.04,448000000
ADBE,2024-05-31,5309000000,4711000000,1885000000,984000000,2826000000,1573000000,1971000000,2185000000,214000000,4.48,4.4,0.08,1.8182,30007000000,15164000000,7660000000,1565000000,4127000000,14843000000,35227000000,451000000,1612000000,None,357000000,1940000000,52000000,None,-2500000000,1573000000,200586760000.0,444.76,451000000
ADBE,2024-02-29,5182000000,4592000000,907000000,939000000,3685000000,620000000,995000000,1207000000,212000000,4.48,4.38,0.1,2.2831,28751000000,13291000000,6254000000,1570000000,2138000000,15460000000,33809000000,456000000,2057000000,None,300000000,1174000000,75000000,None,-2000000000,620000000,255487680000.0,560.28,456000000
ADBE,2023-11-30,5048000000,4414000000,1743000000,889000000,2671000000,1483000000,1836000000,2076000000,240000000,4.27,4.14,0.13,3.1401,29779000000,13261000000,7141000000,73000000,3634000000,16518000000,33346000000,459000000,2224000000,None,314000000,1597000000,47000000,None,-1000000000,1483000000,280453590000.0,611.01,459000000
ADBE,2023-08-31,4890000000,4310000000,1697000000,881000000,2613000000,1403000000,1770000000,2006000000,236000000,4.1,3.98,0.12,3.0151,29090000000,13314000000,6601000000,74000000,3633000000,15776000000,32012000000,459000000,1851000000,None,314000000,1873000000,91000000,None,-1000000000,1403000000,256737060000.0,559.34,459000000
ADBE,2023-05-31,4816000000,4244000000,1624000000,876000000,2620000000,1295000000,1676000000,1911000000,235000000,3.91,3.79,0.12,3.1662,27838000000,13000000000,5456000000,74000000,3631000000,14838000000,30609000000,459000000,1685000000,None,346000000,2139000000,121000000,None,-1000000000,1295000000,191765610000.0,417.79,459000000
ADBE,2023-02-28,4655000000,4087000000,1586000000,827000000,2501000000,1247000000,1586000000,1798000000,212000000,3.8,3.68,0.12,3.2609,26667000000,12461000000,4072000000,81000000,3630000000,14206000000,29435000000,459500000,1801000000,None,308000000,1693000000,101000000,None,-1564000000,1247000000,148855025000.0,323.95,459500000
ADBE,2022-11-30,4525000000,3957000000,1505000000,773000000,2452000000,1176000000,1505000000,1720000000,215000000,3.6,3.5,0.1,2.8571,27165000000,13114000000,4236000000,587000000,3629000000,14051000000,28319000000,466000000,2065000000,None,379000000,2325000000,91000000,None,-1817000000,1176000000,160737380000.0,344.93,466000000
