ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
AFYA,2025-06-30,919400000,576693000,285228000,None,291465000,172332000,329816000,424514000,94698000,2.27,1.98,0.29,14.6465,9238168000,4601380000,1099107000,1265954000,996973000,4596386000,2306422000,91665957,721071000,None,333291000,307746000,128860000,0,None,194010000,1637153992.02,17.86,91665957.0
AFYA,2025-03-31,936360000,653721000,372527000,None,281194000,251999000,388320000,480075000,91755000,2.76,2.55,0.21,8.2353,9111874000,4670459000,1154888000,421037000,1839399000,4400755000,2134090000,97253672,669024000,None,321671000,463850000,56212000,0,None,281818000,1743758338.96,17.93,97253672.0
AFYA,2024-12-31,849015000,541841000,258049000,4265000,283792000,149927000,257295000,306792000,49497000,2.1,1.61,0.49,30.4348,8829539000,4518956000,911015000,409134000,1831607000,4269955000,2011875000,90770405,621624000,None,128080000,284484000,75849000,0,None,149927000,1441434031.4,15.88,90770405.0
AFYA,2024-09-30,841185000,517102000,233892000,None,283210000,119979000,229672000,315500000,85828000,1.79,1.84,-0.05,-2.7174,8713627000,4561984000,836876000,75184000,2115219000,4110446000,1861948000,91276436,552381000,235000,377112000,481006000,179658000,0,None,136574000,1558088762.52,17.07,91276436.0
AFYA,2024-06-30,809890000,471159653,230814000,4520000,264234000,158211000,230814000,283197000,52383000,2.29,1.95,0.34,17.4359,7851437000,3829655000,723408000,204578000,1621314000,4019533594,1741969000,91169077,595134000,344000,119677000,249309000,42282680,0,None,165291000,1555344453.62,17.06,91169077.0
AFYA,2024-03-31,804239000,534735000,289358000,7029000,246009000,203393000,258153296,338601000,80447704,2.74,2.35,0.39,16.5957,7690823000,3833768000,611077000,201705000,1621419000,3814354000,1583758000,97288946,536175000,653000,122694000,417860000,92901000,0,None,219164000,1802764169.38,18.53,97288946.0
AFYA,2023-12-31,729866000,440189000,170593000,7321000,269412000,98061000,121010509,196874000,75863491,1.79,1.55,0.24,15.4839,7584481000,3941469000,553030000,216150000,1621523000,3601505000,1380365000,90622550,546438000,1382000,108222000,147421000,90301000,0,182670,92756000,1929354089.5,21.29,90622550.0
AFYA,2023-09-30,723479000,435245000,190286000,5396000,245579000,93347000,187285878,263660000,76374122,1.38,1.36,0.02,1.4706,7831089000,4282056000,822008000,274077000,1721396000,3498360000,1293149000,90689876,480556000,4501000,85655000,358710000,52970000,0,-176126,110366000,1415668964.36,15.61,90689876.0
AFYA,2023-06-30,712607000,428312000,176643000,4869000,251890000,82789000,154664942,224781000,70116058,1.42,1.41,0.01,0.7092,7849468000,4403271000,741196000,283997000,1731494000,3394783000,1199802000,90281577,509520000,8088000,82632000,205938000,55728000,0,-12369000,89628000,1267553341.08,14.04,90281577.0
AFYA,2023-03-31,709961000,462354000,229539000,3918000,234105000,112124000,208627749,273093000,64465251,1.8,2.03,-0.23,-11.33,7798797000,4430502000,722691000,289942000,1730523000,3317457000,1117010000,90598077,475712000,9925000,72228000,331554000,46429000,0,0,136832000,1011074539.32,11.16,90598077.0
