ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
AISP,2025-06-30,2146890,1532517000,-2021881000,740571000,3554398000,-23757051000,-2021881000,-2021881000,None,-0.75,0.01,-0.76,-7600,10080678000,56960068000,6306274000,416583000,None,-46879390000,-74990656000,31874000,2557427000,None,393341000,-1820975000,0,None,None,-72774000,187737860.0,5.89,31874000.0
AISP,2025-03-31,5503000,2235000,-1714357,719382,3949000,23708000,-1714396,-1631000,83396,0.61,-0.02,0.63,3150,12931000,36441000,8812178000,406321916,None,-23510000,-51233605,38821000,2782650000,None,2180000,-2097844,0,None,None,23708000,149849060.0,3.86,38821000.0
AISP,2024-12-31,3207000,1239000,-1491000,333022,2730000,-50176000,-49536000,-49713000,-177000,-1.82,-0.02,-1.8,-9000,13707000,66731000,11415000,610356,None,-53023000,-74942000,30588000,1227000,None,759480,-2105683,0,None,None,-50176370,191480880.0,6.26,30588000.0
AISP,2024-09-30,2868000,2153000,-1587484,1074000,3741000,6214000,6348177,6372000,23823,-0.0481,-0.03,-0.0181,-60.3333,9096000,22017000,6516000,2060660,None,-12921000,-24765000,35446000,1122000,None,722742,-251417,0,None,None,6214000,81525800.0,2.3,35446000.0
AISP,2024-06-30,6401000,4506000,976316,702771,3530000,18462000,18883200,18954000,70800,0.7951,None,0,None,5305000,33272000,226750,2874000,None,-27967000,-30979000,30272000,3450000,None,1505000,-2452000,0,None,None,18462000,114730880.0,3.79,30272000.0
AISP,2024-03-31,10575000,2628000,-1403000,695366,4031000,-31964000,-31932152,-31850000,82152,-1.3959,None,0,None,4661000,52712000,1726000,4385875,None,-48051000,-49441000,22898000,1714000,None,3357000,-1695084,0,None,None,-31964469,185473800.0,8.1,22898000.0
AISP,2023-12-31,4207000,1685000,-624000,1390000,2309000,22853000,22917618,23203000,285382,,,,,4661189,52711798,1725817,4385618,None,-48050609,-49441169,20391000,1714069,None,3356700,-767294,0,None,None,22853196,32625600.0,1.6,20391000.0
AISP,2023-09-30,2384000,1602000,-797000,688798,796831,-1490000,-1434414,-1474000,-39586,-0.1302,None,0,None,25294000,23825000,18752,None,None,1469000,-18099000,28441000,None,None,None,-1786937,0,None,-306691945,-1666607,302043420.0,10.62,28441000.0
AISP,2023-06-30,2770000,1673000,-3085000,665203,4758000,-3103000,-3084013,-2928000,156013,-0.1585,None,0,None,3405000,14128000,2263000,2514907,None,-10723000,-15130000,28441000,670018,None,223174,-255354,4,None,-306691945,-3103279,306025160.0,10.76,28441000.0
AISP,2023-03-31,2939000,804279,-1702000,674080,2506000,-1712000,-1706626,-1497000,209626,0.03,0,0.03,None,25867000,15476000,568236,2514489,None,10390000,-14044000,36491000,670018,None,223174,-453345,0,None,None,1163141,370383650.0,10.15,36491000.0
AISP,2022-12-31,2938597,804279,-492000,674080,492034,1950000,1895120,1950000,54880,0.05,0,0.05,None,329414000,13099000,1055000,921303,131608,316315000,-11812000,41492000,1673000,-1673365,216718,-136667,0,None,None,1950219,418239360.0,10.08,41492000.0
AISP,2022-09-30,None,None,-268000,None,268259,1511000,1483919,1511000,27081,0.04,0,0.04,None,327089000,12724000,1191000,921303,131608,314365000,-11153000,41492000,1673365,-1673365,216718,-73668,0,None,None,1510836,410770800.0,9.9,41492000.0
AISP,2022-06-30,None,None,-288000,None,288432,1915000,1828935,1915000,86065,0.05,0,0.05,None,325876000,13022000,1265000,None,None,312854000,-11219000,41492000,None,None,None,-205136,0,None,None,1914556,407866360.0,9.83,41492000.0
AISP,2022-03-31,None,None,-348000,None,348284,5255000,-348000,5255000,None,0.03,0,0.03,None,325802000,14863000,1470000,None,None,310939000,-12754000,41492000,None,None,None,-193052,0,None,None,5255353,405376840.0,9.77,41492000.0
AISP,2021-12-31,None,None,-337000,None,337496,1169000,-337000,1169000,None,0.0282,None,0,None,326072000,20388000,1663000,None,None,305684000,-18009000,41492000,None,None,None,-64699,0,None,None,1169203,406206679.99999994,9.79,41492000.0
AISP,2021-09-30,None,None,-227000,None,226702,9799000,-227000,9799000,None,0.24,0,0.24,None,326273000,21758000,1728000,None,None,304515000,-19179000,41492000,None,None,None,-93107,0,None,None,9799230,402887320.00000006,9.71,41492000.0
AISP,2021-06-30,None,None,-294000,None,294142,-4713000,-294000,-4713000,None,-0.13,0,-0.13,None,326509000,31794000,1821000,None,None,294716000,-5948000,41492000,None,None,None,-212154,0,None,None,-4713145,400397800.0,9.65,41492000.0
AISP,2021-03-31,None,None,-163000,None,163007,-1235000,-163000,-1235000,None,-0.03,0,-0.03,None,303677000,25438000,1629000,None,None,278239000,-1235000,40462000,None,None,None,-1181799,0,None,None,-1234716,,,
