ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
AI,2025-07-31,70261000,26444000,-124819000,64651000,151263000,-116769000,None,-116469000,None,-0.37,-0.21,-0.16,-76.1905,968739000,169915000,80941000,None,None,798824000,-1495404000,135375000,113925000,None,12084000,-33535000,760000,None,None,-116769000,3189435000.0,23.56,135375000.0
AI,2025-04-30,108723000,67510000,-88965000,58393000,156475000,-79702000,-88965000,-85573000,3392000,-0.16,-0.2,0.04,20,1025882000,187579000,164358000,9590000,None,838303000,-1378635000,133233000,137226000,None,15160000,11264000,938000,None,-1583000,-79702000,2932458330.0,22.01,133233000.0
AI,2025-01-31,98782000,58347000,-87585000,59356000,145932000,-80201000,-87585000,-84462000,3123000,-0.12,-0.25,0.13,52,1055141000,194964000,125094000,4490000,None,860177000,-1298933000,130382000,180357000,None,28737000,-22020000,362000,None,24657000,-80201000,4087475700.0,31.35,130382000.0
AI,2024-10-31,94338000,57840000,-75288000,55715000,133128000,-65972000,-75288000,-72315000,2973000,-0.06,-0.16,0.1,62.5,1046289000,187328000,121274000,4234000,None,858961000,-1218732000,127870000,159987000,None,20611000,-38693000,815000,None,9481000,-65972000,3149438100.0,24.63,127870000.0
AI,2024-07-31,87213000,52166000,-72586000,52927000,124752000,-62827000,-72586000,-69467000,3119000,-0.05,-0.13,0.08,61.5385,1057620000,182699000,133820000,3822000,None,874921000,-1152760000,124979000,140070000,None,31615000,8042000,924000,None,-2945000,-62827000,3343188250.0,26.75,124979000.0
AI,2024-04-30,86590000,51611000,-82307000,50618000,133918000,-72927000,-82307000,-79057000,3250000,-0.11,-0.3,0.19,63.3333,1038225000,164872000,167146000,3226000,None,873353000,-1089933000,122676000,130064000,None,11316000,21343000,2538000,None,-2823000,-72927000,2763890280.0,22.53,122676000.0
AI,2024-01-31,78401000,45287000,-82546000,49480000,127833000,-72631000,-82546000,-79297000,3249000,-0.13,-0.28,0.15,53.5714,1063989000,165994000,114561000,2936000,None,897995000,-1017006000,120486000,173478000,None,19845000,-39051000,6087000,None,-711000,-72631000,2985643080.0,24.78,120486000.0
AI,2023-10-31,73229000,41113000,-79396000,50399000,120509000,-69780000,-79396000,-76232000,3164000,-0.13,-0.18,0.05,27.7778,1071114000,159838000,149009000,2638000,None,911276000,-944375000,118656000,143153000,1,25740000,-48590000,6543000,None,-2568000,-69780000,2895206400.0,24.4,118656000.0
AI,2023-07-31,72362000,40549000,-74093000,50868000,114642000,-64358000,-74093000,-71037000,3056000,-0.09,-0.17,0.08,47.0588,1089403000,156961000,206442000,2421000,None,932442000,-874595000,115681000,122568000,1,26885000,3936000,11338000,None,-7118000,-64358000,4858602000.0,42.0,115681000.0
AI,2023-04-30,72410000,47502000,-73280000,49681000,120782000,-64956000,-73280000,-70449000,2831000,-0.13,-0.17,0.04,23.5294,1103028000,173363000,284829000,2339000,None,929665000,-810237000,112746000,134586000,1,24610000,27054000,10751000,None,-2125000,-64956000,2100457980.0,18.63,112746000.0
AI,2023-01-31,66669000,44398000,-72038000,55051000,116436000,-63162000,-72038000,-71194000,844000,-0.06,-0.22,0.16,72.7273,1095213000,147843000,311142000,5018000,None,947370000,-745281000,110735000,143678000,1,19990000,-51900000,19789000,None,-1440000,-63162000,2198089750.0,19.85,110735000.0
AI,2022-10-31,62408000,41656000,-71966000,50051000,113622000,-68850000,-71966000,-71014000,952000,-0.11,-0.16,0.05,31.25,1100605000,147439000,277622000,2558000,None,953166000,-682119000,108876000,94759000,-5325000,30662000,-52587000,24442000,None,-3375000,-68850000,1427364360.0,13.11,108876000.0
AI,2022-07-31,65308000,46902000,-73209000,55877000,120111000,-71871000,-73209000,-71748000,1461000,-0.12,-0.24,0.12,50,1137169000,158191000,221883000,2705000,None,978978000,-613269000,106842000,81298000,-5325000,40748000,-38258000,16536000,None,1087000,-71871000,1999013820.0,18.71,106842000.0
AI,2022-04-30,72317000,54954000,-56523000,46378000,111477000,-58420000,-56523000,-55094000,1429000,-0.21,-0.29,0.08,27.5862,1170882000,181405000,339528000,3613000,None,989477000,-541398000,105824000,80271000,-15887000,54218000,-13162000,1608000,14195000,-15000000,-58420000,1917530880.0,18.12,105824000.0
AI,2022-01-31,69773000,52419000,-47406000,40931000,99825000,-39447000,-47406000,-46009000,1397000,-0.07,-0.25,0.18,72,1187507000,160832000,204531000,3246000,None,1026675000,-482978000,105093000,68178000,-5000000,14478000,-55424000,754000,None,8029000,-39447000,2768149620.0,26.34,105093000.0
AI,2021-10-31,58263000,42292000,-55676000,36523000,97968000,-56739000,-55676000,-54453000,1223000,-0.23,-0.29,0.06,20.6897,1164870000,138360000,167436000,4415000,None,1026510000,-443531000,103746000,27168000,-5015000,10129000,-18898000,918000,None,6225000,-56739000,4633296360.0,44.66,103746000.0
AI,2021-07-31,52406000,39381000,-36517000,26712000,75898000,-37459000,-36517000,-35376000,1141000,-0.23,-0.28,0.05,17.8571,1191540000,147745000,273779000,-1099000,None,1043795000,-386792000,102155000,55831000,-1700000,10051000,1022000,1011000,None,5046000,-37459000,5113879300.0,50.06,102155000.0
AI,2021-04-30,52284000,40572000,-23908000,20711000,64480000,-24050000,-23908000,-22800000,1108000,-0.16,-0.27,0.11,40.7407,1196477000,135302000,115355000,3894000,None,1061175000,-349333000,97328701,65460000,2,12075000,-31725000,462000,None,868532000,-24050000,6448999728.26,66.26,97328701.0
AI,2021-01-31,49109000,36883000,-18499000,18748000,55382000,-16852000,-18499000,-17408000,1091000,-0.15,-0.16,0.01,6.25,1184574000,110462000,960122000,None,None,1074112000,-325283000,75314894,30231000,-13503000,12608000,-24664000,247000,None,865684000,-16852000,10374626648.5,137.75,75314894.0
AI,2020-10-31,41341000,31260000,-14524000,16134000,45784000,-14944000,-14526000,-13456000,1070000,-0.32,-0.13,-0.19,-146.1538,355600000,539927000,114603000,None,None,-184327000,-308431000,95155635,33190000,-900000,10059000,1774000,265000,None,4536000,-14944000,,,
AI,2020-07-31,40483000,29984000,-3325000,13264000,33309000,150000,-3325000,-2297000,1028000,-0.0661,0,-0.0661,None,355769000,535450000,128979000,None,None,-179681000,-293486000,73550000,60416000,-900000,4382000,17062000,654000,None,335000,150000,,,
AI,2020-04-30,41618000,32109000,-30219000,17426000,62328000,-30434000,-30219000,-29483000,736000,0.01,0.02,-0.01,-50,305108000,487805000,33104000,None,None,-182697000,-293637000,53477159,30827000,-900000,4726000,-34174000,669000,None,44682000,-30434000,,,
AI,2020-01-31,41283000,30352000,-10432000,12331000,40784000,-9796000,-10432000,-10228000,204000,0.18,0.19,-0.01,-5.2632,None,None,None,None,None,None,None,73550000,None,None,None,-24386000,126000,None,0,-9796000,,,
AI,2019-10-31,38875000,28747000,-29883000,23873000,58630000,-28825000,-29883000,-29690000,193000,0.18,0.2,-0.02,-10,None,None,None,None,None,None,None,73550000,None,None,None,-39398000,1780000,None,-3548000,-28825000,,,
AI,2019-07-31,34890000,26672000,-963000,10918000,27635000,-323000,-963000,-794000,169000,0.23,0.24,-0.01,-4.1667,None,None,-156517000,None,None,153331000,None,73550000,None,None,None,36677000,431000,None,None,-323000,,,
AI,2019-04-30,,,,,,,,,,0.32,0.41,-0.09,-21.9512,,,,,,,,,,,,,,,,,,,
AI,2019-01-31,,,,,,,,,,0.44,0.46,-0.02,-4.3478,,,,,,,,,,,,,,,,,,,
AI,2018-07-31,,,,,,,,,,0.47,0.52,-0.05,-9.6154,,,,,,,,,,,,,,,,,,,
AI,2018-04-30,,,,,,,,,,0.59,0.54,0.05,9.2593,,,,,,,,,,,,,,,,,,,
AI,2018-01-31,,,,,,,,,,0.58,0.52,0.06,11.5385,,,,,,,,,,,,,,,,,,,
AI,2017-07-31,,,,,,,,,,0.52,0.57,-0.05,-8.7719,,,,,,,,,,,,,,,,,,,
AI,2017-04-30,,,,,,,,,,0.58,0.59,-0.01,-1.6949,,,,,,,,,,,,,,,,,,,
AI,2017-01-31,,,,,,,,,,0.6,0.62,-0.02,-3.2258,,,,,,,,,,,,,,,,,,,
AI,2016-07-31,,,,,,,,,,0.64,0.66,-0.02,-3.0303,,,,,,,,,,,,,,,,,,,
AI,2016-04-30,,,,,,,,,,0.67,0.67,0,0,,,,,,,,,,,,,,,,,,,
AI,2016-01-31,,,,,,,,,,1.31,1.32,-0.01,-0.7576,,,,,,,,,,,,,,,,,,,
AI,2015-07-31,,,,,,,,,,1.35,1.33,0.02,1.5038,,,,,,,,,,,,,,,,,,,
AI,2015-04-30,,,,,,,,,,1.32,1.3,0.02,1.5385,,,,,,,,,,,,,,,,,,,
AI,2015-01-31,,,,,,,,,,1.5,1.2,0.3,25,,,,,,,,,,,,,,,,,,,
