ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
ALAB,2025-06-30,191925000,145563000,39774000,66724000,105789000,51219000,39774000,41166000,1392000,0.44,0.32,0.12,37.5,1271405000,135691000,163404000,4666000,None,1135714000,-125758000,178100000,24318000,58602000,31573000,135366000,2023000,None,None,51219000,16103802000.0,90.42,178100000.0
ALAB,2025-03-31,159442000,119411000,11285000,64554000,108126000,31819000,11285000,12410000,1125000,0.33,0.28,0.05,17.8571,1121694000,80132000,86431000,None,None,1041562000,-176977000,178116000,69778000,51057000,29513000,10504000,4539000,None,None,31819000,10628181720.0,59.67,178116000.0
ALAB,2024-12-31,141096000,104448000,144000,56524000,104304000,24713000,144000,1118000,974000,0.37,0.26,0.11,42.3077,1054508000,89709000,79551000,1286000,None,964799000,-208796000,177559000,38811000,43215000,26918000,39703000,15448000,None,-1066000,24713000,23517689549.999996,132.45,177559000.0
ALAB,2024-09-30,113086000,87877000,-8896000,50659000,96773000,-7593000,-8896000,-8047000,849000,0.23,0.17,0.06,35.2941,983065000,93453000,126117000,None,None,889612000,-233509000,156831000,25386000,24415000,18551000,63508000,16697000,None,None,-7593000,8216376090.0,52.39,156831000.0
ALAB,2024-06-30,76850000,59854000,-24347000,40089000,84201000,-7546000,-24330000,-23630000,700000,0.13,0.11,0.02,18.1818,915515000,70263000,421076000,2133000,None,845252000,-225916000,155199000,22233000,28572000,14595000,29813000,1324000,None,None,-7546000,8930150460.0,57.54,155199000.0
ALAB,2024-03-31,65258000,50520000,-82967000,53558000,133487000,-92995000,-82967000,-82353000,614000,0.27,0.07,0.2,285.7143,864901000,56117000,696077000,2333000,None,808784000,-218370000,52532000,16757000,29567000,11465000,3652000,3424000,None,-20111000,-92995000,3736075840.0000005,71.12,52532000.0
ALAB,2023-12-31,50514000,39025000,9020000,19654000,30005000,14325000,9020000,9560000,540000,0.12,0,0.12,None,196292000,38866000,45098000,2156000,None,157426000,-125375000,37470000,8335000,24095000,6337000,14399000,1011000,None,-210000,14325000,,,
ALAB,2023-09-30,36928000,28105000,-1977000,20626000,30082000,-3124000,-3476000,-1499000,1977000,,,,,None,None,None,None,None,None,None,37470000,None,None,None,-334000,736000,None,None,-3124000,,,
ALAB,2023-06-30,10688000,8439000,-17613000,17860000,26052000,-20004000,-17613000,-17207000,406000,,,,,None,None,None,None,None,None,None,36567000,None,None,None,-22962000,575000,None,-118000,-20004000,,,
ALAB,2023-03-31,17664000,4258000,-18927000,15267000,23185000,-17454000,-18927000,-18570000,357000,,,,,None,None,-163144000,None,None,169835000,None,35826000,None,None,None,-3819000,439000,None,None,-17454000,,,
ALAB,2022-12-31,20355000,14637000,-21838000,27765000,36475000,-20097000,None,-20341000,None,,,,,211731000,41896000,76088000,1597000,None,169835000,-99118000,34171000,10721000,28874000,10295000,,,,,,,,
ALAB,2022-09-30,23103000,17197000,-6099000,14240000,23296000,-5342000,-5198000,901000,6099000,,,,,None,None,None,None,None,None,None,34171000,None,None,None,None,0,None,None,-5342000,,,
ALAB,2022-06-30,21396000,16037000,-28072000,22431000,44109000,-27334000,None,-27857000,None,,,,,None,None,None,None,None,None,None,34171000,None,None,None,,,,,,,,
ALAB,2022-03-31,15018000,10810000,-4185000,9275000,14995000,-5572000,-4184999,-4185000,-1,,,,,None,None,None,None,None,None,None,34171000,None,None,None,,,,,,,,
