ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
AMD,2025-06-30,7685000000,3059000000,-134000000,1894000000,3193000000,872000000,-28000000,729000000,757000000,0.48,0.48,0,0,74820000000,15155000000,4442000000,None,3218000000,59665000000,3945000000,1630000000,5115000000,6677000000,3080000000,2011000000,282000000,None,-524000000,768000000,231297000000.0,141.9,1630000000
AMD,2025-03-31,7438000000,3420000000,806000000,1728000000,2614000000,709000000,845000000,1587000000,742000000,0.96,0.93,0.03,3.2258,71550000000,13669000000,5968000000,947000000,3217000000,57881000000,3073000000,1626000000,6286000000,6416000000,2206000000,939000000,212000000,None,-779000000,709000000,167055240000.0,102.74,1626000000
AMD,2024-12-31,7658000000,3550000000,1092000000,1712000000,2458000000,482000000,908000000,1694000000,786000000,1.09,1.09,0,0,69226000000,11658000000,3680000000,109000000,1721000000,57568000000,2364000000,1634000000,6933000000,5734000000,2466000000,1299000000,208000000,None,-298000000,482000000,197370860000.0,120.79,1634000000
AMD,2024-09-30,6819000000,3067000000,710000000,1636000000,2357000000,771000000,760000000,1546000000,786000000,0.92,0.92,0,0,69636000000,12651000000,3765000000,0,1720000000,56985000000,1882000000,1636000000,7270000000,5374000000,2991000000,628000000,132000000,None,-710000000,771000000,268434880000.00003,164.08,1636000000
AMD,2024-06-30,5835000000,2492000000,259000000,1583000000,2233000000,265000000,324000000,1145000000,821000000,0.69,0.68,0.01,1.4706,67886000000,11348000000,3962000000,None,1719000000,56538000000,1111000000,1637000000,5773000000,4991000000,2119000000,593000000,154000000,None,-449000000,265000000,258138530000.0,157.69,1637000000
AMD,2024-03-31,5473000000,2168000000,62000000,1525000000,2106000000,123000000,89000000,873000000,784000000,0.62,0.61,0.01,1.6393,67895000000,11697000000,4024000000,750000000,1718000000,56198000000,846000000,1639000000,5069000000,4652000000,1856000000,521000000,142000000,None,-133000000,123000000,300494260000.0,183.34,1639000000
AMD,2023-12-31,6168000000,2492000000,397000000,1511000000,2095000000,667000000,391000000,1215000000,824000000,0.77,0.77,0,0,67885000000,11993000000,3728000000,751000000,1717000000,55892000000,723000000,1628000000,5385000000,4351000000,2418000000,381000000,139000000,None,-278000000,667000000,225608240000.00003,138.58,1628000000
AMD,2023-09-30,5800000000,2747000000,224000000,1507000000,2523000000,299000000,224000000,1072000000,848000000,0.7,0.68,0.02,2.9412,67626000000,12656000000,3349000000,752000000,1715000000,54970000000,56000000,1629000000,5055000000,4445000000,2570000000,421000000,124000000,None,-511000000,299000000,168226830000.0,103.27,1629000000
AMD,2023-06-30,5359000000,2443000000,-20000000,1443000000,2463000000,27000000,-20000000,853000000,873000000,0.58,0.57,0.01,1.7544,67967000000,12831000000,3712000000,753000000,1714000000,55136000000,-243000000,1627000000,4314000000,4567000000,3092000000,379000000,125000000,None,-66000000,27000000,185331570000.0,113.91,1627000000
AMD,2023-03-31,5353000000,2359000000,-102000000,1411000000,2504000000,-139000000,-102000000,416000000,518000000,0.6,0.56,0.04,7.1429,67634000000,12940000000,3760000000,0,2467000000,54694000000,-270000000,1611000000,4042000000,4235000000,2871000000,486000000,158000000,None,-241000000,-139000000,157894110000.0,98.01,1611000000
AMD,2022-12-31,5599000000,2403000000,-117000000,1366000000,2552000000,21000000,-117000000,484000000,601000000,0.69,0.67,0.02,2.9851,67580000000,12830000000,4676000000,93000000,2467000000,54750000000,-131000000,1618000000,4128000000,3771000000,2956000000,567000000,124000000,None,-285000000,21000000,103584360000.0,64.02,1618000000
AMD,2022-09-30,5565000000,2354000000,-42000000,1279000000,2418000000,66000000,-42000000,548000000,590000000,0.67,0.7,-0.03,-4.2857,67811000000,13269000000,3398000000,312000000,2466000000,54542000000,-152000000,1625000000,4340000000,3369000000,2734000000,965000000,123000000,311000000,-922000000,66000000,102960000000.0,63.36,1625000000
AMD,2022-06-30,6550000000,3028000000,526000000,1300000000,2502000000,447000000,526000000,1138000000,612000000,1.05,1.04,0.01,0.9615,67502000000,12333000000,4814000000,312000000,2465000000,55169000000,-218000000,1632000000,4053000000,2648000000,1879000000,1038000000,132000000,None,-952000000,447000000,124799040000.0,76.47,1632000000
AMD,2022-03-31,5887000000,2818000000,951000000,1060000000,1867000000,786000000,951000000,1202000000,251000000,1.13,0.92,0.21,22.8261,66915000000,11582000000,4740000000,312000000,1475000000,55333000000,-665000000,1410000000,3681000000,2431000000,1681000000,995000000,71000000,None,-1949000000,786000000,154169400000.0,109.34,1410000000
AMD,2021-12-31,4826000000,2426000000,1207000000,811000000,1219000000,974000000,1207000000,1341000000,134000000,0.92,0.76,0.16,21.0526,12419000000,4922000000,2535000000,383000000,1000000,7497000000,-1451000000,1222000000,2708000000,1955000000,1406000000,822000000,86000000,None,-776000000,974000000,175845800000.0,143.9,1222000000
AMD,2021-09-30,4313000000,2086000000,948000000,765000000,1138000000,923000000,948000000,1060000000,112000000,0.73,0.66,0.07,10.6061,11153000000,4017000000,2440000000,312000000,1000000,7136000000,-2425000000,1230000000,2229000000,1902000000,1084000000,849000000,85000000,None,-953000000,923000000,126567000000.0,102.9,1230000000
AMD,2021-06-30,3850000000,1830000000,831000000,659000000,999000000,710000000,831000000,941000000,110000000,0.63,0.54,0.09,16.6667,10691000000,3626000000,2623000000,None,313000000,7065000000,-3348000000,1232000000,2026000000,1765000000,872000000,952000000,64000000,None,-260000000,710000000,115721760000.00002,93.93,1232000000
AMD,2021-03-31,3445000000,1587000000,662000000,610000000,925000000,555000000,662000000,769000000,107000000,0.52,0.44,0.08,18.1818,10047000000,3570000000,1763000000,None,313000000,6477000000,-4058000000,1231000000,2185000000,1653000000,989000000,898000000,66000000,None,-10000000,555000000,96633500000.0,78.5,1231000000
AMD,2020-12-31,3244000000,1451000000,570000000,573000000,881000000,1781000000,570000000,671000000,101000000,0.52,0.48,0.04,8.3333,8962000000,3125000000,1595000000,41000000,330000000,5837000000,-4605000000,1226000000,2076000000,1399000000,546000000,554000000,74000000,115000000,-5000000,1781000000,112436459999.99998,91.71,1226000000
AMD,2020-09-30,2801000000,1230000000,449000000,508000000,781000000,390000000,449000000,542000000,93000000,0.41,0.36,0.05,13.8889,7023000000,3156000000,1300000000,72000000,373000000,3867000000,-6386000000,1215000000,2138000000,1292000000,867000000,339000000,74000000,78000000,-1000000,390000000,99617850000.0,81.99,1215000000
AMD,2020-06-30,1932000000,848000000,173000000,460000000,675000000,157000000,173000000,255000000,82000000,0.18,0.17,0.01,5.8824,6583000000,3278000000,1779000000,200000000,490000000,3305000000,-6776000000,1227000000,1799000000,1324000000,994000000,243000000,91000000,None,39000000,157000000,64552470000.0,52.61,1227000000
AMD,2020-03-31,1786000000,818000000,177000000,442000000,641000000,162000000,177000000,255000000,78000000,0.18,0.18,0,0,5864000000,2827000000,1334000000,None,488000000,3037000000,-6933000000,1224000000,1691000000,1056000000,840000000,-65000000,55000000,None,3000000,162000000,55667519999.99999,45.48,1224000000
AMD,2019-12-31,2127000000,949000000,348000000,395000000,601000000,170000000,348000000,421000000,73000000,0.32,0.31,0.01,3.2258,6028000000,3201000000,1470000000,86000000,486000000,2827000000,-7095000000,1188000000,1859000000,982000000,1201000000,442000000,42000000,None,36000000,170000000,54481680000.0,45.86,1188000000
AMD,2019-09-30,1801000000,777000000,186000000,406000000,591000000,120000000,186000000,255000000,69000000,0.18,0.18,0,0,5253000000,3077000000,1161000000,76000000,872000000,2176000000,-7265000000,1117000000,1393000000,1040000000,978000000,234000000,55000000,None,3000000,120000000,32381830000.0,28.99,1117000000
AMD,2019-06-30,1531000000,621000000,59000000,373000000,562000000,35000000,59000000,129000000,70000000,0.08,0.08,0,0,5102000000,3201000000,968000000,76000000,1031000000,1901000000,-7385000000,1109000000,1333000000,1015000000,1029000000,30000000,58000000,None,34000000,35000000,34600800000.0,31.2,1109000000
AMD,2019-03-31,1272000000,521000000,38000000,373000000,483000000,16000000,38000000,84000000,46000000,0.06,0.06,0,0,4931000000,3143000000,983000000,146000000,1024000000,1788000000,-7420000000,1094000000,1241000000,955000000,930000000,-213000000,62000000,None,450000000,16000000,28837840000.0,26.36,1094000000
AMD,2018-12-31,1419000000,537000000,28000000,371000000,509000000,38000000,28000000,71000000,43000000,0.08,0.08,0,0,4556000000,3290000000,1083000000,136000000,1114000000,1266000000,-7436000000,1079000000,1269000000,845000000,1061000000,70000000,41000000,None,26000000,38000000,19918340000.0,18.46,1079000000
AMD,2018-09-30,1653000000,661000000,150000000,363000000,511000000,102000000,150000000,191000000,41000000,0.13,0.12,0.01,8.3333,4347000000,3222000000,1051000000,136000000,1167000000,1125000000,-7474000000,1076000000,1245000000,738000000,1041000000,95000000,33000000,0,9000000,102000000,33807920000.0,31.42,1076000000
AMD,2018-06-30,1756000000,652000000,153000000,357000000,499000000,116000000,153000000,195000000,42000000,0.14,0.13,0.01,7.6923,4103000000,3224000000,953000000,223000000,1170000000,879000000,-7576000000,1147000000,1139000000,750000000,995000000,-45000000,43000000,0,29000000,116000000,17388520000.0,15.16,1147000000
