ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
ASML,2025-09-30,7516000000,3880300000,2468400000,1108700000,1411900000,2124500000,2468400000,2743000000,274600000,5.49,6.4,-0.91,-14.2188,45097100000,26103600000,5126500000,None,None,18993500000,None,387600000,6701598000,11762800000,None,559100000,295900000,619600000,-172200000,2124500000,375231684000.0,968.09,387600000
ASML,2025-06-30,7691700000,4043700000,3137900000,607100000,905800000,2676200000,3274100000,3649500000,375400000,5.9,6.03,-0.13,-2.1559,44938725000,27285317000,7257975000,None,3698900000,17653408000,None,388400000,5931429000,11598933000,None,1346000000,988300000,714400000,-1485200000,2676200000,311259876000.0,801.39,388400000
ASML,2025-03-31,7741500000,4179700000,2737900000,1161100000,1441800000,2355000000,2737900000,2979200000,241300000,6,5.7865,0.2135,3.6896,45386713000,27921449000,9079977000,None,3681000000,17465264000,None,392500000,5536267000,11002377000,None,-56979691,403525115,580687232,-2520913795,2289883510,260082275000.0,662.63,392500000
ASML,2024-12-31,9262800000,4789800000,3355400000,1116000000,1434400000,2693400000,3537800000,3778800000,241000000,6.84,6.7343,0.1057,1.5696,48588742393,30112268509,12735675211,1078880957,3677300000,18476473884,14414045587,393600000,5443303923,11707093366,3500400000,10030079571,744503561,634835683,-1893916,2774484378,272796288000.00003,693.08,393600000
ASML,2024-09-30,7467300000,3793400000,2441200000,1055200000,1352200000,2076500000,2441200000,2676900000,235700000,5.28,4.87,0.41,8.4189,41731271000,25593140000,4975148000,None,4692200000,16138131000,None,393600000,6673730000,11404981000,None,923534921,405376038,581811907,-1520497,2042226117,327967200000.0,833.25,393600000
ASML,2024-06-30,6242800000,3212200000,1834600000,1100600000,1377600000,1577900000,1834600000,2062100000,227500000,4.01,3.73,0.28,7.5067,40686271000,25994833000,4807134000,None,4608200000,14691438000,None,393500000,6563771000,10957560000,None,930627394,532447739,690031675,-113792956,1582819454,406678315000.0,1033.49,393500000
ASML,2024-03-31,5290000000,2696600000,1391400000,1031900000,1305200000,1223800000,1391400000,1605800000,214400000,3.11,2.82,0.29,10.2837,39235470000,25373228000,5125998000,None,4612000000,13862243000,None,393700000,6008134000,9913231000,None,-254398728,421439415,576664050,-388920009,1235939517,390924415000.0,992.95,393700000
ASML,2023-12-31,7237000000,3717300000,2391900000,1041300000,1325400000,2048100000,2585800000,2797900000,212100000,5.21,5.09,0.12,2.3576,40109094000,26605657000,7031275000,100000,4631500000,13503437000,12426466000,393800000,7284331000,9578803000,2347300000,3091517013,550004949,534511734,12681485,2001469446,282323096000.0,716.92,393800000
ASML,2023-09-30,6673000000,3461600000,2182400000,991400000,1279200000,1893400000,2182400000,2358600000,176200000,4.81,4.59,0.22,4.793,37665683000,25622122000,4995684000,None,4522300000,12043560000,None,393700000,6405380000,8412489000,None,1128100000,501800000,570400000,-111100000,1893400000,229204265999.99997,582.18,393700000
ASML,2023-06-30,6902300000,3544000000,2263000000,999900000,1281000000,1941700000,2263000000,2444200000,181200000,4.93,4.54,0.39,8.5903,36940508000,26332160000,6343362000,747900000,4517800000,10608348000,11038200000,394000000,6404182000,7736915000,2786900000,384700000,537800000,666100000,-492600000,1941700000,285551500000.0,724.75,394000000
ASML,2023-03-31,6746200000,3413200000,2205000000,947900000,1208200000,1955800000,2205000000,2375300000,170300000,4.96,4.45,0.51,11.4607,35114292000,25337266000,6641400000,None,3536000000,9777026000,None,394800000,5288883000,7384995000,None,733600000,532000000,541100000,-396200000,1955800000,268744308000.0,680.71,394800000
ASML,2022-12-31,6430200000,3310900000,2124200000,906300000,1186700000,1816500000,2140400000,2323600000,183200000,4.7,4.45,0.25,5.618,36001408000,27263179000,7208434000,746200000,3514200000,8738229000,8972186000,395200000,6988957000,7616346000,2565200000,5350500000,453600000,541100000,-335000000,1816500000,217190064000.00003,549.57,395200000
ASML,2022-09-30,5778300000,2993700000,1938500000,819400000,1055200000,1701500000,1938500000,2076400000,137900000,4.32,4.01,0.31,7.7307,32903677000,24924283000,3162428000,None,3503100000,7979394000,None,396600000,7845987000,6905023000,None,1213106858,373918883,546033386,-1085019807,1753860124,164727810000.0,415.35,396600000
ASML,2022-06-30,5430500000,2664500000,1653400000,789100000,1011100000,1410900000,1653400000,1784900000,131500000,3.77,3.81,-0.04,-1.0499,31886213000,24243937000,4093113000,25600000,4385300000,7642276000,None,398600000,7531967000,6361835000,2162500000,2687321207,236259168,1544398892,-1182053822,1435092568,189685768000.0,475.88,398600000
ASML,2022-03-31,3534400000,1731000000,784600000,738700000,946400000,695300000,784600000,915600000,131000000,1.94,1.78,0.16,8.9888,30383834000,21529127000,4345846000,None,3951700000,8854707000,None,401500000,5974394000,6104043000,None,-593909056,243299036,1475300000,-2065356491,704564011,268173894999.99997,667.93,401500000
ASML,2021-12-31,4985600000,2700600000,2031200000,680600000,669400000,1773400000,1817500000,1941700000,124200000,5.01,4.26,0.75,17.6056,30320632000,20149966000,4834391000,509100000,4075000000,10170666000,8341960000,405000000,4570411000,5483911000,2116300000,6641890798,277358390,753079590,-2647319349,1787753478,322436700000.0,796.14,405000000
ASML,2021-09-30,5241300000,2711400000,1919300000,609200000,792100000,1740200000,1919300000,2035500000,116200000,5.02,4.8,0.22,4.5833,27247750000,15766524000,4310750000,None,4105800000,11481226000,None,408600000,5121255000,4935099000,None,1841796342,200530161,3860764,-2454885136,1766633076,304451946000.0,745.11,408600000
ASML,2021-06-30,4020200000,2044600000,1239000000,633800000,805600000,1038200000,1239000000,1351700000,112700000,3.04,2.93,0.11,3.7543,27800114000,15713504000,5183731000,6800000,4619900000,12086611000,None,412000000,5203620000,5083487000,1886800000,3619935318,245122456,648622188,-2017019629,1054886256,284626080000.0,690.84,412000000
ASML,2021-03-31,4363900000,2352400000,1560600000,623400000,791800000,1331400000,1560600000,1678500000,117900000,3.86,3.02,0.84,27.8146,27187885000,13574415000,3240128000,None,4634200000,13613470000,None,415800000,5368815000,4742725000,None,-961634698,193409375,639100000,-1600784276,1362917040,256698288000.0,617.36,415800000
ASML,2020-12-31,4254100000,2211100000,1503700000,555900000,707400000,1350500000,1503700000,1629100000,125400000,3.85,3.05,0.8,26.2295,27233405000,13385291000,6041858000,15400000,4662800000,13848114000,10731500000,418400000,3203301000,4563703000,1377900000,4335168925,288274352,479495076,-662300061,1314246213,204062048000.0,487.72,418400000
ASML,2020-09-30,3958000000,1881400000,1215900000,534000000,665500000,1061500000,1215900000,1337900000,122000000,2.96,2.64,0.32,12.1212,25421665000,11701689000,3525712000,None,4626700000,13719976000,None,419200000,4748804000,4606138000,None,177138453,206323321,7367082.50,-6619678,1056280223,154797984000.0,369.27,419200000
ASML,2020-06-30,3325700000,1603200000,905100000,566900000,698100000,751000000,905100000,1030200000,125100000,1.97,1.47,0.5,34.0136,24254831000,11581819000,3491719000,None,4625000000,12673012000,None,419000000,3455895000,4675717000,None,366215272,216397766,548074304,4463894,734815320,154204570000.0,368.03,419000000
ASML,2020-03-31,2440600000,1101400000,426700000,544000000,674700000,390600000,426700000,544600000,117900000,1.03,1.35,-0.32,-23.7037,23473264000,10842781000,2746595000,0,3868200000,12630483000,0,419700000,3365251000,4381825000,0,-613588668,234476352,564800000,-514024841,395470308,109810308000.0,261.64,419700000
ASML,2019-12-31,4036400000,1940100000,1276500000,516100000,663600000,1134100000,1276400000,1399300000,122900000,2.98,2.67,0.31,11.6105,22373042000,9923603000,3492253000,55600000,None,12449439000,9523800000,421100000,2729698000,3766014000,1062200000,3523090733,290263707,414954951,-183450070,1105903048,124620334000.0,295.94,421100000
ASML,2019-09-30,2986500000,1306400000,685600000,492300000,620800000,626800000,685600000,798000000,112400000,1.66,1.62,0.04,2.4691,20624892000,8597126000,1580406000,0,3170000000,12027766000,0,421700000,3301107000,3881017000,0,69637656,194511467,5510031,-154424106,636945825,104758714000.0,248.42,421700000
ASML,2019-06-30,2567900000,1105200000,494300000,487400000,610900000,476000000,494300000,602700000,108400000,1.27,1.13,0.14,12.3894,20077917000,8507251000,1664750000,0,3132400000,11570667000,0,421800000,2775184000,3922700000,1295000000,101394077,126632364,878334635,-16998799,470700799,90674346000.0,214.97,421800000
ASML,2019-03-31,2229100000,928000000,334300000,472700000,593700000,355400000,334300000,439100000,104800000,0.99,1.69,-0.7,-41.4201,20360600000,8394900000,2253000000,0,3082500000,11965700000,0,423095238,2600700000,3764800000,0,-485533303,148447164,0,-53117827,359172372,81437371410.23999,192.48,423095238
ASML,2018-12-31,3142500000,1392900000,815900000,442400000,577000000,787500000,815900000,926300000,110400000,2.19,2.11,0.08,3.7915,20153608000,8502949000,3123690000,46300000,None,11650659000,9197900000,423600000,2286796000,3442354000,964000000,1684210612,195315852,2929189,-365834979,786718298,65920632000.0,155.62,423600000
ASML,2018-09-30,2776100000,1335900000,817800000,396300000,518100000,680400000,817800000,927800000,110000000,1.86,1.81,0.05,2.7624,19375735000,8268664000,2193930000,None,None,11107071000,None,425900000,2898055000,3388384000,None,478750995,125433426,14830905,-367202786,678489815,80955072000.0,190.08,425900000
ASML,2018-06-30,2740400000,1186900000,689400000,380100000,497500000,584000000,689400000,789100000,99700000,1.63,1.41,0.22,15.6028,18841861000,7960140000,2338491000,None,None,10881721000,7269300000,427600000,2328838000,3235196000,1028800000,703345398,131142271,627062922,-264608385,598942653,83488900000.0,195.25,427600000
ASML,2018-03-31,2285000000,1113500000,642200000,357100000,471300000,539700000,642200000,744800000,102600000,1.55,1.13,0.42,37.1681,20263140860,7812663082,2459028472,24841694,3669635000,12450477777,None,428900000,2151051318,3223933182,977206421,277336608,128521843,597100000,-166023959,578742782,82799145000.0,193.05,428900000
ASML,2017-12-31,2560400000,1156100000,750000000,317400000,406100000,643000000,726000000,828300000,102300000,1.76,1.3,0.46,35.3846,18668218000,7715193000,2317574000,25200000,3606720000,10953025000,7211300000,430300000,1942084000,3035109000,837300000,1005601480,145337956,9412135,-323002456,646785012,76477219000.0,177.73,430300000
ASML,2017-09-30,2447400000,1049500000,655600000,314500000,393900000,557100000,631700000,732900000,101200000,1.52,1.29,0.23,17.8295,17560475000,7175783000,2085209000,25600000,3540002000,10384692000,None,432000000,1882870000,3009481000,835700000,382559530,91747240,13662438,-154324724,555590129,73742400000.0,170.7,432000000
ASML,2017-06-30,2101400000,946500000,555800000,312700000,390700000,466300000,531800000,635700000,103900000,1.18,1.03,0.15,14.5631,18790342000,7558870000,1914775000,25908000,3418164000,11231473000,6032253000,432400000,1671302000,3137842000,982595000,603216910,53658579,488606052,11940000,459405509,56346044000.0,130.31,432400000
ASML,2017-03-31,1943600000,924600000,534800000,315100000,389800000,452100000,510900000,621000000,110100000,1.12,1.01,0.11,10.8911,17292292930,7068512194,2905138749,244700000,3252513000,10223780735,None,432300000,1346169391,2990079073,765300000,-166693741,38208901,516683000,13000000,449675616,57409440000.00001,132.8,432300000
