ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,revenueGrowthPct,netIncomeMarginPct,epsSurprisePct,freeCashFlow,debtToEquityRatio,totalDebt,cashRatio,rdIntensityPct,buybackRatio,marketCap,peRatio,psRatio
AVGO,2025-07-31,15952000000,10703000000,5887000000,3050000000,4816000000,4140000000,5826000000,8028000000,2202000000,1.69,1.66,0.03,1.8072,165621000000,92344000000,10718000000,1399000000,62823000000,73277000000,4040000000,4860000000,6494000000,2180000000,1432000000,7166000000,142000000,2786000000,-58000000.0,4140000000,6.318315115969075,25.952858575727184,1.8072289156626522,7308000000,1.2602044297665025,64222000000,7.6611865618298784,19.11985957873621,0.014009661835748793,1401982091856.0967,338.6430173565451,87.8875433711194
AVGO,2025-04-30,15004000000,10197000000,5829000000,2693000000,4368000000,4965000000,5854000000,10194000000,4340000000,1.58,1.57,0.01,0.6369,164630000000,95044000000,9472000000,5531000000,61744000000,69586000000,2686000000,4826000000,8797000000,2017000000,1297000000,6555000000,144000000,2785000000,-4216000000.0,4965000000,0.5899705014749346,33.0911756864836,0.6369426751592362,6699000000,1.3658494524760727,67275000000,1.7125293798589767,17.9485470541189,0.8491440080563948,1138507904218.1316,229.30672793920073,75.8802922032879
AVGO,2025-01-31,14916000000,10145000000,6260000000,2253000000,3885000000,5503000000,6363000000,6260000000,-103000000,1.6,1.51,0.09,5.9603,165358000000,95569000000,9307000000,5653000000,60915000000,69789000000,2729000000,4836000000,7677000000,1908000000,1905000000,6113000000,100000000,2774000000,-2036000000.0,5503000000,6.133485128788951,36.89326897291499,5.960264900662257,6213000000,1.3693991889839372,66568000000,1.6463824517955068,15.10458567980692,0.36998001090314375,935132974007.7482,169.93148719021409,62.69328063876027
AVGO,2024-10-31,14054000000,9002000000,4627000000,2234000000,4375000000,4324000000,4679000000,7290000000,2611000000,1.42,1.39,0.03,2.1583,165645000000,97967000000,9348000000,1271000000,66282000000,67678000000,0,4828000000,4416000000,1760000000,1662000000,5604000000,122000000,2484000000,-1204000000.0,4324000000,7.512239902080786,30.767041411697736,2.158273381294966,5726000000,1.4475457312568338,67553000000,7.354838709677419,15.89583036857834,0.2784458834412581,793929316700.5264,183.60992523138907,56.49134173192873
AVGO,2024-07-31,13072000000,8356000000,3788000000,2353000000,4568000000,-1875000000,3870000000,6394000000,2524000000,1.24,1.2,0.04,3.3333,167966000000,102315000000,9952000000,3205000000,66781000000,65651000000,-1875000000,4663000000,4665000000,1894000000,1757000000,4963000000,172000000,2452000000,-1350000000.0,-1875000000,4.684872267157836,-14.343635250917993,3.3333333333333366,5135000000,1.5584682640020715,69986000000,3.105148205928237,18.00030599755202,-0.72,758931386448.5233,-404.7634061058791,58.057786601019224
AVGO,2024-04-30,12487000000,7776000000,2965000000,2415000000,4811000000,2121000000,3052000000,5582000000,2530000000,1.096,1.084,0.012,1.107,175211000000,105250000000,9809000000,2426000000,71569000000,69961000000,0,4800000000,5500000000,1842000000,1441000000,4580000000,132000000,2443000000,-1548000000.0,2121000000,4.397625616587253,16.985665091695363,1.107011070110702,4712000000,1.5044095996340818,73995000000,4.043281121187139,19.340113718266995,0.7298444130127298,617299418934.8384,291.04168738087617,49.43536629573463
AVGO,2024-01-31,11961000000,7375000000,2083000000,2308000000,5292000000,1325000000,2268000000,4613000000,2345000000,1.099,1.029,0.07,6.8027,177870000000,107586000000,11864000000,2433000000,73429000000,70284000000,0,4670000000,4969000000,1920000000,1496000000,4815000000,122000000,2435000000,-8290000000.0,1274000000,28.682087143625612,11.077669091213108,6.80272108843538,4937000000,1.5307324568891925,75862000000,4.876284422523633,19.29604548114706,6.256603773584906,601699026709.2222,454.1124729880922,50.30507705954537
AVGO,2023-10-31,9295000000,6407000000,4240000000,1388000000,2154000000,3524000000,4372000000,5304000000,932000000,1.106,1.098,0.008,0.7286,72861000000,48873000000,14189000000,1608000000,37621000000,23988000000,2682000000,4270000000,3154000000,1898000000,1210000000,4828000000,105000000,1904000000,-577000000.0,3524000000,4.720594862550698,37.912856374394835,0.7285974499089259,4933000000,2.037393696848424,39229000000,8.824004975124378,14.932759548144164,0.1637343927355278,426348006726.897,120.98411087596395,45.86853219224282
AVGO,2023-07-31,8876000000,6164000000,3856000000,1358000000,2308000000,3303000000,3980000000,4912000000,932000000,1.054,1.042,0.012,1.1516,71595000000,49516000000,12055000000,1119000000,38222000000,22079000000,1178000000,4270000000,2914000000,1842000000,992000000,4719000000,122000000,1901000000,-2167000000.0,3303000000,1.6374670788961376,37.21270842721947,1.1516314779270642,4841000000,2.2426740341500975,39341000000,10.773011617515639,15.29968454258675,0.6560702391765062,411634318950.4114,124.62437752056051,46.37610623596343
AVGO,2023-04-30,8733000000,6115000000,4008000000,1312000000,2098000000,3481000000,4121000000,5060000000,939000000,1.032,1.008,0.024,2.381,71667000000,49660000000,11553000000,1117000000,38194000000,22007000000,1363000000,4270000000,3031000000,1886000000,831000000,4502000000,122000000,1914000000,-3420000000.0,3481000000,-2.0415030846887228,39.86030001145082,2.3809523809523827,4624000000,2.2565547325850868,39311000000,10.342882721575648,15.023474178403756,0.9824762999138179,368131757764.20337,105.75459861080246,42.15410028217146
AVGO,2023-01-31,8915000000,6004000000,4103000000,1195000000,1901000000,3774000000,4246000000,5278000000,1032000000,1.033,1.01,0.023,2.2772,72976000000,49666000000,12647000000,1115000000,38167000000,23310000000,2371000000,4290000000,3234000000,1899000000,923000000,4036000000,103000000,1926000000,-1521000000.0,3774000000,-0.16797312430011369,42.333146382501404,2.277227722772268,4139000000,2.1306735306735307,39282000000,11.342600896860986,13.40437464946719,0.4030206677265501,268842062402.0661,71.23531065237576,30.156148334499843
AVGO,2022-10-31,8930000000,5926000000,3986000000,1197000000,1925000000,3359000000,4026000000,5242000000,1216000000,1.045,1.028,0.017,1.6537,73249000000,50540000000,12416000000,440000000,39075000000,22709000000,1604000000,4290000000,2958000000,1925000000,998000000,4583000000,122000000,1782000000,-274000000.0,3359000000,5.505671077504726,37.61478163493841,1.6536964980544653,4705000000,2.2255493416707033,39515000000,28.21818181818182,13.404255319148936,0.08157189639773742,247209658787.95145,73.59620684368903,27.683052495851225
AVGO,2022-07-31,8464000000,5681000000,3737000000,1255000000,1937000000,3074000000,3743000000,4960000000,1217000000,0.973,0.956,0.017,1.7782,71326000000,50423000000,9977000000,304000000,39191000000,20903000000,11622000000,4310776850,2708000000,1838000000,712000000,4424000000,116000000,1736000000,-1792000000.0,3074000000,4.455140071578434,36.31852551984877,1.7782426778242693,4540000000,2.4122374778739895,39495000000,32.81907894736842,14.827504725897919,0.58295380611581,222054702764.6002,72.23640298132732,26.235196451394163
AVGO,2022-04-30,8103000000,5439000000,3413000000,1261000000,2027000000,2590000000,3308000000,4572000000,1264000000,0.907,0.871,0.036,4.1332,71719000000,50729000000,9005000000,302000000,39135000000,20990000000,6812000000,4250626480,3083000000,1668000000,1069000000,4243000000,85000000,1750000000,-3290000000.0,2590000000,5.151829743057368,31.963470319634702,4.133180252583242,4328000000,2.4168175321581704,39437000000,29.81788079470199,15.562137479945697,1.2702702702702702,244620882436.58905,94.44821715698419,30.188927858396774
AVGO,2022-01-31,7706000000,5049000000,3127000000,1206000000,1924000000,2472000000,3094000000,4381000000,1287000000,0.839,0.808,0.031,3.8366,73224000000,50230000000,10219000000,300000000,39205000000,22994000000,4984000000,4290000000,2539000000,1520000000,1078000000,3486000000,101000000,1764000000,-3099000000.0,2472000000,4.036722019711081,32.07889955878536,3.8366336633663263,3587000000,2.1844829085848483,39505000000,34.06333333333333,15.650142745912277,1.2536407766990292,257462946844.52255,104.15167752610135,33.41071202238808
