ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
BB,2025-08-31,129600000,96600000,11500000,25600000,85100000,13300000,5700000,10300000,4600000,0.04,0.01,0.03,300,1090000000,459000000,290600000,25000000,195900000,725100000,-2214200000,598697000,173700000,None,4000000,3900000,900000,None,-20000000,13300000,2263074660.0,3.78,598697000
BB,2025-05-31,121700000,90300000,2000000,25000000,88300000,1900000,7800000,13500000,5700000,0.02,0.0026,0.0174,669.2308,1210400000,485301000,276000000,13800000,195600000,725100000,-2232600000,600831000,183300000,None,5200000,-18000000,900000,None,-10000000,1900000,2427357240.0,4.04,600831000
BB,2025-02-28,143900000,105900000,-6200000,23800000,112100000,-7000000,3500000,9200000,5700000,0.03,0.02,0.01,50,1295600000,575700000,266700000,15000000,195300000,719900000,-2237300000,591470000,223700000,None,31100000,41500000,1100000,None,3100000,-7000000,2785823700.0,4.71,591470000
BB,2024-11-30,143000000,112000000,19000000,27000000,93000000,-11000000,20000000,33000000,13000000,0.02,-0.01,0.03,300,1309000000,584000000,189000000,10000000,195000000,725000000,-2230000000,593530000,172000000,None,9000000,3000000,2000000,None,3000000,-11012690,1519436800.0,2.56,593530000
BB,2024-08-31,145000000,94000000,-21000000,37000000,115000000,-19000000,-21000000,-8200000,12800000,-0.0322,-0.02,-0.0122,-61,1299000000,567000000,171000000,17000000,195000000,732000000,-2219000000,590549000,175000000,None,7000000,-13000000,5000000,None,0,-19000000,1334640739.9999998,2.26,590549000
BB,2024-05-31,123400000,90000000,-12900000,30600000,102900000,-41400000,-9400000,3800000,13200000,-0.03,-0.04,0.01,25,1322828704,580924775,142981485,20000000,194000000,741903929,-2199715155,589821000,172000000,1,6000000,-14995468,1999395,None,0,-41987310,1645600590.0,2.79,589821000
BB,2024-02-29,173000000,129000000,-56000000,40000000,185000000,-56000000,-17000000,-4000000,13000000,0.03,-0.03,0.06,200,1393083620,618149649,174759593,20000000,194000000,774933970,-2155035449,587523000,224000000,1,17000000,-14919600,3962357,None,None,-55445319,1633313940.0,2.78,587523000
BB,2023-11-30,152000000,119000000,18000000,29000000,101000000,-21000000,14000000,28000000,14000000,0.01,-0.03,0.04,133.3333,1400000000,575000000,210000000,150000000,None,825000000,-2102000000,638470000,196000000,None,17000000,-31000000,4000000,None,None,-21000000,2343184900.0,3.67,638470000
BB,2023-08-31,132000000,85000000,-47000000,50000000,132000000,-42000000,-52000000,-36000000,16000000,-0.04,-0.06,0.02,33.3333,1613000000,784000000,415000000,383000000,None,829000000,-2081000000,583524000,140000000,None,18000000,-56000000,3000000,None,2000000,-42000000,3244393440.0,5.56,583524000
BB,2023-05-31,373000000,179000000,-11000000,54000000,190000000,-11000000,-6000000,10000000,16000000,0.06,-0.05,0.11,220,1674000000,815000000,358000000,389000000,None,859000000,-2039000000,582812000,128000000,None,21000000,99000000,10000000,None,2000000,-11000000,3118044200.0,5.35,582812000
BB,2023-02-28,151000000,100000000,-499000000,48000000,599000000,-495000000,-49000000,-29000000,20000000,-0.02,-0.05,0.03,60,1679000000,822000000,295000000,391000000,0,857000000,-2028000000,581493000,135000000,None,24000000,-10000000,12000000,None,6000000,-495000000,2256192840.0,3.88,581493000
BB,2022-11-30,169000000,109000000,-2000000,52000000,111000000,-4000000,-58000000,-30000000,28000000,-0.05,-0.07,0.02,28.5714,2194000000,855000000,255000000,417000000,0,1339000000,-1533000000,639781000,145000000,None,21000000,-187000000,9000000,None,6000000,-4000000,3115733470.0,4.87,639781000
BB,2022-08-31,168000000,106000000,-47000000,54000000,153000000,-54000000,-59000000,-31000000,28000000,-0.05,-0.07,0.02,28.5714,2381000000,1051000000,431000000,25000000,449000000,1330000000,-1529000000,638147000,124000000,None,20000000,-24000000,11000000,None,3000000,-54000000,3790593180.0000005,5.94,638147000
BB,2022-05-31,168000000,104000000,-177000000,53000000,281000000,-181000000,-176000000,-147000000,29000000,-0.05,-0.05,0,0,2460000000,1075000000,391000000,27000000,459000000,1385000000,-1475000000,637710000,132000000,None,14000000,-42000000,9000000,None,3000000,-181000000,3858145500.0,6.05,637710000
BB,2022-02-28,185000000,124000000,146000000,47000000,-22000000,144000000,-19000000,15000000,34000000,0.01,-0.04,0.05,125,2567000000,1011000000,378000000,28000000,507000000,1556000000,-1294000000,636716000,172000000,None,22000000,9000000,11000000,None,10000000,144000000,4374238920.0,6.87,636716000
BB,2021-11-30,184000000,117000000,51000000,57000000,66000000,74000000,-59000000,-14000000,45000000,-0.0538,-0.07,0.0162,23.1429,2599000000,1200000000,271000000,29000000,673000000,1399000000,-1438000000,631971000,164000000,None,26000000,-19000000,10000000,None,9000000,74000000,6016363920.0,9.52,631971000
BB,2021-08-31,175000000,112000000,-141000000,58000000,253000000,-144000000,-74000000,-26000000,48000000,-0.06,-0.07,0.01,14.2857,2632000000,1314000000,291000000,30000000,782000000,1318000000,-1512000000,568082000,153000000,None,22000000,15000000,10000000,None,5000000,-144000000,6481815620.0,11.41,568082000
BB,2021-05-31,174000000,114000000,-58000000,57000000,172000000,-62000000,-62000000,-13000000,49000000,-0.05,-0.05,0,0,2721000000,1265000000,339000000,31000000,715000000,1456000000,-1368000000,567358000,189000000,None,22000000,-33000000,8000000,None,4000000,-62000000,6558658480.0,11.56,567358000
BB,2021-02-28,210000000,152000000,-313000000,48000000,465000000,-315000000,-33000000,16000000,49000000,0.03,0.03,0,0,2818000000,1314000000,214000000,33000000,720000000,1504000000,-1306000000,566089000,217000000,None,20000000,52000000,16000000,None,19000000,-315000000,6176030990.0,10.91,566089000
BB,2020-11-30,218000000,149000000,-127000000,53000000,276000000,-130000000,-32000000,17000000,49000000,0.02,-0.01,0.03,300,2870000000,1067000000,223000000,31000000,459000000,1803000000,-991000000,562443000,243000000,None,29000000,30000000,9000000,None,4000000,-130000000,3301540410.0,5.87,562443000
BB,2020-08-31,259000000,199000000,-22000000,57000000,221000000,-23000000,17000000,67000000,50000000,0.11,0.02,0.09,450,3171000000,1257000000,837000000,610000000,None,1914000000,-861000000,558882000,274000000,None,29000000,31000000,10000000,None,2000000,-23000000,2917364040.0,5.22,558882000
BB,2020-05-31,206000000,143000000,-645000000,57000000,788000000,-636000000,-58000000,-8000000,50000000,0.02,-0.02,0.04,200,3215000000,1302000000,312000000,599000000,None,1913000000,-838000000,557839000,238000000,None,46000000,-31000000,9000000,None,4000000,-636000000,2744567880.0,4.92,557839000
BB,2020-02-29,282000000,212000000,-41000000,60000000,253000000,-41000000,-4000000,48000000,52000000,0.09,0.04,0.05,125,3888000000,1359000000,377000000,637000000,None,2529000000,-198000000,556668000,235000000,None,31000000,34000000,11000000,None,9000000,-41000000,2827873440.0,5.08,556668000
BB,2019-11-30,267000000,198000000,-29000000,66000000,227000000,-32000000,-46000000,7000000,53000000,0.03,0.02,0.01,50,3913000000,1365000000,515000000,642000000,None,2548000000,-157000000,615085000,239000000,None,27000000,39000000,11000000,None,8000000,-32000000,3382967500.0,5.5,615085000
BB,2019-08-31,244000000,176000000,-43000000,62000000,219000000,-44000000,-64000000,-10000000,54000000,-0.0995,-0.01,-0.0895,-895,3933000000,1371000000,460000000,33000000,627000000,2562000000,-125000000,612843000,222000000,None,37000000,17000000,13000000,None,3000000,-44000000,4142818680.0,6.76,612843000
BB,2019-05-31,247000000,177000000,-36000000,71000000,213000000,-35000000,-64000000,-11000000,53000000,0.01,0.0037,0.0063,170.2703,4004000000,1407000000,358000000,33000000,645000000,2597000000,-81000000,612345000,256000000,None,49000000,-64000000,9000000,None,3000000,-35000000,4806908250.0,7.85,612345000
BB,2019-02-28,255000000,206000000,28000000,52000000,178000000,51000000,13000000,46000000,33000000,0.11,0.06,0.05,83.3333,3929000000,1293000000,548000000,None,665000000,2636000000,-32000000,615593000,261000000,None,48000000,18000000,11000000,None,5000000,51000000,5355659100.0,8.7,615593000
BB,2018-11-30,226000000,170000000,58000000,55000000,112000000,59000000,-11000000,26000000,37000000,0.05,0.02,0.03,150,3676000000,1157000000,1084000000,None,665000000,2519000000,-83000000,600906000,176000000,None,32000000,60000000,13000000,None,5000000,59000000,5281963739.999999,8.79,600906000
BB,2018-08-31,210000000,161000000,39000000,51000000,122000000,43000000,-31000000,7000000,38000000,0.04,0.01,0.03,300,3702000000,1262000000,581000000,739000000,739000000,2440000000,-142000000,597799000,212000000,None,34000000,29000000,13000000,None,None,43000000,6378515330.0,10.67,597799000
BB,2018-05-31,213000000,161000000,-65000000,61000000,226000000,-60000000,-37000000,4000000,41000000,0.03,0.0007,0.0293,4185.7143,3706000000,1330000000,520000000,810000000,810000000,2376000000,-185000000,536964000,206000000,None,37000000,-7000000,12000000,None,2000000,-60000000,6352284120.0,11.83,536964000
BB,2018-02-28,233000000,177000000,-17000000,58000000,194000000,-10000000,-51000000,-12000000,39000000,0.05,0.01,0.04,400,3780000000,1275000000,816000000,782000000,782000000,2505000000,-45000000,597094000,248000000,3000000,46000000,-162000000,12000000,None,8000000,-10000000,7248721160.0,12.14,597094000
BB,2017-11-30,226000000,168000000,-258000000,60000000,426000000,-275000000,-49000000,-7000000,42000000,0.03,-0.01,0.04,400,3948000000,1452000000,529000000,816000000,816000000,2496000000,-37000000,532496000,219000000,3000000,63000000,-1000000,13000000,None,-1000000,-275000000,5734981920.0,10.77,532496000
