ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
BIDU,2025-06-30,32713000000,14356000000,3277000000,5119000000,11079000000,7322000000,6707000000,8841000000,2134000000,13.58,13.33,0.25,1.8755,450569000000,152657000000,29940000000,31649000000,55551000000,275057000000,None,341250000,12326000000,None,38208000000,-877000000,3800000000,None,None,7322000000,29265600000.0,85.76,341250000
BIDU,2025-03-31,32452000000,14965000000,4508000000,4544000000,10457000000,7717000000,4508000000,6458000000,1950000000,18.54,14.26,4.28,30.014,453982000000,163908000000,49202000000,21891000000,75049000000,269747000000,None,345250000,11821000000,None,38770000000,-6001000000,2900000000,None,None,7717000000,31773357500.0,92.03,345250000
BIDU,2024-12-31,34124000000,16110000000,3917000000,5515000000,12193000000,5192000000,3917000000,7586750000,3669750000,19.18,13.4393,5.7407,42.7158,427780000000,144168000000,24832000000,22408000000,51943000000,263620000000,180073000000,347875000,10894000000,5989000000,41443000000,2356000000,2333000000,None,-6324000000,5192000000,29329341250.0,84.31,347875000
BIDU,2024-09-30,33557000000,17158000000,5925000000,5366000000,11233000000,7632000000,5925000000,11751500000,5826500000,16.6,2.48,14.12,569.3548,417316000000,138125000000,28682000000,22860000000,49585000000,259649000000,None,351250000,11227000000,None,39000000000,4279000000,1645000000,None,None,7632000000,36983112500.0,105.29,351250000
BIDU,2024-06-30,33931000000,17533000000,5944000000,5889000000,11589000000,5488000000,5944000000,9935500000,3991500000,21.02,18.42,2.6,14.1151,415527000000,142589000000,43534000000,26617000000,51127000000,252769000000,None,351250000,12508000000,None,37988000000,8379000000,2118000000,None,None,5488000000,30281262499.999996,86.21,351250000
BIDU,2024-03-31,31513000000,17533000000,5484000000,6287000000,12141000000,5448000000,5484000000,11632250000,6148250000,19.91,15.79,4.12,26.0925,414697000000,146934000000,30418000000,25844000000,58667000000,248007000000,None,352000000,12108000000,11591000000,36739000000,6220000000,2038000000,None,None,5448000000,38170880000.0,108.44,352000000
BIDU,2023-12-31,34951000000,17533000000,5392000000,6287000000,12141000000,2599000000,5645000000,7672000000,2027000000,21.92,17.87,4.05,22.6637,406759000000,144151000000,25231000000,22198000000,57357000000,243626000000,161240000000,353750000,16620000000,1396000000,36739000000,10618000000,3660000000,None,-4764000000,2599000000,40801525000.0,115.34,353750000
BIDU,2023-09-30,34447000000,18153000000,6274000000,6101000000,11879000000,6681000000,6274000000,9890000000,3616000000,20.4,16.53,3.87,23.412,406759000000,144151000000,36734000000,22198000000,58682000000,243626000000,161240000000,353750000,16620000000,2267000000,1971000000,9525000000,3529000000,None,-4764000000,6681000000,47066437500.00001,133.05,353750000
BIDU,2023-06-30,34056000000,18083000000,5210000000,6381000000,12873000000,5210000000,5210000000,8826000000,3616000000,22.55,16.91,5.64,33.353,411034000000,150324000000,34908000000,23982000000,61613000000,242427000000,None,355750000,15674000000,11392000000,37184000000,10632000000,2706000000,None,None,5210000000,48705732500.0,136.91,355750000
BIDU,2023-03-31,31144000000,15992000000,4980000000,5423000000,11012000000,5825000000,4980000000,8596000000,3616000000,16.1,12.47,3.63,29.1099,406322000000,152868000000,42060000000,24859000000,65016000000,235643000000,None,354250000,16430000000,11325000000,36046000000,5840000000,1295000000,None,None,5825000000,53463409999.99999,150.92,354250000
