ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
CAN,2025-06-30,100209000,9306000,-27070000,16406000,36376000,-11058000,-19432000,-9900000,9532000,-1.02,-0.04,-0.98,-2450,592175000,268572000,65904000,25793000,20750000,323603000,-547979000,399657384,79277000,107952000,29958000,None,0,None,None,-11058000,247108160.52719998,0.6183,399657384.0
CAN,2025-03-31,82776000,646000,-37629000,18947000,38275000,-86431000,-85496561,-77972864,7523697,-1.051,-0.544,-0.507,-93.1985,565554000,320916000,96773000,209184000,20738000,244638000,-536921000,321194600,62606000,113863000,15724000,-29760000,14873000,None,None,-86431000,281944619.88,0.8778,321194600.0
CAN,2024-12-31,88767000,-6352000,-52046000,16572000,140812000,-92902000,None,None,None,-0.33,-0.08,-0.25,-312.5,463011000,196757000,96488000,None,7279000,266254000,-450490000,268208151,1514000,94620000,13975000,-29760000,14873000,None,None,-92902000,549826709.55,2.05,268208151.0
CAN,2024-09-30,73608000,-21511000,-56845000,14761000,35334000,-75578000,-50383000,-35472750,14910250,-0.2723,-0.05,-0.2223,-444.6,502136000,186330000,71782000,2814006,23963000,315806000,-357588000,277536922,67723000,87802000,16735000,-59243000,1510000,None,None,-75578000,280312291.22,1.01,277536922.0
CAN,2024-06-30,71858000,-19130000,-45801000,14648000,26671000,-41880000,-43776000,-38126000,5650000,-0.01,-0.02,0.01,50,525543000,147343000,66788000,1530000,19172000,378200000,-282011000,274519440,8159000,131297000,29936000,None,0,None,None,-41880000,282755023.2,1.03,274519440.0
CAN,2024-03-31,35031567,-37263780,-67930752,15316015,30719000,-39326281,-67930752,-53045755,14884997,-0.1589,-0.36,0.2011,55.8611,533210385,122172728,54646290,8725000,None,411037656,-224857519,247975308,1636000,98984069,16698000,-38574000,1231000,None,None,-39326281,347165431.2,1.4,247975308.0
CAN,2023-12-31,104530159,-101834352,-158148653,29900405,148195214,-223863203,-86940436,-71998000,14942436,-0.55,-0.19,-0.36,-189.4737,494361861,145423243,96361563,1216000,None,348938617,-205180962,180401607,58400000,142594149,6245000,-38574000,1231000,None,None,-223863203,389667471.12,2.16,180401607.0
CAN,2023-09-30,33297705,-69045843,-112773877,17141037,31496856,-80051804,-108298730,-100546000,7752730,-0.47,-0.28,-0.19,-67.8571,463822372,100617652,40548068,-7605000,None,363204720,-65681994,170836190,9778000,216989229,19223000,None,0,None,None,-80051804,314338589.6,1.84,170836190.0
CAN,2023-06-30,18648335,-22562072,-33484082,1202762,6684798,-26341612,-123941533,-116125000,7816533,-0.65,-0.12,-0.53,-441.6667,539239439,112474870,66235090,-9950000,None,426764568,14400108,169590610,10098000,272538497,27335000,-11210056,0,None,None,-110831461,361227999.29999995,2.13,169590610.0
CAN,2023-03-31,55163872,-47487352,-85560332,19034492,39552152,-84261935,-85655835,-77425630,8230205,-0.43,-0.22,-0.21,-95.4545,632918339,85471441,71883223,2359000,None,547446897,124895752,166837226,10098000,310073056,26947000,-11210056,4535754.6,None,-8085455.31,-84261935,450460510.20000005,2.7,166837226.0
CAN,2022-12-31,74009782,-57035144,-129410471,35157363,59326337,-89759189,-95293878,-82538953,12754925,-0.29,-0.15,-0.14,-93.3333,689997401,77863336,102297687,2314000,None,612134064,210953785,167654683,1,213196152,16703000,-98919559,8245825.56,None,-8085455.31,-89759189,325250085.02,1.94,167654683.0
CAN,2022-09-30,136919633,30700319,-7743280.37,16528357,25669938,6446878,-15597562,-8831000,6766562,0.14,0.07,0.07,100,781234996,99383738,280311760,2619421,None,681851257,270533596,172036167,774207,186002633,4583777,-164228570.25,4535754.6,None,-8085455.31,6446878,564278627.76,3.28,172036167.0
CAN,2022-06-30,246588038,138720869,98365688,15506153,23158068,90854028,96920040,97447000,526960,3.53,2.35,1.18,50.2128,924296058,222757794,394008104,-203445738,None,701538264,281513589,172378991,0,242645849,14475836,104279000,0,None,None,90854028,555060351.02,3.22,172378991.0
CAN,2022-03-31,201353504,123205927,85250813,15140531,37823387,64958988,84927089,85483000,555911,2.56,2.7,-0.14,-5.1852,983855864,358873506,416047693,2314201,None,624982357,201134507,172182343,158,187830874,15925354,1101987000,14101000,150001000,-57483000,1196529000,934950122.49,5.43,172182343.0
CAN,2021-12-31,343031933,233489653,190508025,17589581,38145540,187885848,225459324,226629324,1170000,1.0653,0.07,0.9953,1421.8571,884410787,341306531,421511486,2324877,None,543104255,141443053,175674460,57749,127562112,22503726,173040610,2214223.63,150001000,-57483000,187885848,904723469.0000001,5.15,175674460.0
CAN,2021-09-30,204155815,115037367,71781682,15291822,29089681,86394543,71781682,72126482,344800,0.4085,None,0,None,608680630,227084174,263165518,2096669,None,381596455,-71683448,174076118,127634,129100179,18611780,173040610,2214223.63,150001000,-57483000,86394543,1063605080.98,6.11,174076118.0
CAN,2021-06-30,167270900,66046400,25589288,9892347,28433831,37878220,36782408,37990093,1207685,0.4098,None,0,None,506815855,219675679,188683058,2801348,None,287140176,-131774111,174779389,57539,90784150,16672595,None,0,None,None,37878220,1424452020.3500001,8.15,174779389.0
CAN,2021-03-31,61347179,29581667,-2081643.55,8858598,29455248,183383,-970206,219386,1189592,0.217,None,0,None,359694814,271644202,203761786,5422438,None,88050612,-167110572,161565968,1069279,57285484,6868429,13553533000,2040000,None,None,183383,3339568558.5600004,20.67,161565968.0
CAN,2020-12-31,5854009.46,1391486.69,-10867402.38,6131204.75,12258889.08,-11013576.60,-10867402.38,-11155312.02,-287909.63,0.0012,None,0,None,158629788.93,92421593.99,59894693.34,9388517.29,None,66208194.94,-183012107.20,155503302,1091025.97,34518849.59,5725590.44,None,0,None,None,-71955000,922134580.86,5.93,155503302.0
CAN,2020-09-30,23990124,-2500231.20,-13662250,4725748,10425134,-12713922,-13662250,-12405587,1256663,-0.0709,None,0,None,106648868,26684876,26097487,6298286,None,79963991,-151027530,156674341,50977,7840296,1546180,None,0,None,None,-12713922,292981017.67,1.87,156674341.0
CAN,2020-06-30,25227688,6129249,-2677200.38,3692675,8677426,-2377514.83,-2677199.60,-1467623.60,1209576,-0.0813,None,0,None,128719477,37377699,22238764,26917846,None,91341777,-133131058,156674885,1432781,12479580,2278630,None,0,None,None,-2377514.83,297682281.5,1.9,156674885.0
CAN,2020-03-31,9628996,336795,-10031514,5894486,6210690,-5633850.69,-6758545,-5554022,1204523,-0.0152,None,0,None,137392561,44158439,37296441,25853158,None,93234121,-130207589,156674885,955233,31962011,9254883,-269533000,2040000,None,None,-5633850.69,476291650.4,3.04,156674885.0
CAN,2019-12-31,66208409.56,-96248142.01,-800263000,9091155.96,18127429.68,-114082294.76,-128961552.94,-113709552.94,15252000,-0.036,None,0,None,141697061.51,42681082.78,73834753.03,19609392.87,None,99015978.73,-140146781.39,149373450,410473.36,28022381.66,14156471.53,-269533000,2040000,None,1213681000,-798211000,911178045.0,6.1,149373450.0
CAN,2019-09-30,670612000,146210000,73547000,38146000,52264000,94625000,-908395,13599605,14508000,-0.7675,0,-0.7675,None,1596091000,686346000,332652000,35710544,None,909745000,-85061000,145695242,4356000,392065000,10465705,-16923000,3565000,None,1525999,94625000,,,
CAN,2019-06-30,241546000,10753000,-268559000,35912000,271900000,-263067000,-40530272,-37112772,3417500,0.0909,0,0.0909,None,1444254000,627189000,270439000,197231000,None,817065000,-179686000,140005434,20012000,419797000,62495000,-16923000,2775000,None,668033000,-263067000,,,
CAN,2019-03-31,47218000,463000,-58007000,31315000,55854000,-67857000,-10496951,-7210701,3286250,-0.2736,0,-0.2736,None,None,None,None,None,None,240978000,None,135301918,None,None,None,3199000,1387500,None,None,-67857000,,,
CAN,2018-12-31,277680000,11625000,-67413000,51140000,78189000,-27516000,-13610803,-8651803,4959000,-0.0747,0,-0.0747,None,1402694000,1161716000,258940000,83263024,None,240978000,151238000,129879921,23687000,585672000,6867277,150349000,8369000,0,0,-27516000,,,
