ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,revenueGrowthPct,netIncomeMarginPct,epsSurprisePct,freeCashFlow,debtToEquityRatio,totalDebt,cashRatio,rdIntensityPct,buybackRatio,marketCap,peRatio,psRatio
CDNS,2025-06-30,1275441000,1082070000,370389000,442057000,711681000,160051000,309555000,318759000,9204000,1.65,1.58,0.07,4.4304,9508698000,4502160000,2822762000,,2478145000,5006538000,6425498000,273264000,670166000,226162000,291769000.0,377603000,44085000,,-175009000,160051000,2.6622589478462855,12.548679241140908,4.430379746835433,421688000,0.8992561326809064,2478145000.0,,34.65914926680262,1.0934577103548244,81131169938.96484,506.9082351185862,63.61028847195977
CDNS,2025-03-31,1242366000,1075233000,361520000,439102000,713713000,273579000,384810000,436280000,51470000,1.57,1.4988,0.0712,4.7505,9013486000,4237229000,2777674000,,2477159000,4776257000,6265447000,273631000,580887000,225621000,,487021000,23061000,,-350007000,273579000,-8.37880471776522,22.020805463124393,4.750467040298916,510082000,0.887144263803225,2477159000.0,,35.34401295592442,1.2793635476407181,69302382198.94409,253.31762379036437,55.78258113868545
CDNS,2024-12-31,1355981000,1135990000,456875000,392026000,679115000,340210000,466559000,520422000,53863000,1.88,1.8223,0.0577,3.1663,8974482000,4300904000,2644030000,,2476183000,4673578000,5991868000,274292000,680460000,257711000,5555000.0,441359000,37202000,,-170283000,340210000,11.557557842499255,25.08958458857462,3.166328266476423,478561000,0.9202593815701803,2476183000.0,,28.910877069811452,0.5005232062549602,81872343071.59424,240.65237080507404,60.3786801375493
CDNS,2024-09-30,1215499000,1052455000,350056000,407369000,702399000,238111000,357909000,413269000,55360000,1.64,1.44,0.2,13.8889,9167031000,4603693000,2786040000,349958000.0,2475232000,4563338000,5651658000,273958000,560973000,293350000,627200000.0,409995000,26540000,,-200567000,238111000,14.596094395958815,19.58956774131447,13.888888888888888,436535000,1.0088433072457048,2825190000.0,7.9610696140679735,33.51454834598794,0.8423256380427616,73280733704.22363,307.7587079312742,60.28860056999112
CDNS,2024-06-30,1060681000,921411000,293876000,370740000,627535000,229520000,328615000,375768000,47153000,1.28,1.22,0.06,4.918,7225741000,2964849000,1058955000,349732000.0,998935000,4260892000,5413547000,273520000,564851000,171508000,505392000.0,155965000,29199000,,-140784000,229520000,5.111272090163244,21.63892819801618,4.9180327868852505,185164000,0.6958282444145498,1348667000.0,3.027904223805657,34.95301603403851,0.6133844545137679,78016611234.74121,339.91203918935696,73.55332209659757
CDNS,2024-03-31,1009103000,883906000,249956000,378958000,633950000,247643000,318735000,357374000,38639000,1.17,1.13,0.04,3.5398,5722130000,2154534000,1012418000,349507000.0,299805000,3567596000,5184027000,273544000,389865000,185784000,456608000.0,253232000,49601000,,-276129000,247643000,-5.56978466680953,24.540904149526856,3.539823008849561,302833000,0.6039175960506739,649312000.0,2.896703070324772,37.55394642568697,1.1150284885904307,82940507530.51758,334.91965260684765,82.19231092417482
CDNS,2023-12-31,1068623000,964524000,336528000,367443000,627996000,323899000,371051000,412695000,41644000,1.38,1.33,0.05,3.7594,5669491000,2265220000,1008152000,349285000.0,299771000,3404271000,4936384000,272419000,506778000,181661000,91194000.0,272091000,33869000,,-139221000,323899000,4.450128727174629,30.30994092397412,3.759398496240588,305960000,0.6654053099767909,649056000.0,2.8863306468929384,34.384717529006956,0.42982843417238087,74218099969.48242,229.13963911429929,69.45208924895161
CDNS,2023-09-30,1023094000,913513000,292906000,369642000,620607000,254321000,309012000,346222000,37210000,1.26,1.2,0.06,5.0,5431375000,2317481000,961982000,598261000.0,648801000,3113894000,4612485000,272427000,440858000,163693000,598261000.0,395914000,21979000,,-168202000,254321000,4.763055523413873,24.858028685536226,5.000000000000004,417893000,0.7442388854598133,1247062000.0,1.6079637482637177,36.129817983489296,0.6613767640108367,63844407831.57349,251.0386788018822,62.403266788363034
CDNS,2023-06-30,976579000,879721000,299328000,354416000,580393000,221120000,307301000,341182000,33881000,1.22,1.18,0.04,3.3898,5155124000,2246669000,873925000,510007000.0,648551000,2908455000,4358164000,272996000,458508000,139576000,510007000.0,413770000,19936000,9357000.0,-336385000,221120000,-4.415331460619165,22.64230543560736,3.3898305084745797,433706000,0.772461323967536,1158558000.0,1.713554911991404,36.291585217376166,1.521278039073806,62920666897.88818,284.55439081895884,64.42967429966053
CDNS,2023-03-31,1021690000,897218000,322463000,350295000,574755000,241804000,330747000,363755000,33008000,1.29,1.26,0.03,2.381,5171619000,2230743000,916963000,30000000.0,648301000,2940876000,4137044000,273159000,505404000,127566000,430135000.0,267401000,26719000,,-125010000,241804000,13.536627783574872,23.66706143742231,2.3809523809523827,294120000,0.7585301114361843,678301000.0,30.565433333333335,34.285840127631666,0.5169889662702023,52574221265.25879,217.42494443954106,51.45809518078751
