ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,revenueGrowthPct,netIncomeMarginPct,epsSurprisePct,freeCashFlow,debtToEquityRatio,totalDebt,cashRatio,rdIntensityPct,buybackRatio,marketCap,peRatio,psRatio
CLS,2025-06-30,2893400000,371000000,272500000,34000000,98500000,211000000,270800000,316100000,45300000,1.39,1.23,0.16,13.0081,6241100000,4483200000,313800000,26600000.0,848600000.0,1757900000,-126600000,115900000,2287800000,1918100000,1722324000,152400000,32500000,,-40000000,211000000,9.242618741976894,7.292458699108316,13.008130081300806,184900000,2.550315717617612,875200000.0,11.796992481203008,1.1750881316098707,0.1895734597156398,13272470994.733292,62.90270613617674,4.58715386560216
CLS,2025-03-31,2648600000,273900000,128800000,17600000,145100000,86200000,127400000,164800000,37400000,1.2,1.12,0.08,7.1429,5834900000,4278100000,303000000,53900000.0,915000000.0,1556800000,-337616000,116900000,2135900000,1788300000,1377800000,130300000,36700000,,-77700000,86200000,4.042110225085449,3.254549573359511,7.142857142857128,167000000,2.748008735868448,968900000.0,5.62152133580705,0.6645020010571623,0.9013921113689095,12314249387.351898,142.8567214309965,4.649342817847881
CLS,2024-12-31,2545700000,289700000,195000000,23400000,94700000,135000000,171500000,187000000,15500000,1.11,1.06,0.05,4.717,5988200000,4092200000,423300000,52200000.0,770200000.0,1896000000,-423800000,117300000,2069000000,1760600000,2100199999,74900000,47600000,,-25500000,135000000,1.84836967393478,5.303060062065444,4.7169811320754755,122500000,2.158333333333333,822400000.0,8.10919540229885,0.9191970774246769,0.18888888888888888,9805385908.903671,72.63248821410127,3.8517444745663947
CLS,2024-09-30,2499500000,259100000,136400000,18700000,122700000,91700000,138300000,186100000,47800000,1.04,0.94,0.1,10.6383,5926800000,4107100000,398500000,57700000.0,883400000.0,1819700000,-546600000,118900000,2007700000,1827400000,1392500000,144800000,46000000,,-100000000,91700000,4.498515824240146,3.6687337467493495,10.638297872340436,190800000,2.25702038797604,941100000.0,6.906412478336222,0.7481496299259852,1.0905125408942202,5880470785.451836,64.12727137897312,2.3526588459499242
CLS,2024-06-30,2391900000,253800000,132900000,19400000,120900000,95000000,128500000,165400000,36900000,0.91,0.81,0.1,12.3457,5882400000,4079000000,434000000,61800000.0,890000000.0,1803400000,-638300000,119400000,1896000000,1852900000,1365600000,99600000,36900000,0.0,-10000000,95000000,8.284666576123856,3.9717379489109077,12.345679012345675,136500000,2.261838749029611,951800000.0,7.022653721682848,0.8110706969354906,0.10526315789473684,6432627590.488861,67.71186937356696,2.6893380118269414
CLS,2024-03-31,2208900000,222100000,125800000,16500000,96300000,91800000,119200000,154900000,35700000,0.86,0.72,0.14,19.4444,5717100000,4005600000,308100000,54300000.0,778400000.0,1711500000,-737900000,119300000,1815200000,1959200000,1388100000,108100000,40400000,0.0,-16500000,91800000,3.195515066573229,4.1559147086785275,19.444444444444446,148500000,2.3404031551270816,832700000.0,5.6740331491712706,0.7469781339128073,0.17973856209150327,4892339995.159241,53.293463999555996,2.2148309091218437
CLS,2023-12-31,2140500000,223200000,118600000,17600000,104600000,84200000,118600000,161900000,43300000,0.76,0.68,0.08,11.7647,5890500000,4119500000,370400000,52100000.0,589300000.0,1771000000,-851800000,119500000,1795700000,2104300000,1298200000,138800000,32900000,11686641.72,-10000000,84200000,4.757010717956245,3.9336603597290356,11.764705882352935,171700000,2.3260869565217392,641400000.0,7.109404990403071,0.8222377949077317,0.1187648456057007,3101281109.2444305,36.8323172119291,1.4488582617353098
CLS,2023-09-30,2043300000,206700000,117400000,16900000,89300000,80200000,117700000,157100000,39400000,0.65,0.6,0.05,8.3333,5745300000,4009000000,353100000,51200000.0,739100000.0,1736300000,-916200000,119600000,1599000000,2261100000,1322600000,88400000,27000000,41620570.0,-41620570,80200000,5.357327008353097,3.925023246708755,8.333333333333341,115400000,2.3089327881126533,790300000.0,6.896484375,0.8270934272989772,0.5189597256857855,2681411849.225918,33.43406295792915,1.3122947434179602
CLS,2023-06-30,1939400000,184600000,87800000,14300000,96800000,55500000,88100000,127500000,39400000,0.55,0.48,0.07,14.5833,5500500000,3819900000,360700000,65400000.0,718000000.0,1680600000,-996400000,120300000,1303700000,2345600000,1276700000,130200000,32100000,0.0,-15000000,55500000,5.528349113069986,2.8617098071568527,14.583333333333348,162300000,2.272938236344163,783400000.0,5.515290519877676,0.7373414458079819,0.2702702702702703,1464366040.1222153,26.38497369589577,0.7550613798712051
CLS,2023-03-31,1837800000,164000000,59400000,12100000,104600000,24700000,59400000,97700000,38300000,0.47,0.46,0.01,2.1739,5468100000,3812600000,318700000,51100000.0,724100000.0,1655500000,-1051900000,121600000,1260100000,2403300000,1338700000,72300000,33100000,0.0,-10600000,24700000,-10.02643689415451,1.3439982587876809,2.1739130434782505,105400000,2.302990033222591,775200000.0,6.236790606653621,0.6583959081510502,0.4291497975708502,1489673261.7592564,60.31065837082009,0.8105741983672088
CLS,2022-12-31,2042600000,186200000,81600000,14500000,104600000,42400000,81600000,119100000,37500000,0.56,0.54,0.02,3.7037,5628000000,3950300000,374500000,52200000.0,733900000.0,1677700000,-1076600000,122400000,1393500000,2350300000,1440800000,101300000,32300000,0.0,-12000000,42400000,6.2028804658659675,2.0757857632429255,3.703703703703707,133600000,2.3545925970078083,786100000.0,7.174329501915709,0.7098795652599628,0.2830188679245283,1283764758.207405,30.2774707124388,0.628495426518851
CLS,2022-09-30,1923300000,167700000,78400000,11600000,89300000,45700000,78400000,113900000,35500000,0.52,0.45,0.07,15.5556,5347900000,3778200000,363300000,51400000.0,741100000.0,1569700000,-1152500000,123200000,1161700000,2325800000,1482600000,74400000,38700000,812.7,-5000000,45700000,12.002096436058697,2.37612436957313,15.555555555555555,113100000,2.4069567433267505,792500000.0,7.0680933852140075,0.6031300369157178,0.10940919037199125,1187137284.4148102,25.976745829645736,0.617239788080284
CLS,2022-06-30,1717200000,149900000,62700000,8800000,87200000,35600000,62700000,98600000,35900000,0.44,0.42,0.02,4.7619,5140500000,3610900000,365500000,69500000.0,734900000.0,1529600000,-1198200000,124000000,1211100000,2107800000,1506200000,86900000,21600000,0.0,-9800000,35600000,9.592188397472711,2.073142324714652,4.761904761904766,108500000,2.3606825313807533,804400000.0,5.258992805755396,0.5124621476822734,0.2752808988764045,1268810495.862959,35.64074426581345,0.738883354217889
CLS,2022-03-31,1566900000,132500000,40600000,11400000,91900000,21800000,40600000,76500000,35900000,0.39,0.35,0.04,11.4286,4848000000,3338600000,346600000,59600000.0,726100000.0,1509400000,-1233800000,124700000,1243400000,1934800000,1400200000,35300000,16400000,0.0,-7800000,21800000,3.624098935255615,1.3912821494671006,11.42857142857144,51700000,2.2118722671260103,785700000.0,5.815436241610739,0.7275512157763737,0.3577981651376147,1370039272.707405,62.84583819758739,0.87436292852601
CLS,2021-12-31,1512100000,142100000,49900000,10600000,92200000,31900000,49900000,84700000,34800000,0.44,0.38,0.06,15.7895,4666900000,3203900000,394000000,51500000.0,742900000.0,1463000000,-1255600000,124800000,1260300000,1697000000,1238300000,65800000,14400000,20600000.0,-20600000,31900000,3.046204170641942,2.1096488327491567,15.789473684210526,80200000,2.1899521531100477,794400000.0,7.650485436893204,0.7010118378414125,0.64576802507837,1176784325.1222153,36.8897907561823,0.7782450400914062
CLS,2021-09-30,1467400000,125400000,51700000,10000000,73700000,35200000,51700000,82300000,30600000,0.35,0.32,0.03,9.375,4026100000,2556800000,477200000,55700000.0,516100000.0,1469300000,-1296800000,125500000,1148100000,1405900000,1095400000,55700000,15700000,0.0,-17200000,35200000,3.3162008026473178,2.39880059970015,9.374999999999991,71400000,1.7401483699720957,571800000.0,8.567324955116696,0.6814774430966335,0.48863636363636365,1021490264.8444462,29.019609796717223,0.6961225738342962
CLS,2021-06-30,1420300000,118000000,42400000,9000000,75600000,26300000,42400000,73000000,30600000,0.3,0.24,0.06,25.0,3745400000,2317100000,467200000,80900000.0,474100000.0,1428300000,-1332000000,127600000,1086900000,1224900000,964400000,56500000,9500000,0.0,-13400000,26300000,15.013361405781843,1.8517214672956417,25.0,66000000,1.6222782328642442,555000000.0,5.775030902348578,0.6336689431810181,0.5095057034220533,958222265.6037024,36.43430667694686,0.6746618781973543
CLS,2021-03-31,1234900000,101500000,23700000,8800000,77800000,10500000,23700000,54000000,30300000,0.22,0.2,0.02,10.0,3553400000,2142800000,449400000,83600000.0,469700000.0,1410600000,-1358300000,129000000,965000000,1153600000,857900000,48800000,12600000,0.0,-5300000,10500000,-10.940429828357134,0.8502712770264799,9.999999999999995,61400000,1.519069899333617,553300000.0,5.375598086124402,0.7126083083650498,0.5047619047619047,952470609.3629588,90.71148660599607,0.7712937155745071
CLS,2020-12-31,1386600000,113800000,35500000,8400000,78300000,20100000,35500000,66300000,30800000,0.26,0.25,0.01,4.0,3664100000,2255100000,463800000,99800000.0,486100000.0,1409000000,-1368800000,129100000,1093400000,1091500000,854500000,49700000,19200000,,-6100000,20100000,-10.570783618187685,1.4495889225443532,4.0000000000000036,68900000,1.6004968062455642,585900000.0,4.647294589178356,0.6057983556901774,0.3034825870646766,866196149.714818,43.09433580670736,0.6246907180980946
CLS,2020-09-30,1550500000,124200000,49200000,8100000,75000000,30400000,49200000,80400000,31200000,0.32,0.25,0.07,28.0,3789300000,2388800000,451400000,75900000.0,503400000.0,1400500000,-1379800000,129100000,1125000000,1205200000,1046500000,42000000,10100000,0.0,-13100000,30400000,3.8930581613508375,1.9606578523057079,28.000000000000004,52100000,1.705676544091396,579300000.0,5.94729907773386,0.5224121251209288,0.4309210526315789,914509831.7592564,30.082560255238697,0.5898160798189335
CLS,2020-06-30,1492400000,108600000,30100000,6600000,78500000,13300000,30100000,61400000,31300000,0.25,0.14,0.11,78.5714,3788100000,2425800000,435900000,76300000.0,495900000.0,1362300000,-1410000000,129100000,1135400000,1206100000,1116900000,64600000,11200000,0.0,-13100000,13300000,13.180646139845287,0.8911819887429643,78.57142857142856,75800000,1.7806650517507157,572200000.0,5.712975098296199,0.44224068614312523,0.9849624060150376,779921635.214818,58.640724452241955,0.5225955743867716
CLS,2020-03-31,1318600000,91000000,13100000,6800000,77900000,-3200000,13100000,44500000,31400000,0.16,0.1,0.06,60.0,3537800000,2198900000,472100000,75600000.0,556300000.0,1338900000,-1423300000,129000000,984600000,1072400000,932000000,83300000,12300000,0.0,0,-3200000,-11.604209961788559,-0.24268163203397544,60.0,95600000,1.6423183210097843,631900000.0,6.244708994708994,0.5156984680721978,-0.0,727006595.2666693,-227.18956102083413,0.5513473344961848
CLS,2019-12-31,1491700000,101800000,10900000,7300000,90900000,-7000000,10900000,44300000,33400000,0.18,0.15,0.03,20.0,3560700000,2204500000,479500000,139600000.0,559100000.0,1356200000,-1420100000,128500000,1052700000,992200000,898000000,76500000,16000000,400000.0,-9200000,-7000000,-1.7260689109954597,-0.4692632566870014,20.0,92500000,1.6254977142014453,698700000.0,3.434813753581662,0.48937453911644435,-1.3142857142857143,891503316.5,-127.35761664285714,0.5976424994972179
CLS,2019-09-30,1517900000,97700000,18400000,7300000,79300000,-6900000,18400000,51700000,33300000,0.13,0.12,0.01,8.3333,3557600000,2192500000,448900000,629200000.0,91300000.0,1365100000,-1404400000,128500000,1014500000,1033599999,937200000,106900000,21600000,0.0,-22800000,-6900000,5.00138350857775,-0.4545754002239937,8.333333333333341,128500000,1.6061094425316826,720500000.0,0.713445645263827,0.4809275973384281,-3.3043478260869565,815581761.2925949,-118.20025525979636,0.5373092834130014
CLS,2019-06-30,1445600000,97800000,11600000,7200000,75700000,-6100000,22100000,56300000,34200000,0.12,0.12,0.0,0.0,3633700000,2261700000,436500000,89900000.0,679500000.0,1372000000,-1397500000,131100000,1030400000,1085900000,937900000,90300000,23200000,0.0,-22800000,-6100000,0.8722350150024427,-0.4219701162147206,0.0,113500000,1.648469387755102,769400000.0,4.85539488320356,0.4980630879911455,-3.737704918032787,785673236.6037025,-128.79889124650862,0.5434928310761639
