ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
CRM,2025-07-31,10236000000,7994000000,2332000000,1481000000,5658000000,1887000000,2406000000,3223000000,817000000,2.91,2.78,0.13,4.6763,97573000000,36245000000,10365000000,580000000,8436000000,61328000000,18987000000,962000000,7458000000,None,5397000000,740000000,135000000,399000000,-2225000000,1887000000,248513459999.99997,258.33,962000000
CRM,2025-04-30,9829000000,7564000000,1942000000,1460000000,5622000000,1541000000,1906000000,2749000000,843000000,2.58,2.55,0.03,1.1765,98610000000,37944000000,10928000000,593000000,8435000000,60666000000,17504000000,970000000,4354000000,None,5804000000,6476000000,179000000,402000000,-2633000000,1541000000,260648699999.99997,268.71,970000000
CRM,2025-01-31,9993000000,7776000000,1820000000,1420000000,5956000000,1708000000,2118000000,2995000000,877000000,2.78,2.61,0.17,6.5134,102928000000,41755000000,8848000000,579000000,8433000000,61173000000,16369000000,974000000,11945000000,None,6658000000,3970000000,154000000,383000000,-76000000,1708000000,332815800000.0,341.7,974000000
CRM,2024-10-31,9444000000,7339000000,1893000000,1356000000,5446000000,1527000000,1949000000,2763000000,814000000,2.41,2.45,-0.04,-1.6327,91395000000,32870000000,7997000000,572000000,8432000000,58525000000,15049000000,975000000,4741000000,None,3163000000,1983000000,204000000,382000000,-1285000000,1527000000,284085750000.0,291.37,975000000
CRM,2024-07-31,9325000000,7166000000,1783000000,1349000000,5383000000,1429000000,1882000000,2789000000,907000000,2.56,2.36,0.2,8.4746,92180000000,34547000000,7682000000,559000000,8430000000,57633000000,13907000000,973000000,5391000000,None,3330000000,892000000,137000000,384000000,-4335000000,1429000000,251812400000.0,258.8,973000000
CRM,2024-04-30,9133000000,6971000000,1709000000,1368000000,5254000000,1533000000,1717000000,2596000000,879000000,2.44,2.37,0.07,2.9536,96180000000,36497000000,9958000000,1568000000,8429000000,59683000000,12866000000,985000000,4273000000,None,3729000000,6247000000,163000000,388000000,-2133000000,1533000000,264905900000.0,268.94,985000000
CRM,2024-01-31,9287000000,7139000000,1622000000,1275000000,5517000000,1446000000,1801000000,2754000000,953000000,2.29,2.27,0.02,0.8811,99823000000,40177000000,8472000000,1517000000,8427000000,59646000000,11721000000,983000000,11414000000,None,3239000000,3403000000,147000000,869000000,-1692000000,1446000000,276311470000.0,281.09,983000000
CRM,2023-10-31,8720000000,6565000000,1501000000,1204000000,5064000000,1224000000,1556000000,2418000000,862000000,2.11,2.06,0.05,2.4272,91022000000,32932000000,6453000000,1522000000,8426000000,58090000000,10275000000,981000000,4850000000,1757000000,3412000000,1532000000,166000000,274000000,-1925000000,1224000000,197014230000.0,200.83,981000000
CRM,2023-07-31,8603000000,6490000000,1476000000,1220000000,4965000000,1267000000,1603000000,2493000000,890000000,2.12,1.9,0.22,11.5789,92447000000,34365000000,6772000000,1509000000,8424000000,58082000000,9051000000,986000000,5400000000,1781000000,3275000000,808000000,180000000,362000000,-1949000000,1267000000,221859860000.0,225.01,986000000
CRM,2023-04-30,8247000000,6122000000,1975000000,1207000000,4999000000,199000000,1975000000,3229000000,1254000000,1.69,1.61,0.08,4.9689,93541000000,36129000000,9155000000,772000000,9421000000,57412000000,7784000000,988000000,4632000000,1772000000,3515000000,4491000000,243000000,449000000,-2054000000,199000000,195416520000.0,197.79,988000000
