ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
CRWD,2025-07-31,1168952000,858669000,-112979000,346668000,971648000,-77675000,-64851000,3187000,68038000,0.93,0.83,0.1,12.0482,9288859000,5494168000,4972436000,12860000,744727000,3756680000,-1265989000,249909000,886557000,None,120554000,332832000,13060000,None,74622000,-77645000,113601134130.0,454.57,249909000.0
CRWD,2025-04-30,1103434000,814291000,-124656000,334129000,938947000,-110207000,-83172000,-19115000,64057000,0.73,0.66,0.07,10.6061,8720362000,5229348000,4614153000,11964000,744355000,3450877000,-1188314000,248432000,808694000,None,16404000,384107000,103188000,None,None,-110993000,106545031840.0,428.87,248432000.0
CRWD,2025-01-31,1058538000,784548000,-85301000,315142000,869849000,-92282000,-39799000,17641000,57440000,1.03,0.86,0.17,19.7674,8701578000,5382661000,4323295000,13811000,743983000,3279494000,-1078107000,246933000,1128564000,None,130887000,345722000,104914000,None,None,-92731000,98296619310.0,398.07,246933000.0
CRWD,2024-10-31,1010178000,755091000,-55723000,275602000,810814000,-16822000,-3951000,51297000,55248000,0.93,0.81,0.12,14.8148,7782958000,4687347000,4262214000,15658000,743610000,3057933000,-985825000,245536000,813922000,None,79214000,326136000,94975000,None,None,-16819000,72892272320.0,296.87,245536000.0
CRWD,2024-07-31,963872000,726471000,13658000,250908000,712813000,47013000,64153000,116737000,52584000,1.04,0.97,0.07,7.2165,7202474000,4311884000,4038536000,17031000,743238000,2852915000,-969003000,251265000,661045000,None,21067000,326641000,53770000,None,None,47013000,58283429400.0,231.96,251265000.0
CRWD,2024-04-30,921036000,696033000,6936000,235249000,689097000,42820000,60442000,109126000,48684000,0.93,0.89,0.04,4.4944,6841985000,4273203000,3702437000,16020000,742866000,2535540000,-1016016000,250164000,702856000,None,21299000,383228000,60162000,None,None,42820000,73182976560.0,292.54,250164000.0
CRWD,2024-01-31,845335000,636763000,29671000,213998000,607092000,53699000,74972000,117341000,42369000,0.95,0.82,0.13,15.8537,6646520000,4309431000,3375069000,14150000,742494000,2303950000,-1058836000,247936000,853105000,1,28180000,347016000,74036000,None,76375000,53699000,72521280000.0,292.5,247936000.0
CRWD,2023-10-31,786014000,591010000,3163000,196072000,587847000,26665000,42750000,81175000,38425000,0.82,0.74,0.08,10.8108,5831056000,3770209000,2968872000,14430000,742122000,2028950000,-1112535000,243799000,561872000,209216000,56968000,273518000,33920000,None,None,26669000,43096349230.0,176.77,243799000.0
CRWD,2023-07-31,731626000,548709000,-15373000,179362000,564082000,8472000,19531000,53408000,33877000,0.74,0.56,0.18,32.1429,5520458000,3650358000,3167215000,16133000,741750000,1838207000,-1139200000,242144000,539463000,197111000,37073000,244781000,55990000,None,None,8476000,39144999040.0,161.66,242144000.0
CRWD,2023-04-30,692580000,523350000,-19456000,179065000,542806000,491000,11295000,41878000,30583000,0.57,0.51,0.06,11.7647,5137858000,3503499000,2829677000,16215000,741377000,1605301000,-1147672000,240598000,461092000,186901000,16900000,300892000,73166000,None,7908000,499000,28580636420.0,118.79,240598000.0
CRWD,2023-01-31,637367000,461763000,-61500000,191845000,523263000,-47481000,-37266000,-9416000,27850000,0.47,0.43,0.04,9.3023,5026540000,3539106000,2455369000,13046000,741005000,1463641000,-1148163000,235027000,626181000,186855000,45372000,273293000,65389000,None,59419000,-47481000,24889359300.0,105.9,235027000.0
CRWD,2022-10-31,580882000,422654000,-56422000,155256000,479076000,-54956000,-39427000,-13511000,25916000,0.4,0.31,0.09,29.0323,4469443000,3131811000,2466551000,10423000,740633000,1314289000,-1100682000,233785000,485313000,162260000,89289000,242851000,68774000,None,None,-54631000,37686142000.0,161.2,233785000.0
CRWD,2022-07-31,535153000,394586000,-48307000,137864000,442893000,-49285000,-37200000,-15291000,21909000,0.36,0.28,0.08,28.5714,4154236000,2910889000,2318858000,10316000,740261000,1225419000,-1045726000,232554000,418799000,1,53817000,209906000,74149000,None,None,-48313000,42627148200.0,183.3,232554000.0
CRWD,2022-04-30,487834000,361002000,-23883000,123399000,384885000,-31523000,-20671000,-242000,20429000,0.31,0.23,0.08,34.7826,3835835000,2718838000,2152736000,9967000,739889000,1102541000,-996441000,231179000,369130000,135681000,11024000,214957000,58125000,None,4568000,-30409000,47079603350.0,203.65,231179000.0
CRWD,2022-01-31,431010000,318390000,-23534000,105018000,341924000,-41980000,-21855000,-1364000,20491000,0.3,0.2,0.1,50,3618381000,2580738000,1996633000,9820000,739517000,1025763999,-964918000,229662000,368145000,126822000,47634000,159718000,32388000,None,50277000,-41739000,41486143680.0,180.64,229662000.0
CRWD,2021-10-31,380051000,278387000,-40264000,97630000,318651000,-50455000,-39574000,-21715000,17859000,0.17,0.1,0.07,70,3299617000,2340047000,1907508000,9706000,739145000,948182000,-922938000,228293000,283272000,108636000,7167000,159058000,36235000,None,7554000,-50450000,61449626810.0,269.17,228293000.0
CRWD,2021-07-31,337690000,247258000,-47403000,90455000,294661000,-57318000,-46784000,-30696000,16088000,0.11,0.09,0.02,22.2222,3136045000,2224644000,1787051000,9374000,738772000,904268000,-872483000,226362000,266540000,95470000,19642000,108475000,34836000,None,36190000,-57318000,57475575420.0,253.91,226362000.0
CRWD,2021-04-30,302843000,224338000,-31347000,78180000,255685000,-85049000,-26579000,-12207000,14372000,0.1,0.06,0.04,66.6667,2881171000,2027774000,1684997000,9333000,738400000,849264000,-815165000,224153000,211233000,85388000,3468000,147533000,30230000,None,4409000,-82871000,46738142030.0,208.51,224153000.0
CRWD,2021-01-31,264929000,198197000,-15803000,66070000,214000000,-19002000,-15121000,-3285000,11836000,0.13,0.08,0.05,62.5,2732533000,1860659000,1918608000,8977000,738029000,870574000,-730116000,221700000,239199000,80850000,12065000,114463000,17253000,None,34263000,-19002000,47667717000.0,215.01,221700000.0
CRWD,2020-10-31,232460000,170933000,-24159000,57539000,195092000,-24531000,-23887000,-13408000,10479000,0.08,0.0022,0.0778,3536.3636,1749509000,934724000,1059925999,8646000,None,813485000,-711114000,219401000,172775000,62422000,7494000,88501000,12406000,None,None,-24531000,27308842470.0,124.47,219401000.0
CRWD,2020-07-31,198971000,144580000,-29991000,50483000,174571000,-29874000,-29259000,-19736000,9523000,0.03,-0.01,0.04,400,1616952000,824937000,1064733999,8643000,None,790965000,-686583000,216695000,149236000,53837000,10118000,55025000,22608000,None,None,-29874000,24529874000.0,113.2,216695000.0
CRWD,2020-04-30,178078000,131183000,-22576000,40578000,153759000,-19222000,-18043000,-9738000,8305000,0.02,-0.06,0.08,133.3333,1519396000,766243000,1004991000,6673000,None,752153000,-656709000,213129000,144187000,53410000,6528000,98577000,11576000,None,6393000,-19222000,14420308140.0,67.66,213129000.0
CRWD,2020-01-31,152109000,108692000,-31133000,38691000,139825000,-28408000,-27930000,-20825000,7105000,-0.02,-0.08,0.06,75,1404906000,662299000,264798000,67165000,None,742107000,-637487000,207565000,164987000,42971000,1345000,66107000,15431000,None,12365000,-28408000,12680145850.0,61.09,207565000.0
CRWD,2019-10-31,125119000,87764000,-38518000,35992000,126282000,-35505000,-34969000,-29039000,5930000,-0.07,-0.12,0.05,41.6667,1256054000,539012000,743605000,66365000,None,717042000,-609079000,204096000,145694000,35924000,5244000,38635000,31587000,None,684706000,-35505000,10186431360.0,49.91,204096000.0
CRWD,2019-07-31,108108000,76526000,-50639000,31630000,127165000,-51889000,-51090000,-45631000,5459000,-0.18,-0.23,0.05,21.7391,1171586000,443489000,732808000,52625000,None,728097000,-573574000,200392486,115256000,34017000,1126000,-6214000,22944000,None,683882000,-51889000,17848958728.02,89.07,200392486.0
CRWD,2019-04-30,96077000,66804000,-25775000,23875000,92579000,-25977000,-25381000,-20362000,5019000,-0.47,-0.47,0,0,457361000,384626000,92993000,43868000,None,72735000,-521684999,196688971,87355000,26193000,9915000,1415000,17525000,None,1510000,-25977000,,,
CRWD,2019-01-31,80455000,53460000,-31232000,22005000,84692000,-31260000,-30911000,-26147000,4764000,-0.22,0,-0.22,None,433219000,363100000,88408000,51825000,0,70119000,-519126000,171202000,92476000,46152000,6855000,15808000,15939000,0,208478000,-31260000,,,
CRWD,2018-10-31,66379000,44105000,-42091000,25968000,86196000,-42323000,-41788000,-37951000,3837000,,,,,389554000,292995000,83462000,None,None,96559000,-487866000,171202000,77065000,None,5733000,-3639000,9437000,None,None,-42323000,,,
CRWD,2018-07-31,55701000,37126000,-30427000,18963000,67553000,-32877000,-32279000,-28631000,3648000,,,,,None,None,None,None,None,None,None,171202000,None,None,None,-28744000,6913000,None,None,-32877000,,,
CRWD,2018-04-30,47289000,27895000,-33114000,17615000,61009000,-33617000,-33304000,-30155000,3149000,,,,,None,None,-65772000,None,None,-18458000,None,171202000,None,None,None,-6393000,10356000,None,None,-33617000,,,
CRWD,2018-01-31,38717000,19547000,-36767000,15928000,56367000,-41717000,-36767000,-34238000,2529000,,,,,217703000,236161000,63179000,0,15971000,-18458000,-378948000,171202000,59614000,1,12261000,-6725000,3445000,0,0,-37493000,,,
