ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
CYBR,2025-06-30,328030000,239394000,-35817000,82235000,275211000,-90828000,-22096000,10639000,32735000,0.88,0.79,0.09,11.3924,4531197000,2212459000,886384000,None,1219236000,2318738000,-206022000,50122000,247893000,None,24723000,4731000,5094000,None,None,-90828000,20393639360.0,406.88,50122000
CYBR,2025-03-31,317601000,241340000,-20733000,78565000,262073000,11463000,-20733000,10891000,31624000,0.98,0.79,0.19,24.0506,3337968000,910261000,413554000,None,None,2427707000,-115194000,51204000,229972000,None,19492000,98528000,3006000,None,None,11463000,17306952000.0,338.0,51204000
CYBR,2024-12-31,314384000,240618000,-31360000,73282000,271978000,-97118000,28138000,58138000,30000000,0.8,0.72,0.08,11.1111,3348395000,978591000,526467000,11107000,None,2369804000,-126657000,48116242,328465000,None,23671000,64736000,3969000,None,None,-97118000,16029926022.3,333.15,48116242
CYBR,2024-09-30,240102000,192917000,-11090000,59306000,204007000,11110000,-11090000,-7153000,3937000,0.94,0.46,0.48,104.3478,2461815000,1231288000,1238472000,535378000,None,1230527000,-29539000,48261000,166157000,None,5346000,54173000,2605000,None,-1034000,11110000,14073390210.0,291.61,48261000
CYBR,2024-06-30,224706000,179688000,-23976000,56556000,248682000,-12923000,None,None,None,0.54,0.4,0.14,35,2120584000,1243612000,641014000,None,None,876972000,-40649000,43229302,156049000,None,6189000,44343000,2620000,None,None,-12923000,11657645870.34,269.67,43229302
CYBR,2024-03-31,221550000,179017000,-6378000,53914000,185395000,5470000,-6378000,-2357000,4021000,0.75,0.27,0.48,177.7778,2046905000,1209954000,440524000,573092000,None,836951000,-27726000,47737396,139316000,1,3524000,68635000,1865000,None,-6327000,5470000,12614606893.0,264.25,47737396
CYBR,2023-12-31,223104000,183451000,-4711000,53792000,188162000,8911000,14591000,18744000,4153000,0.81,0.47,0.34,72.3404,2022208000,1229882000,355933000,580580000,None,792326000,-33196000,47107294,186472000,1,10971000,46898000,695000,None,-6327000,8911000,10181299452.22,216.13,47107294
CYBR,2023-09-30,191236000,149497000,-25737000,51733000,175234000,-14609000,-25737000,-19427000,6310000,0.42,0.23,0.19,82.6087,1864866000,1144417000,372196000,357282000,571590000,720449000,-42107000,41899371,118983000,1,12624000,14353000,731000,None,None,-14609000,6894960491.76,164.56,41899371
CYBR,2023-06-30,175843000,137076000,-39898000,53664000,176974000,-25778000,-39898000,-35557000,4341000,0.03,-0.13,0.16,123.0769,1828186000,1136293000,396184000,-357282000,570841000,691893000,-27498000,41599364,105495000,None,13647000,-10868000,1747000,None,None,-25778000,6503228574.120001,156.33,41599364
CYBR,2023-03-31,161705000,125733000,-46126000,52256000,171859000,-35028000,-46126000,-41680000,4446000,-0.17,-0.26,0.09,34.6154,1806015000,1127495000,363663000,None,570092000,678520000,-1720000,41168043,87529000,None,13472000,5821000,1775000,None,None,-35028000,6092047003.139999,147.98,41168043
CYBR,2022-12-31,169151000,134323000,-30069000,51477000,164392000,-22204000,-20906000,-16586000,4320000,0.16,0.12,0.04,33.3333,1819401000,1141257000,347338000,7857000,569344000,678144000,33308000,40923682,120817000,1,13642000,20497000,3739000,None,627000,-22204000,5169070273.42,126.31,40923682
CYBR,2022-09-30,152670000,120205000,-39268000,48437000,159473000,-32725000,-39268000,-35114000,4154000,-0.06,-0.21,0.15,71.4286,1745468000,1089153000,324533000,7857000,568597000,656315000,55513000,40834640,89346000,1,10416000,18481000,4618000,None,-811000,-32725000,6122745921.6,149.94,40834640
CYBR,2022-06-30,142327000,111608000,-42029000,46964000,153637000,-37628000,-42029000,-38184000,3845000,-0.27,-0.3,0.03,10,1727453000,1067273000,381527000,None,567852000,660180000,88238000,40517587,87836000,1,11302000,-14254000,2147000,None,-811000,-37628000,5184630432.5199995,127.96,40517587
CYBR,2022-03-31,127562000,99528000,-41084000,43443000,140612000,-37811000,-41084000,-37200000,3884000,-0.3,-0.31,0.01,3.2258,1711613000,1041931000,347852000,None,567108000,669682000,125866000,40169333,76372000,1,11232000,24984000,2013000,None,-620000,-37811000,6778574943.75,168.75,40169333
CYBR,2021-12-31,151320000,125624000,-11849000,40747000,137473000,-16887000,-11849000,-8144000,3705000,0.28,0.16,0.12,75,1693202000,966690000,356850000,6974000,520094000,726512000,137074000,39982230,113211000,1,10076000,20437000,1741000,None,-3157000,-16887000,6928120814.4,173.28,39982230
CYBR,2021-09-30,121601000,98186000,-27729000,38014000,125915000,-29106000,-27729000,-24095000,3634000,-0.06,-0.07,0.01,14.2857,1625656000,910278000,435809000,6974000,515588000,715378000,153961000,39848343,81447000,None,9692000,4801000,2862000,None,-3157000,-29106000,6288865492.259999,157.82,39848343
CYBR,2021-06-30,117234000,93970000,-23413000,33623000,117383000,-22758000,-23413000,-19894000,3519000,0.01,0.02,-0.01,-50,1605188000,890125000,426835000,None,511121000,715063000,183067000,39565087,75957000,None,8382000,15527000,1660000,None,None,-22758000,5154143883.490001,130.27,39565087
CYBR,2021-03-31,112762000,91830000,-15346000,29737000,107176000,-15195000,-15346000,-11976000,3370000,0.09,0.04,0.05,125,1572175000,859376000,515178000,None,506692000,712799000,205825000,39175052,66716000,1,5928000,33975000,2665000,None,None,-15195000,5066901225.68,129.34,39175052
CYBR,2020-12-31,144519000,121811000,18789000,26659000,103022000,12054000,29577000,34096000,4519000,0.82,0.59,0.23,38.9831,1562352000,855064000,499992000,7025000,502302000,707288000,221020000,39938780,93128000,1,8250000,38948000,2237000,None,None,12054000,6453707460.2,161.59,39938780
CYBR,2020-09-30,106589000,84201000,-10475000,24609000,94676000,-15882000,-10475000,-6430000,4045000,0.31,0.29,0.02,6.8966,1487403000,817173000,507079000,7025000,497950000,670230000,208970000,38797347,63334000,None,5726000,14533000,2063000,None,164000,-15882000,4012421626.7400002,103.42,38797347
CYBR,2020-06-30,106497000,86107000,-4879000,22873000,90986000,-4316000,-4879000,-447000,4432000,0.42,0.27,0.15,55.5556,1477653000,813532000,551706000,None,493636000,664121000,224848000,38565175,60136000,1,8946000,19462000,1547000,None,196000,-4316000,3828364922.25,99.27,38565175
CYBR,2020-03-31,106826000,89741000,2571000,21285000,87170000,2386000,2571000,5050000,2479000,0.5,0.37,0.13,35.1351,1430204000,782886000,812667000,None,489359000,647318000,229164000,39309750,51970000,None,6172000,33826000,1327000,None,-799000,2386000,3363342210.0,85.56,39309750
