ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
DDOG,2025-06-30,826760000,660594000,-35500000,387482000,696094000,2647000,9162999,37961999,28799000,0.46,0.41,0.05,12.1951,5822415000,2626658000,489030000,39955000,981357000,3195757000,57337000,361289000,604174000,None,198767000,200055000,3250000,None,28578000,2647000,48531951370.00001,134.33,361289000.0
DDOG,2025-03-31,761553000,603722000,-12420000,341061000,616142000,24642000,34759000,60867000,26108000,0.46,0.42,0.04,9.5238,6010381000,3093707000,1079854000,669008000,980314000,2916674000,54690000,363078000,490172000,None,98442000,271541000,27150000,None,None,24642000,36020968380.0,99.21,363078000.0
DDOG,2024-12-31,737727000,593342000,9392000,316314000,583950000,45594000,56469000,86454000,29985000,0.49,0.43,0.06,13.9535,5785339000,3070976000,1246983000,665993000,979282000,2714363000,30048000,360940000,598919000,None,107731000,265228000,7761000,None,21179000,45594000,51574716599.99999,142.89,360940000.0
DDOG,2024-09-30,690016000,552052000,20278000,291802000,531774000,51697000,57710000,71510000,13800000,0.46,0.4,0.06,15,4631471000,2002326000,337418000,772200000,None,2629145000,-15546000,357635000,487064000,None,92005000,228681000,19209000,None,22507000,51697000,41149483100.0,115.06,357635000.0
DDOG,2024-06-30,645279000,521575000,12618000,274599000,508957000,43824000,49270000,61710000,12440000,0.43,0.36,0.07,19.4444,4412391000,2005083000,410963000,768535000,None,2407308000,-67243000,356740000,533292000,1,115991000,164424000,20644000,None,None,43824000,46554570000.0,130.5,356740000.0
DDOG,2024-03-31,611253000,500950000,11996000,269988000,488954000,42631000,47559000,72298000,24739000,0.44,0.35,0.09,25.7143,4141466000,1939111000,282218000,23591000,743085000,2202355000,-111067000,355979000,451057000,None,64316000,212270000,25523000,None,None,42631000,43838813850.0,123.15,355979000.0
DDOG,2023-12-31,589649000,484612000,27742000,253250000,456870000,53993000,58559000,81574000,23015000,0.44,0.44,0,0,3936072000,1910718000,330339000,21974000,742235000,2025354000,-153698000,352907000,509279000,None,87712000,220226000,18936000,None,17384000,53993000,40612537560.0,115.08,352907000.0
DDOG,2023-09-30,547536000,444009000,-4230000,240225000,448239000,22630000,25603000,37212000,11609000,0.45,0.34,0.11,32.3529,3543302000,1736826000,261309000,18777000,741386000,1806476000,-207691000,351309000,400649000,39805000,85362000,152783000,14594000,None,None,22630000,32264218560.0,91.84,351309000.0
DDOG,2023-06-30,509460000,407408000,-22006000,239494000,429414000,-3969000,618000,11168000,10550000,0.36,0.28,0.08,28.5714,3312173000,1662814000,291304000,18852000,740538000,1649359000,-230321000,322215000,333102000,37502000,48031000,153158000,11426000,None,19986000,-3969000,31699511700.0,98.38,322215000.0
DDOG,2023-03-31,481714000,381597000,-34970000,229478000,416567000,-24086000,-18243000,-7968000,10275000,0.28,0.24,0.04,16.6667,3139744000,1627645000,222548000,20397000,739692000,1512099000,-226352000,319286000,367046000,34858000,41598000,133787000,17450000,None,2098000,-24086000,23199320760.0,72.66,319286000.0
