ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,revenueGrowthPct,netIncomeMarginPct,epsSurprisePct,freeCashFlow,debtToEquityRatio,totalDebt,cashRatio,rdIntensityPct,buybackRatio,marketCap,peRatio,psRatio
DOCU,2025-07-31,800636000,635173000,65227000,169630000,569946000,62970000,77288000,174822000.0,97534000.0,0.92,0.85,0.07,8.2353,3949923000.0,1961948000.0,599986000.0,21185000.0,,1987975000.0,-1536902000.0,211878000.0,366835000.0,,10643000.0,246073000.0,28425000.0,,-201514000.0,62970000.0,4.842769107475364,7.864997327124936,8.235294117647067,274498000.0,0.9869077830455615,21185000.0,28.32126504602313,21.186906409404525,3.2001588057805304,15211515287.135788,241.56765582238825,18.9992896736292
DOCU,2025-04-30,763654000,606385000,60255000,159447000,546130000,72087000,74268000,104637000.0,30369000.0,0.9,0.81,0.09,11.1111,3947403000.0,1932601000.0,657399000.0,21815000.0,,2014802000.0,-1399074000.0,212812000.0,317182000.0,,24583000.0,251439000.0,23624000.0,,-183431000.0,72087000.0,-1.622926575390471,9.439746272526563,11.111111111111107,275063000.0,0.9592014500680464,21815000.0,30.135182214072884,20.879482069104593,2.544578079265332,16440261564.75,228.06139199508928,21.52841674992863
DOCU,2025-01-31,776252000,616041000,60469000,155463000,555572000,83491000,68287000,96994000.0,28707000.0,0.86,0.85,0.01,1.1765,4012705000.0,2010013000.0,648623000.0,19077000.0,,2002692000.0,-1287323000.0,210339000.0,443346000.0,,30697000.0,307912000.0,28342000.0,,-161725000.0,83491000.0,2.8393524283935268,10.75565666819538,1.176470588235295,336254000.0,1.003655579589872,19077000.0,34.00026209571735,20.02738801317098,1.93703512953492,16725829042.657364,200.3309224066949,21.546906214292992
DOCU,2024-10-31,754820000,598283000,59030000,151101000,539253000,62423000,72036000,99605000.0,27569000.0,0.9,0.87,0.03,3.4483,3770208000.0,1780831000.0,610870000.0,19507000.0,,1989377000.0,-1209571000.0,208706000.0,314089000.0,,18144000.0,234326000.0,23613000.0,,-172665000.0,62423000.0,2.553303071762314,8.269918656103442,3.448275862068969,257939000.0,0.8951701964987029,19507000.0,31.31542523196801,20.018150022521926,2.766047770853692,16025987574.706848,256.7320951365178,21.23153543190012
DOCU,2024-07-31,736027000,580562000,57801000,147571000,522761000,888211000,72431000,99453000.0,27022000.0,0.97,0.81,0.16,19.7531,3753941000.0,1792535000.0,619064000.0,19769000.0,,1961406000.0,-1099046000.0,208274000.0,323334000.0,,8116000.0,220208000.0,22280000.0,,-200076000.0,888211000.0,3.7183642410236084,120.67641540323928,19.753086419753075,242488000.0,0.9139030878869545,19769000.0,31.314886944205576,20.049672090833624,0.22525728683837512,11907374583.453682,13.40602017251946,16.177904592431638
DOCU,2024-04-30,709640000,560194000,22628000,134320000,537566000,33760000,36737000,61243000.0,24506000.0,0.82,0.79,0.03,3.7975,2926689000.0,1789689000.0,817388000.0,20925000.0,,1137000000.0,-1785521000.0,209896000.0,318471000.0,1.0,17700000.0,254826000.0,22753000.0,,-149062000.0,33760000.0,-0.385465183201239,4.757341750746857,3.797468354430369,277579000.0,1.5740448548812664,20925000.0,39.06274790919952,18.927907107829324,4.415343601895734,11008439702.126583,326.07937506299123,15.512710250446117
DOCU,2024-01-31,712386000,564479000,9935000,151524000,554544000,27241000,31451000,55084000.0,23633000.0,0.76,0.65,0.11,16.9231,2971290000.0,1841551000.0,797060000.0,22230000.0,,1129739000.0,-1670219000.0,209581000.0,455221000.0,1.0,19029000.0,270698000.0,22114000.0,,-45922000.0,27241000.0,1.7082583189253375,3.823910071225431,16.92307692307692,292812000.0,1.630067652794141,22230000.0,35.85515069725596,21.269929504510195,1.6857677765133439,11975750013.919737,439.6222610741066,16.810759916561718
DOCU,2023-10-31,700421000,557776000,19738000,136640000,538038000,38805000,37411000,60735000.0,23324000.0,0.79,0.63,0.16,25.3968,3337627000.0,2372594000.0,1188578000.0,710812000.0,,965033000.0,-1697460000.0,208054000.0,379837000.0,,14787000.0,264177000.0,23841000.0,26979000.0,-75035000.0,38805000.0,1.851714515469971,5.540239370321564,25.396825396825403,288018000.0,2.458562556928105,710812000.0,1.6721411568741102,19.508267170744453,1.9336425718335266,8667587135.83947,223.36263718179282,12.374824763734196
DOCU,2023-07-31,687687000,542105000,6612000,135960000,535493000,7395000,24067000,49305000.0,25238000.0,0.72,0.66,0.06,9.0909,3267405000.0,2419646000.0,1017778000.0,748158000.0,,847759000.0,-1661230000.0,208192000.0,430928000.0,,5803000.0,211016000.0,27379000.0,,-30008000.0,7395000.0,3.976334617501376,1.0753438701036955,9.090909090909081,238395000.0,2.8541672810315197,748158000.0,1.3603784227395816,19.77062239070973,4.057876943881,10115536931.669737,1367.8886993468204,14.709507278267202
DOCU,2023-04-30,661388000,524901000,-4651000,115364000,529552000,539000,7594000,30461000.0,22867000.0,0.72,0.56,0.16,28.5714,3129899000.0,2380407000.0,940494000.0,746737000.0,,749492000.0,-1638617000.0,208071000.0,426086000.0,1.0,14688000.0,233635000.0,19057000.0,,-40472000.0,539000.0,0.2747219425812908,0.08149527962406333,28.57142857142855,252692000.0,3.1760272291098506,746737000.0,1.2594715408503931,17.44271138877633,75.08719851576994,10274409368.216051,19061.983985558538,15.5346171509251
DOCU,2023-01-31,659576000,522150000,-284000,125891000,522434000,4863000,4255000,26534000.0,22279000.0,0.65,0.52,0.13,25.0,3012720000.0,2395433000.0,721895000.0,746942000.0,,617287000.0,-1598684000.0,201894000.0,529351000.0,2.0,24393000.0,137057000.0,24064000.0,17283000.0,-17283000.0,4863000.0,2.1864924867885493,0.7372918359673487,25.0,161121000.0,3.880582289923488,746942000.0,0.9664672759062952,19.08665566970296,3.553979025293029,12194953532.135788,2507.7017339370323,18.489080154729383
DOCU,2022-10-31,645463000,515921000,-27431000,115934000,543352000,-29866000,-26611000,-5079000.0,21532000.0,0.57,0.42,0.15,35.7143,2731584000.0,2263078000.0,632620000.0,71634000.0,684861000.0,468506000.0,-1603547000.0,201393000.0,436221000.0,1.0,47176000.0,52537000.0,16477000.0,,-38034000.0,-29866000.0,3.7414976920010723,-4.627066152513777,35.71428571428571,69014000.0,4.830414124899147,756495000.0,8.831281235167658,17.96137036514874,-1.2734882475055247,9713328697.669737,-325.23031867909117,15.048621993312919
DOCU,2022-07-31,622184000,485480000,-41090000,126532000,526570000,-45078000,-40087000,-18944000.0,21143000.0,0.44,0.42,0.02,4.7619,2667346000.0,2260215000.0,637186000.0,43479000.0,720677000.0,407131000.0,-1535647000.0,200618000.0,348915000.0,1.0,44449000.0,120879000.0,15404000.0,,-25007000.0,-45078000.0,5.689222887350254,-7.245123629022926,4.761904761904766,136283000.0,5.551566940370544,764156000.0,14.655028864509303,20.336749257454386,-0.5547495452327077,11708281937.228424,-259.7338377307872,18.818037650001326
DOCU,2022-04-30,588692000,456276000,-19226000,112227000,475502000,-27373000,-19226000,2075000.0,21301000.0,0.38,0.46,-0.08,-17.3913,2574131000.0,2225182000.0,638190000.0,37309000.0,719616000.0,348949000.0,-1465562000.0,199666000.0,314240000.0,1.0,26213000.0,196286000.0,21709000.0,,-24739000.0,-27373000.0,1.3539292182883855,-4.649799895361242,-17.39130434782609,217995000.0,6.37681151113773,756925000.0,17.105524136267388,19.06378887431798,-0.9037737916925438,16289433477.0,-595.0912752347203,27.670553493167905
DOCU,2022-01-31,580828000,449374000,-25178000,110692000,474552000,-30445000,-27799000,-7049000.0,20750000.0,0.48,0.48,0.0,0.0,2541265000.0,2265762000.0,509059000.0,37404000.0,718487000.0,275503000.0,-1438189000.0,198687000.0,453538000.0,,52804000.0,87792000.0,17470000.0,,-63412000.0,-30445000.0,6.483482839349319,-5.241655016631429,0.0,105262000.0,8.224091933663153,755891000.0,13.60974762057534,19.057621189061134,-2.0828379044178025,23816760637.682102,-782.2880813822336,41.00484246228161
DOCU,2021-10-31,545463000,429488000,-3358000,102603000,432846000,-5676000,-3358000,16808000.0,20166000.0,0.58,0.46,0.12,26.087,2410503000.0,2170934000.0,503884000.0,46738000.0,718821000.0,239569000.0,-1407744000.0,197597000.0,320289000.0,1.0,47712000.0,105409000.0,15392000.0,,-94534000.0,-5676000.0,6.568212189651534,-1.0405838709500004,26.08695652173912,120801000.0,9.061831873072059,765559000.0,10.781034704095168,18.810258440994165,-16.655038759689923,49544010386.86421,-8728.684000504618,90.82927785544429
DOCU,2021-07-31,511844000,398064000,-22611000,94651000,420675000,-25501000,-22611000,-1651000.0,20960000.0,0.47,0.4,0.07,17.5,2355687000.0,2143811000.0,518577000.0,36983000.0,730272000.0,211876000.0,-1402068000.0,195996000.0,298723000.0,,33612000.0,177669000.0,15938000.0,,-122522000.0,-25501000.0,9.117033840853761,-4.982182071099788,17.49999999999999,193607000.0,10.118234250221828,767255000.0,14.022037152205067,18.492157766819577,-4.804595898200071,59575081656.17261,-2336.186096865715,116.3930448655696
DOCU,2021-04-30,469078000,363836000,-10737000,85416000,374573000,-8354000,-4700000,15337000.0,20037000.0,0.44,0.28,0.16,57.1429,2297120000.0,2053883000.0,518972000.0,48120000.0,742577000.0,243237000.0,-1376567000.0,194342000.0,265632000.0,1.0,14870000.0,135597000.0,12596000.0,,-106053000.0,-8354000.0,8.860565609494596,-1.7809404832458569,57.14285714285713,148193000.0,8.443957950476284,790697000.0,10.784954280964255,18.209338319000253,-12.69487670576969,44834152334.95685,-5366.788644356817,95.57931161759205
DOCU,2021-01-31,430898000,329318000,-24897000,80135000,354215000,-72412000,-57965000,-38330000.0,19635000.0,0.37,0.22,0.15,68.1818,2336507000.0,2010770000.0,566055000.0,53440000.0,696609000.0,325737000.0,-1380452000.0,188717000.0,340453000.0,,37367000.0,62233000.0,18251000.0,,-125186000.0,-72412000.0,12.528628470998093,-16.804905105152496,68.18181818181817,80484000.0,6.172986182103967,750049000.0,10.592346556886227,18.597208620137483,-1.7288018560459593,45582259895.68527,-629.4848905662773,105.78433851093594
DOCU,2020-10-31,382923000,285092000,-48470000,73362000,333562000,-58491000,-48470000,-28991000.0,19479000.0,0.22,0.13,0.09,69.2308,2051119000.0,1625087000.0,374984000.0,30633000.0,486149000.0,426032000.0,-1308040000.0,186423000.0,283562000.0,281000.0,32309000.0,57443000.0,19393000.0,,-113417000.0,-58491000.0,11.897407724519216,-15.27487249394787,69.23076923076923,76836000.0,3.8144716828782816,516782000.0,12.241177814774916,19.158420883571893,-1.9390504522063223,44705445822.82106,-764.3132417435343,116.7478731306844
DOCU,2020-07-31,342209000,251594000,-58635000,63791000,310229000,-64560000,-56034000,-38097000.0,17937000.0,0.17,0.08,0.09,112.5,2053310000.0,1551419000.0,404262000.0,30415000.0,479105000.0,501891000.0,-1249549000.0,184862000.0,241546000.0,280000.0,33053000.0,118134000.0,18362000.0,,-87137000.0,-64560000.0,15.215290707265904,-18.86566396558828,112.5,136496000.0,3.091147280983321,509520000.0,13.291533782673023,18.640947491153067,-1.3497057001239157,43605406057.34264,-675.4245052252578,127.42331749703439
DOCU,2020-04-30,297017000,222985000,-41853000,54234000,264838000,-47804000,-38111000,-24072000.0,14039000.0,0.12,0.1,0.02,20.0,1921488000.0,1398700000.0,442237000.0,27613000.0,472162000.0,522788000.0,-1184989000.0,182978000.0,233838000.0,280000.0,21504000.0,59144000.0,26389000.0,,-46723000.0,-47804000.0,8.047436293857647,-16.0947016500739,19.99999999999999,85533000.0,2.6754630940266417,499775000.0,16.01553616050411,18.259560900554515,-0.9773868295540122,28102290414.27791,-587.8648316935383,94.61509076678408
DOCU,2020-01-31,274895000,206820000,-42353000,52094000,249173000,-47407000,-40673000,-27407000.0,13266000.0,0.12,0.05,0.07,140.0,1891138000.0,1344811000.0,241203000.0,20728000.0,465321000.0,546327000.0,-1137185000.0,180859000.0,250343000.0,280000.0,28144000.0,45505000.0,29975000.0,,-41216000.0,-47407000.0,10.177473527266322,-17.245493733971156,139.99999999999997,75480000.0,2.4615495847724898,486049000.0,11.636578541103821,18.950508375925352,-0.8694074714704579,17357295847.29315,-366.1336057395142,63.141548035770576
DOCU,2019-10-31,249502000,187538000,-43997000,48758000,231535000,-46598000,-38196000,-25541000.0,12655000.0,0.11,0.04,0.07,175.0,1786365000.0,1217003000.0,197697000.0,18743000.0,458578000.0,569362000.0,-1089778000.0,178314000.0,177385000.0,414000.0,29099000.0,-1869000.0,12280000.0,,-39310000.0,-46598000.0,5.895285469330935,-18.676403395563966,175.00000000000003,10411000.0,2.137485466188471,477321000.0,10.547777837059169,19.542127918814277,-0.8435984377011889,14320623987.453682,-307.3227174439607,57.396830436043324
DOCU,2019-07-31,235612000,174436000,-64722000,47517000,239158000,-68632000,-60191000,-47901000.0,12290000.0,0.01,0.04,-0.03,-75.0,1761836000.0,1195157000.0,224290000.0,17193000.0,451934000.0,566679000.0,-1043180000.0,175389000.0,154200000.0,133000.0,23452000.0,26405000.0,14554000.0,,-29841000.0,-68632000.0,10.118619194062495,-29.129246388129637,-75.0,40959000.0,2.109054685280379,469127000.0,13.045425463851567,20.167478736227356,-0.4347971791584101,10401105176.728424,-151.54891561849317,44.14505702904955
DOCU,2019-04-30,213962000,161943000,-42437000,37183000,204380000,-45722000,-37220000,-25249000.0,11971000.0,0.07,0.05,0.02,40.0,1738400000.0,1140718000.0,236476000.0,16921000.0,445385000.0,597682000.0,-974548000.0,172101000.0,130494000.0,167000.0,21436000.0,45655000.0,15237000.0,,-56137000.0,-45722000.0,7.124546892836392,-21.369215094269077,40.00000000000001,60892000.0,1.9085701091884981,462306000.0,13.975296968264287,17.378319514680175,-1.2277896854905734,11273897075.194475,-246.57488900735916,52.691118400437816
DOCU,2019-01-31,199732000,147039000,-62628000,42921000,209667000,-66244000,-57834000,-45831000.0,12003000.0,0.06,0.01,0.05,500.0,1615417000.0,1001055000.0,517811000.0,101760000.0,438932000.0,614362000.0,-928778000.0,167269000.0,185164000.0,367000.0,19590000.0,34137000.0,11317000.0,,-215332000.0,-66244000.0,11.96681335314067,-33.16644303366511,499.9999999999999,45454000.0,1.6294220671200368,540692000.0,5.088551493710692,21.48929565617928,-3.2505887325644585,10425237455.966051,-157.37632775747315,52.19613009415642
DOCU,2018-10-31,178385000,133312000,-58417000,38404000,191729000,-52813000,-55022000,-44679000.0,10343000.0,-0.11,-0.02,-0.09,-450.0,1719436000.0,909267000.0,1094133000.0,78384000.0,432572000.0,810169000.0,-862534000.0,167736000.0,142667000.0,367000.0,22059000.0,4261000.0,8576000.0,0.0,-67563000.0,-52813000.0,6.789229185124879,-29.606188861171063,-450.0,12837000.0,1.1223176892722382,510956000.0,13.95862676056338,21.52871597948258,-1.2792872966883153,8398107588.373417,-159.01591631555522,47.078552503705005
DOCU,2018-07-31,167044000,130683000,-37720000,33773000,168403000,-36714000,-34722000,-27641000.0,7081000.0,0.03,0.01,0.02,200.0,1169698000.0,426228000.0,818795000.0,71452000.0,0.0,743470000.0,-809721000.0,166083686.0,122125000.0,367000.0,16653000.0,22696000.0,4336000.0,0.0,530480000.0,-36714000.0,7.211439720681856,-21.978640358228972,199.99999999999994,27032000.0,0.573295492756937,71452000.0,11.459371326205005,20.218026388256984,14.448984038786294,10839512213.16053,-295.24192986763984,64.89016195230316
DOCU,2018-04-30,155808000,97514000,-267558000,70870000,365072000,-270687000,-269786000,-261186000.0,8600000.0,0.01,-0.07,0.08,114.2857,614472000.0,948200000.0,269429000.0,54739000.0,0.0,-333728000.0,-773007000.0,145337580.0,116158000.0,367000.0,13269000.0,14992000.0,6184000.0,0.0,5621000.0,-270687000.0,4.657629942098684,-173.73113062230436,114.28571428571428,21176000.0,-2.841235976603701,54739000.0,4.92206653391549,45.48546929554323,0.02076568139585573,10016996343.944475,-37.005827187653914,64.29064196924725
DOCU,2018-01-31,148874000,117399000,-6265000,23431000,123664000,-6352000,-3829000,4188000.0,8017000.0,,,,,619973000.0,410675000.0,256867000.0,68344000.0,,209298000.0,-743601000.0,129176000.0,138010000.0,16631000.0,23713000.0,31960000.0,3237000.0,,26433000.0,-6352000.0,14.001945033655216,-4.266695326249042,,35197000.0,1.9621544400806505,68344000.0,3.7584425845721645,15.738812687238873,4.161366498740554,,,
DOCU,2017-10-31,130589000,99373000,-12343000,22522000,111716000,-14505000,-12343000,-4025000.0,8318000.0,,,,,619973000.0,411120000.0,256867000.0,,,-338648000.0,-502320000.0,129176000.0,138010000.0,,23713000.0,11618000.0,4603000.0,,,-14505000.0,4.019339987096049,-11.107367389290063,,16221000.0,-1.2140039214759868,0.0,,17.24647558370154,,,,
DOCU,2017-07-31,125543000,97085000,-13781000,23767000,110866000,-12037000,-11747000,-4048000.0,7699000.0,,,,,,,,,,,,126553360.0,,,,12098000.0,4319000.0,,,-12037000.0,10.612521806551655,-9.587949945437021,,16417000.0,,0.0,,18.93136216276495,,,,
