ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
DXC,2025-06-30,3159000000,771000000,73000000,None,698000000,16000000,121000000,430000000,309000000,0.09,0.15,-0.06,-40,13438000000,10008000000,1792000000,1181000000,2963000000,3168000000,-3347000000,184960000,3056000000,None,650000000,186000000,43000000,None,-48000000,18000000,2828038400.0,15.29,184960000.0
DXC,2025-03-31,3169000000,768000000,329000000,None,439000000,264000000,396000000,714000000,318000000,0.84,0.77,0.07,9.0909,13205000000,9715000000,1796000000,1107000000,2841000000,3229000000,-3451000000,184840000,2972000000,None,549000000,315000000,175000000,None,-14000000,264000000,3151522000.0,17.05,184840000.0
DXC,2024-12-31,3225000000,809000000,154000000,None,655000000,57000000,197000000,524000000,327000000,0.92,0.77,0.15,19.4805,13033000000,9781000000,1723000000,428000000,3637000000,2990000000,-3715000000,184770000,2759000000,None,563000000,650000000,134000000,None,-12000000,63000000,3691704600.0,19.98,184770000.0
DXC,2024-09-30,3241000000,814000000,132000000,None,682000000,42000000,162000000,497000000,335000000,0.93,0.72,0.21,29.1667,13504000000,10268000000,1245000000,476000000,3618000000,2981000000,-3771000000,183880000,3104000000,None,708000000,195000000,112000000,None,-2000000,45000000,3815510000.0,20.75,183880000.0
DXC,2024-06-30,3236000000,710000000,83000000,None,627000000,26000000,140000000,473000000,333000000,0.74,0.58,0.16,27.5862,13353000000,10250000000,1317000000,1057000000,3548000000,2850000000,-3814000000,182930000,2996000000,None,676000000,238000000,155000000,None,-2000000,25000000,3406156600.0,18.62,182930000.0
DXC,2024-03-31,3386000000,449000000,156000000,None,1089000000,-200000000,-233000000,116000000,349000000,0.97,0.83,0.14,16.8675,13871000000,10805000000,1224000000,553000000,3576000000,2811000000,-3839000000,181060000,3253000000,None,846000000,280000000,86000000,None,-143000000,-200000000,3807691800.0,21.03,181060000.0
DXC,2023-12-31,3399000000,763000000,306000000,None,644000000,156000000,290000000,647000000,357000000,0.87,0.77,0.1,12.987,14892000000,11526000000,1691000000,1444000000,3880000000,3107000000,-3762000000,191930000,3132000000,555000000,870000000,706000000,72000000,None,-250000000,140000000,4381761900.0,22.83,191930000.0
DXC,2023-09-30,3436000000,803000000,511000000,None,803000000,99000000,-2059000000,574000000,2633000000,0.7,0.67,0.03,4.4776,14709000000,11242000000,1412000000,1458000000,3791000000,3467000000,-4143000000,203060000,3146000000,559000000,618000000,248000000,109000000,None,-220000000,99000000,4294718999.9999995,21.15,203060000.0
DXC,2023-06-30,3446000000,727000000,138000000,None,727000000,36000000,144000000,495000000,351000000,0.63,0.82,-0.19,-23.1707,15293000000,11690000000,1576000000,1508000000,3891000000,3603000000,-4445000000,213750000,3285000000,652000000,701000000,127000000,140000000,None,-285000000,42000000,5711400000.0,26.72,213750000.0
DXC,2023-03-31,3591000000,849000000,-1221000000,None,762000000,-758000000,-1100000000,-718000000,382000000,1.02,1.03,-0.01,-0.9709,15845000000,12025000000,1858000000,1349000000,3900000000,3820000000,-4665000000,223920000,3441000000,570000000,782000000,415000000,89000000,0,-344000000,-758000000,5723395200.0,25.56,223920000.0
