ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
EPAM,2025-06-30,1353443000,389431000,126476000,None,262955000,88026000,126476000,168402000,41926000,2.77,2.61,0.16,6.1303,4710696000,1042334000,1041344000,40433000,25038000,3667780000,2360343000,56898000,1158956000,None,45278000,53198000,9831000,None,-196533000,88026000,10060704360.0,176.82,56898000
EPAM,2025-03-31,1301692000,349684000,99330000,None,250354000,73482000,99330000,140696000,41366000,2.41,2.27,0.14,6.1674,4723612000,1080396000,1173639000,39468000,25059000,3642634000,2468955000,57262000,1090080000,None,44455000,24162000,9329000,None,-159998000,73482000,9668116080.0,168.84,57262000
EPAM,2024-12-31,1248351000,380037000,136512000,None,243525000,103299000,136512000,172562000,36050000,2.84,2.75,0.09,3.2727,4750473000,1119322000,1286267000,39634000,25194000,3629211000,2555796000,57435000,1002175000,None,44702000,130259000,15727000,None,-13003000,103299000,13429451700.0,233.82,57435000
EPAM,2024-09-30,1167527000,403535000,176979000,None,226556000,136346000,176979000,205993000,29014000,3.12,2.7,0.42,15.5556,4457197000,902568000,2036394000,37561000,25331000,3554047000,2465269000,57425000,935077000,None,30774000,241962000,4966000,None,-49955000,136346000,11429297750.0,199.03,57425000
EPAM,2024-06-30,1146597000,335740000,120561000,None,215179000,98645000,120561000,151021000,30460000,2.45,2.26,0.19,8.4071,4223329000,825370000,1787182000,36829000,25501000,3397377000,2379332000,58149000,960866000,-102612000,30954000,57027000,4704000,None,-214477000,98645000,10791291420.0,185.58,58149000
EPAM,2024-03-31,1165465000,331131000,110532000,None,220599000,116243000,110532000,142112000,31580000,2.46,2.32,0.14,6.0345,4374577000,898892000,1983721000,36205000,25787000,3475110000,2496757000,58931000,931409000,1,27247000,129920000,6749000,None,-120593000,116243000,16032178550.0,272.05,58931000
EPAM,2023-12-31,1157257000,359624000,122494000,None,237130000,97554000,122494000,155712000,33218000,2.75,2.5,0.25,10,4352365000,880895000,2036235000,36558000,26126000,3470891000,2501107000,58913000,897032000,1,31992000,171369000,9995000,23143000,-36491000,97554000,17156643860.000002,291.22,58913000
EPAM,2023-09-30,1152136000,357871000,114028000,None,243843000,97204000,139950000,173256000,33306000,2.73,2.56,0.17,6.6406,4162272000,862254000,1872977000,38294000,27500000,3299439000,2440043000,58948000,913029000,1,25415000,214879000,3624000,None,-78486000,97204000,14845464320.0,251.84,58948000
EPAM,2023-06-30,1170206000,361491000,144346000,None,217145000,120033000,144346000,177699000,33353000,2.64,2.34,0.3,12.8205,4093697000,830357000,1776919000,39001000,25854000,3262761000,2421326000,59181000,917536000,None,27289000,89052000,6883000,23143000,-41437000,120033000,13300929750.0,224.75,59181000
EPAM,2023-03-31,1210941000,355040000,120371000,None,234669000,102292000,120371000,153196000,32825000,2.47,2.34,0.13,5.5556,4071345000,940903000,1749422000,40932000,28253000,3128964000,2342730000,59298000,934236000,None,28857000,87334000,7913000,None,-8510000,102292000,17730102000.0,299.0,59298000
EPAM,2022-12-31,1231303000,398575000,170477000,None,228098000,155039000,170477000,204064000,33587000,2.93,2.68,0.25,9.3284,4009151000,1006141000,1681344000,43213000,27693000,3001532000,2248948000,59349000,932626000,1,30852000,186069000,21495000,None,-4455000,155039000,19669445580.0,331.42,59349000
EPAM,2022-09-30,1226920000,400124000,180227000,None,219897000,156054000,180227000,213402000,33175000,3.1,2.53,0.57,22.5296,3735603000,976959000,1487599000,46392000,28198000,2757166000,2093909000,59357000,917139000,1,28288000,252368000,18708000,9203000,-1305000,156054000,21498511830.0,362.19,59357000
EPAM,2022-06-30,1194861000,348538000,93020000,None,255518000,18604000,93020000,127261000,34241000,2.38,1.72,0.66,38.3721,3563964000,939958000,1293518000,47826000,30221000,2622353000,1937855000,59020000,929217000,1,22488000,77515000,18152000,None,-16920000,18604000,17397915600.0,294.78,59020000
EPAM,2022-03-31,1171614000,390778000,129242000,None,261536000,89719000,129242000,168288000,39046000,2.49,1.77,0.72,40.678,3507570000,953814000,1276461000,56921000,30550000,2552103000,1919251000,58941000,901260000,None,19406000,-51848000,23274000,None,-3876000,89719000,17482490010.0,296.61,58941000
EPAM,2021-12-31,1107464000,380197000,165667000,None,214530000,142279000,165667000,204321000,38654000,2.76,2.51,0.25,9.9602,3523227000,1027390000,1446625000,66122000,30234000,2487117000,1829532000,59254000,768928000,None,24847000,284614000,56617000,None,-7490000,142279000,39608336300.0,668.45,59254000
