ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,revenueGrowthPct,netIncomeMarginPct,epsSurprisePct,freeCashFlow,debtToEquityRatio,totalDebt,cashRatio,rdIntensityPct,buybackRatio,marketCap,peRatio,psRatio
FRSH,2025-06-30,204678000.0,173536000.0,-8656000.0,39943000.0,182192000.0,-1739000.0,-14937000.0,-8656000.0,6281000.0,0.18,0.11,0.07,63.6364,1480826000.0,496184000.0,485970000.0,18416000.0,,984642000.0,-3738920000.0,294435000.0,115864000.0,,4899000.0,58591000.0,380000.0,,-113586000.0,-1739000.0,4.282300673042139,-0.8496272193396458,63.636363636363626,58971000.0,0.5039232533245586,18416000.0,26.38846655082537,19.515043140933564,-65.31684876365728,3547584885.2042656,-2040.0143100657076,17.332516856742128
FRSH,2025-03-31,196273000.0,166395000.0,-10416000.0,40001000.0,176406000.0,-1304000.0,-10011000.0,-10416000.0,-405000.0,0.18,0.13,0.05,38.4615,1541180000.0,479350000.0,594243000.0,18526000.0,,1061830000.0,-3737181000.0,301280000.0,112295000.0,,2146000.0,57973000.0,1296000.0,,-113610000.0,-1304000.0,0.8747449517142902,-0.6643807349966628,38.46153846153845,59269000.0,0.45143761242383434,18526000.0,32.07616323005506,20.380286641565572,-87.12423312883436,4059141305.5899296,-3112.8384245321545,20.681098804165266
FRSH,2024-12-31,194571000.0,165112000.0,-23792000.0,41028000.0,188904000.0,-21900000.0,-14128000.0,-7765000.0,6363000.0,0.14,0.1,0.04,40.0,1611884000.0,473963000.0,620315000.0,16146000.0,,1137921000.0,-3735877000.0,303560000.0,122910000.0,,1619000.0,41362000.0,5067000.0,,-13693000.0,-21900000.0,4.285676001607941,-11.255531399848898,40.00000000000001,46429000.0,0.41651661231315706,16146000.0,38.419113093026134,21.086390058127883,-0.6252511415525114,3804552788.9313984,-173.72387164070312,19.553544921552536
FRSH,2024-09-30,186575000.0,156769000.0,-38864000.0,47885000.0,195633000.0,-29959000.0,-45203000.0,-38864000.0,6339000.0,0.11,0.08,0.03,37.5,1575184000.0,440158000.0,391101000.0,11254000.0,,1135026000.0,-3713977000.0,302096000.0,99169000.0,,6956000.0,42329000.0,1056000.0,,,-29959000.0,7.146343844576775,-16.057349591317166,37.5,43385000.0,0.38779552186469735,11254000.0,34.75217700373201,25.66528205815356,,2779060561.091469,-92.76212694320468,14.895139011611786
FRSH,2024-06-30,174131000.0,145956000.0,-43787000.0,40993000.0,189743000.0,-20184000.0,-43787000.0,-40041000.0,3746000.0,0.08,0.06,0.02,33.3333,1543584000.0,428485000.0,310269000.0,7986000.0,,1115099000.0,-3684018000.0,299805000.0,100866000.0,1.0,9771000.0,36336000.0,3514000.0,,-15020000.0,-20184000.0,5.44255584553992,-11.59127323681596,33.33333333333334,39850000.0,0.3842573619023961,7986000.0,38.851615326821936,23.54147165065382,-0.7441537851763773,3064580428.909301,-151.8321655226566,17.599281167105804
FRSH,2024-03-31,165143000.0,139253000.0,-32167000.0,34684000.0,171420000.0,-23325000.0,-32167000.0,-29200000.0,2967000.0,0.1,0.08,0.02,25.0,1467446000.0,389315000.0,468017000.0,3480000.0,,1078131000.0,-3663834000.0,297870000.0,84324000.0,1.0,1517000.0,40619000.0,1946000.0,,-22964000.0,-23325000.0,3.142819668854724,-14.124122729997637,25.000000000000007,42565000.0,0.36110175850615556,3480000.0,134.4876436781609,21.00240397715919,-0.9845230439442658,4863355981.91007,-208.5040077989312,29.449361958484893
FRSH,2023-12-31,160111000.0,133102000.0,-40041000.0,35834000.0,173143000.0,-28081000.0,-40041000.0,-36995000.0,3046000.0,0.08,0.05,0.03,60.0,1456772000.0,384510000.0,488121000.0,5398000.0,,1072262000.0,-3640509000.0,296001000.0,97179000.0,,3485000.0,30866000.0,2275000.0,,-16196000.0,-28081000.0,4.272875284923483,-17.53845769497411,60.0,33141000.0,0.3585970593008052,5398000.0,90.42626898851427,22.38072337315987,-0.5767600868914925,4763423994.137203,-169.63156561864616,29.75076037334851
FRSH,2023-09-30,153550000.0,127287000.0,-38735000.0,34885000.0,166022000.0,-31033000.0,-38735000.0,-35751000.0,2984000.0,0.08,0.05,0.03,60.0,1418088000.0,359604000.0,458249000.0,7724000.0,,1058484000.0,-3612428000.0,294146000.0,80294000.0,22155000.0,2688000.0,23913000.0,1842000.0,,-24045000.0,-31033000.0,5.8388877783828175,-20.2103549332465,60.0,25755000.0,0.3397349416712959,7724000.0,59.327938891765925,22.718984044285246,-0.7748203525279541,4739630577.272867,-152.72872675129273,30.867017761464457
FRSH,2023-06-30,145079000.0,120218000.0,-43289000.0,34180000.0,163507000.0,-35658000.0,-48168000.0,-43289000.0,4879000.0,0.07,0.02,0.05,250.0,1400307000.0,342654000.0,356220000.0,5781000.0,,1057653000.0,-3581395000.0,291995000.0,73909000.0,21694000.0,1686000.0,19895000.0,1815000.0,,-15303000.0,-35658000.0,5.3648723237370355,-24.57833318398941,250.0,21710000.0,0.32397582193781893,5781000.0,61.61909704203425,23.559577885152226,-0.42916035672219416,3749828247.8186016,-105.16092455602113,25.846802416742612
FRSH,2023-03-31,137692000.0,112456000.0,-48107000.0,32857000.0,160563000.0,-42664000.0,-48107000.0,-44995000.0,3112000.0,0.03,-0.02,0.05,250.0,1390842000.0,340400000.0,344487000.0,7266000.0,,1050442000.0,-3545737000.0,290133000.0,72807000.0,20761000.0,4415000.0,11504000.0,2408000.0,,-12434000.0,-42664000.0,3.395659683111818,-30.985097173401506,250.0,13912000.0,0.32405406486031596,7266000.0,47.410817506193226,23.86267902274642,-0.2914400900056254,3654654807.2720976,-85.66132587830718,26.54224506341761
FRSH,2022-12-31,133170000.0,108014000.0,-60608000.0,34658000.0,168622000.0,-55477000.0,-62340000.0,-57678000.0,4662000.0,0.01,-0.04,0.05,125.0,1380216000.0,328398000.0,304083000.0,6775000.0,,1051818000.0,-3503073000.0,288457000.0,70470000.0,20139000.0,5908000.0,7167000.0,3129000.0,,-15508000.0,-55477000.0,3.4249767008387666,-41.65878200795975,125.0,10296000.0,0.3122194143853785,6775000.0,44.88309963099631,26.025381091837502,-0.27953926852569533,3499998278.3864336,-63.089177107385645,26.282182761781435
FRSH,2022-09-30,128760000.0,104581000.0,-58288000.0,35871000.0,162869000.0,-57843000.0,-59855000.0,-55493000.0,4362000.0,-0.01,-0.05,0.04,80.0,1363085000.0,303082000.0,432313000.0,5334000.0,,1060003000.0,-3447596000.0,286697000.0,56835000.0,,3873000.0,-4223000.0,3013000.0,,-13367000.0,-57843000.0,6.034653139205481,-44.92311276794035,80.0,-1210000.0,0.2859256058709268,5334000.0,81.0485564304462,27.858807082945013,-0.23109105682623654,3119304970.0220976,-53.927095240947004,24.22572980756522
FRSH,2022-06-30,121432000.0,97390000.0,-67352000.0,34297000.0,164742000.0,-69753000.0,-68793000.0,-64546000.0,4247000.0,-0.06,-0.07,0.01,14.2857,1378288000.0,298678000.0,590107000.0,5859000.0,,1079610000.0,-3389753000.0,284761000.0,55415000.0,17012000.0,6291000.0,-6824000.0,3362000.0,,-18401000.0,-69753000.0,5.927405636923511,-57.442025166348245,14.285714285714295,-3462000.0,0.2766536063949019,5859000.0,100.71804062126643,28.24379076355491,-0.2638022737373303,3749828247.8186016,-53.758666262649655,30.88006660368438
FRSH,2022-03-31,114637000.0,92242000.0,-47124000.0,30717000.0,139366000.0,-49059000.0,-48579000.0,-44151000.0,4428000.0,-0.01,-0.05,0.04,80.0,1390681000.0,279463000.0,603466000.0,4534000.0,,1111218000.0,-3320000000.0,278186000.0,48482000.0,,3798000.0,1355000.0,2741000.0,,-119948000.0,-49059000.0,8.681266590822911,-42.79508361174839,80.0,4096000.0,0.25149250642088233,4534000.0,133.0979267754742,26.795013826251555,-2.4449744185572473,4358937268.908531,-88.85091968667382,38.023825369719475
FRSH,2021-12-31,105480000.0,85082000.0,-56375000.0,29030000.0,141457000.0,-74736000.0,-56500000.0,-52998000.0,3502000.0,-0.06,-0.06,0.0,0.0,1482812000.0,244773000.0,747861000.0,3260000.0,,1238039000.0,-3270941000.0,269502000.0,51756000.0,14640000.0,6321000.0,4844000.0,2011000.0,,-3343000.0,-74736000.0,9.176723870246551,-70.8532423208191,0.0,6855000.0,0.19771024983865612,3260000.0,229.40521472392638,27.52180508153204,-0.04473078569899379,8380009742.865875,-112.12815434149373,79.4464329054406
FRSH,2021-09-30,96614000.0,74378000.0,-140253000.0,57087000.0,214631000.0,-107415000.0,-141243000.0,-137869000.0,3374000.0,-0.04,-0.1,0.06,60.0,1487505000.0,219630000.0,1179958000.0,19892000.0,,1267875000.0,-3196205000.0,287790000.0,44298000.0,13001000.0,3184000.0,-2046000.0,2143000.0,,,-107415000.0,9.3648475792667,-111.17953919721779,60.0,97000.0,0.17322685595977522,19892000.0,59.31821837924794,59.087709855714486,,10157370585.33839,-94.561938140282,105.13352708032366
FRSH,2021-06-30,88341000.0,69638000.0,-6439000.0,18895000.0,76077000.0,-7429000.0,-6307000.0,-3090000.0,3217000.0,-0.08,0.0,-0.08,,379844000.0,3468635000.0,104796000.0,3998000.0,,-3088791000.0,-3088790000.0,281433200.0,40379000.0,11687000.0,8146000.0,885000.0,2020000.0,,,-7429000.0,9.621899313785098,-8.40945880168891,-inf,2905000.0,-1.1229749762933134,3998000.0,26.212106053026513,21.38870965916166,,,,
FRSH,2021-03-31,80587000.0,63894000.0,-1715000.0,15395000.0,65609000.0,-2415000.0,-1715000.0,1486000.0,3201000.0,-0.0956,0.0,-0.0956,,373176000.0,177463000.0,120832000.0,,,195713000.0,-2559018000.0,252901000.0,37102000.0,1.0,4495000.0,7777000.0,2943000.0,,,-2415000.0,10.391638470705878,-2.996761264223758,-inf,10720000.0,0.9067512122342409,0.0,,19.103577500093067,,,,
FRSH,2020-12-31,73001000.0,57529000.0,-3387000.0,16148000.0,60916000.0,-1535000.0,-3387000.0,-433000.0,2954000.0,-4.9436,0.0,-4.9436,,367424000.0,3064165000.0,95382000.0,17385000.0,,-2696741000.0,-2697153000.0,252901000.0,34270000.0,9167000.0,3710000.0,13481000.0,1558000.0,,,-1535000.0,10.295073050599068,-2.102710921768195,-inf,15039000.0,-1.1362474186434663,17385000.0,5.486453839516825,22.12024492815167,,,,
FRSH,2020-09-30,66187000.0,53024000.0,53000.0,13249000.0,52971000.0,1387000.0,-147000.0,2690000.0,2837000.0,-9.4622,0.0,-9.4622,,,,,,,,,252901000.0,,,,12761000.0,2498000.0,,,1387000.0,17.196989818503774,2.0955776814178013,-inf,15259000.0,,0.0,,20.0175261002916,,,,
FRSH,2020-06-30,56475000.0,44752000.0,-4142000.0,12268000.0,48894000.0,-3421000.0,-4142000.0,-2756000.0,1386000.0,-9.4622,0.0,-9.4622,,,,,,,,,76828000.0,,,,5749000.0,1218000.0,,,-3421000.0,4.591080820801552,-6.057547587428066,-inf,6967000.0,,0.0,,21.722886232846392,,,,
FRSH,2020-03-31,53996000.0,41862000.0,-48436000.0,29345000.0,93201000.0,-155889000.0,-48436000.0,-47044000.0,1392000.0,-0.0445,0.0,-0.0445,,,,-222862000.0,,,211851000.0,,76828000.0,,,,539000.0,1338000.0,,,-53725000.0,86.373049841226,-288.7047188680643,-inf,1877000.0,,0.0,,54.34661826801985,,,,
FRSH,2019-12-31,,,,,,,,,,-2.0291,0.0,-2.0291,,,,,,,,,,,,,,,,,,0.0,,-inf,,,0.0,,,,,,
FRSH,2019-03-31,28972000.0,24778000.0,3902000.0,,15196000.0,1806000.0,3857000.0,5335000.0,1478000.0,,,,,238995000.0,137961000.0,366000.0,8400000.0,,101034000.0,-20512000.0,16993000.0,2790000.0,547000.0,4843000.0,-52000.0,307000.0,,-366000.0,1806000.0,-9.558593993881503,6.233604859864697,,255000.0,1.3654908248708355,8400000.0,0.04357142857142857,,0.2026578073089701,,,
FRSH,2018-12-31,32034000.0,27276000.0,3970000.0,,17195000.0,1997000.0,3880000.0,5444000.0,1564000.0,,,,,246724000.0,147701000.0,5766000.0,11400000.0,,99023000.0,-22318000.0,17000858.0,3564000.0,549000.0,4773000.0,5221000.0,79000.0,,-29000.0,1997000.0,11.113423517169618,6.234001373540613,,5300000.0,1.4915827636003756,11400000.0,0.5057894736842106,,0.014521782674011016,,,
FRSH,2018-09-30,28830000.0,24614000.0,513000.0,,15577000.0,-639000.0,456000.0,2118000.0,1662000.0,,,,,245827000.0,148718000.0,3359000.0,3000000.0,,97109000.0,-24315000.0,16963084.0,3088000.0,590000.0,3889000.0,1634000.0,200000.0,,,-639000.0,-6.374825447341925,-2.2164412070759627,,1834000.0,1.5314543451173424,3000000.0,1.1196666666666666,,,,,
FRSH,2018-06-30,30793000.0,25478000.0,3282000.0,,15826000.0,1386000.0,3230000.0,5104000.0,1874000.0,,,,,246446000.0,148891000.0,1689000.0,3000000.0,,97555000.0,-23676000.0,16953077.0,2768000.0,621000.0,3472000.0,-867000.0,217000.0,,,1386000.0,-11.443115150120786,4.501022959763583,,-650000.0,1.5262262313566706,3000000.0,0.563,,,,,
FRSH,2018-03-31,34772000.0,28646000.0,3504000.0,,17368000.0,1580000.0,3453000.0,5594000.0,2141000.0,,,,,259892000.0,163985000.0,1519000.0,5600000.0,,95907000.0,-25062000.0,16944894.0,4810000.0,819000.0,4596000.0,4252000.0,80000.0,,,1580000.0,13.112780976545979,4.543885885194984,,4332000.0,1.7098334845214636,5600000.0,0.27125,,,,,
FRSH,2017-12-31,30741000.0,24159000.0,2619000.0,,4602000.0,13463000.0,2564000.0,4657000.0,2093000.0,,,,,246174000.0,144003000.0,2174000.0,8400000.0,,102171000.0,-18613000.0,16870013.0,3788000.0,719000.0,5389000.0,7312000.0,1030000.0,,1000.0,13463000.0,14.602594691321213,43.79493184997235,,8342000.0,1.4094312476142936,8400000.0,0.2588095238095238,,-7.427764985515858e-05,,,
FRSH,2017-09-30,26824000.0,20966000.0,-2081000.0,,7549000.0,-1869000.0,-2138000.0,198000.0,2336000.0,,,,,246674000.0,158164000.0,900000.0,8400000.0,,88510000.0,-32076000.0,16863122.0,3044000.0,787000.0,4757000.0,4561000.0,698000.0,,-2000.0,-1869000.0,-7.827640711978557,-6.967640918580376,,5259000.0,1.7869619252061915,8400000.0,0.10714285714285714,,-0.001070090957731407,,,
