ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
FTNT,2025-06-30,1630000000,1328300000,456700000,209500000,871600000,440100000,502800000,521900000,-35800000,0.64,0.59,0.05,8.4746,10641400000,8581000000,3368500000,499000000,496300000,2060400000,364400000,774800000,1215700000,405200000,245200000,451900000,167800000,None,-401100000,440100000,81911856000.0,105.72,774800000
FTNT,2025-03-31,1539700000,1246600000,453800000,198600000,792800000,433400000,524200000,560000000,35800000,0.58,0.53,0.05,9.434,10407000000,8444100000,3596600000,498700000,496200000,1962900000,316300000,776800000,1174000000,362700000,224500000,863300000,66500000,None,None,433400000,74774768000.0,96.26,776800000
FTNT,2024-12-31,1660100000,1345600000,574100000,191100000,771500000,526200000,623300000,658500000,35200000,0.74,0.61,0.13,21.3115,9763100000,8269300000,2875900000,32700000,994300000,1493800000,-117100000,775200000,1463400000,315500000,190900000,477600000,97600000,None,0,526200000,73240896000.0,94.48,775200000
FTNT,2024-09-30,1508100000,1244700000,470900000,187300000,773800000,539900000,631400000,661200000,29800000,0.63,0.52,0.11,21.1538,8852000000,7943900000,2489300000,None,993800000,908100000,-643300000,771900000,1044100000,354300000,177900000,608100000,36300000,None,-600000,539900000,59860845000.0,77.55,771900000
FTNT,2024-06-30,1434300000,1159300000,437200000,165400000,722100000,379800000,473300000,502500000,29200000,0.57,0.41,0.16,39.0244,8052900000,7764700000,2203200000,1,993300000,288200000,-1182600000,769900000,1083400000,383200000,132100000,342000000,23100000,None,-20200000,379800000,46078515000.0,59.85,769900000
FTNT,2024-03-31,1353300000,1048600000,321200000,173000000,727400000,299300000,350500000,379100000,28600000,0.43,0.38,0.05,13.1579,7662100000,7799600000,1926300000,1,992800000,-137500000,-1562400000,770500000,996200000,439500000,135200000,830400000,221900000,None,-42900000,299300000,52255309999.99999,67.82,770500000
FTNT,2023-12-31,1415100000,1099200000,385400000,152500000,713800000,310900000,421000000,451200000,30200000,0.51,0.43,0.08,18.6047,7258900000,7722300000,1397900000,33400000,992300000,-463400000,-1861700000,772300000,1402000000,484800000,204300000,191700000,26900000,None,-896200000,310900000,44623494000.0,57.78,772300000
FTNT,2023-09-30,1334600000,1016900000,303200000,156900000,713700000,322900000,333200000,361500000,28300000,0.41,0.36,0.05,13.8889,7479300000,7405200000,2186800000,220100000,991800000,74100000,-1299400000,791200000,1013800000,467500000,253900000,551200000,70100000,None,-604300000,322900000,46388056000.0,58.63,791200000
FTNT,2023-06-30,1292800000,997000000,279000000,153300000,718000000,266300000,304400000,331800000,27400000,0.38,0.34,0.04,11.7647,7486100000,7164900000,2376300000,183000000,991300000,321200000,-1032400000,795900000,1078800000,376300000,238300000,515100000,76800000,None,-25200000,266300000,60162081000.0,75.59,795900000
FTNT,2023-03-31,1262300000,954500000,273500000,151100000,681000000,247700000,296100000,323600000,27500000,0.34,0.29,0.05,17.2414,6832300000,6820900000,2304200000,None,990900000,11400000,-1298700000,793400000,1087200000,302700000,238400000,677500000,30300000,None,-34500000,247700000,52729363999.99999,66.46,793400000
