ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
GEHC,2025-06-30,5006000000,1985000000,654000000,302000000,1329000000,486000000,726000000,874000000,148000000,1.06,0.92,0.14,15.2174,35500000000,25547000000,3763000000,2132000000,8270000000,9713000000,4295000000,458000000,4475000000,2283000000,2975000000,94000000,86000000,16000000,-100000000,500000000,33924059999.999996,74.07,458000000.0
GEHC,2025-03-31,4777000000,2012000000,629000000,344000000,1383000000,564000000,803000000,939000000,136000000,1.01,0.91,0.1,10.989,33586000000,24168000000,2473000000,2121000000,6757000000,9188000000,3810000000,459000000,4350000000,2158000000,3152000000,250000000,152000000,16000000,None,588000000,37045890000.0,80.71,459000000.0
GEHC,2024-12-31,5319000000,2275000000,801000000,344000000,1474000000,720000000,945000000,1085000000,140000000,1.57,1.26,0.31,24.6032,33089000000,24436000000,2890000000,1617000000,7449000000,8447000000,3262000000,459000000,4376000000,1939000000,3022000000,913000000,102000000,14000000,None,738000000,35884620000.0,78.18,459000000.0
GEHC,2024-09-30,4863000000,2026000000,676000000,316000000,1349000000,471000000,788000000,931000000,143000000,1.14,1.05,0.09,8.5714,33855000000,25345000000,3568000000,1121000000,9306000000,8317000000,2558000000,459000000,4275000000,2124000000,2911000000,738000000,90000000,13000000,None,489000000,43077150000.0,93.85,459000000.0
GEHC,2024-06-30,4839000000,2002000000,608000000,327000000,1394000000,428000000,709000000,858000000,149000000,1,0.98,0.02,2.0408,31852000000,23856000000,2014000000,1120000000,8233000000,7801000000,2101000000,459000000,4126000000,2023000000,2824000000,-119000000,64000000,14000000,None,435000000,35003340000.0,76.26,459000000.0
GEHC,2024-03-31,4650000000,1902000000,540000000,324000000,1361000000,374000000,650000000,798000000,148000000,0.9,0.91,-0.01,-1.0989,32208000000,24609000000,2563000000,1117000000,8247000000,7408000000,1687000000,459000000,4092000000,1989000000,2931000000,419000000,145000000,14000000,None,388000000,41094270000.0,89.53,459000000.0
GEHC,2023-12-31,5206000000,2156000000,689000000,315000000,1467000000,403000000,755000000,899000000,144000000,1.18,1.07,0.11,10.2804,32454000000,25144000000,2504000000,1116000000,8436000000,7133000000,1326000000,458000000,4315000000,1960000000,2947000000,1050000000,94000000,13000000,None,416000000,34977460000.0,76.37,458000000.0
GEHC,2023-09-30,4822000000,1935000000,617000000,322000000,1318000000,375000000,774000000,927000000,153000000,0.99,0.9,0.09,10,32382000000,25079000000,2418000000,7000000,10253000000,7131000000,937000000,458000000,4147000000,2128000000,2774000000,650000000,80000000,14000000,None,386000000,31070720000.0,67.84,458000000.0
GEHC,2023-06-30,4817000000,1940000000,570000000,298000000,1370000000,418000000,692000000,848000000,156000000,0.92,0.87,0.05,5.7471,32311000000,24988000000,1939000000,5000000,10233000000,7102000000,576000000,458000000,4140000000,2264000000,2835000000,-67000000,70000000,14000000,-211000000,433000000,37207920000.0,81.24,458000000.0
GEHC,2023-03-31,4707000000,1891000000,559000000,270000000,1332000000,372000000,682000000,839000000,157000000,0.85,0.79,0.06,7.5949,32637000000,25740000000,2327000000,5000000,10234000000,6690000000,185000000,457000000,4097000000,2256000000,2977000000,468000000,143000000,0,None,383000000,37487710000.0,82.03,457000000.0
GEHC,2022-12-31,4938000000,1932000000,777000000,271000000,1155000000,554000000,781000000,938000000,157000000,1.21,1.06,0.15,14.1509,27539000000,17947000000,1445000000,119000000,8234000000,9357000000,0,453926139,3993000000,2155000000,3090000000,1042000000,77000000,None,None,567000000,27457992148.11,60.49,453926139.0
GEHC,2022-09-30,4576000000,1773000000,605000000,260000000,1168000000,488000000,607000000,767000000,160000000,1.11,0,1.11,None,26067000000,9189000000,498000000,12000000,31000000,16859000000,None,454710004,3645000000,2200000000,2687000000,622000000,74000000,None,None,494000000,,,
GEHC,2022-06-30,4484000000,1796000000,631000000,257000000,1165000000,485000000,661000000,818000000,157000000,2.56,0,2.56,None,26464000000,9190000000,523000000,6000000,None,17031000000,None,454710004,3428000000,2237000000,2702000000,-19000000,59000000,None,None,486000000,,,
GEHC,2022-03-31,4343000000,1678000000,509000000,238000000,1169000000,389000000,539000000,698000000,159000000,,,,,16896000000,None,-554000000,None,None,16896000000,None,454710004,None,None,None,468000000,100000000,None,None,402000000,,,
GEHC,2021-12-31,4589000000,1862000000,727000000,225000000,1135000000,564000000,761000000,915000000,154000000,,,,,26308000000,9412000000,556000000,110000000,31000000,16655000000,None,454710004,3791000000,1946000000,2729000000,-11000000,73000000,None,None,576000000,,,
GEHC,2021-09-30,4305000000,1767000000,653000000,200000000,1114000000,504000000,653000000,808000000,155000000,,,,,None,None,None,None,None,None,None,454710004,None,None,None,578000000,60000000,None,None,514000000,,,
GEHC,2021-06-30,4346000000,1773000000,708000000,195500000,1065000000,581000000,708000000,866000000,158000000,,,,,None,None,None,None,None,None,None,454710004,None,None,None,520000000,55000000,None,None,584500000,,,
GEHC,2021-03-31,4346000000,1773000000,708000000,195500000,1065000000,581000000,708000000,866000000,158000000,,,,,14974000000,None,-1007000000,None,None,14974000000,None,454710004,None,None,None,520000000,55000000,None,None,584500000,,,
