ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
GFAI,2025-06-30,18207186,2954963,-2480761,522503,5435724,-2236077,-2439777,-738993,1700784,,,,,47508660,13284096,23452268,3075510,None,34276168,-66217417,19996747,5002723,287812,4527716,-729610,482658,None,None,-2236077,22996259.049999997,1.15,19996747.0
GFAI,2025-03-31,18780529,3043992,-4640093,591225,7684085,-4016571,-4418208,-1763548,2654660,-0.33,0,-0.33,None,44692419,12703151,21936422,1715141,None,32049827,-64204840,11161053,6615822,387990,2004404,-1538214,272134,None,None,-3997106,11068416.2601,0.9917,11161053.0
GFAI,2024-12-31,,,,,,,,,,,,,,44692419,12703151,21936422,None,None,32049827,-64204840,17808947,5922345,387990,2004404,,,,,,25466794.209999997,1.43,17808947.0
GFAI,2024-06-30,17566844,3213470,-2081862,106835,5295332,-1847594,-2084375,-1371773,712602,-0.19,0,-0.19,None,36183978,12568730,13979217,1698126,None,23686105,-60188269,9991600,6058415,381155,2553826,-1829006,34442,None,None,-1847594,22081436.0,2.21,9991600.0
GFAI,2024-03-31,17867210,1728424,-10609450,84756,12337877,-15752442,-16145719,-13521480,2624239,,,,,45814948,20662173,20235227,4920218,None,25231825,-58340675,9830373,8817280,506403,2113401,-144839,1079237,None,-49664,-15786580,37355417.4,3.8,9830373.0
GFAI,2023-12-31,,,,,,,,,,,,,,45814948,20662173,20235227,None,44410,25231825,-58340675,9830373,5630805,650163,2113401,,,,,,32735142.09,3.33,9830373.0
GFAI,2023-09-30,18413292,1222866,-9029400,95322,10252266,-13819219,-9029401,-6410400,2619001,,,,,64144701,39091609,24755436,7798785,None,25144636,-42588233,3174282,13721705,1636245,2596576,-1046862,1046308,1218315,-49664,-13819219,13935097.979999999,4.39,3174282.0
GFAI,2023-06-30,18413292,1222866,-9029400,95322,10252266,-13819219,-12390108,-9771108,2619000,,,,,64144701,39091609,24755436,7628957,15164877,25144636,-42588233,3174282,13721705,1636245,2596576,-1046862,1046308,None,-49664,-13819219,15998381.28,5.04,3174282.0
GFAI,2023-03-31,17535426,466189,-6930460,99947,7396653,-12257972,-11141833,-7857804,3284029,0,0,0,None,61342675,42160373,6930639,10363877,None,19243631,-28769014,1569433,21848160,5105770,2060855,-5362445,2252717,None,-49664,-12257972,11111585.64,7.08,1569433.0
GFAI,2022-12-31,8788297.50,1017089.25,-878421.50,None,None,-1370481.75,-1307488,-991991,315497,-14.97,0,-14.97,None,61166974,42034672,6930639,7998654,15355467,19193631,-28769014,438430,21483647,5105770,2633995,244791,1312178.75,None,None,-1372913.50,71464.09,0.163,438430.0
GFAI,2022-09-30,None,None,None,None,None,None,-3372782,None,None,0,0,0,None,None,None,None,None,None,None,-28545514,None,20726623,None,2633995,-3019327,708426,None,None,-6128986,,,
GFAI,2022-06-30,16942522,767090,-5549640,None,6316726,-6306822,-6248536,-3551158,2697378,0,0,0,None,68859866,39430619,7728491,18906298,2446416,29421704,-16511042,880899,5652116,8769701,2748393,-13827792,5392214,None,None,-6306822,400104.3258,0.4542,880899.0
GFAI,2022-03-31,16748165,983411,-2392450,None,3375861,-3926653,-4125452,-1585708,2539744,0,0,0,None,42058756,35483777,14328783,19160973,None,6535044,-10204220,530046,5091556,1387549,675227,-1720598,2997373,None,None,-3926653,816270.84,1.54,530046.0
GFAI,2021-12-31,8788297.50,1017089.25,-1307488,None,1633321.25,-1372913.50,-1307488,-991991,315497,,,,,41752237,35227258,12728783,17424640,6191923,6485044,-10204220,438430,4965575,1387549,1028721,244791,1312178.75,None,None,-1372913.50,473504.4,1.08,438430.0
