ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
HPE,2025-07-31,9136000000,2365000000,247000000,622000000,2118000000,305000000,43000000,730000000,687000000,0.44,0.42,0.02,4.7619,77340000000,52938000000,4571000000,6799000000,16854000000,24402000000,-2786000000,1421000000,5656000000,7163000000,8662000000,1305000000,1075000000,200000000,0,305000000,29400490000.0,20.69,1421000000.0
HPE,2025-04-30,7588000000,2093000000,255000000,540000000,1838000000,-1050000000,-1045000000,-471000000,574000000,0.38,0.33,0.05,15.1515,67854000000,43927000000,11667000000,5152000000,12378000000,23867000000,-2892000000,1322000000,7806000000,8096000000,9316000000,-461000000,547000000,200000000,-50000000,-1050000000,21442840000.0,16.22,1322000000.0
HPE,2025-01-31,7810000000,2213000000,470000000,475000000,1743000000,627000000,915000000,1514000000,599000000,0.49,0.5,-0.01,-2,70327000000,45045000000,13431000000,4605000000,13272000000,25224000000,-1642000000,1409000000,7221000000,8577000000,10747000000,-390000000,528000000,196000000,-52000000,627000000,29856710000.0,21.19,1409000000.0
HPE,2024-10-31,8482000000,2561000000,823000000,527000000,1738000000,1366000000,1439000000,2079000000,640000000,0.58,0.56,0.02,3.5714,71262000000,46382000000,14846000000,5003000000,13504000000,24816000000,-2068000000,1337000000,7420000000,7810000000,11064000000,2030000000,608000000,169000000,-50000000,1366000000,26058129999.999996,19.49,1337000000.0
HPE,2024-07-31,7673000000,2342000000,566000000,547000000,1776000000,512000000,608000000,1233000000,625000000,0.5,0.47,0.03,6.383,60852000000,38718000000,3642000000,3864000000,7939000000,22077000000,-3240000000,1332000000,7562000000,7679000000,10085000000,1154000000,543000000,169000000,-52000000,512000000,26520120000.0,19.91,1332000000.0
HPE,2024-04-30,7182000000,2287000000,482000000,590000000,1805000000,314000000,617000000,1259000000,642000000,0.42,0.39,0.03,7.6923,59711000000,37977000000,2676000000,3767000000,7490000000,21680000000,-3583000000,1325000000,7486000000,7326000000,10119000000,1093000000,560000000,169000000,-45000000,314000000,22525000000.0,17.0,1325000000.0
HPE,2024-01-31,6731000000,2362000000,564000000,582000000,1798000000,387000000,483000000,1140000000,657000000,0.48,0.45,0.03,6.6667,58602000000,37134000000,3758000000,4957000000,7840000000,21416000000,-3728000000,1316000000,7410000000,6049000000,8125000000,64000000,656000000,169000000,-3000000,387000000,20121640000.0,15.29,1316000000.0
HPE,2023-10-31,7334000000,2470000000,560000000,578000000,1910000000,642000000,873000000,1528000000,655000000,0.52,0.5,0.02,4,57153000000,35915000000,4270000000,5062000000,7487000000,21182000000,-3946000000,1315000000,7024000000,4607000000,7136000000,2843000000,675000000,154000000,-55000000,642000000,20224700000.0,15.38,1315000000.0
HPE,2023-07-31,7018000000,2454000000,574000000,578000000,1880000000,464000000,536000000,1190000000,654000000,0.49,0.47,0.02,4.2553,56415000000,35738000000,2919000000,4486000000,8866000000,20622000000,-4433000000,1316000000,7166000000,4541000000,5604000000,1525000000,671000000,154000000,-187000000,464000000,22872080000.0,17.38,1316000000.0
HPE,2023-04-30,6996000000,2464000000,625000000,570000000,1839000000,418000000,563000000,1214000000,651000000,0.52,0.48,0.04,8.3333,55549000000,35128000000,2781000000,5004000000,8372000000,20366000000,-3178000000,1318000000,7427000000,4317000000,5501000000,889000000,688000000,155000000,-106000000,418000000,19031920000.0,14.44,1318000000.0
HPE,2023-01-31,7759000000,2535000000,655000000,623000000,1880000000,501000000,623000000,1279000000,656000000,0.63,0.54,0.09,16.6667,55591000000,35528000000,2530000000,5349000000,7577000000,20011000000,-5005000000,1315000000,7927000000,4644000000,6535000000,-829000000,794000000,156000000,-73000000,501000000,21210950000.0,16.13,1315000000.0
HPE,2022-10-31,7719000000,2368000000,591000000,515000000,1777000000,-304000000,25000000,643000000,618000000,0.57,0.56,0.01,1.7857,57123000000,37214000000,4163000000,4780000000,7853000000,19864000000,-5350000000,1296000000,7623000000,5161000000,8717000000,3036000000,1000000000,154000000,-128000000,-304000000,18493920000.0,14.27,1296000000.0
HPE,2022-07-31,6837000000,2209000000,471000000,509000000,1738000000,409000000,705000000,1325000000,620000000,0.48,0.48,0,0,57675000000,37011000000,3762000000,4743000000,9137000000,20611000000,-4891000000,1323000000,6974000000,5554000000,6861000000,1254000000,773000000,156000000,-197000000,409000000,19077660000.0,14.42,1323000000.0
HPE,2022-04-30,6656000000,2148000000,382000000,517000000,1766000000,250000000,623000000,1244000000,621000000,0.44,0.45,-0.01,-2.2222,56324000000,35742000000,3027000000,4596000000,8905000000,20532000000,-5145000000,1329000000,6777000000,5322000000,5671000000,379000000,725000000,156000000,-58000000,250000000,20440020000.0,15.38,1329000000.0
HPE,2022-01-31,6896000000,2206000000,501000000,504000000,1705000000,513000000,585000000,1206000000,621000000,0.53,0.46,0.07,15.2174,57873000000,37508000000,3861000000,3795000000,10277000000,20318000000,-5239000000,1325000000,7247000000,5321000000,6549000000,-76000000,624000000,155000000,-129000000,513000000,21637249999.999996,16.33,1325000000.0
HPE,2021-10-31,7322000000,2309000000,527000000,502000000,1782000000,2553000000,2864000000,3505000000,641000000,0.52,0.48,0.04,8.3333,57699000000,37682000000,3996000000,3744000000,9896000000,19971000000,-5597000000,1335000000,7911000000,4511000000,7004000000,2956000000,770000000,157000000,-213000000,2553000000,19971600000.0,14.96,1335000000.0
HPE,2021-07-31,6911000000,2314000000,517000000,506000000,1797000000,392000000,472000000,1115000000,643000000,0.47,0.42,0.05,11.9048,56437000000,39364000000,5293000000,3736000000,12489000000,17020000000,-7994000000,1338000000,7111000000,3942000000,6526000000,1130000000,684000000,157000000,-18000000,392000000,19387620000.0,14.49,1338000000.0
HPE,2021-04-30,6735000000,2238000000,536000000,503000000,1702000000,259000000,330000000,969000000,639000000,0.46,0.42,0.04,9.5238,54132000000,37521000000,4625000000,3531000000,12296000000,16560000000,-8229000000,1331000000,6781000000,3117000000,5533000000,822000000,535000000,156000000,-27000000,259000000,21322620000.0,16.02,1331000000.0
HPE,2021-01-31,6897000000,2242000000,615000000,468000000,1627000000,223000000,205000000,879000000,674000000,0.52,0.41,0.11,26.8293,53451000000,37192000000,4165000000,3727000000,11963000000,16212000000,-8332000000,1315000000,6816000000,2791000000,5196000000,963000000,513000000,155000000,-34000000,223000000,16279700000.000002,12.38,1315000000.0
HPE,2020-10-31,7267000000,2185000000,535000000,484000000,1650000000,157000000,208000000,860000000,652000000,0.37,0.34,0.03,8.8235,54015000000,37919000000,4233000000,3943000000,12186000000,16049000000,-8375000000,1287000000,7180000000,2674000000,5383000000,747000000,604000000,154000000,-1000000,157000000,11467170000.0,8.91,1287000000.0
HPE,2020-07-31,6793000000,1949000000,363000000,455000000,1586000000,9000000,-34000000,608000000,642000000,0.32,0.23,0.09,39.1304,58239000000,42033000000,8465000000,5727000000,13676000000,16155000000,-8377000000,1300000000,6653000000,3469000000,6001000000,1472000000,620000000,154000000,47000000,9000000,12830999999.999998,9.87,1300000000.0
HPE,2020-04-30,5961000000,1782000000,223000000,450000000,1559000000,-821000000,-677000000,-36000000,641000000,0.22,0.29,-0.07,-24.1379,54515000000,38257000000,5131000000,5162000000,11498000000,16210000000,-8385000000,1291000000,6240000000,3476000000,5482000000,100000000,591000000,154000000,-151000000,-821000000,12987460000.0,10.06,1291000000.0
HPE,2020-01-31,6923000000,2136000000,433000000,485000000,1703000000,333000000,440000000,1130000000,690000000,0.44,0.44,0,0,52244000000,35001000000,3171000000,4510000000,9306000000,17189000000,-7411000000,1315000000,6455000000,2560000000,5332000000,-79000000,568000000,156000000,-204000000,333000000,18317950000.0,13.93,1315000000.0
HPE,2019-10-31,7150000000,2260000000,593000000,438000000,1667000000,480000000,808000000,1424000000,616000000,0.49,0.46,0.03,6.5217,51803000000,34654000000,3753000000,4425000000,9395000000,17098000000,-7632000000,1323000000,6529000000,2387000000,5595000000,1432000000,703000000,147000000,-284000000,480000000,21710430000.0,16.41,1323000000.0
HPE,2019-07-31,7174000000,2348000000,614000000,481000000,1734000000,-27000000,-179000000,453000000,632000000,0.45,0.4,0.05,12.5,50760000000,33180000000,3693000000,2207000000,10453000000,17533000000,-7959000000,1334000000,8006000000,2216000000,5203000000,1196000000,625000000,150000000,-577000000,-27000000,19169580000.0,14.37,1334000000.0
HPE,2019-04-30,7104000000,2190000000,519000000,457000000,1671000000,419000000,480000000,1128000000,648000000,0.42,0.37,0.05,13.5135,51140000000,32899000000,3585000000,2114000000,10332000000,18198000000,-7765000000,1382000000,6596000000,2182000000,5483000000,987000000,799000000,154000000,-574000000,419000000,21849420000.0,15.81,1382000000.0
HPE,2019-01-31,7473000000,2194000000,517000000,466000000,1677000000,177000000,759000000,1398000000,639000000,0.42,0.35,0.07,20,51758000000,33423000000,3781000000,2073000000,10280000000,18293000000,-8034000000,1412000000,6670000000,2300000000,5789000000,382000000,729000000,157000000,-814000000,177000000,22013080000.0,15.59,1412000000.0
HPE,2018-10-31,7888000000,2309000000,632000000,439000000,1677000000,-757000000,699000000,1344000000,645000000,0.45,0.43,0.02,4.6512,55493000000,34219000000,4880000000,2005000000,10136000000,21239000000,-5899000000,1459000000,8942000000,2447000000,6092000000,1326000000,827000000,164000000,-983000000,-757000000,22249750000.0,15.25,1459000000.0
HPE,2018-07-31,7735000000,2264000000,608000000,434000000,1656000000,451000000,543000000,1184000000,641000000,0.44,0.37,0.07,18.9189,57513000000,34051000000,5193000000,2326000000,10296000000,23426000000,-5021000000,1531000000,6341000000,2771000000,6143000000,1249000000,767000000,170000000,-936000000,451000000,23638640000.0,15.44,1531000000.0
HPE,2018-04-30,7533000000,2251000000,603000000,402000000,1648000000,778000000,-64000000,591000000,655000000,0.34,0.31,0.03,9.6774,59876000000,35910000000,6986000000,3855000000,10305000000,23932000000,-5306000000,1582000000,6602000000,2848000000,6242000000,247000000,693000000,116000000,-907000000,778000000,26973100000.0,17.05,1582000000.0
HPE,2018-01-31,7720000000,2137000000,530000000,388000000,1607000000,1436000000,-620000000,15000000,635000000,0.34,0.22,0.12,54.5455,61619000000,37630000000,7673000000,3915000000,10040000000,23951000000,-6057000000,1619000000,6613000000,2431000000,5948000000,142000000,669000000,120000000,-742000000,1436000000,26551599999.999996,16.4,1619000000.0
HPE,2017-10-31,7737000000,2268000000,680000000,364000000,1588000000,524000000,-233000000,449000000,682000000,0.31,0.28,0.03,10.7143,61406000000,37901000000,9579000000,3850000000,10182000000,23466000000,-7238000000,1647000000,8455000000,2315000000,6072000000,826000000,732000000,105000000,-620000000,524000000,22926240000.0,13.92,1647000000.0
HPE,2017-07-31,7546000000,2143000000,468000000,508000000,1675000000,165000000,241000000,978000000,737000000,0.3,0.26,0.04,15.3846,70931000000,41881000000,7757000000,2069000000,14527000000,29012000000,-1676000000,1667000000,9245000000,2144000000,5717000000,891000000,724000000,107000000,-625000000,165000000,29189170000.000004,17.51,1667000000.0
HPE,2017-04-30,7443000000,2409000000,474000000,486000000,1935000000,-612000000,178000000,970000000,792000000,0.35,0.35,0,0,67470000000,38423000000,8101000000,2010000000,11904000000,29011000000,-1867000000,1658000000,7039000000,2041000000,5194000000,636000000,758000000,107000000,-670000000,-612000000,31054340000.0,18.73,1658000000.0
HPE,2017-01-31,11328000000,3118000000,874000000,485000000,2244000000,267000000,437000000,1277000000,840000000,0.45,0.44,0.01,2.2727,76662000000,45088000000,9858000000,3520000000,12270000000,31501000000,2760000000,1700000000,9404000000,1988000000,5535000000,-1464000000,923000000,109000000,-641000000,267000000,38556000000.0,22.68,1700000000.0
HPE,2016-10-31,12483000000,3667000000,1269000000,534000000,2398000000,302000000,1103000000,1975000000,872000000,0.61,0.6,0.01,1.6667,79679000000,48161000000,12987000000,3532000000,12608000000,31448000000,2782000000,1709000000,8259000000,1774000000,4945000000,2212000000,868000000,92000000,193000000,302000000,38401230000.0,22.47,1709000000.0
HPE,2016-07-31,12253000000,3405000000,912000000,555000000,2493000000,2272000000,912000000,1866000000,954000000,0.49,0.44,0.05,11.3636,78821000000,45995000000,10743000000,911000000,15354000000,32426000000,2486000000,1715000000,9981000000,1848000000,5030000000,1714000000,860000000,91000000,-1450000000,2272000000,36152200000.0,21.08,1715000000.0
HPE,2016-04-30,8509000000,3042000000,451000000,624000000,2269000000,320000000,672000000,1632000000,960000000,0.42,0.42,0,0,78064000000,46040000000,9010000000,965000000,15247000000,31634000000,301000000,1751000000,7707000000,2099000000,5289000000,1107000000,720000000,94000000,-15000000,320000000,28716399999.999996,16.4,1751000000.0
