ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,revenueGrowthPct,netIncomeMarginPct,epsSurprisePct,freeCashFlow,debtToEquityRatio,totalDebt,cashRatio,rdIntensityPct,buybackRatio,marketCap,peRatio,psRatio
HUBB,2025-06-30,1484300000,552100000,336300000,,215800000,244200000,329700000,378200000,48500000,4.93,4.4,0.53,12.0455,7149000000,3650200000,382600000,838000000,1044400000,3487700000,3821800000,54000000,899700000,1029600000,529500000,260600000,39900000,70200000,-100000000,237700000,8.723996484031638,16.452199690089607,12.04545454545453,300500000,1.0465923101184162,1882400000,0.45656324582338903,,0.4095004095004095,20572344929.52539,84.2438367302432,13.859964245452664
HUBB,2025-03-31,1365200000,451200000,239000000,,212200000,169700000,233700000,280400000,46700000,3.5,3.72,-0.22,-5.914,6922100000,3649900000,346900000,849500000,1044000000,3261400000,3627800000,54000000,902000000,848700000,545800000,37400000,26000000,70700000,-125000000,169700000,2.3158210297534287,12.430413126281865,-5.913978494623661,63400000,1.119120623045318,1893500000,0.40835785756327253,,0.7365939893930465,19552213413.368137,115.21634303693658,14.321867428485303
HUBB,2024-12-31,1334300000,450600000,258100000,,192500000,197000000,258400000,311700000,53300000,4.1,4.02,0.08,1.99,6679100000,3396400000,329100000,159600000,1442700000,3268300000,3651600000,54000000,756000000,841800000,541700000,432400000,68000000,70800000,-10000000,198200000,-7.507278524885619,14.764295885483026,1.9900497512437831,500400000,1.0391946883701006,1602300000,2.06203007518797,,0.050761421319796954,22404700595.69528,113.72944464819938,16.791351716776795
HUBB,2024-09-30,1442600000,497100000,303800000,,193300000,219400000,298200000,347500000,49300000,4.49,4.46,0.03,0.6726,6935000000,3706200000,435700000,325700000,1640300000,3215000000,3532200000,54000000,894800000,850000000,547500000,227000000,38200000,65500000,-10000000,219000000,-0.6815834767642026,15.208651046721197,0.6726457399103195,265200000,1.1527838258164853,1966000000,1.3377341111452257,,0.04557885141294439,20917618764.857788,95.34010375960706,14.499943688380554
HUBB,2024-06-30,1452500000,513800000,306300000,,207500000,217500000,305100000,354700000,49600000,4.37,4.24,0.13,3.066,6871700000,3805400000,397200000,144200000,1892700000,3052600000,3388900000,54100000,893200000,856500000,586700000,239600000,33900000,65500000,-10000000,208400000,3.8167393324279875,14.974182444061961,3.066037735849054,273500000,1.2466094476839416,2036900000,2.754507628294036,,0.04597701149425287,19319344773.46472,88.82457367110217,13.300753716671064
HUBB,2024-03-31,1399100000,447700000,228500000,,219200000,147800000,222500000,282400000,59900000,3.6,3.54,0.06,1.6949,6862100000,3919000000,388200000,252400000,1895700000,2930400000,3250200000,54000000,865600000,842400000,598500000,92200000,40300000,65500000,-10000000,147500000,3.9604696091544156,10.563933957544137,1.6949152542372896,132500000,1.3373600873600873,2148100000,1.5380348652931854,,0.06765899864682003,19782686795.907867,133.8476779154795,14.13958029869764
HUBB,2023-12-31,1345800000,456200000,225600000,,230600000,171000000,219500000,259100000,39600000,3.69,3.58,0.11,3.0726,6914000000,4024700000,336100000,148000000,2023200000,2877000000,3182700000,54000000,785400000,832900000,563500000,345500000,61900000,65400000,30000000,170600000,-2.1805494984736162,12.706197057512261,3.0726256983240186,407400000,1.3989224887035105,2171200000,2.270945945945946,,-0.17543859649122806,15525928495.01056,90.79490347959391,11.53657935429526
HUBB,2023-09-30,1375800000,487400000,276300000,,211100000,200100000,272800000,310400000,37600000,3.95,4.05,-0.1,-2.4691,5768300000,3017800000,572800000,33600000,1439700000,2739100000,3077300000,54000000,852900000,788400000,554700000,193900000,34900000,60000000,-10000000,200100000,0.7247968372501745,14.544265154819014,-2.469135802469127,228800000,1.101748749589281,1473300000,17.047619047619047,,0.04997501249375312,16219938504.518583,81.05916294112235,11.789459590433626
HUBB,2023-06-30,1365900000,496200000,287800000,,208400000,206800000,283000000,319900000,36900000,4.07,3.72,0.35,9.4086,5640900000,3009800000,492600000,32200000,1439100000,2620700000,2949500000,54000000,811200000,794100000,554800000,227700000,35500000,60100000,0,205300000,6.262641979150452,15.140200600336776,9.408602150537636,263200000,1.1484717823482276,1471300000,15.298136645962733,,0.0,14512081083.311155,70.1744733235549,10.62455603141603
HUBB,2023-03-31,1285400000,448300000,248800000,,199500000,181900000,244700000,280300000,35600000,3.61,2.47,1.14,46.1538,5480800000,2997700000,429800000,35800000,1438500000,2472700000,2806200000,53900000,778300000,779600000,545300000,113700000,33400000,60000000,-20000000,181900000,5.395211544768785,14.151236969036876,46.15384615384614,147100000,1.2123185182189509,1474300000,12.005586592178771,,0.10995052226498075,12500652765.658035,68.72266501186385,9.725107177266247
HUBB,2022-12-31,1219600000,366800000,172000000,,194800000,104600000,168500000,209400000,40900000,2.6,2.38,0.22,9.2437,5402600000,3032000000,440500000,35200000,1437900000,2360900000,2705500000,54000000,741600000,740700000,529900000,239500000,62100000,60000000,-32000000,122900000,-7.339310135237809,8.576582486061003,9.243697478991605,301600000,1.2842560040662458,1473100000,12.514204545454545,,0.30592734225621415,12092679784.880005,115.60879335449336,9.915283523187934
HUBB,2022-09-30,1316200000,398500000,203600000,,194900000,139100000,202900000,241100000,38200000,2.88,2.71,0.17,6.2731,5338400000,3008200000,366900000,33500000,1437300000,2318700000,2686200000,54000000,800500000,739000000,569900000,214200000,25300000,56300000,0,150300000,4.792993630573239,10.568302689560857,6.273062730627303,239500000,1.2973649027472292,1470800000,10.952238805970149,,0.0,11097273584.494797,79.77910556789934,8.4312973594399
HUBB,2022-06-30,1256000000,383200000,190600000,,192600000,122000000,188700000,223400000,34700000,2.81,2.41,0.4,16.5975,5238200000,2970300000,424200000,35200000,1436700000,2256900000,2603600000,53900000,780500000,719500000,550700000,166000000,20500000,56400000,-6000000,122000000,8.641121010293219,9.713375796178344,16.59751037344398,186500000,1.316097301608401,1471900000,12.051136363636363,,0.04918032786885246,9565701104.947876,78.40738610613013,7.616004064448946
HUBB,2022-03-31,1156100000,323100000,142900000,,180200000,180200000,146500000,181200000,34700000,2.12,1.85,0.27,14.5946,5169700000,2945300000,359000000,37600000,1436100000,2213300000,2538100000,54400000,777900000,708800000,548500000,-36500000,21400000,56900000,-144000000,102500000,62.762213149373515,15.586886947495893,14.594594594594595,-15100000,1.330727872407717,1473700000,9.547872340425531,,0.7991120976692564,9258868961.001602,51.38107081576916,8.008709420466744
HUBB,2021-12-31,710300000,200600000,106700000,,93900000,83000000,115200000,141700000,26500000,2.07,2.1,-0.03,-1.4286,5281500000,3040800000,286200000,36800000,1435500000,2229800000,2560000000,54800000,675300000,662100000,532800000,237000000,23700000,57100000,11200000,83000000,-34.43788074580026,11.685203435168239,-1.4285714285714404,260700000,1.363709749753341,1472300000,7.7771739130434785,,-0.13493975903614458,9933519063.666306,119.68095257429283,13.984962781453337
HUBB,2021-09-30,1083400000,301100000,145900000,,155200000,108400000,146600000,182300000,35700000,2.24,2.34,-0.1,-4.2735,5241700000,3063600000,257900000,158100000,1434900000,2168800000,2501300000,54700000,798300000,700700000,491900000,97500000,27400000,53300000,200000,108500000,2.76012520155553,10.005538120731032,-4.273504273504258,124900000,1.4125783843600148,1593000000,1.6312460468058192,,-0.0018450184501845018,9940815922.50711,91.70494393456744,9.175573123968165
HUBB,2021-06-30,1054300000,298300000,142200000,,156100000,95800000,119100000,156700000,37600000,2.36,2.16,0.2,9.2593,5172800000,3031900000,265400000,167400000,1434200000,2125700000,2447300000,54700000,762300000,638300000,465700000,150400000,19500000,53300000,-1200000,95800000,10.247830178814187,9.086597742578013,9.259259259259247,169900000,1.4263066284047607,1601600000,1.5854241338112305,,0.012526096033402923,9404912359.454346,98.17236283355267,8.920527705069095
HUBB,2021-03-31,956300000,262200000,109900000,,152300000,77700000,111100000,150400000,39300000,1.72,1.65,0.07,4.2424,5292900000,3194900000,433800000,392200000,1433700000,2082700000,2415400000,54700000,703100000,616400000,421300000,58900000,19600000,53200000,-10000000,77700000,-7.862029097215528,8.125065356059814,4.242424242424246,78500000,1.534018341575839,1825900000,1.1060683324834268,,0.1287001287001287,8708950628.729538,112.08430667605583,9.10692317131605
HUBB,2020-12-31,1037900000,285700000,119800000,,165900000,80900000,116100000,156700000,40600000,1.76,1.77,-0.01,-0.565,5085100000,2999700000,258600000,183700000,1436900000,2070000000,2393700000,54600000,553300000,526700000,339200000,192400000,36700000,53200000,41300000,80900000,-6.377412953274398,7.794585220156085,-0.56497175141243,229100000,1.4491304347826086,1620600000,1.407729994556342,,-0.5105067985166872,7692391727.313095,95.08518822389487,7.411496027857304
