ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
HUBS,2025-06-30,760866000,638705000,-24614000,237340000,663319000,-3258000,-5230000,27964000,33194000,2.19,2.12,0.07,3.3019,3683964000,1618908000,601196000,37665000,None,2065056000,-824860000,52696000,321129000,None,12528000,164362000,16025000,None,-125004000,-3258000,29332174480.0,556.63,52696000
HUBS,2025-03-31,714137000,599030000,-27480000,220100000,626510000,-21793000,-9225000,19605000,28830000,1.78,1.76,0.02,1.1364,3896316000,1891772000,625029000,405579000,None,2004544000,-821602000,52154000,294509000,None,22234000,161570000,13345000,None,None,-21793000,29795058660.0,571.29,52154000
HUBS,2024-12-31,703178000,599841000,-10801000,213713000,610642000,4983000,13941000,42322000,28381000,2.32,2.2,0.12,5.4545,3795833000,1887547000,512667000,490877000,None,1908286000,-799809000,52242000,334829000,None,3649000,194141000,12726000,None,None,4983000,36400658340.0,696.77,52242000
HUBS,2024-09-30,669721000,570397000,-9631000,191185000,580028000,8146000,11584000,36593000,25009000,0.16,-0.32,0.48,150,3557058000,1805176000,410060000,492304000,None,1751882000,-804792000,51778000,278893000,None,5267000,159542000,31944000,None,13484000,8146000,27525184800.0,531.6,51778000
HUBS,2024-06-30,637230000,541713000,-23935000,198180000,565648000,-14435000,-1781000,20423000,22204000,1.94,1.64,0.3,18.2927,3356002000,1755103000,797875000,490082000,None,1600899000,-812938000,51005000,269908000,None,4115000,117828000,29641000,None,-4696000,-14435000,30224542900.000004,592.58,51005000
HUBS,2024-03-31,617414000,522326000,-23233000,175637000,545559000,5934000,8655000,29889000,21234000,1.68,1.5,0.18,12,3193103000,1743986000,447793000,32869000,456704000,1449117000,-798503000,51498000,266862000,1,7928000,127088000,27516000,None,-8788000,5934000,32796501300.0,636.85,51498000
HUBS,2023-12-31,581915000,493280000,-24348000,163234000,517628000,-13604000,-8260000,10905000,19165000,1.76,1.54,0.22,14.2857,3071392000,1737044000,387987000,35047000,456206000,1334348000,-804437000,50347000,295303000,99326000,9106000,104312000,25935000,None,-3143000,-13604000,27583107420.0,547.86,50347000
HUBS,2023-09-30,557557000,471917000,-18556000,156871000,490473000,-3577000,-4039000,16470000,20509000,-0.11,1.24,-1.35,-108.871,2815648000,1629309000,535545000,29756000,455699000,1186339000,-805072000,50051000,212409000,86913000,16808000,89046000,28535000,None,-3469000,-5463000,24795265400.0,495.4,50051000
HUBS,2023-06-30,529138000,444182000,-116169000,169955000,560351000,-111803000,-102297000,-85868000,16429000,-2.39,1,-3.39,-339,2729095000,1646630000,457218000,31145000,455207000,1082465000,-799609000,49703000,206697000,82158000,3133000,76543000,27352000,None,-2904000,-118946000,26446469270.0,532.09,49703000
HUBS,2023-03-31,501620000,421291000,-43050000,127683000,464341000,-36720000,-33372000,-16802000,16570000,-0.78,0.83,-1.61,-193.9759,2643793000,1597414000,325159000,33580000,454712000,1046379000,-680663000,49395000,197516000,76365000,2958000,81070000,18432000,None,-1198000,-36565000,21178106250.0,428.75,49395000
