ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
IBM,2025-09-30,,,,,,,,,,None,2.45,0,None,,,,,,,,,,,,,,,,,,,
IBM,2025-06-30,16977000000,9977000000,3086000000,2097000000,6890000000,2194000000,3109000000,4374000000,1265000000,2.8,2.65,0.15,5.6604,148585000000,120998000000,11943000000,9765000000,55219000000,27509000000,151367000000,946700000,13493000000,1251000000,3974000000,1701000000,210000000,1563000000,-153000000,2194000000,279068226000.0,294.78,946700000.0
IBM,2025-03-31,14541000000,8031000000,1765000000,1950000000,6266000000,1055000000,1613000000,2790000000,1177000000,1.6,1.43,0.17,11.8881,145667000000,118714000000,11035000000,7711000000,56371000000,26880000000,150703000000,945400000,12935000000,1431000000,3585000000,4370000000,395000000,1549000000,-284000000,1055000000,235083164000.0,248.66,945400000.0
IBM,2024-12-31,17553000000,10439000000,3901000000,1967000000,6538000000,2914000000,3730000000,4843000000,1113000000,3.92,3.78,0.14,3.7037,137175000000,109782000000,13947000000,5857000000,49884000000,27307000000,151163000000,942400000,6804000000,1289000000,4032000000,4330000000,444000000,1546000000,-112000000,2914000000,207167792000.0,219.83,942400000.0
IBM,2024-09-30,14967000000,8420000000,2177000000,1876000000,6242000000,-330000000,-373000000,895000000,1268000000,2.3,2.23,0.07,3.139,134339000000,109809000000,13197000000,4389000000,52980000000,24448000000,149789000000,923600000,12655000000,1367000000,3274000000,2881000000,424000000,1543000000,-189000000,-330000000,204189488000.0,221.08,923600000.0
IBM,2024-06-30,15769000000,8950000000,2434000000,1840000000,6515000000,1834000000,2646000000,3801000000,1155000000,2.43,2.17,0.26,11.9816,133848000000,109744000000,12210000000,4364000000,52929000000,24026000000,151659000000,934397595,11601000000,1234000000,3631000000,2066000000,444000000,1536000000,-151000000,1834000000,163613018884.5,175.1,934397595.0
IBM,2024-03-31,14461000000,7742000000,1563000000,1796000000,6179000000,1605000000,1506000000,2637000000,1131000000,1.68,1.6,0.08,5,137169000000,113836000000,14603000000,6255000000,54033000000,23261000000,151362000000,933400000,11678000000,1212000000,3588000000,4168000000,373000000,1522000000,-199000000,1605000000,177187322000.0,189.83,933400000.0
IBM,2023-12-31,17380000000,10267000000,3995000000,1748000000,6271000000,3288000000,4164000000,5316000000,1152000000,3.87,3.78,0.09,2.381,135241000000,112628000000,13089000000,7246000000,50121000000,22533000000,151276000000,927300000,13956000000,1161000000,4132000000,4463000000,448000000,1518000000,-64000000,3288000000,149758950000.0,161.5,927300000.0
IBM,2023-09-30,14752000000,8023000000,2104000000,1685000000,5919000000,1704000000,2285000000,3378000000,1093000000,2.2,2.13,0.07,3.2864,129321000000,106165000000,7257000000,7220000000,48828000000,23081000000,149506000000,923673300,11204000000,1399000000,3342000000,3055000000,282000000,1515000000,-98000000,1704000000,130053200640.00002,140.8,923673300.0
IBM,2023-06-30,15475000000,8501000000,2278000000,1687000000,6223000000,1583000000,2423000000,3500000000,1077000000,2.18,2,0.18,9,132213000000,109942000000,9394000000,7627000000,50691000000,22201000000,149318000000,919452496,6120000000,1501000000,3732000000,2638000000,487000000,1510000000,-144000000,1583000000,123031938489.76,133.81,919452496.0
IBM,2023-03-31,14252000000,7509000000,1436000000,1655000000,6073000000,927000000,1425000000,2499000000,1074000000,1.36,1.24,0.12,9.6774,133637000000,111965000000,9337000000,5756000000,53826000000,21604000000,149253000000,917845279,6218000000,1603000000,3728000000,3774000000,457000000,1497000000,-96000000,927000000,120320337624.11,131.09,917845279.0
IBM,2022-12-31,16691000000,9632000000,3499000000,1604000000,6134000000,2711000000,3625000000,4762000000,1137000000,3.6,3.61,-0.01,-0.277,127243000000,105222000000,7886000000,5634000000,46189000000,21944000000,149825000000,915900000,7005000000,1552000000,4051000000,3965000000,544000000,1494000000,-78000000,2711000000,129645645000.00002,141.55,915900000.0
IBM,2022-09-30,14106000000,7430000000,1561000000,1611000000,5868000000,-3196000000,-4206000000,-3043000000,1163000000,1.81,1.8,0.01,0.5556,125850000000,105703000000,7816000000,6781000000,44942000000,20076000000,148611000000,904100000,6048000000,1794000000,3806000000,1901000000,455000000,1491000000,-14000000,-3196000000,107416121000.0,118.81,904100000.0
IBM,2022-06-30,15535000000,8290000000,1960000000,1673000000,6329000000,1392000000,2019000000,3265000000,1246000000,2.31,2.29,0.02,0.8734,127503000000,108027000000,7034000000,6866000000,44328000000,19409000000,153298000000,910700000,13395000000,1684000000,3707000000,1321000000,511000000,1488000000,-235000000,1392000000,128581733000.0,141.19,910700000.0
IBM,2022-03-31,14197000000,7335000000,1184000000,1679000000,6151000000,733000000,934000000,2190000000,1256000000,1.4,1.42,-0.02,-1.4085,133275000000,114163000000,9934000000,8644000000,46545000000,19050000000,153401000000,909226136,6480000000,1776000000,3453000000,3248000000,450000000,1475000000,-80000000,733000000,118217582202.72002,130.02,909226136.0
IBM,2021-12-31,3259000000,6107000000,1253000000,1581000000,4855000000,2332000000,1364000000,2745000000,1381000000,3.35,3.29,0.06,1.8237,132001000000,113005000000,6650000000,7761000000,44917000000,18901000000,154209000000,904641001,7225000000,1649000000,3955000000,2544000000,601000000,1474000000,-67000000,2333000000,120914316193.66,133.66,904641001.0
IBM,2021-09-30,13251000000,7106000000,1336000000,1606000000,5770000000,1130000000,1103000000,2787000000,1684000000,2.52,2.51,0.01,0.3984,144214000000,121857000000,7455000000,8860000000,46926000000,22228000000,161747000000,906000000,15235000000,1891000000,4248000000,2713000000,734000000,1471000000,-18000000,1130000000,125870580000.0,138.93,906000000.0
