ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
INFA,2025-06-30,407344000,326029000,-89000,88240000,326118000,-4649000,-5904000,23148000,29052000,0.18,0.2,-0.02,-10,5254719000,2870182000,1052275000,46870000,1782706000,2384537000,-1302029000,302811000,392796000,None,20767000,24576000,1561000,0,0,-4649000,7373447850.0,24.35,302811000.0
INFA,2025-03-31,403897000,322885000,33827000,81973000,289058000,1340000,31417000,60035000,28618000,0.22,0.24,-0.02,-8.3333,5092100000,2814012000,956265000,31957000,1786543000,2278088000,-1297380000,308558000,344633000,None,29555000,154174000,3147000,10000,-101346000,1340000,5384337100.0,17.45,308558000.0
INFA,2024-12-31,428305000,348371000,63426000,75953000,284945000,9754000,100431000,133433000,33002000,0.41,0.38,0.03,7.8947,5279532000,2972218000,912460000,32436000,1790401000,2307314000,-1298710000,313851000,570169000,None,27155000,146858000,1607000,0,-101854000,9754000,8138156430.0,25.93,313851000.0
INFA,2024-09-30,422481000,340872000,50933000,80316000,289939000,-13985000,51751000,86454000,34703000,0.28,0.3,-0.02,-6.6667,5173844000,2766148000,932573000,34014000,1794259000,2407696000,-1308319000,303954000,364812000,None,11697000,106498000,772000,0,11470000,-13985000,7683957120.0,25.28,303954000.0
INFA,2024-06-30,400625000,317730000,9464000,79234000,308266000,4828000,24080000,60698000,36618000,0.23,0.22,0.01,4.5455,5121805000,2795989000,798465000,48418000,1798140000,2325816000,-1294334000,314934000,401911000,1,20506000,24852000,1175000,0,-30848000,4828000,9589740300.0,30.45,314934000.0
INFA,2024-03-31,388607000,306852000,3225000,79654000,303627000,9334000,22967000,57933000,34966000,0.22,0.21,0.01,4.7619,5084914000,2822099000,855068000,50152000,1802033000,2262815000,-1299162000,312499000,360677000,None,20084000,131642000,390000,12000,13797000,9334000,10999964800.0,35.2,312499000.0
INFA,2023-12-31,445178000,358213000,36832000,79464000,321381000,64261000,40863000,83086000,42223000,0.32,0.3,0.02,6.6667,5202082000,2989484000,732443000,51572000,1805960000,2212598000,-1308484000,304826000,579932000,None,18050000,101042000,1624000,12000,-18624000,64261000,8215060700.0,26.95,304826000.0
INFA,2023-09-30,408563000,324722000,32064000,85862000,292658000,79276000,48030000,89727000,41697000,0.27,0.23,0.04,17.3913,4797757000,2757244000,612107000,51480000,1809891000,2040513000,-1372745000,296556000,362810000,1,7956000,58718000,1804000,0,-15152000,79276000,6192089280.0,20.88,296556000.0
INFA,2023-06-30,375988000,290396000,-5386000,87707000,295782000,-152466000,7065000,48575000,41510000,0.17,0.12,0.05,41.6667,4827847000,2905749000,632803000,51320000,1813835000,1922098000,-1452021000,287109000,385714000,1,15594000,36705000,1891000,11100000,-11100000,-152466000,5311516500.0,18.5,287109000.0
INFA,2023-03-31,365431000,283534000,-29947000,82039000,313481000,-116354000,-21734000,19629000,41363000,0.15,0.16,-0.01,-6.25,4815613000,2794025000,632907000,51586000,1817792000,2021588000,-1299555000,284886000,355515000,None,20393000,69882000,1224000,12000,16131000,-116354000,4672130400.0,16.4,284886000.0
