ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
INTC,2025-06-30,12859000000,3542000000,-1286000000,3684000000,4828000000,-2918000000,-2542000000,471000000,3013000000,-0.1,0.01,-0.11,-1100,192520000000,86769000000,9643000000,6731000000,44026000000,97883000000,45484000000,4369000000,2360000000,11377000000,10666000000,2050000000,3550000000,0,491000000,-3024000000,97865600000.0,22.4,4369000000
INTC,2025-03-31,12667000000,4672000000,-301000000,3640000000,4973000000,-821000000,-287000000,2387000000,2674000000,0.13,0.01,0.12,1200,192242000000,85829000000,8947000000,5240000000,44911000000,99756000000,48322000000,4343000000,3064000000,12281000000,10896000000,813000000,5183000000,0,491000000,-887000000,98629530000.0,22.71,4343000000
INTC,2024-12-31,14260000000,5584000000,412000000,3876000000,5172000000,-126000000,833000000,3480000000,2647000000,0.13,0.12,0.01,8.3333,196485000000,91453000000,8249000000,3729000000,46282000000,99270000000,49032000000,4319000000,3478000000,12198000000,12556000000,3165000000,5834000000,1599000000,987000000,-153000000,86595950000.0,20.05,4319000000
INTC,2024-09-30,13284000000,1997000000,-9057000000,4049000000,11054000000,-16639000000,-8838000000,-5226000000,3612000000,-0.46,-0.03,-0.43,-1433.3333,193542000000,88678000000,8785000000,3765000000,46471000000,99532000000,49052000000,4292000000,3121000000,12062000000,11074000000,4054000000,6458000000,536000000,986000000,-16989000000,100690320000.0,23.46,4292000000
INTC,2024-06-30,12833000000,4547000000,-1964000000,4239000000,6511000000,-1610000000,-1710000000,859000000,2569000000,0.02,0.1,-0.08,-80,206205000000,85771000000,11287000000,4695000000,48334000000,115229000000,66162000000,4267000000,3131000000,11244000000,9618000000,2292000000,5682000000,534000000,None,-1654000000,131594280000.0,30.84,4267000000
INTC,2024-03-31,12724000000,5217000000,-1069000000,4382000000,6286000000,-381000000,-461000000,2090000000,2551000000,0.18,0.13,0.05,38.4615,192733000000,81977000000,6923000000,4581000000,47869000000,105973000000,68224000000,4242000000,3323000000,11494000000,8559000000,-1223000000,5970000000,529000000,None,-437000000,188853840000.0,44.52,4242000000
INTC,2023-12-31,15406000000,7047000000,2585000000,3987000000,4462000000,2669000000,3055000000,5568000000,2513000000,0.54,0.45,0.09,20,191572000000,81607000000,7079000000,2288000000,46978000000,105590000000,69156000000,4260000000,3402000000,11127000000,8578000000,4624000000,6696000000,527000000,None,2660000000,203628000000.0,47.8,4260000000
INTC,2023-09-30,14158000000,6018000000,-8000000,3870000000,6026000000,297000000,152000000,2599000000,2447000000,0.41,0.22,0.19,86.3636,188837000000,83151000000,7621000000,2288000000,46591000000,101813000000,67021000000,4229000000,2843000000,11466000000,8669000000,5824000000,5753000000,525000000,2423000000,310000000,149960340000.0,35.46,4229000000
INTC,2023-06-30,12949000000,4638000000,-1016000000,4080000000,5654000000,1481000000,-602000000,1674000000,2276000000,0.13,-0.03,0.16,533.3333,185629000000,81158000000,8349000000,2711000000,46335000000,101017000000,67231000000,4196000000,2996000000,11984000000,8757000000,2808000000,5888000000,524000000,465000000,1473000000,140314240000.0,33.44,4196000000
INTC,2023-03-31,11715000000,4008000000,-1468000000,4109000000,5476000000,-2758000000,-965000000,1401000000,2366000000,-0.04,-0.14,0.1,71.4286,185303000000,84900000000,8232000000,1437000000,48836000000,98059000000,65649000000,4154000000,3847000000,12993000000,8083000000,-1785000000,7413000000,1512000000,1108000000,-2768000000,135711180000.0,32.67,4154000000
INTC,2022-12-31,14042000000,5500000000,-1132000000,4464000000,6632000000,-664000000,-647000000,2640000000,3287000000,0.1,0.2,-0.1,-50,182103000000,78817000000,11144000000,4323000000,37684000000,101423000000,70405000000,4133000000,4133000000,13224000000,9595000000,1003000000,5699000000,1477000000,1911000000,-8320000000,110475090000.0,26.73,4133000000
INTC,2022-09-30,15338000000,6535000000,-175000000,4302000000,6710000000,1019000000,-74000000,3178000000,3252000000,0.59,0.33,0.26,78.7879,174841000000,74956000000,4529000000,2283000000,37240000000,99885000000,71024000000,4125000000,7469000000,12831000000,7133000000,1030000000,7299000000,1502000000,-383000000,1019000000,106301250000.0,25.77,4125000000
INTC,2022-06-30,15321000000,5587000000,-700000000,4400000000,6287000000,-454000000,-800000000,2348000000,3148000000,0.29,0.7,-0.41,-58.5714,170418000000,69200000000,4390000000,2882000000,32548000000,101218000000,72985000000,4100000000,6063000000,12174000000,7945000000,809000000,7255000000,1499000000,-589000000,-454000000,153381000000.0,37.41,4100000000
INTC,2022-03-31,18353000000,9244000000,4341000000,4362000000,4903000000,8113000000,9785000000,13133000000,3348000000,0.87,0.8,0.07,8.75,176356000000,73220000000,6215000000,4459000000,32788000000,103136000000,74894000000,4107000000,7074000000,11935000000,7210000000,5891000000,4797000000,1487000000,-589000000,8113000000,203542920000.0,49.56,4107000000
INTC,2021-12-31,20528000000,11009000000,5018000000,4049000000,5991000000,4623000000,5328000000,8402000000,3074000000,1.09,0.91,0.18,19.7802,168406000000,73015000000,4827000000,4600000000,33510000000,95391000000,68265000000,4095000000,9457000000,10776000000,5747000000,5797000000,7632000000,1413000000,4000000,4623000000,210892500000.0,51.5,4095000000
INTC,2021-09-30,19192000000,10746000000,5269000000,3803000000,5519000000,6823000000,7002000000,9961000000,2959000000,1.71,1.11,0.6,54.0541,167962000000,77875000000,7870000000,4694000000,35610000000,90087000000,63642000000,4086000000,8400000000,9798000000,6792000000,9900000000,4441000000,1410000000,427000000,6823000000,217702080000.0,53.28,4086000000
INTC,2021-06-30,19631000000,11206000000,5892000000,3715000000,5314000000,5061000000,5892000000,8749000000,2857000000,1.28,1.07,0.21,19.6262,154597000000,69390000000,4746000000,3695000000,31714000000,85207000000,59647000000,4084000000,7460000000,8817000000,5917000000,8746000000,3868000000,1410000000,-114000000,5061000000,229275760000.0,56.14,4084000000
INTC,2021-03-31,19673000000,10854000000,5903000000,3623000000,4951000000,3361000000,4096000000,6998000000,2902000000,1.39,1.14,0.25,21.9298,150622000000,70815000000,5192000000,2647000000,33237000000,79807000000,54638000000,4096000000,7208000000,8487000000,5434000000,5548000000,4388000000,1411000000,-2301000000,3361000000,262144000000.0,64.0,4096000000
INTC,2020-12-31,19978000000,11143000000,5731000000,3655000000,5412000000,5857000000,7636000000,10639000000,3003000000,1.52,1.11,0.41,36.9369,153091000000,72053000000,5865000000,2504000000,33897000000,81038000000,56233000000,4119000000,6782000000,8427000000,5581000000,9890000000,4061000000,1353000000,-2000000000,5857000000,205208580000.0,49.82,4119000000
INTC,2020-09-30,18333000000,9741000000,5059000000,3272000000,4682000000,4276000000,5034000000,8157000000,3123000000,1.11,1.11,0,0,145261000000,70707000000,3356000000,504000000,36059000000,74554000000,52159000000,4211000000,7140000000,9273000000,5159000000,8179000000,3716000000,1404000000,-10000000000,4276000000,218045580000.0,51.78,4211000000
INTC,2020-06-30,19728000000,10507000000,5697000000,3354000000,4801000000,5105000000,5706000000,8769000000,3063000000,1.23,1.11,0.12,10.8108,152539000000,70529000000,8736000000,2254000000,36093000000,82010000000,57646000000,4284000000,7441000000,8969000000,5045000000,11157000000,3408000000,1403000000,9000000,5105000000,256311720000.0,59.83,4284000000
INTC,2020-03-31,19828000000,12016000000,7038000000,3275000000,4978000000,5661000000,7200000000,10250000000,3050000000,1.45,1.26,0.19,15.0794,147710000000,71356000000,11380000000,3464000000,36455000000,76354000000,52644000000,4312000000,8455000000,9246000000,4638000000,6158000000,3268000000,1408000000,-4229000000,5661000000,233365440000.0,54.12,4312000000
INTC,2019-12-31,20209000000,11878000000,6797000000,3384000000,5081000000,6905000000,6902000000,9870000000,2968000000,1.52,1.25,0.27,21.6,136524000000,59020000000,4194000000,8651000000,25308000000,77504000000,53523000000,4373000000,7659000000,8744000000,4128000000,9888000000,4666000000,1362000000,-3476000000,6905000000,261724050000.0,59.85,4373000000
INTC,2019-09-30,19190000000,11295000000,6447000000,3208000000,4848000000,5990000000,6551000000,9230000000,2679000000,1.42,1.24,0.18,14.5161,133768000000,59526000000,3935000000,5374000000,23707000000,74242000000,49674000000,4433000000,6880000000,8638000000,4809000000,10711000000,4672000000,1386000000,-4521000000,5990000000,228432490000.0,51.53,4433000000
INTC,2019-06-30,16505000000,9878000000,4617000000,3438000000,5261000000,4179000000,4801000000,7355000000,2554000000,1.06,0.9,0.16,17.7778,130759000000,55812000000,2867000000,3904000000,25089000000,74947000000,50429000000,4523000000,6233000000,8696000000,4682000000,7587000000,3554000000,1414000000,-3049000000,4179000000,217330150000.0,48.05,4523000000
