ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
IRBT,2025-06-30,128202000,40442000,-30272000,13766000,70714000,-22808000,-12605000,-10843000,1762000,-0.27,-1.14,0.87,76.3158,480320000,488012000,76568000,207807000,None,-7692000,-360894000,33409999,56072000,88236000,166785000,-30157000,0,None,None,-22808000,104573296.86999999,3.13,33409999
IRBT,2025-03-31,101569000,20313000,-45750000,14686000,66063000,-87273000,-81785000,-79162000,2623000,-1.95,-1.27,-0.68,-53.5433,461509000,462302000,69922000,229036000,None,-793000,-338086000,30725000,30804000,68968000,97298000,-26460000,0,None,None,-87273000,82957500.0,2.7,30725000
IRBT,2024-12-31,172038000,16413000,-61039000,16544000,77451000,-77108000,-73466000,-68711000,4755000,-2.06,-0.08,-1.98,-2475,516137000,454898000,134303000,4897000,200604000,61239000,-250813000,30572000,49865000,76029000,106367000,-2746000,0,None,None,-77108000,236933000.0,7.75,30572000
IRBT,2024-09-30,193435000,62377000,7257000,19630000,55120000,-6371000,79000,5875000,5796000,0.03,-0.06,0.09,150,669915000,519753000,99447000,4439000,186713000,150162000,-173705000,30348000,101326000,149156000,195133000,-10243000,0,None,463000,-6371000,263724119.99999997,8.69,30348000
IRBT,2024-06-30,166361000,27466000,-61068000,23230000,88534000,-70646000,-64519000,-59215000,5304000,-1.96,-1.77,-0.19,-10.7345,585939000,436863000,149056000,4925000,172421000,149076000,-167334000,29309000,68132000,101365000,113557000,-21670000,0,None,-73000,-70646000,259384650.0,8.85,29309000
IRBT,2024-03-31,150014000,36101000,11900000,33878000,24201000,8607000,26046000,31858000,5812000,-1.53,-2.01,0.48,23.8806,626123000,422054000,158368000,5081000,168636000,204069000,-96688000,28266000,39318000,133318000,103194000,1437000,118000,None,-390000,8607000,239413020.00000003,8.47,28266000
IRBT,2023-12-31,307544000,58131000,-52233000,26950000,110364000,-63593000,-52233000,-40809000,11424000,-1.82,-2.11,0.29,13.7441,733698000,537211000,185121000,5216000,201501000,196487000,-105295000,27880000,79387000,152469000,178318000,-1156000,270000,None,-878000,-63594000,1074495200.0,38.54,27880000
IRBT,2023-09-30,186176000,47996000,-59494000,37336000,107490000,-79205000,-73898000,-67374000,6524000,-2.82,-1.67,-1.15,-68.8623,831478000,578590000,189649000,5082000,204411000,252888000,-41702000,27738000,73457000,244509000,211341000,-55526000,618000,None,-105000,-79205000,1076234400.0,38.8,27738000
IRBT,2023-06-30,236568000,53503000,-71056000,37971000,124559000,-80800000,-73973000,-66672000,7301000,-1.42,-1.47,0.05,3.4014,634139000,308720000,57954000,5344000,None,325419000,37503000,27619000,72306000,170561000,138803000,36396000,1058000,None,-219000,-80800000,1249759750.0,45.25,27619000
IRBT,2023-03-31,160292000,36741000,-81297000,41269000,118038000,-81112000,-77171000,-69629000,7542000,-1.67,-1.32,-0.35,-26.5152,664627000,269188000,47915000,32508000,None,395439000,118303000,27467000,29645000,229688000,74014000,-94507000,1456000,25409000,-1600000,-81112000,1198659880.0,43.64,27467000
