ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
KITT,2025-06-30,2075566,-1428477,-6371227,0,4942750,-7454176,-6244853,-5670290,574563,-0.26,None,0,None,41881281,47556621,2663404,2862412,27677366,-5675340,-268719715,3222680,2283131,913341,5715381,-7356569,749,None,None,-7454176,2915236.3279999997,0.9046,3222680.0
KITT,2025-03-31,165256,-1073701,-5863763,19317,4790062,-7567187,-6452671,-5972295,480376,-13.23,-0.04,-13.19,-32975,48481073,46959571,10054304,2885036,27481976,1521502,-261265539,3049408,492086,955894,4892453,-6649883,47989,None,None,-7567187,2802101.0112,0.9189,3049408.0
KITT,2024-12-31,471223,-1643614,-5983132,18747,6454355,-118589985,-5983132,None,None,,,,,22685087,43082500,1186047,None,28935530,-20397413,-253698352,1084654,238531,880594,5916693,-4073140,34888,None,None,-118589985,1681213.7,1.55,1084654.0
KITT,2024-09-30,370187,-2277832,-5569875,0,3292043,-11356956,-7245112,-6799025,446087,-4.244,-4.24,-0.004,-0.0943,24987925,61493781,2915757,867640,46148307,-36505856,-135108367,297303,397726,2229509,4734093,-5077229,114770,None,None,-11356956,419197.23,1.41,297303.0
KITT,2024-06-30,501708,-2373686,-6012560,0,3638874,4540975,-1703897,-1292311,411586,-2.7548,-0.04,-2.7148,-6787,31199223,60559301,8174166,841820,46644908,-29360078,-123751411,216707,659034,2217507,5594270,-8390916,27795,None,None,-5373320,29363.7985,0.1355,216707.0
KITT,2024-03-31,464354,-2055786,-5549330,63533,3493544,413612,-71363535,-70937350,426185,-0.96,-0.14,-0.82,-585.7143,29431488,68934417,6238013,712842,44949988,-39502929,-118378091,205975,157327,2214726,6693450,-6660282,324147,None,None,413612,60577.2475,0.2941,205975.0
KITT,2023-12-31,1063603,-3381079,-7374763,414678,8438366,-39542589,-7374763,None,None,,,,,26148475,67935325,753398,None,31597649,-41786850,-118791703,1389884,212428,2198797,7035450,-5252032,888042,None,None,-39542589,826008.0612000001,0.5943,1389884.0
KITT,2023-09-30,1593854,-1057526,-8198314,275154,7140788,-17678787,-16169986,-16009242,160744,-0.43,-0.16,-0.27,-168.75,56337844,59014158,6771531,1232616,29925121,-2676314,-79249114,4572333.28,1024111,13960390,5712946,-3464270,4642858,None,None,-17678787,8184476.571200001,1.79,4572333.28
KITT,2023-06-30,1128115,-772487,-6869022,482761,6096535,20673440,-6869022,-6815813,53209,0.45,-0.15,0.6,400,48526563,38206308,4353179,524279,16829983,10320255,-61570327,4926764.94,1913730,12536004,5731767,-4138423,4608275,None,59190,16714795,10198403.4258,2.07,4926764.94
KITT,2023-03-31,2820780,-111487,-5824197,226967,5712710,-3379411180020,-5824197,-6703479,-879282,-0.26,-0.16,-0.1,-62.5,49494464,58372612,12478433,347392,16829983,-8878148,-78285122,39765361,2958575,11013569,2607473,-8833201,1493978,None,59190,-10180020,118301948.97500001,2.975,39765361.0
