ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
KLAC,2025-06-30,3174741000,2007712000,1404570000,352992000,603142000,1202849000,1401924000,1498176000,96252000,9.38,8.55,0.83,9.7076,16067926000,11375473000,2078908000,45192000,5884257000,4692453000,2179330000,132734000,2433700000,3212149000,458509000,1164991000,100408000,253965000,-425697000,1202849000,118895153160.0,895.74,132734000
KLAC,2025-03-31,3063029000,1887340000,1300392000,338043000,586948000,1088416000,1336322000,1300392000,-35930000,8.41,8.08,0.33,4.0842,15188307000,11183568000,1858022000,43468000,5883322000,4004739000,1646055000,133303000,2311738000,3155777000,429318000,1072159000,84985000,225774000,-506745000,1088416000,90619379400.0,679.8,133303000
KLAC,2024-12-31,3076851000,1855390000,1242152000,346157000,613238000,824527000,1201217000,1242152000,40935000,8.2,7.76,0.44,5.6701,15001696000,11417147000,1838278000,40578000,5882387000,3584549000,1284589000,134415000,2487024000,3046340000,432891000,849515000,92323000,226776000,-650121000,824527000,84697579800.0,630.12,134415000
KLAC,2024-09-30,2841541000,1694110000,1119923000,323145000,574187000,945851000,1161805000,1257628000,95823000,7.33,7.05,0.28,3.9716,15681737000,12122023000,1977202000,790398000,5881372000,3559714000,1328166000,134858000,2082773000,3109837000,376505000,995238000,60393000,198079000,-567383000,945851000,104435383780.0,774.41,134858000
KLAC,2024-06-30,2566232000,1592177000,1052523999,323529000,539653000,836446000,1027879000,1128880000,101001000,6.6,6.15,0.45,7.3171,15433566000,12065238000,1977129000,786327000,5880199000,3368328000,1137270000,135342000,2004698000,3034781000,359487000,892615000,60745000,197521000,-470266000,836446000,112034754180.0,827.79,135342000
KLAC,2024-03-31,2355391000,1392222000,848334000,321590000,543888000,601541000,781989000,881252000,99263000,5.26,5.01,0.25,4.99,14957289000,11862404000,1848167000,786285000,5879025000,3094885000,958904000,135856000,1789778000,3007053000,354720000,909978000,71793000,197154000,-372251000,601541000,96577313280.0,710.88,135856000
KLAC,2023-12-31,2486726000,1509980000,952318000,320418000,557662000,582534000,765472000,864535000,99063000,6.16,5.91,0.25,4.2301,14280501000,11236790000,1665054000,785281000,5142884000,3043711000,921466000,136254000,1944822000,3038628000,376671000,622242000,76801000,196859000,-437817000,582534000,76355379060.0,560.39,136254000
KLAC,2023-09-30,2396956000,1450065000,899206000,311214000,550859000,741375000,925945000,1028348000,102403000,5.74,5.41,0.33,6.0998,14136841000,11146624000,1711570000,35514000,5891731000,2990217000,966179000,137104000,1724046000,3007705000,363662000,883740000,68045000,181507000,-455412000,741375000,63154215520.0,460.63,137104000
KLAC,2023-06-30,2355137000,1392188000,824221000,317110000,567967000,684654000,848997000,953810000,104813000,5.4,4.85,0.55,11.3402,14072357000,11152604000,1927865000,34042000,5890736000,2919753000,848431000,137654000,1870498000,2876784000,371026000,-1751575000,78683000,373536000,534214000,-2018043000,66764943080.0,485.02,137654000
KLAC,2023-03-31,2432608000,1427262000,860593000,328276000,566669000,697837000,875457000,980311000,104854000,5.49,5.32,0.17,3.1955,13683549000,11000768000,1568513000,33522000,5889740000,2682781000,721299000,138645000,1940067000,2749743000,410885000,1010855000,84914000,180854000,-478186000,697837000,55342924650.0,399.17,138645000
KLAC,2022-12-31,2983887000,1775101000,1199179000,332826000,575922000,978795000,1217253000,1320761000,103508000,7.38,7.1,0.28,3.9437,13729074000,11125814000,1571477000,31591000,6113745000,2603260000,670002000,141966000,2282925000,2535375000,530407000,688290000,93642000,184208000,-355007000,978795000,53457297300.0,376.55,141966000
KLAC,2022-09-30,2724424000,1683198000,1110703000,318515000,572495000,1025991000,1144423000,1246361000,101938000,7.06,6.21,0.85,13.6876,13123652000,11021578000,1819280000,30701000,6312749000,2102074000,1118967000,142563000,1857320000,2408325000,479707000,1011545000,84352000,187984000,-89846000,1026065000,43143840690.0,302.63,142563000
KLAC,2022-06-30,2486739000,1508175000,971945000,296881000,533659000,805374000,993726000,1094574000,100848000,5.81,5.5,0.31,5.6364,12597088000,11197998000,1584908000,32218000,6660718000,1401351000,366882000,149182000,1926624000,2146889000,443338000,819229000,73160000,157602000,-3473589000,805398000,47600992560.0,319.08,149182000
KLAC,2022-03-31,2288676000,1396585000,894907000,285189000,501678000,730572000,886263000,978390000,92127000,5.13,4.82,0.31,6.4315,12017812000,7939188000,1415172000,31158000,3699799000,4080307000,1972611000,151186000,1618867000,1982297000,424128000,818878000,100304000,158976000,-564666000,730660000,55343147160.0,366.06,151186000
KLAC,2021-12-31,2352630000,1444468000,965958000,265031000,478510000,717444000,964478000,1050023000,85545000,5.59,5.45,0.14,2.5688,11680237000,7633481000,1657057000,52467000,3424106000,4048527000,1943981000,152331000,1825052000,1829412000,379875000,810798000,64901000,159129000,-429874000,717517000,65519086410.0,430.11,152331000
KLAC,2021-09-30,2083838000,1270214000,818800000,258153000,451414000,1068417000,804660000,889484000,84824000,4.64,4.52,0.12,2.6549,11146477000,7287391000,1509564000,52946000,3423436000,3860930000,1801268000,153410000,1558851000,1715339000,380827000,863797000,68955000,162821000,-399677000,1068485000,51317179100.0,334.51,153410000
KLAC,2021-06-30,1925471000,1153230000,719780000,241428000,433450000,632978000,748534000,833181000,84647000,4.43,3.99,0.44,11.0276,10271124000,6895482000,1434610000,52322000,3422767000,3377554000,1277123000,154283000,1396531000,1575380000,342083000,465624000,55376000,139267000,-299777000,633058000,50020091430.0,324.21,154283000
KLAC,2021-03-31,1803773000,1094144000,672147000,238957000,421997000,567496000,679216000,763581000,84365000,3.85,3.62,0.23,6.3536,9939240000,6826376000,1452150000,51485000,3422097000,3114856000,1070124000,155159000,1301698000,1450588000,295111000,646150000,61183000,139338000,-273441000,567170000,51264533600.0,330.4,155159000
KLAC,2020-12-31,1650870000,981137000,570164000,229064000,410973000,457251000,566003000,650260000,84257000,3.24,3.19,0.05,1.5674,9814644000,6864338000,1431466000,51220000,3441465000,2935182000,903696000,155560000,1313564000,1420618000,262496000,561081000,59144000,139584000,-177492000,456983000,40276039600.00001,258.91,155560000
KLAC,2020-09-30,1538620000,918058000,526389000,219038000,391669000,420567000,523192000,603258000,80066000,3.03,2.77,0.26,9.3863,9320096000,6557751000,2043453000,29418000,3420403000,2747184000,753915000,156442000,1028883000,1394225000,254458000,512171000,55925000,141164000,-187897000,420142000,30309073080.0,193.74,156442000
KLAC,2020-06-30,1459593000,838049000,453158000,217100000,384891000,411253000,445290000,524227000,78937000,2.73,2.41,0.32,13.278,9279960000,6598950000,1234409000,28994000,3469670000,2665424000,654930000,156183000,1207289000,1310985000,264280000,452846000,41790000,132762000,-25285000,410315000,30374469840.0,194.48,156183000
KLAC,2020-03-31,1423964000,833806000,432613000,215433000,401193000,78452000,154271000,236261000,81990000,2.47,2.28,0.19,8.3333,8845946000,6520750000,1634531000,28520000,3443937000,2307433000,376656000,157172000,1119263000,1264130000,243234000,442028000,43445000,133327000,-315995000,78009000,22591903280.0,143.74,157172000
KLAC,2019-12-31,1509453000,875835000,462831000,220751000,413004000,380555000,462831000,551365000,88534000,2.66,2.58,0.08,3.1008,9250720000,6562750000,1677522000,29937000,3399877000,2669764000,719001000,158620000,1191035000,1251400000,256646000,387731000,34874000,134696000,-284593000,380305000,28261325399.999996,178.17,158620000
KLAC,2019-09-30,1413414000,809173000,410248000,210580000,398925000,346525000,410248000,508836000,98588000,2.48,2.2,0.28,12.7273,9229399000,6549780000,988348000,278855000,3174130000,2661163000,733173000,160131000,1165256000,1254240000,221388000,496245000,32566000,121636000,-228496000,346396000,25532887950.0,159.45,160131000
KLAC,2019-06-30,1258435000,665650000,268900000,206710000,396750000,217845000,268900000,396786000,127886000,1.78,1.74,0.04,2.2989,9008516000,6330823000,1015994000,249999000,3173383000,2659108000,714825000,161937000,1084128000,1262500000,202416000,325461000,55846000,121363000,-344986000,217328000,19710971640.0,121.72,161937000
KLAC,2019-03-31,1097311000,610366000,243295000,184887000,367071000,192728000,243295000,316740000,73445000,1.8,1.67,0.13,7.7844,9187605000,6302017000,1092163000,249997000,3172649000,2849093000,928086000,157182000,1049539000,1317260000,206248000,163594000,25956000,113581000,-200029000,192645000,19201353120.0,122.16,157182000
KLAC,2018-12-31,1119898000,711638000,433273000,165903000,278365000,369100000,433273000,449079000,15806000,2.44,2.2,0.24,10.9091,5605287000,4007665000,1793982000,249996000,1988382000,1597622000,1048804000,152648000,681396000,1005990000,152491000,282172000,26366000,114562000,-250213000,369100000,13660469520.0,89.49,152648000
