ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
KSCP,2025-06-30,2749000,-1018000,-6257000,2099000,5239000,-6329000,-6256000,-5637000,619000,-0.9,-1.17,0.27,23.0769,29220000,14105000,8211000,582000,3991000,15115000,-206418000,6995145,2491000,1742000,2482000,-5490000,181000,None,None,-6329000,34556016.300000004,4.94,6995145.0
KSCP,2025-03-31,2917000,-668000,-6828000,2125000,6160000,-6897000,-6816000,-6160000,656000,-1.28,-0.04,-1.24,-3100,29810000,11647000,12661000,1635000,3971000,18163000,-200089000,5404552,2014000,1607000,2260000,-6375000,449000,None,None,-6897000,15240836.639999999,2.82,5404552.0
KSCP,2024-12-31,2813000,-996000,-6896000,2085000,5900000,-6967000,-6833000,-6110000,723000,-1.63,-0.04,-1.59,-3975,28185000,12404000,11124000,1776000,3952000,15781000,-193192000,2893634,1817000,1797000,2812000,-5076000,31000,None,0,-6967000,36517661.08,12.62,2893634.0
KSCP,2024-09-30,2535000,-700000,-7741000,1770000,7008000,-10904000,-7708000,-7094000,614000,-3.5733,-0.05,-3.5233,-7046.6,24922000,15667000,5199000,3330000,3932000,9255000,-186225000,3042301,2355000,2896000,2563000,-4735000,8000,None,None,-10904000,22391335.36,7.36,3042301.0
KSCP,2024-06-30,3203000,-558000,-6466000,1637000,5908000,-6271000,-6466000,-5815000,651000,-0.05,-0.05,0,0,24550000,13374000,2625000,787000,3917000,11176000,-175321000,2337266,3508000,3242000,2615000,-4031000,869000,None,None,-6271000,661446.2779999999,0.283,2337266.0
KSCP,2024-03-31,2254000,-1445000,-8575000,1569000,7163000,-7592000,-7527000,-6898000,629000,-0.08,-0.06,-0.02,-33.3333,23993000,16616000,2587000,1777000,3898000,7377000,-169050000,96365979,3094000,2883000,1499000,-8611000,894000,None,None,-7592000,48992463.7236,0.5084,96365979.0
KSCP,2023-12-31,3013000,-1870000,-7339000,1569000,10352000,-6534000,-7339000,None,None,-0.07,-0.06,-0.01,-16.6667,None,None,None,None,None,None,None,1790928,None,None,None,-5997000,3000,None,None,-6534000,1060945.7472,0.5924,1790928.0
KSCP,2023-09-30,3324000,50000,-6483000,1903000,6533000,-8342000,-7240000,-6634000,606000,-0.11,-0.09,-0.02,-22.2222,25045000,15905000,4611000,1061000,None,9140000,-154924000,1554989,2094000,3159000,1718000,-6943000,3000,None,None,-8342000,1128300.0184,0.7256,1554989.0
KSCP,2023-06-30,3563000,9000,-5945000,1482000,5949000,-4798000,-5940000,-5342000,598000,-0.08,-0.11,0.03,27.2727,25167000,15949000,5842000,1379000,None,9218000,-146582000,1144487,2043000,2671000,1519000,-4732000,18000,None,None,-4798000,607608.1483,0.5309,1144487.0
KSCP,2023-03-31,2897000,-213000,-6521000,1397000,6164000,1131000,-1942000,-1385000,557000,-0.0572,-0.06,0.0028,4.6667,20412000,21124000,2375000,1761000,4112000,-712000,-141784000,854926,1856000,2698000,1688000,-6483000,439000,None,None,-2444000,761653.5734,0.8909,854926.0
