ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
LPSN,2025-06-30,59600000,41562000,-6433000,13843000,47995000,-15710000,-7459999,-1701999,5758000,-0.17,-0.19,0.02,10.5263,605041000,687453000,161963000,None,537866000,-82412000,-1021104000,6354437,23505000,None,11903000,-11676000,2750000,None,None,-15710000,6417981.37,1.01,6354437
LPSN,2025-03-31,64700000,46482000,-16944000,16034000,63426000,-14133000,-7631000,-1813000,5818000,-0.1249,-0.19,0.0651,34.2632,596220000,671164000,176254000,156000,528858000,-74944000,-1005394000,6353663,32153000,None,15524000,-3096000,4145000,None,None,-14133000,5077212.103300001,0.7991,6353663
LPSN,2024-12-31,73206000,55024000,-100994000,22032000,156018000,-112128000,-59586000,-52064000,7522000,-0.0646,-0.05,-0.0146,-29.2,607778000,675094000,183237000,156000,527070000,-67316000,-991261000,5902768,31189000,None,15378000,-3115000,3638000,None,None,-112128000,8972207.36,1.52,5902768
LPSN,2024-09-30,74244000,49697000,-16038000,22922000,65735000,-28309000,-14590000,4221000,18811000,-0.32,-0.22,-0.1,-45.4545,692026000,646120000,142104000,510000,470304000,45906000,-879133000,5967674,54452000,None,17680000,4817000,5047000,None,None,-28309000,7638622.72,1.28,5967674
LPSN,2024-06-30,79875000,58663000,-29799000,24843000,88462000,41795000,-17775000,-6379000,11396000,-0.33,-0.19,-0.14,-73.6842,703768000,637162000,145957000,376000,468666000,66606000,-850824000,6331882,60528000,None,13878000,-17931000,5006000,None,None,41795000,3704150.9699999997,0.585,6331882
LPSN,2024-03-31,85149000,55686000,-36364000,24635000,97058000,-35631000,-33941000,-21499000,12442000,-0.4,-0.31,-0.09,-29.0323,724688000,705505000,129017000,2736000,512076000,19183000,-892619000,5872110,75533000,None,14528000,1099000,12710000,None,None,-35631000,5760539.91,0.981,5872110
LPSN,2023-12-31,95468000,48774000,-28893000,24751000,77667000,-40525000,-28893000,-18320000,10573000,-0.48,-0.31,-0.17,-54.8387,835513000,787375000,212925000,78149000,511565000,48138000,-856988000,83610995,81802000,None,13555000,4537000,6979000,None,None,-40525000,306016241.7,3.66,83610995
LPSN,2023-09-30,101332000,69352000,-43675000,35575000,113027000,-53312000,-29683000,-13480000,16203000,-0.68,-0.19,-0.49,-257.8947,873445000,828364000,212189000,74611000,511055000,45081000,-816372000,5200347,99867000,2143000,14098000,-1571000,6228000,None,None,-53312000,19709315.13,3.79,5200347
LPSN,2023-06-30,97522000,66634000,5638000,22839000,58609000,10822000,8025000,23205000,15180000,0.12,-0.38,0.5,131.5789,898287000,808142000,213763000,2000000,510545000,90145000,-763060000,6100004,105171000,2679000,8307000,-24631000,8474000,None,402000,10822000,27572018.08,4.52,6100004
LPSN,2023-03-31,107661000,64565000,-38745000,36519000,103310000,-17420000,-38745000,-25948000,12797000,-0.23,-0.49,0.26,53.0612,957517000,892513000,239975000,74910000,510024000,65004000,-773882000,5051654,121032000,12197000,18276000,-6925000,10980000,None,-148848000,-17420000,22277794.14,4.41,5051654
LPSN,2022-12-31,122477000,76075000,-36918000,37120000,112993000,-41724000,-39889000,-23437000,16452000,-0.55,-0.22,-0.33,-150,1088940000,1020852000,391781000,5777000,737423000,68088000,-692362000,5035876,86537000,30984000,25303000,17370000,14560000,None,-221000,-41724000,51768805.279999994,10.28,5035876
LPSN,2022-09-30,129561000,85880000,-41403000,44744000,127283000,-43248000,-41403000,-28609000,12794000,0.02,-0.07,0.09,128.5714,1097078000,1007567000,393330000,6633000,736475000,89511000,-650638000,5185623,100741000,None,11975000,-15104000,10280000,None,343000,-43248000,48848568.66,9.42,5185623
LPSN,2022-06-30,132565000,87516000,-59388000,55752000,146904000,-75411000,-73515000,-60904000,12611000,-0.23,-0.21,-0.02,-9.5238,1154673000,1033918000,425944000,7913000,735530000,120755000,-607390000,5152698,121728000,1,22615000,-41495000,12453000,None,-1026000,-75411000,72859149.72,14.14,5152698
LPSN,2022-03-31,130197000,80630000,-65127000,56072000,145780000,-65364000,-66091000,-52610000,13481000,-0.33,-0.45,0.12,26.6667,1204073000,1023727000,480676000,8645000,734586000,180346000,-531979000,5054160,108521000,None,26059000,-22872000,13873000,None,1921000,-65364000,123422587.2,24.42,5054160
LPSN,2021-12-31,123801000,79298000,-45280000,45675000,124450000,-49853000,-43652000,-32312000,11340000,-0.22,-0.47,0.25,53.1915,1186656000,837219000,521846000,7118000,574238000,349437000,-516859000,4776387,93804000,1,16942000,-32395000,12561000,15401000,-709000,-49853000,170612543.64,35.72,4776387
