ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
LSCC,2025-06-30,123971000,84751000,4706000,43530000,78341000,2913000,5082000,15672000,10590000,0.24,0.24,0,0,808552000,121504000,107156000,5923000,None,687048000,217033000,137596000,85659000,93832000,33805000,38531000,7230000,None,-45855000,2913000,6740828040.0,48.99,137596000
LSCC,2025-03-31,120150000,81728000,6974000,41387000,74513000,5022000,9033000,6974000,-2059000,0.22,0.22,0,0,823650000,115739000,127564000,5566000,None,707911000,214120000,138317000,84545000,94890000,32334000,31892000,8616000,None,-25000000,5022000,7254726650.0,52.45,138317000
LSCC,2024-12-31,117419000,71753000,-12209000,38174000,83962000,16514000,2829000,15001000,12172000,0.15,0.19,-0.04,-21.0526,843903000,132971000,136291000,5818000,None,710932000,209098000,138322000,81060000,103410000,36828000,45421000,5754000,None,-19999000,16514000,7835941300.0,56.65,138322000
LSCC,2024-09-30,127091000,87688000,7527000,41398000,80161000,7190000,14426000,26324000,11898000,0.24,0.24,0,0,853661000,150121000,124283000,7037000,None,703540000,192584000,137894000,91465000,104517000,32131000,44013000,2957000,None,-17000000,7190000,7318034580.0,53.07,137894000
LSCC,2024-06-30,124076000,75495000,25144000,38486000,50351000,22631000,23752000,34955000,11203000,0.23,0.24,-0.01,-4.1667,827520000,128671000,109216000,7249000,None,698849000,185394000,138243000,103442000,101556000,34957000,21931000,10441000,None,-9999000,22631000,7978003530.0,57.71,138243000
LSCC,2024-03-31,140815000,87079000,18278000,40591000,68801000,14796000,17835000,28829000,10994000,0.29,0.28,0.01,3.5714,815599000,132937000,107466000,6065000,None,682662000,162763000,138774000,98940000,95384000,33069000,29511000,7747000,None,-20000000,14796000,10818821040.0,77.96,138774000
LSCC,2023-12-31,170596000,109794000,43630000,39531000,66164000,98706000,43630000,54525000,10895000,0.45,0.44,0.01,2.2727,840894000,148874000,128317000,5571000,None,692020000,147967000,139114000,104373000,98826000,34487000,71970000,7963000,None,-49999000,98706000,9515397600.0,68.4,139114000
LSCC,2023-09-30,192169000,134561000,56917000,42048000,76135000,53788000,57885000,68291000,10406000,0.53,0.52,0.01,1.9231,779622000,153452000,114397000,5932000,None,626170000,49261000,139828000,105913000,104019000,36887000,82160000,4427000,769000,-9999000,53788000,11984657880.0,85.71,139828000
LSCC,2023-06-30,190079000,132561000,53070000,41946000,79603000,50644000,53083000,63231000,10148000,0.52,0.51,0.01,1.9608,759071000,184310000,103773000,5898000,43885000,574761000,-4527000,139768000,96587000,111490000,41264000,70594000,914000,3515000,-10002000,50644000,13427511760.0,96.07,139768000
LSCC,2023-03-31,184310000,128601000,59164000,35989000,69562000,55923000,59164000,67254000,8090000,0.51,0.5,0.01,2,767629000,252655000,112136000,6429000,103819000,514974000,-55171000,140101000,90822000,117079000,40843000,44864000,8414000,None,-43791000,55923000,13379645500.0,95.5,140101000
LSCC,2022-12-31,175960000,122066000,54016000,34779000,68004000,51913000,53992000,63334000,9342000,0.49,0.48,0.01,2.0833,798713000,311550000,145722000,6454000,128752000,487163000,-111094000,139631000,94018000,110375000,42036000,81981000,10258000,None,-19995000,51913000,8951743410.0,64.11,139631000
