ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
MCHP,2025-06-30,1075500000,576700000,32100000,255500000,544600000,-18600000,40200000,211300000,171100000,0.27,0.24,0.03,12.5,14979500000,8122400000,566500000,36400000,5458100000,6857100000,5489200000,539200000,765500000,1169100000,161900000,275600000,17900000,270600000,0,-18600000,37943504000.0,70.37,539200000
MCHP,2025-03-31,970500000,501100000,-100300000,255200000,601400000,-154600000,-100400000,86600000,187000000,0.11,0.1,0.01,10,15374600000,8296300000,771700000,35700000,5630400000,7078300000,5781100000,537400000,689700000,1293500000,160600000,205900000,14200000,244800000,-12600000,-154600000,26015534000.0,48.41,537400000
MCHP,2024-12-31,1026000000,561400000,30900000,246200000,530500000,-53600000,20800000,207600000,186800000,0.2,0.28,-0.08,-28.5714,15632200000,9600700000,586000000,34500000,6749500000,6031500000,6182700000,537400000,857200000,1356300000,195900000,271500000,18100000,244600000,-6500000,-53600000,30819890000.0,57.35,537400000
MCHP,2024-09-30,1163800000,668500000,146600000,240700000,521900000,78400000,148300000,335900000,187600000,0.46,0.43,0.03,6.9767,15622300000,9346400000,286100000,1981000000,4476600000,6275900000,6480900000,542000000,1044300000,1339600000,204200000,43600000,20800000,243700000,-17300000,78400000,43517180000.0,80.29,542000000
MCHP,2024-06-30,1241300000,736900000,219100000,241700000,517800000,129300000,221600000,410300000,188700000,0.53,0.52,0.01,1.9231,15839700000,9433700000,315100000,35000000,6167900000,6406000000,6646200000,542800000,1095800000,1308000000,196400000,377100000,72900000,242600000,-72700000,129300000,49715052000.0,91.59,542800000
MCHP,2024-03-31,1325800000,789900000,253500000,240300000,536400000,154700000,253200000,471400000,218200000,0.57,0.57,0,0,15873200000,9215400000,319700000,1032000000,5000400000,6657800000,6759500000,544800000,1143700000,1316000000,213000000,430000000,40100000,242500000,-387400000,154700000,48890352000.0,89.74,544800000
MCHP,2023-12-31,1765700000,1120000000,529400000,266000000,590600000,419200000,531800000,751200000,219400000,1.08,1.04,0.04,3.8462,16143000000,9062800000,281000000,1694300000,4033300000,7080200000,6847300000,546500000,1398100000,1311100000,242200000,853300000,59500000,237400000,-114600000,419200000,47305040000.0,86.56,546500000
MCHP,2023-09-30,2254300000,1527400000,885000000,292600000,642400000,666600000,878600000,1097600000,219000000,1.62,1.62,0,0,16601400000,9632900000,256600000,1693400000,4414700000,6968500000,6665500000,549200000,1706200000,1330900000,283500000,616200000,74400000,222700000,-339800000,666600000,43040804000.0,78.37,549200000
MCHP,2023-06-30,2288600000,1558400000,903100000,298500000,655300000,666400000,893300000,1116200000,222900000,1.64,1.64,0,0,16494600000,9663300000,271200000,1430400000,4632200000,6831300000,6221600000,551400000,1465000000,1336400000,281300000,993200000,111100000,208900000,-140300000,666400000,49399926000.0,89.59,551400000
MCHP,2023-03-31,2232700000,1519300000,848000000,298300000,671300000,604000000,846900000,1090100000,243200000,1.64,1.62,0.02,1.2346,16370300000,9856700000,234000000,1429700000,5041700000,6513600000,5764100000,553900000,1305300000,1324900000,396900000,709500000,112700000,195900000,-273900000,604000000,46405742000.0,83.78,553900000
MCHP,2022-12-31,2169200000,1470800000,811600000,282400000,659200000,580300000,812600000,1056600000,244000000,1.56,1.55,0.01,0.6452,16116100000,9804500000,288900000,33700000,6588700000,6311600000,5356000000,555400000,1175000000,1165400000,354800000,1277900000,141300000,180300000,-229500000,580300000,38378140000.0,69.1,555400000
MCHP,2022-09-30,2073199999,1397900000,755100000,268600000,642800000,546200000,750000000,1001800000,251800000,1.46,1.44,0.02,1.3889,16141100000,10038000000,304800000,1030700000,6304900000,6103100000,4956000000,558300000,1133200000,1030300000,379800000,793200000,110300000,166100000,-247200000,546200000,34073049000.0,61.03,558300000
MCHP,2022-06-30,1963600000,1309900000,701300000,269000000,608600000,507200000,694600000,954000000,259400000,1.37,1.34,0.03,2.2388,16208400000,10230500000,377100000,32700000,7563900000,5977900000,4575900000,561500000,1145000000,911800000,304700000,840400000,121900000,153000000,-195200000,507200000,32611920000.0,58.08,561500000
MCHP,2022-03-31,1844200000,1220400000,549500000,259100000,670900000,437900000,534700000,827900000,293200000,1.35,1.25,0.1,8,16199500000,10304700000,317400000,33800000,7687400000,5894800000,4175200000,565100000,1072600000,854400000,344700000,747700000,114600000,140800000,-259600000,437900000,42461614000.0,75.14,565100000
MCHP,2021-12-31,1757500000,1153300000,515000000,245400000,638300000,352800000,500800000,801400000,300600000,1.2,1.17,0.03,2.5641,16047200000,10243900000,313500000,35000000,7868500000,5803300000,3878100000,567300000,930100000,768200000,301300000,853400000,90700000,128700000,-166000000,352800000,49389138000.0,87.06,567300000
MCHP,2021-09-30,1649800000,1068300000,416300000,246200000,652000000,242000000,326700000,604200000,277500000,1.07,1.06,0.01,0.9434,16215000000,10512100000,253300000,34800000,8200600000,5702900000,3654000000,565900000,985600000,713600000,302600000,611700000,78500000,121200000,-23800000,242000000,86859991000.0,153.49,565900000
MCHP,2021-06-30,1569400000,1007600000,368800000,238400000,638800000,252800000,365800000,638000000,272200000,0.99,0.95,0.04,4.2105,16277800000,10757900000,277700000,38000000,8527400000,5519900000,3533200000,565100000,1000700000,683800000,284400000,629900000,86300000,113100000,-25300000,252800000,84618074000.0,149.74,565100000
MCHP,2021-03-31,1467100000,926800000,308000000,228500000,618800000,116000000,218500000,506300000,287800000,0.93,0.87,0.06,6.8966,16478800000,11141700000,280000000,1362700000,7581200000,5337100000,3393500000,563000000,997700000,665000000,292400000,449200000,55400000,106600000,-35800000,116000000,87388860000.0,155.22,563000000
MCHP,2020-12-31,1352100000,845800000,245600000,210100000,600200000,36200000,99100000,386000000,286900000,0.81,0.79,0.02,2.5316,16576100000,11279100000,370700000,1533400000,7647800000,5297000000,3384100000,550800000,893800000,666100000,259800000,509700000,21400000,96000000,-21100000,36200000,76070988000.0,138.11,550800000
MCHP,2020-09-30,1309500000,807900000,226200000,199800000,581700000,73600000,177900000,463700000,285800000,0.78,0.71,0.07,9.8592,16770900000,11327200000,368300000,1036300000,8181400000,5443700000,3443900000,535300000,903700000,661400000,216900000,455800000,6300000,95300000,-14400000,73600000,55007428000.0,102.76,535300000
MCHP,2020-06-30,1309700000,798300000,218300000,198000000,580000000,123600000,183800000,476600000,292800000,0.78,0.72,0.06,8.3333,17028100000,11526800000,378200000,1636500000,7730000000,5501300000,3465600000,515600000,894300000,657200000,211100000,501800000,9500000,90400000,-11000000,123600000,54297836000.0,105.31,515600000
MCHP,2020-03-31,1326400000,813900000,160700000,221800000,653200000,99900000,161200000,472100000,310900000,0.73,0.68,0.05,7.3529,17426100000,11840600000,401000000,653300000,8873400000,5585500000,3432400000,514600000,934000000,685700000,246800000,371700000,11900000,88000000,-17900000,99900000,34889880000.0,67.8,514600000
MCHP,2019-12-31,1287400000,785500000,131200000,217100000,654300000,311100000,126000000,426000000,300000000,0.66,0.63,0.03,4.7619,17588600000,11972000000,397100000,1443700000,8179700000,5616600000,3420500000,516600000,807500000,708800000,209300000,395500000,14100000,87700000,-23600000,311100000,54098352000.0,104.72,516600000
MCHP,2019-09-30,1337800000,827500000,183600000,219800000,643900000,108900000,183100000,480700000,297600000,0.72,0.72,0,0,17858500000,12497200000,401800000,1427800000,8415300000,5361300000,3197100000,510600000,848600000,734200000,235600000,396000000,17700000,87300000,-15200000,108900000,47439846000.0,92.91,510600000
MCHP,2019-06-30,1322600000,815200000,171600000,219100000,643600000,50700000,173100000,480200000,307100000,0.71,0.69,0.02,2.8986,18246400000,12958100000,434000000,1412600000,8711400000,5288300000,3175500000,507800000,936800000,733100000,245700000,380600000,23900000,87100000,-11400000,50700000,46412920000.0,91.4,507800000
MCHP,2019-03-31,1329800000,820400000,284700000,214700000,535700000,174700000,287400000,526100000,238700000,0.74,0.7,0.04,5.7143,18350000000,13062500000,428600000,1360800000,8946200000,5287500000,3210600000,501800000,880600000,711700000,226400000,403400000,40100000,86600000,-14800000,174700000,43887428000.0,87.46,501800000
MCHP,2018-12-31,1374700000,779600000,194700000,217700000,584900000,49200000,192600000,436500000,243900000,0.83,0.79,0.04,5.0633,18155700000,12994600000,432200000,None,10542300000,5161100000,3122400000,489200000,544800000,702500000,236000000,481500000,27400000,86400000,-20100000,49200000,35183264000.0,71.92,489200000
MCHP,2018-09-30,1432500000,689300000,102700000,221900000,586600000,96300000,99200000,320200000,221000000,0.91,0.86,0.05,5.814,18667100000,13496900000,459700000,1335000000,9551100000,5170200000,3159600000,503600000,668800000,836700000,271200000,487500000,72000000,85900000,-20100000,96300000,38857776000.0,77.16,503600000
MCHP,2018-06-30,1212500000,642000000,132300000,171900000,509700000,35700000,128100000,300900000,172800000,0.81,0.74,0.07,9.4595,19248800000,14125000000,635200000,1329800000,10019800000,5123800000,3149200000,504400000,789400000,1104800000,318200000,302400000,89400000,85500000,-16800000,35700000,46137468000.0,91.47,504400000
MCHP,2018-03-31,1002300000,615108000,244057000,133500000,371051000,146700000,238516000,395384000,156868000,0.7,0.67,0.03,4.4776,8257200000,4977400000,901300000,1309900000,1758400000,3279800000,1397300000,503000000,563700000,476200000,144100000,359518000,58388000,85140000,-10300000,146743000,44077890000.0,87.63,503000000
MCHP,2017-12-31,994205000,607100000,245200000,131555000,361900000,-251086000,246324000,401000000,154676000,1.36,1.35,0.01,0.7407,8123793000,4938718000,672079000,3039623000,3039600000,3185075000,1335697000,468212000,553135000,487065000,162718000,364959000,66387000,85000000,-12900000,-251100000,42331046920.0,90.41,468212000
MCHP,2017-09-30,1012139000,614100000,225400000,133621000,388700000,189156000,235745000,388300000,152555000,0.71,0.68,0.03,4.4118,8055198000,4509074000,826407000,5980000,3011852000,3546124000,1671695000,489600000,545416000,456939000,182599000,350131000,59895000,84500000,-10500000,189156000,44333280000.0,90.55,489600000
MCHP,2017-06-30,972141000,584400000,221600000,130480000,362800000,170587000,215700000,367500000,151800000,0.66,0.61,0.05,8.1967,7887891000,4475337000,773036000,11256000,2983908000,3412554000,1567059000,485804000,528954000,426843000,171857000,344992000,22130000,82900000,-10700000,170587000,37494352720.0,77.18,485804000
MCHP,2017-03-31,902666000,532826000,154087000,127182000,378739000,136908000,113463000,241746000,128283000,0.58,0.53,0.05,9.434,7678576000,4407865000,908684000,50000000,2900524000,3270711000,1479400000,478342000,478373000,417202000,149233000,322560000,22972000,82582000,-10239000,136908000,35292072760.0,73.78,478342000
MCHP,2016-12-31,834366000,465259000,118074000,132433000,347185000,107175000,118641000,233609000,114968000,0.53,0.43,0.1,23.2558,7144581000,4577683000,663938000,49952000,3123994000,2566898000,1425073000,470848000,475093000,419618000,135160000,290802000,15692000,77970000,-12318000,107175000,30063644800.0,63.85,470848000
MCHP,2016-09-30,871364000,410621000,62760000,137795000,347861000,33919000,60360000,173176000,112816000,0.47,0.43,0.04,9.3023,7074396000,4554884000,489988000,49952000,3105433000,2519512000,1395868000,467920000,451042000,424690000,131625000,222123000,18152000,77640000,-10660000,33919000,29076548800.0,62.14,467920000
MCHP,2016-06-30,799411000,348490000,-59104000,147883000,407594000,-113363000,-56331000,56810000,113141000,0.42,0.37,0.05,13.5135,7358756000,4826207000,600526000,49952000,3336504000,2532549000,1439589000,428690000,435511000,518431000,137614000,223967000,18494000,77237000,-25183000,-113363000,21760304400.0,50.76,428690000
MCHP,2016-03-31,557647000,302779000,79946000,95638000,222833000,67355000,84428000,159937000,75509000,0.35,0.34,0.01,2.9412,5567515000,3416596000,2092751000,2453405000,2483037000,2150919000,1582585000,435422000,290183000,306815000,79312000,202592000,16472000,73148000,-4519000,67355000,20987340400.0,48.2,435422000
MCHP,2015-12-31,540344000,292718000,76132000,97022000,216586000,61211000,77665000,153843000,76178000,0.32,0.31,0.01,3.2258,5446553000,3320209000,331451000,None,2406474000,2126344000,1588378000,435950000,248006000,319524000,69059000,210477000,17869000,72923000,-6077000,61211000,20289113000.0,46.54,435950000
MCHP,2015-09-30,541391000,300950000,74948000,95256000,226002000,64899000,79601000,150710000,71109000,0.33,0.31,0.02,6.4516,5786309000,3656928000,539078000,None,2687874000,2129381000,1600090000,434198000,281063000,363760000,72362000,149886000,29943000,72685000,-370489000,64899000,18709591820.0,43.09,434198000
MCHP,2015-06-30,533952000,309017000,121319000,84680000,187698000,130667000,143617000,203992000,60375000,0.35,0.36,-0.01,-2.7778,4856985000,2758103000,563547000,None,1858697000,2098882000,1607876000,433534000,277033000,303690000,93655000,181528000,33611000,72331000,-4464000,130460000,20560349950.0,47.425,433534000
MCHP,2015-03-31,543207000,313632000,110347000,87662000,203285000,99402000,82135000,155321000,73186000,0.34,0.33,0.01,3.0303,4780713000,2719687000,607815000,1826858000,1826858000,2044654000,1549540000,441894000,273937000,279456000,86866000,178510000,29458000,72047000,-5228000,98580000,21608616600.0,48.9,441894000
