ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
MDAI,2025-06-30,5065000,2141000,-2123000,5065000,4264000,-7968000,-7863000,-7714000,149000,-0.31,-0.44,0.13,29.5455,16009000,25160000,10524000,674000,7632000,-9151000,-53300000,25421560,1467000,462000,1986000,-3362000,0,None,None,-7968000,63045468.8,2.48,25421560.0
MDAI,2025-03-31,6707000,3168000,-7603000,6707000,10771000,2897000,-7746000,-7603000,143000,0.11,-0.41,0.52,126.8293,20722000,22348000,14061000,718000,7512000,-1626000,-45332000,24030518,2103000,437000,3113000,-1505000,0,None,None,2897000,27635095.7,1.15,24030518.0
MDAI,2024-12-31,7604000,3348000,-1111000,22103000,4459000,-7742000,-6668000,-6535000,133000,-0.41,-0.43,0.02,4.6512,12095000,19346000,5157000,2988000,None,-7251000,-48103000,18810771,2505000,425000,4035000,469000,0,None,None,-7742000,53234481.93,2.83,18810771.0
MDAI,2024-09-30,8173000,3667000,-886000,8173000,4553000,-1504000,-408000,-278000,130000,-0.0424,-0.195,0.1526,78.2564,11602000,15938000,3702000,5186000,1000000,-4336000,-40361000,17862240,2834000,443000,2797000,-1625000,0,None,None,-1504000,18933974.400000002,1.06,17862240.0
MDAI,2024-06-30,7478000,3314000,-2442000,7478000,5756000,-2864000,-2096000,-2057000,39000,-0.16,-0.15,-0.01,-6.6667,13897000,18162000,6877000,8225000,None,-4265000,-38857000,17598357,2295000,267000,2403000,-5362000,0,None,None,-2864000,34316796.15,1.95,17598357.0
MDAI,2024-03-31,6326000,2945000,-2143000,None,5088000,-3205000,-2907000,-2621000,286000,-0.19,-0.26,0.07,26.9231,15483000,17511000,10157000,6412000,None,-2028000,-35993000,16560298,1828000,228000,3306000,-2680000,0,None,None,-3205000,38585494.34,2.33,16560298.0
MDAI,2023-12-31,5287000,2436000,-2929000,None,5365000,-3546000,-2929000,-2744000,185000,-0.22,-0.22,0,0,10692000,12401000,4790000,1289000,None,-1709000,-32788000,16097399,2346000,230000,2683000,-2375000,0,None,None,-3546000,40726419.47,2.53,16097399.0
MDAI,2023-09-30,3440000,1472000,-4166000,None,5638000,-10629000,-4166000,-3984000,182000,-0.7689,None,0,None,12331000,10875000,7348000,1445000,None,1456000,-29242000,13822990,1439000,220000,3275000,-10488992,0,None,None,-10629000,33935440.45,2.455,13822990.0
MDAI,2023-06-30,4251000,1791000,-2990000,None,4781000,-3070000,-2991000,-2811000,180000,-0.1523,None,0,None,12998000,6979000,8166000,773000,None,6019000,-18613000,17880000,1611000,1466000,272848,-1773000,0,None,None,-3070000,189528000.0,10.6,17880000.0
MDAI,2023-03-31,5078000,2181000,-3637000,None,5818000,-3609000,-2898000,-2723000,175000,-0.189,None,0,None,14183000,5496000,10316000,862000,None,8687000,-15543000,17880000,2272000,None,2018000,-3754000,0,None,None,-3609000,178084800.00000003,9.96,17880000.0
MDAI,2022-12-31,6096000,2508000,-1769000,None,4277000,-1739000,-1769000,-1584000,185000,0.04,0,0.04,None,18716000,6720000,14174000,855000,None,11996000,-11934000,30014518,2912000,0,2759000,-299000,0,None,-250522502,-1739000,301645905.90000004,10.05,30014518.0
MDAI,2022-09-30,7038000,3227000,-251000,None,3478000,-380000,-251000,-222000,29000,0.04,0,0.04,None,254860871,12987174,517838,16152,None,241873697,-12073565,17880000,2912000,None,2759000,-53912,0,None,None,1185674,176118000.0,9.85,17880000.0
MDAI,2022-06-30,None,None,-248720,None,248722,1458973,None,-248720,None,0.05,0,0.05,None,None,None,None,None,None,None,None,31625000,None,None,None,,,,,,310241250.0,9.81,31625000.0
MDAI,2022-03-31,5844000,2390000,-621000,None,3011000,-528000,-621000,-489000,132000,0.22,0,0.22,None,None,None,None,None,None,None,None,17880000,None,None,None,-1168000,0,None,None,-528000,174687600.0,9.77,17880000.0
MDAI,2021-12-31,None,None,-1783000,None,1783004,-4694416,None,-1783000,None,-0.15,0,-0.15,None,254109797,21934594,769432,16152,None,232175203,-20825430,31625000,None,None,None,-94341,0,None,None,-4694416,310241250.0,9.81,31625000.0
MDAI,2021-09-30,None,None,-1192740,None,1192736,2227170,None,-1192740,None,0.07,0,0.07,None,None,None,None,None,None,None,None,6325000,None,None,None,,,,,,61415750.00000001,9.71,6325000.0
MDAI,2021-06-30,,,,,,,,,,-0.09,0,-0.09,None,,,,,,,,,,,,,,,,,,,
MDAI,2021-03-31,,,,,,,,,,0.1,0,0.1,None,,,,,,,,,,,,,,,,,,,
