ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
META,2025-06-30,47516000000,39025000000,20441000000,12942000000,18584000000,18337000000,20534000000,24876000000,4342000000,7.14,5.86,1.28,21.843,294744000000,99674000000,12005000000,1977000000,28832000000,195070000000,106345000000,2570000000,16561000000,None,10271000000,25561000000,16538000000,1327000000,-10167000000,18337000000,1896891300000.0,738.09,2570000000
META,2025-03-31,42314000000,34742000000,17555000000,12150000000,17187000000,16644000000,18622000000,22522000000,3900000000,6.43,5.21,1.22,23.4165,280213000000,95184000000,28750000000,1976000000,28829000000,185029000000,101326000000,2590000000,14514000000,None,8512000000,24026000000,12941000000,1329000000,-12754000000,16644000000,1492772400000.0,576.36,2590000000
META,2024-12-31,48385000000,39546000000,23364000000,12180000000,16182000000,20838000000,23803000000,28263000000,4460000000,8.02,6.68,1.34,20.0599,276054000000,93417000000,43889000000,1942000000,28826000000,182637000000,102506000000,2614000000,16994000000,None,7687000000,27988000000,14425000000,1270000000,-3857000000,20838000000,1530523140000.0,585.51,2614000000
META,2024-09-30,40589000000,33214000000,17350000000,11177000000,15864000000,15688000000,18030000000,22057000000,4027000000,6.03,5.3,0.73,13.7736,256408000000,91879000000,43852000000,2016000000,28823000000,164529000000,84972000000,2600000000,14700000000,None,7656000000,24724000000,8258000000,1263000000,-8818000000,15688000000,1488344000000.0002,572.44,2600000000
META,2024-06-30,39071000000,31763000000,14847000000,10537000000,16916000000,13465000000,15234000000,18871000000,3637000000,5.16,4.78,0.38,7.9498,230238000000,73475000000,32045000000,1917000000,18389000000,156763000000,81188000000,2610000000,14505000000,None,3173000000,19370000000,8173000000,1266000000,-6299000000,13465000000,1317214800000.0,504.68,2610000000
META,2024-03-31,36455000000,29815000000,13818000000,9978000000,15997000000,12369000000,14310000000,17684000000,3374000000,4.71,4.32,0.39,9.0278,222844000000,73315000000,32307000000,1676000000,18387000000,149529000000,76793000000,2625000000,13430000000,None,3785000000,19246000000,6400000000,1273000000,-15008000000,12369000000,1289793750000.0,491.35,2625000000
META,2023-12-31,40111000000,32416000000,16384000000,10517000000,16032000000,14017000000,16384000000,19556000000,3172000000,5.33,4.96,0.37,7.4597,229623000000,76455000000,41862000000,1623000000,18385000000,153168000000,82070000000,2630000000,16169000000,None,4849000000,19404000000,7665000000,None,-5942000000,14017000000,910742700000.0,346.29,2630000000
META,2023-09-30,34146000000,27936000000,13748000000,9241000000,14188000000,11583000000,13748000000,16607000000,2859000000,4.39,3.6,0.79,21.9444,216274000000,73401000000,36890000000,1460000000,18383000000,142873000000,75205000000,2641000000,12944000000,None,4372000000,20402000000,6543000000,0,-3569000000,11583000000,810311620000.0,306.82,2641000000
META,2023-06-30,31999000000,26054000000,9392000000,9344000000,16662000000,7788000000,9392000000,12015000000,2623000000,2.98,2.87,0.11,3.8328,206688000000,72655000000,28785000000,1396000000,18382000000,134033000000,67980000000,2612000000,12511000000,None,3093000000,17309000000,6216000000,None,-898000000,7788000000,749591760000.0,286.98,2612000000
META,2023-03-31,28645000000,22537000000,7227000000,9381000000,15310000000,5709000000,7227000000,9751000000,2524000000,2.2,1.95,0.25,12.8205,184491000000,59696000000,11551000000,1479000000,9925000000,124795000000,61241000000,2596000000,11044000000,None,3672000000,13998000000,6842000000,0,-9365000000,5709000000,550196240000.0,211.94,2596000000
