ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
MRVL,2025-07-31,2006100000,1010600000,290100000,519000000,720500000,194800000,290100000,617900000,327800000,0.67,0.67,0,0,20586300000,7164600000,1224400000,550100000,3967900000,13421700000,-840000000,870400000,1451700000,1051600000,610700000,461600000,48600000,51700000,-200000000,194800000,69954048000.0,80.37,870400000
MRVL,2025-04-30,1895300000,952400000,270600000,507700000,681800000,177900000,270600000,600500000,329900000,0.62,0.61,0.01,1.6393,20023700000,6711000000,885900000,1305400000,2977400000,13312700000,-983100000,875600000,1144000000,1071400000,562700000,332900000,119900000,51800000,-340000000,177900000,51108772000.0,58.37,875600000
MRVL,2025-01-31,1817400000,917400000,235200000,499000000,682200000,200200000,244800000,570700000,325900000,0.6,0.59,0.01,1.6949,20204500000,6777500000,948300000,177800000,3934300000,13427000000,-1109200000,865500000,1028400000,1029700000,622200000,514000000,70700000,51900000,-200000000,200200000,97680330000.0,112.86,865500000
MRVL,2024-10-31,1516100000,349400000,-702800000,488600000,1052200000,-676300000,-702800000,-361300000,341500000,0.43,0.41,0.02,4.878,19715600000,6342700000,868100000,172600000,3965500000,13372900000,-1257500000,865700000,997900000,859400000,538100000,536300000,75500000,51900000,-200000000,-676300000,69351227000.0,80.11,865700000
MRVL,2024-07-31,1272900000,587600000,-100400000,486700000,688000000,-193300000,-97800000,254200000,352000000,0.3,0.3,0,0,20293400000,6088500000,808700000,170200000,3996500000,14204900000,-529300000,865700000,1060100000,817800000,453400000,306400000,53400000,51900000,-175000000,-193300000,57984586000.0,66.98,865700000
MRVL,2024-04-30,1160900000,527800000,-152300000,476100000,680100000,-215600000,-149000000,188500000,337500000,0.24,0.25,-0.01,-4,20491000000,6012300000,847700000,156400000,4027600000,14478700000,-284100000,865000000,881900000,826400000,320900000,324500000,92000000,51800000,-150000000,-215600000,57012150000.0,65.91,865000000
MRVL,2024-01-31,1426500000,664100000,-33300000,459600000,697400000,-392700000,-34700000,325400000,360100000,0.46,0.46,0,0,21228500000,6397100000,950800000,146700000,4058600000,14831400000,-16700000,864700000,1121600000,864400000,411300000,546600000,81600000,51900000,-100000000,-392700000,58540190000.0,67.7,864700000
MRVL,2023-10-31,1418600000,551200000,-146300000,481100000,697500000,-164300000,-134900000,207000000,341900000,0.41,0.4,0.01,2.5,21714400000,6481000000,725600000,135800000,4089600000,15233400000,427900000,862600000,1214600000,941500000,419100000,503000000,54700000,51800000,-50000000,-164300000,40731972000.0,47.22,862600000
MRVL,2023-07-31,1340900000,521100000,-205700000,474800000,726800000,-207500000,-197800000,149500000,347300000,0.33,0.32,0.01,3.125,21750100000,6360600000,423400000,1061000000,3134500000,15389500000,644000000,860900000,1209200000,1015800000,412800000,112500000,111300000,51700000,-51200000,-207500000,56070416999.99999,65.13,860900000
MRVL,2023-04-30,1321700000,557200000,-182400000,480700000,739600000,-168900000,-179600000,168800000,348400000,0.31,0.29,0.02,6.8966,22273200000,6779300000,1028300000,1561000000,3154900000,15493900000,903200000,856700000,1000900000,1026000000,388400000,208400000,102600000,51400000,-72600000,-168900000,34276567000.0,40.01,856700000
