ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
MU,2025-08-31,11315000000,5054000000,3754000000,1029000000,1300000000,3201000000,3948000000,6132000000,2184000000,3.03,2.86,0.17,5.9441,82798000000,28633000000,9642000000,634000000,None,54165000000,48583000000,1125000000,9265000000,8355000000,3132000000,5730000000,5658000000,130000000,None,3201000000,133290000000.0,118.48,1125000000
MU,2025-05-31,9301000000,3508000000,2169000000,965000000,1339000000,1885000000,2236000000,4330000000,2094000000,1.91,1.59,0.32,20.1258,78397000000,27649000000,10163000000,538000000,12434000000,50748000000,45559000000,1125000000,7436000000,8727000000,2757000000,4609000000,2938000000,131000000,None,1885000000,110452500000.00002,98.18,1125000000
MU,2025-02-28,8053000000,2963000000,1773000000,898000000,1190000000,1583000000,1773000000,3817000000,2044000000,1.56,1.28,0.28,21.875,73053000000,24420000000,7552000000,504000000,11541000000,48633000000,43839000000,1123000000,6504000000,9007000000,2383000000,3942000000,3206000000,130000000,None,1583000000,105146490000.0,93.63,1123000000
MU,2024-11-30,8709000000,3348000000,2174000000,906000000,1174000000,1870000000,2174000000,4204000000,2030000000,1.79,1.77,0.02,1.1299,71461000000,24664000000,6693000000,533000000,11200000000,46797000000,42427000000,1122000000,7423000000,8705000000,2520000000,3244000000,3206000000,131000000,None,1870000000,110573100000.0,98.55,1122000000
MU,2024-08-31,7750000000,2737000000,1522000000,903000000,1215000000,887000000,1527000000,3431000000,1904000000,1.18,1.14,0.04,3.5088,69416000000,24285000000,7041000000,431000000,11237000000,45131000000,40877000000,1125000000,6615000000,8875000000,2726000000,3405000000,3120000000,129000000,-300000000,887000000,99652500000.0,88.58,1125000000
MU,2024-05-31,6811000000,1832000000,719000000,850000000,1113000000,332000000,681000000,2636000000,1955000000,0.62,0.51,0.11,21.5686,66255000000,22030000000,7594000000,398000000,11226000000,44225000000,40169000000,1123000000,5131000000,8512000000,1951000000,2482000000,2086000000,128000000,0,332000000,140375000000.0,125.0,1123000000
MU,2024-02-29,5824000000,1079000000,191000000,832000000,888000000,793000000,191000000,2074000000,1883000000,0.42,-0.25,0.67,268,65718000000,21848000000,8016000000,344000000,11912000000,43870000000,39997000000,1114000000,4296000000,8443000000,1913000000,1219000000,1384000000,127000000,0,793000000,100939540000.0,90.61,1114000000
MU,2023-11-30,4726000000,-35000000,-1128000000,845000000,1108000000,-1234000000,-1128000000,787000000,1915000000,-0.95,-0.97,0.02,2.0619,63776000000,20891000000,8075000000,908000000,12597000000,42885000000,39356000000,1100000000,2943000000,8276000000,1721000000,1401000000,1796000000,129000000,0,-1234000000,83732000000.0,76.12,1100000000
MU,2023-08-31,4010000000,-435000000,-1472000000,719000000,1033000000,-1430000000,-1472000000,465000000,1937000000,-1.07,-1.18,0.11,9.322,64254000000,20134000000,8577000000,278000000,13052000000,44120000000,40824000000,1095000000,2443000000,8387000000,1725000000,249000000,1461000000,126000000,0,-1430000000,76584300000.0,69.94,1095000000
MU,2023-05-31,3752000000,-668000000,-1566000000,758000000,1025000000,-1892000000,-1566000000,390000000,1956000000,-1.43,-1.58,0.15,9.4937,65680000000,20275000000,9298000000,259000000,12986000000,45405000000,42391000000,1094000000,2429000000,8238000000,1640000000,24000000,1561000000,126000000,0,-1896000000,74610800000.0,68.2,1094000000
