ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
NFLX,2025-09-30,,,,,,,,,,5.87,6.97,-1.1,-15.7819,,,,,,,,,,,,,,,,,,,
NFLX,2025-06-30,11079166000,5753855000,3774694000,824683000,1979161000,3125413000,3814324000,7726411000,3912087000,7.19,7.03,0.16,2.276,53099664000,28147765000,7842714000,453940000,14453206000,24951899000,37316681000,435917000,1579859000,None,632718000,2423258000,155889000,None,-1654327000,3125413000,583749532210.0,1339.13,435917000.0
NFLX,2025-03-31,10542801000,5279654000,3346999000,822823000,1932655000,2890351000,3397898000,7301077000,3903179000,6.61,5.66,0.95,16.7845,52087644000,28059571000,7199848000,1443149000,14011037000,24028073000,34191268000,436962000,1447986000,None,614489000,2789199000,128277000,None,-3536396000,2890351000,407480173860.0,932.53,436962000.0
NFLX,2024-12-31,10246513000,4479149000,2272766000,776505000,2206383000,1868607000,1941665000,6182705000,4241040000,4.27,4.2,0.07,1.6667,53630374000,28886807000,7804733000,1784453000,13798351000,24743567000,31300917000,437786000,1988304000,None,899909000,1536894000,158674000,None,-963748000,1868607000,390207417520.0,891.32,437786000.0
NFLX,2024-09-30,9824703000,4704819000,2909477000,735063000,1795342000,2363509000,2909477000,6689912000,3780435000,5.4,5.12,0.28,5.4688,52281844000,29561108000,7457025000,2253057000,14160932000,22720736000,29432310000,437898000,1217659000,437653000,641953000,2321101000,126863000,None,-1700000000,2363509000,310587914460.0,709.27,437898000.0
NFLX,2024-06-30,9559310000,4385167000,2602837000,711254000,1782330000,2147306000,2681842000,6532759000,3850917000,4.88,4.74,0.14,2.9536,49098895000,26986202000,6624939000,2217050000,12180024000,22112693000,27068801000,439739000,1276359000,1,598557000,1290847000,78287000,None,-1599998000,2147306000,296212587790.0,673.61,439739000.0
NFLX,2024-03-31,9381681000,4404414000,2632534000,702473000,1760833000,2332209000,2787893000,6545932000,3758039000,5.28,4.52,0.76,16.8142,48827721000,27462311000,7024766000,1196564000,13217038000,21365410000,24921495000,441654000,1228691000,-31662100000,607348000,2212522000,75714000,None,-2000000000,2332209000,271312468739.99997,614.31,441654000.0
NFLX,2023-12-31,8832825000,3525340000,1496109000,673341000,2029231000,937838000,1496109000,5336755000,3840646000,2.11,2.22,-0.11,-4.955,48731992000,28143679000,7116913000,783156000,14143417000,20588313000,22589286000,449498000,1842054000,408936000,747412000,1663014000,81632000,None,-2500000000,937838000,210589813000.0,468.5,449498000.0
NFLX,2023-09-30,8541668000,3610880000,1916394000,657159000,1694486000,1677422000,1916394000,5580407000,3664013000,3.73,3.49,0.24,6.8768,49501786000,27394159000,7353245000,777014000,13900754000,22107627000,21651448000,450011000,1139974000,482375000,534429000,1992315000,103929000,None,-2500100000,1677422000,171152683630.0,380.33,450011000.0
NFLX,2023-06-30,8187301000,3513831000,1827183000,657983000,1686648000,1487610000,1827183000,5353550000,3526367000,3.29,2.85,0.44,15.4386,50817473000,27985258000,7662788000,399387000,14070151000,22832215000,19974026000,451572000,1218326000,None,615374000,1440232000,100972000,None,-645146000,1487610000,198912950280.0,440.49,451572000.0
NFLX,2023-03-31,8161503000,3357878000,1714317000,687275000,1643561000,1305120000,1714317000,5264636000,3550319000,2.88,2.87,0.01,0.3484,49490345000,27662149000,6714594000,399163000,14037965000,21828196000,18486416000,452417000,1025509000,None,591987000,2178740000,62019000,None,-400101000,1305120000,156301025160.0,345.48,452417000.0
NFLX,2022-12-31,7852053000,2447893000,549904000,673926000,1897989000,55284000,549904000,4588118000,4038214000,0.12,0.48,-0.36,-75,48594768000,27817367000,5147176000,0,14353076000,20777401000,17181296000,451649000,1586898000,None,671513000,443858000,111593000,None,6705000,55284000,133213872550.0,294.95,451649000.0
NFLX,2022-09-30,7925589000,3136924000,1533018000,662739000,1603906000,1398242000,1533018000,5533202000,4000184000,3.1,2.13,0.97,45.5399,47562187000,27034046000,6113733000,0,13888117000,20528141000,17126012000,450344000,875042000,None,560156000,556810000,84960000,None,4113000,1398242000,106028991360.0,235.44,450344000.0
NFLX,2022-06-30,7970141000,3279386000,1578283000,716846000,1701103000,1440951000,1578283000,5143362000,3565079000,3.2,2.93,0.27,9.215,46350935000,27274961000,5819449000,None,14233303000,19075974000,15727770000,450169000,765386000,None,504278000,102750000,90018000,None,11250000,1440951000,78721053030.0,174.87,450169000.0
NFLX,2022-03-31,7867767000,3583062000,1971626000,657530000,1611436000,1597447000,1971626000,5408238000,3436612000,3.53,2.91,0.62,21.3058,45330904000,27786865000,6008946000,None,14534561000,17544039000,14286819000,452984000,824650000,None,617202000,922839000,121158000,None,13678000,1597447000,169683276560.0,374.59,452984000.0
NFLX,2021-12-31,7709318000,2469743000,631770000,647470000,1837973000,607429000,631770000,4437071000,3805301000,1.33,0.83,0.5,60.241,44584663000,28735415000,6027804000,1015012000,14693072000,15849248000,12689372000,455795000,804320000,None,837483000,-403274000,165979000,None,-224168000,607429000,274589139800.00003,602.44,455795000.0
NFLX,2021-09-30,7483467000,3276878000,1755253000,563887000,1521625000,1449071000,1755253000,4788557000,3033304000,3.19,2.56,0.63,24.6094,42739857000,27425240000,7526681000,699473000,14793691000,15314617000,12081943000,454925000,782350000,None,643059000,82379000,167327000,None,-100000000,1449071000,277658924500.0,610.34,454925000.0
NFLX,2021-06-30,7341777000,3323769000,1847630000,537321000,1476139000,1353013000,1847630000,4692867000,2845237000,2.97,3.16,-0.19,-6.0127,40970969000,27107098000,7777530000,699128000,14926889000,13863871000,10632872000,455129000,775222000,None,622931000,-63761000,110278000,None,-500022000,1353013000,240403689090.00003,528.21,455129000.0
NFLX,2021-03-31,7163282000,3294771000,1959856000,525207000,1334915000,1706715000,1959856000,4714793000,2754937000,3.75,2.97,0.78,26.2626,40123014000,27238934000,8403705000,698788000,14860552000,12884080000,9279859000,455641000,807036000,None,532942000,777266000,81001000,None,48071000,1706715000,237689684060.0,521.66,455641000.0
NFLX,2020-12-31,6644442000,2479282000,954242000,486936000,1525040000,542156000,954242000,3968810000,3014568000,1.19,1.39,-0.2,-14.3885,39280359000,28215119000,8205550000,499878000,15809095000,11065240000,7573144000,455283000,610819000,None,656183000,-137672000,148356000,None,33987000,542156000,246185176590.0,540.73,455283000.0
NFLX,2020-09-30,6435637000,2567886000,1314863000,453802000,1253023000,789976000,1314863000,4077195000,2762332000,1.74,2.13,-0.39,-18.3099,38622543000,28289220000,8392391000,499517000,15547616000,10333323000,7030988000,455088000,604789000,None,541298000,1263761000,109811000,None,68665000,789976000,227557652640.0,500.03,455088000.0
NFLX,2020-06-30,6148286000,2504579000,1357928000,435045000,1146651000,720196000,1357928000,3991748000,2633820000,1.59,1.81,-0.22,-12.1547,37175281000,27840528000,7153248000,499161000,15294998000,9334753000,6241012000,453945000,565668000,None,446668000,1041076000,141741000,None,89060000,720196000,206563132800.0,455.04,453945000.0
NFLX,2020-03-31,5767691000,2167990000,958256000,453817000,1209734000,709067000,958256000,3470158000,2511902000,1.57,1.64,-0.07,-4.2683,35059910000,26650616000,5151884000,694809000,14170692000,8409294000,5520816000,452494000,1081547000,None,545488000,259912000,98015000,None,43694000,709067000,169911497000.0,375.5,452494000.0
NFLX,2019-12-31,5467434000,2001411000,458512000,409376000,1542899000,586970000,458512000,3065999000,2607487000,1.3,0.53,0.77,145.283,33975712000,26393555000,5018437000,843043000,14759260000,7582157000,4811749000,451367000,979068000,-979068000,674347000,-1461975000,107737000,None,15633000,586970000,146048820190.0,323.57,451367000.0
