ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,revenueGrowthPct,netIncomeMarginPct,epsSurprisePct,freeCashFlow,debtToEquityRatio,totalDebt,cashRatio,rdIntensityPct,buybackRatio,marketCap,peRatio,psRatio
NICE,2025-06-30,726712000,485111000,160592000,89762000,324519000,187404000,160592000,205204000,44612000,3.01,2.99,0.02,0.6689,5309688000,1578444000,535050000,472155000.0,,3731244000,,63210000,680963000,,81624000,61322000,22716000,,-30839000,187404000,3.7875325624971534,25.78793249595438,0.6688963210702198,84038000,0.42303424809527335,472155000.0,1.1332083743685866,12.351798236440295,0.16455892083413373,10244800326.58026,54.66692454045943,14.097469598107997
NICE,2025-03-31,700192000,468112000,148169000,89102000,319943000,129290000,148169000,191610000,43441000,2.87,2.84,0.03,1.0563,5231927000,1732032000,469532000,471412000.0,,3499895000,,64368000,643245000,,59414000,285071000,20433000,,-252329000,129290000,-2.9667405764966737,18.464935332023217,1.056338028169023,305504000,0.49488113214825014,471412000.0,0.9960119810272119,12.725366756546777,1.9516513264753654,9518718238.457563,73.62300439676358,13.594440151355005
NICE,2024-12-31,721600000,489214000,154312000,94753000,334902000,99509000,151696000,200472000,48776000,3.02,2.9458,0.0742,2.5188,5295906000,1692743000,481712000,471345000.0,,3589742000,2702397000.0,64802000,648191000,-4206000.0,110603000,249522000,24386000,,-95156000,99509000,4.585318343157541,13.790049889135256,2.5188403829180466,273908000,0.4715500445435912,471345000.0,1.0219945050865078,13.130958980044346,0.9562552130963028,10724533622.679276,107.77450906630833,14.862158568014516
NICE,2024-09-30,689963000,460277000,141379000,91500000,318898000,120921000,141379000,194343000,52964000,2.88,2.68,0.2,7.4627,5188613000,1608367000,666734000,471425000.0,,3567727000,,64838000,629850000,,71349000,158961000,27231000,,-86437000,120921000,3.847531607465382,17.525722393809524,7.462686567164169,186192000,0.4508099975138232,471425000.0,1.4142949567799756,13.261580693457475,0.7148220739160278,10727003818.377304,88.71084276823136,15.547216036769079
NICE,2024-06-30,664400000,439617000,128824000,86522000,310793000,115785000,128824000,180344000,51520000,2.64,2.58,0.06,2.3256,5051819000,1584957000,739556000,26114000.0,457930000.0,3455172000,,65856000,580101000,,73129000,169668000,21693000,,-146088000,115785000,0.7721720771292295,17.42700180614088,2.325581395348839,191361000,0.45872014475690354,484044000.0,28.320287968139695,13.022576760987356,1.2617178390983288,11333924871.91974,97.88767864507268,17.058887525466197
NICE,2024-03-31,659309000,436640000,122959000,87832000,313681000,106373000,122959000,174719000,51760000,2.58,2.45,0.13,5.3061,5046578000,1588277000,794597000,13324000.0,457505000.0,3447085000,,66528000,574987000,,55238000,254490000,26457000,,-41515000,106373000,5.795485179527327,16.134013034859223,5.306122448979587,280947000,0.46075945327718926,470829000.0,59.63652056439508,13.32182633636125,0.3902776080396341,15135978113.608553,142.29154121448633,22.957335807047308
NICE,2023-12-31,623192000,422314000,136199000,81119000,286115000,81652000,117941000,159153000,41212000,2.36,2.26,0.1,4.4248,5117634000,1763134000,513314000,222976000.0,457081000.0,3341132000,2262898000.0,65748999,585154000,,66036000,168225000,19947000,,-69026000,81652000,3.633194976585785,13.102222108114352,4.424778761061951,188172000,0.5277055800249736,680057000.0,2.3021042623421355,13.016694694411996,0.8453681477489835,11715488144.25,143.48072483527653,18.799163250250324
NICE,2023-09-30,601344000,410358000,113626000,84848000,296732000,92353000,113626000,155895000,42269000,2.27,2.15,0.12,5.5814,4895991000,1664295000,713090000,193700000.0,456652000.0,3218880000,2262898000.0,66223000,537951000,93505000.0,56998000,120610000,17986000,43000.0,-89506000,92353000,3.481422718128835,15.357765272456364,5.581395348837215,138596000,0.5170416418133015,650352000.0,3.6814145585957667,14.10972754363559,0.969172631100235,12027283932.820724,130.2316539021009,20.000671716722415
NICE,2023-06-30,581113000,391400000,105429000,78640000,285971000,87355000,105429000,147462000,42033000,2.13,2.06,0.07,3.3981,4929338000,1734536000,598079000,233338000.0,456223000.0,3182461000,,66435000,513881000,133517000.0,45269000,65254000,19004000,764999.0,-65196000,87355000,1.618053369705863,15.032360315463603,3.3980582524271767,84258000,0.5450297741276326,689561000.0,2.5631444513966866,13.53265199711588,0.7463339247896514,12715086466.55658,145.55648178760896,21.88057480482553
NICE,2023-03-31,571860000,385264000,93507000,78102000,291757000,76942000,93507000,135353000,41846000,2.03,1.98,0.05,2.5253,4993322000,1863806000,630661000,261327000.0,455800000.0,3117584000,,66662000,503751000,160474000.0,54902000,195071000,27242000,,-64715000,76942000,0.5804136766568213,13.454691707760642,2.525252525252516,222313000,0.5978366581301418,717127000.0,2.4133021080868033,13.657538558388415,0.8410880923292869,12807081001.08026,166.45110604195705,22.395483162103066
NICE,2022-12-31,568560000,387580000,87824000,81964000,299756000,71186000,87872000,135341000,47469000,2.04,1.93,0.11,5.6995,4856181000,1800758000,529596000,222817000.0,455382000.0,3042085000,1926398000.0,66285000,519386000,122323000.0,56019000,176706000,23767000,529000.0,-24543000,71186000,2.4942133385251086,12.520402420149148,5.699481865284979,200473000,0.5919486141905963,678199000.0,2.3768204400920934,14.416068664696777,0.3447728485938246,11872929675.320724,166.7874255516636,20.88245686527495
NICE,2022-09-30,554724000,383942000,90295000,74048000,293647000,71246000,90295000,132889000,42594000,1.92,1.87,0.05,2.6738,4623168000,1695168000,423032000,219474000.0,454954000.0,2915076000,1926398000.0,66446000,469230000,122323000.0,37373000,94267000,19494000,150999.0,-22489000,71246000,4.550294865439963,12.843504157022231,2.6737967914438405,113761000,0.5815176002272325,674428000.0,1.9274811594995307,13.34862021473742,0.31565280857872724,13173826867.63684,184.9061963848755,23.748435019283175
NICE,2022-06-30,530581000,365657000,84690000,73482000,280967000,65572000,84690000,126892000,42202000,1.86,1.79,0.07,3.9106,4622763000,1752245000,382219000,224221000.0,454528000.0,2857895000,,66274000,459743000,1.0,60436000,16031000,18374000,,-34070000,65572000,0.5976159824355509,12.358527727151932,3.9106145251396685,34405000,0.6131243450161745,678749000.0,1.7046529986040557,13.849346282659953,0.5195815287012749,12269311295.52829,187.11204928213704,23.124294491375096
NICE,2022-03-31,527429000,360427000,72364000,76578000,288063000,57941000,72364000,116645000,44281000,1.8,1.71,0.09,5.2632,4660629000,1825915000,471715000,260218000.0,454106000.0,2821750000,1653963000.0,66853000,416716000,1.0,45197000,192711000,20255000,,-63842000,57941000,2.3194231317644087,10.98555445377482,5.263157894736847,212966000,0.6470860281740055,714324000.0,1.8127685248522394,14.519110629108372,1.1018449802385184,13969060303.75,241.09111516456394,26.485195739616138
