ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,revenueGrowthPct,netIncomeMarginPct,epsSurprisePct,freeCashFlow,debtToEquityRatio,totalDebt,cashRatio,rdIntensityPct,buybackRatio,marketCap,peRatio,psRatio
NOC,2025-06-30,10351000000,2210000000,1194000000,,1016000000,1174000000,1600000000,1950000000,350000000,8.15,6.8,1.35,19.8529,49451000000,33980000000,1899000000,551000000,15160000000,15471000000,15452000000,144000000,9329000000,1553000000,2592000000,868000000,231000000,332000000,-411000000,1174000000,9.326151246303338,11.34189933339774,19.852941176470594,1099000000,2.1963673970654773,15711000000,3.4464609800362975,,0.35008517887563884,69055175412.53748,58.820421986829196,6.671353049225917
NOC,2025-03-31,9468000000,1580000000,573000000,,1007000000,481000000,734000000,1071000000,337000000,3.32,6.26,-2.94,-46.9649,48468000000,33484000000,1685000000,605000000,14167000000,14984000000,14982000000,144900000,8662000000,1578000000,2501000000,-1565000000,256000000,302000000,-480000000,481000000,-11.398090960134756,5.080270384452894,-46.96485623003195,-1309000000,2.234650293646556,14772000000,2.7851239669421486,,0.997920997920998,68855895533.47583,143.1515499656462,7.2724857977900115
NOC,2024-12-31,10686000000,1932000000,1089000000,1100000000.0,843000000,1264000000,1711000000,2125000000,414000000,8.66,6.37,2.29,35.9498,49359000000,34069000000,4353000000,1906000000,14692000000,15290000000,15297000000,147300000,7180000000,1455000000,2599000000,2578000000,816000000,299000000,-441000000,1264000000,6.902761104441768,11.828560733670223,35.949764521193096,3394000000,2.2281883584041857,16598000000,2.2838405036726126,10.293842410630733,0.34889240506329117,68901112131.91748,54.51037352208662,6.447792638210507
NOC,2024-09-30,9996000000,2106000000,1120000000,,986000000,1026000000,1349000000,1680000000,331000000,7.0,6.07,0.93,15.3213,48289000000,33541000000,3326000000,1589000000,14689000000,14748000000,14738000000,146500000,8127000000,1646000000,2518000000,1091000000,361000000,301000000,-321000000,1026000000,-2.172636523781557,10.264105642256903,15.321252059308065,1452000000,2.274274477895308,16278000000,2.093140339836375,,0.3128654970760234,73333640919.35535,71.47528354712996,7.336298611380086
NOC,2024-06-30,10218000000,2191000000,1090000000,,1101000000,940000000,1257000000,1583000000,326000000,6.36,5.93,0.43,7.2513,47670000000,33369000000,3272000000,1590000000,14706000000,14301000000,14301000000,147700000,8128000000,1504000000,2352000000,1425000000,320000000,303000000,-562000000,940000000,0.838843383006016,9.199451947543551,7.2512647554806176,1745000000,2.3333333333333335,16296000000,2.0578616352201258,,0.597872340425532,62901807234.4068,66.91681620681574,6.155980351772049
NOC,2024-03-31,10133000000,2133000000,1071000000,,1062000000,944000000,1239000000,1538000000,299000000,6.32,5.79,0.53,9.1537,47818000000,33595000000,3061000000,1582000000,14742000000,14223000000,14218000000,149300000,8282000000,1370000000,2580000000,-706000000,270000000,283000000,-1190000000,944000000,-4.747132919721753,9.316095924208033,9.153713298791024,-436000000,2.362019264571469,16324000000,1.9348925410872313,,1.2605932203389831,64068904969.30945,67.86960272172611,6.3227972929349106
NOC,2023-12-31,10638000000,485000000,-393000000,1200000000.0,878000000,-535000000,-629000000,-229000000,400000000,6.27,5.8,0.47,8.1034,46544000000,31749000000,3109000000,370000000,13786000000,14795000000,14773000000,151100000,7147000000,1109000000,2110000000,2430000000,803000000,282000000,-346000000,-535000000,8.82864450127878,-5.029140815942847,8.103448275862064,3233000000,2.1459276782696857,14156000000,8.402702702702703,11.280315848843768,-0.6467289719626168,65255740177.652466,-121.97334612645321,6.134211334616701
NOC,2023-09-30,9775000000,2041000000,1016000000,,1025000000,937000000,1259000000,1576000000,317000000,6.18,5.8,0.38,6.5517,44896000000,28968000000,2082000000,1927000000,13793000000,15928000000,15924000000,151700000,8034000000,1355000000,2260000000,1228000000,359000000,280000000,-223000000,937000000,2.078111946533001,9.585677749360613,6.551724137931032,1587000000,1.8186840783525866,15720000000,1.0804359107420862,,0.23799359658484526,60931468176.68463,65.02824778728349,6.233398278944719
NOC,2023-06-30,9576000000,2040000000,967000000,,1073000000,812000000,1134000000,1457000000,323000000,5.34,5.32,0.02,0.3759,45609000000,30123000000,3384000000,1878000000,13796000000,15486000000,15485000000,152200000,7966000000,1287000000,2056000000,919000000,304000000,284000000,-208000000,812000000,2.9566713256639066,8.47953216374269,0.3759398496240521,1223000000,1.9451762882603643,15674000000,1.8019169329073483,,0.2561576354679803,62819230574.43866,77.36358445127914,6.560070026570453
NOC,2023-03-31,9301000000,1985000000,947000000,,1038000000,842000000,1127000000,1425000000,298000000,5.5,5.09,0.41,8.055,44244000000,29108000000,2495000000,1082000000,13770000000,15136000000,15135000000,153200000,8276000000,1115000000,2136000000,-702000000,309000000,270000000,-723000000,842000000,-7.2959234526064005,9.052790022578218,8.055009823182715,-393000000,1.9230972515856237,14852000000,2.3059149722735675,,0.8586698337292161,63360636855.52832,75.25016253625691,6.812239206056158
NOC,2022-12-31,10033000000,1824000000,906000000,1200000000.0,918000000,2080000000,2514000000,2896000000,382000000,7.5,6.57,0.93,14.1553,43755000000,28443000000,2577000000,1371000000,11805000000,15312000000,15312000000,154500000,7494000000,978000000,2587000000,2251000000,632000000,266000000,-493000000,2080000000,11.83814513432171,20.731585766969,14.155251141552508,2883000000,1.8575626959247649,13176000000,1.8796498905908097,11.960530250174424,0.23701923076923076,74600666987.24622,35.86570528232991,7.435529451534557
NOC,2022-09-30,8971000000,1818000000,844000000,,974000000,915000000,1220000000,1547000000,327000000,5.89,6.11,-0.22,-3.6007,42733000000,28790000000,1666000000,1069000000,11803000000,13943000000,13955000000,155300000,8366000000,989000000,2335000000,1335000000,296000000,267000000,-371000000,915000000,1.9315986819679498,10.1995318247687,-3.600654664484462,1631000000,2.064835401276626,12872000000,1.558465855940131,,0.4054644808743169,64910716732.25696,70.94067402432455,7.235616623816404
