ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
NOW,2025-06-30,3215000000,2491000000,358000000,734000000,2133000000,385000000,477000000,622000000,145000000,4.09,3.57,0.52,14.5658,22051000000,11119000000,3133000000,104000000,1490000000,10932000000,4339000000,209322000,1696000000,None,211000000,716000000,190000000,None,-361000000,385000000,215199761760.0,1028.08,209322000
NOW,2025-03-31,3088000000,2437000000,451000000,703000000,1986000000,460000000,561000000,721000000,160000000,4.04,3.83,0.21,5.483,20972000000,10833000000,3369000000,103000000,1490000000,10139000000,3954000000,209371000,1359000000,None,309000000,1677000000,205000000,None,-298000000,460000000,166688627940.0,796.14,209371000
NOW,2024-12-31,2957000000,2326000000,374000000,668000000,1952000000,384000000,468000000,622000000,154000000,3.67,3.66,0.01,0.2732,20383000000,10774000000,2304000000,102000000,1489000000,9609000000,3494000000,209000000,2240000000,None,68000000,1635000000,253000000,None,-296000000,384000000,221565079999.99997,1060.12,209000000
NOW,2024-09-30,2797000000,2213000000,418000000,626000000,1795000000,432000000,522000000,641000000,119000000,2.07,1.58,0.49,31.0127,18434000000,9144000000,1885000000,106000000,1489000000,9290000000,3110000000,208552000,1308000000,None,165000000,671000000,202000000,None,-225000000,432000000,186526823280.0,894.39,208552000
NOW,2024-06-30,2627000000,2075000000,240000000,643000000,1835000000,262000000,340000000,476000000,136000000,3.13,2.83,0.3,10.6007,18207000000,9541000000,2159000000,98000000,1488000000,8666000000,2678000000,207799000,1518000000,None,296000000,620000000,271000000,None,-137000000,262000000,163945099040.0,788.96,207799000
NOW,2024-03-31,2603000000,2083000000,332000000,606000000,1751000000,347000000,431000000,561000000,130000000,3.41,3.13,0.28,8.9457,17544000000,9437000000,2056000000,92000000,1488000000,8107000000,2416000000,207684000,1306000000,None,223000000,1341000000,156000000,None,-175000000,347000000,159578155080.0,768.37,207684000
NOW,2023-12-31,2437000000,1921000000,270000000,562000000,1651000000,295000000,270000000,424000000,154000000,3.11,2.78,0.33,11.8705,17387000000,9759000000,1897000000,89000000,1488000000,7628000000,2069000000,207000000,2036000000,461000000,126000000,1605000000,261000000,None,-256000000,295000000,142316640000.0,687.52,207000000
NOW,2023-09-30,2288000000,1792000000,231000000,549000000,1561000000,242000000,305000000,424000000,119000000,2.92,2.55,0.37,14.5098,15091000000,7909000000,1112000000,91000000,1487000000,7182000000,1774000000,206277000,1168000000,417000000,69000000,311000000,136000000,None,-282000000,242000000,114531178710.0,555.23,206277000
NOW,2023-06-30,2150000000,1679000000,117000000,521000000,1562000000,1044000000,180000000,290000000,110000000,2.37,2.05,0.32,15.6098,14923000000,7997000000,1663000000,90000000,1487000000,6926000000,1532000000,205351000,1093000000,401000000,171000000,580000000,132000000,None,-94000000,1044000000,115401101470.0,561.97,205351000
NOW,2023-03-31,2096000000,1658000000,144000000,492000000,1514000000,150000000,194000000,320000000,126000000,2.37,2.04,0.33,16.1765,13614000000,8014000000,1852000000,97000000,1486000000,5600000000,488000000,204263000,1109000000,392000000,228000000,902000000,165000000,None,-112000000,150000000,94925101360.0,464.72,204263000
