ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,revenueGrowthPct,netIncomeMarginPct,epsSurprisePct,freeCashFlow,debtToEquityRatio,totalDebt,cashRatio,rdIntensityPct,buybackRatio,marketCap,peRatio,psRatio
NTAP,2025-07-31,1557000000,1098000000,309000000,242000000,787000000,233000000,333000000,384000000,51000000,1.55,1.54,0.01,0.6494,9679000000,8704000000,2085000000,41000000,2485000000,975000000,0,203000000,787000000,133000000,404000000,673000000,53000000,104000000,-300000000,233000000,-10.103926096997695,14.964675658317278,0.6493506493506499,726000000,8.927179487179487,2526000000,50.853658536585364,15.542710340398202,1.2875536480686696,22417449950.471462,96.21223154708782,14.397848394650907
NTAP,2025-04-30,1732000000,1193000000,348000000,256000000,845000000,340000000,375000000,428000000,53000000,1.93,1.9,0.03,1.5789,10823000000,9783000000,2742000000,790000000,2485000000,1040000000,0,206000000,1246000000,186000000,511000000,675000000,35000000,105000000,-250000000,340000000,5.545399146861674,19.630484988452658,1.578947368421054,710000000,9.40673076923077,3275000000,3.470886075949367,14.780600461893764,0.7352941176470589,19613199374.67723,57.68588051375656,11.324018114709718
NTAP,2025-01-31,1641000000,1145000000,362000000,247000000,783000000,299000000,382000000,446000000,64000000,1.91,1.91,0.0,0.0,8989000000,7994000000,1511000000,791000000,1244000000,995000000,0,208000000,898000000,268000000,434000000,385000000,47000000,106000000,-200000000,299000000,-1.0253317249698468,18.2205971968312,0.0,432000000,8.034170854271357,2035000000,1.9102402022756004,15.051797684338819,0.6688963210702341,19615972698.353577,65.6052598607143,11.953670139155134
NTAP,2024-10-31,1658000000,1177000000,345000000,257000000,832000000,299000000,375000000,438000000,63000000,1.87,1.78,0.09,5.0562,9004000000,8112000000,1478000000,790000000,1244000000,892000000,0,210000000,873000000,317000000,554000000,105000000,45000000,106000000,-300000000,299000000,7.592472420506158,18.033775633293125,5.056179775280904,150000000,9.094170403587444,2034000000,1.870886075949367,15.500603136308804,1.0033444816053512,22711228843.301468,75.9572871013427,13.697966732992441
NTAP,2024-07-31,1541000000,1098000000,282000000,252000000,816000000,248000000,315000000,378000000,63000000,1.56,1.45,0.11,7.5862,9311000000,8382000000,1652000000,1188000000,1244000000,929000000,0,212000000,679000000,214000000,437000000,341000000,41000000,107000000,-400000000,248000000,-7.558488302339528,16.09344581440623,7.586206896551731,382000000,9.022604951560819,2432000000,1.3905723905723906,16.3530175210902,1.6129032258064515,24062518240.119736,97.02628322628925,15.614872316755182
NTAP,2024-04-30,1667000000,1176000000,366000000,271000000,810000000,291000000,396000000,460000000,64000000,1.8,1.79,0.01,0.5587,9887000000,8741000000,1903000000,440000000,1992000000,1146000000,208000000,212000000,1007000000,186000000,517000000,613000000,46000000,104000000,-100000000,291000000,3.7982565379825584,17.456508698260347,0.5586592178770954,659000000,7.627399650959861,2432000000,4.325,16.256748650269945,0.3436426116838488,23368803533.242813,80.30516678090314,14.018478424260836
NTAP,2024-01-31,1606000000,1151000000,366000000,249000000,785000000,313000000,399000000,462000000,63000000,1.94,1.69,0.25,14.7929,9369000000,8375000000,1820000000,440000000,1991000000,994000000,115000000,211000000,787000000,131000000,396000000,484000000,36000000,103000000,-100000000,313000000,2.8169014084507005,19.489414694894148,14.792899408284024,520000000,8.425553319919517,2431000000,4.136363636363637,15.504358655043587,0.3194888178913738,17212058477.038376,54.9906021630619,10.717346498778566
NTAP,2023-10-31,1562000000,1110000000,304000000,262000000,806000000,233000000,330000000,383000000,53000000,1.58,1.39,0.19,13.6691,9073000000,8303000000,1934000000,441000000,1991000000,770000000,0,211000000,787000000,122000000,411000000,135000000,38000000,103000000,-300000000,233000000,9.078212290502785,14.916773367477592,13.669064748201452,173000000,10.783116883116882,2432000000,4.3854875283446715,16.773367477592828,1.2875536480686696,16928012869.005478,72.65241574680462,10.83739620294845
NTAP,2023-07-31,1432000000,996000000,178000000,247000000,818000000,149000000,202000000,277000000,75000000,1.15,1.07,0.08,7.4766,9270000000,8397000000,2020000000,44000000,2390000000,873000000,0,216000000,653000000,131000000,344000000,453000000,35000000,106000000,-400000000,149000000,-9.424414927261227,10.405027932960893,7.476635514018677,488000000,9.618556701030927,2434000000,45.90909090909091,17.248603351955307,2.684563758389262,14629771265.266846,98.18638433064997,10.216320715968468
NTAP,2023-04-30,1581000000,1075000000,309000000,243000000,766000000,245000000,330000000,396000000,66000000,1.54,1.34,0.2,14.9254,9818000000,8659000000,2316000000,47000000,2389000000,1159000000,265000000,217000000,987000000,167000000,392000000,235000000,39000000,106000000,-150000000,245000000,3.6041939711664472,15.49652118912081,14.925373134328353,274000000,7.471095772217429,2436000000,49.276595744680854,15.370018975332068,0.6122448979591837,12572666423.916298,51.31700581190326,7.952350679263946
NTAP,2023-01-31,1526000000,1001000000,172000000,230000000,829000000,65000000,193000000,258000000,65000000,1.37,1.31,0.06,4.5802,9710000000,8608000000,2640000000,48000000,2388000000,1102000000,268000000,219000000,821000000,175000000,432000000,377000000,58000000,108000000,-200000000,65000000,-8.238123872519543,4.259501965923985,4.580152671755729,435000000,7.811252268602541,2436000000,55.0,15.072083879423328,3.076923076923077,12134801106.21238,186.68924778788275,7.952032179693565
NTAP,2022-10-31,1663000000,1087000000,282000000,243000000,805000000,750000000,322000000,394000000,72000000,1.48,1.33,0.15,11.2782,9780000000,8578000000,2669000000,47000000,2387000000,1202000000,499000000,220000000,910000000,244000000,584000000,214000000,77000000,108000000,-150000000,750000000,4.459798994974884,45.099218280216476,11.278195488721797,291000000,7.136439267886855,2434000000,56.787234042553195,14.612146722790136,0.2,12607435008.687927,16.809913344917238,7.581139512139464
NTAP,2022-07-31,1592000000,1046000000,255000000,240000000,791000000,214000000,288000000,360000000,72000000,1.2,1.1,0.1,9.0909,9544000000,8887000000,3288000000,300000000,2387000000,657000000,446000000,224000000,865000000,232000000,515000000,281000000,65000000,110000000,-350000000,214000000,-5.238095238095242,13.442211055276381,9.09090909090908,346000000,13.526636225266362,2687000000,10.96,15.07537688442211,1.6355140186915889,13097902098.197067,61.205149991575084,8.227325438565996
NTAP,2022-04-30,1680000000,1087000000,293000000,235000000,796000000,259000000,290000000,356000000,66000000,1.42,1.28,0.14,10.9375,10026000000,9188000000,4112000000,297000000,2386000000,838000000,122000000,228000000,1230000000,204000000,607000000,411000000,68000000,111000000,-250000000,259000000,4.089219330855021,15.416666666666668,10.937499999999991,479000000,10.964200477326969,2683000000,13.845117845117844,13.988095238095239,0.9652509652509652,13211748481.930117,51.01061189934408,7.864136001148879
NTAP,2022-01-31,1614000000,1073000000,321000000,220000000,752000000,252000000,325000000,388000000,63000000,1.44,1.29,0.15,11.6279,9500000000,8618000000,4170000000,298000000,2385000000,882000000,214000000,229000000,799000000,167000000,432000000,260000000,61000000,111000000,-125000000,252000000,3.065134099616862,15.613382899628252,11.627906976744178,321000000,9.770975056689343,2683000000,13.993288590604028,13.630731102850064,0.49603174603174605,15145310967.452362,60.100440347033185,9.383711875744957
