ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
NVDA,2025-07-31,46743000000,33853000000,28440000000,4291000000,5413000000,26422000000,26891000000,28440000000,1549000000,1.05,1.01,0.04,3.9604,140740000000,40609000000,11639000000,301000000,8466000000,100131000000,88737000000,24532000000,27808000000,14962000000,9064000000,15365000000,1895000000,244000000,-9720000000,26422000000,4363506840000.0,177.87,24532000000
NVDA,2025-04-30,44062000000,26668000000,21638000000,3989000000,5030000000,18775000000,21973000000,22584000000,611000000,0.81,0.75,0.06,8,125254000000,41411000000,15234000000,300000000,8464000000,83843000000,72158000000,24611000000,22132000000,11333000000,7331000000,27414000000,1227000000,244000000,-14095000000,18775000000,2680630120000.0,108.92,24611000000
NVDA,2025-01-31,39331000000,28723000000,24034000000,3714000000,4689000000,22091000000,25278000000,25821000000,543000000,0.89,0.85,0.04,4.7059,111601000000,32274000000,8589000000,288000000,8463000000,79327000000,68038000000,24706000000,23065000000,10080000000,6310000000,16629000000,1077000000,245000000,-7811000000,22091000000,2966449420000.0,120.07,24706000000
NVDA,2024-10-31,35082000000,26156000000,21869000000,3390000000,4287000000,19309000000,22377000000,22855000000,478000000,0.81,0.75,0.06,8,96013000000,30114000000,9107000000,273000000,8462000000,65899000000,53950000000,24774000000,17693000000,7654000000,5353000000,17627000000,813000000,245000000,-10997000000,19309000000,3288996240000.0,132.76,24774000000
NVDA,2024-07-31,30040000000,22574000000,18642000000,3090000000,3932000000,16599000000,19275000000,19708000000,433000000,0.68,0.63,0.05,7.9365,85227000000,27070000000,8563000000,250000000,8461000000,58157000000,45961000000,24848000000,14132000000,6675000000,3680000000,14488000000,977000000,246000000,-7158000000,16599000000,2907712960000.0,117.02,24848000000
NVDA,2024-04-30,26044000000,20406000000,16909000000,2720000000,3497000000,14881000000,17343000000,17753000000,410000000,0.612,0.559,0.053,9.4812,77072000000,27930000000,7587000000,1250000000,8460000000,49142000000,36598000000,24890000000,12365000000,5864000000,2715000000,15345000000,369000000,98000000,-7740000000,14881000000,21505457800000.0,864.02,24890000000
NVDA,2024-01-31,22103000000,16791000000,13614000000,2465000000,3177000000,12285000000,14169000000,14556000000,387000000,0.516,0.461,0.055,11.9306,65728000000,22750000000,7280000000,1478000000,8459000000,42978000000,29817000000,24900000000,9999000000,5282000000,2699000000,11499000000,254000000,99000000,-2659000000,12285000000,15320223000000.0,615.27,24900000000
NVDA,2023-10-31,18120000000,13400000000,10417000000,2294000000,2983000000,9243000000,10585000000,10957000000,372000000,0.402,0.336,0.066,19.6429,54148000000,20883000000,5519000000,1479000000,8457000000,33265000000,20360000000,24940000000,8309000000,4779000000,2380000000,7332000000,278000000,98000000,-3807000000,9244000000,10170532000000.0,407.8,24940000000
NVDA,2023-07-31,13507000000,9462000000,6800000000,2040000000,2662000000,6188000000,7046000000,7411000000,365000000,0.27,0.207,0.063,30.4348,49555000000,22054000000,5783000000,1457000000,8456000000,27501000000,14921000000,24990000000,7066000000,4319000000,1929000000,6348000000,289000000,99000000,-3067000000,6188000000,11677577100000.0,467.29,24990000000
NVDA,2023-04-30,7192000000,4648000000,2140000000,1875000000,2508000000,2043000000,2275000000,2659000000,384000000,0.109,0.092,0.017,18.4783,44460000000,19940000000,5079000000,1437000000,9704000000,24520000000,12115000000,24900000000,4080000000,4611000000,1141000000,2911000000,248000000,99000000,-507000000,2043000000,7198590000000.001,289.1,24900000000
NVDA,2023-01-31,6051000000,3833000000,1256000000,1952000000,2577000000,1414000000,1352000000,1778000000,426000000,0.088,0.081,0.007,8.642,41182000000,19081000000,3389000000,1250000000,9703000000,22101000000,10171000000,24770000000,3827000000,5159000000,1193000000,2249000000,509000000,98000000,-1212000000,1414000000,4839314900000.0,195.37,24770000000
NVDA,2022-10-31,5931000000,3177000000,601000000,1945000000,2576000000,680000000,678000000,1084000000,406000000,0.058,0.071,-0.013,-18.3099,40488000000,19139000000,2800000000,1249000000,9701000000,21349000000,9905000000,24990000000,4908000000,4454000000,1491000000,392000000,530000000,100000000,-3485000000,680000000,3372900300000.0,134.97,24990000000
NVDA,2022-07-31,6704000000,2915000000,499000000,1824000000,2416000000,656000000,540000000,918000000,378000000,0.051,0.0499,0.0011,2.2044,43476000000,19625000000,3013000000,1249000000,9700000000,23851000000,12971000000,25160000000,5317000000,3889000000,2421000000,1270000000,433000000,100000000,-3345000000,656000000,4639755600000.0,184.41,25160000000
