ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
OKTA,2025-07-31,728000000,560000000,41000000,160000000,519000000,67000000,68000000,92000000,24000000,0.91,0.85,0.06,7.0588,9550000000,2796000000,876000000,859000000,None,6754000000,-2673000000,180966000,417000000,None,12000000,167000000,5000000,None,None,67000000,17698474800.0,97.8,180966000.0
OKTA,2025-04-30,688000000,533000000,39000000,154000000,494000000,62000000,69000000,93000000,24000000,0.86,0.77,0.09,11.6883,9365000000,2798000000,494000000,509000000,349000000,6567000000,-2740000000,181754000,345000000,None,12000000,241000000,3000000,None,None,62000000,20385528640.0,112.16,181754000.0
OKTA,2025-01-31,682000000,524000000,8000000,157000000,516000000,23000000,32000000,56000000,24000000,0.78,0.7362,0.0438,5.9495,9437000000,3032000000,409000000,509000000,349000000,6405000000,-2802000000,175280000,621000000,None,13000000,286000000,2000000,None,-35000000,23000000,16514881600.0,94.22,175280000.0
OKTA,2024-10-31,665000000,508000000,-16000000,158000000,524000000,16000000,26000000,40000000,14000000,0.67,0.58,0.09,15.5172,9010000000,2745000000,310000000,509000000,349000000,6265000000,-2825000000,170673000,463000000,None,12000000,159000000,5000000,None,None,16000000,12269681970.0,71.89,170673000.0
OKTA,2024-07-31,646000000,491000000,-19000000,164000000,510000000,29000000,13000000,38000000,25000000,0.72,0.61,0.11,18.0328,9067000000,2934000000,515000000,-1394000000,1113000000,6133000000,-2841000000,174443000,377000000,None,11000000,86000000,8000000,None,-39000000,29000000,16387175420.0,93.94,174443000.0
OKTA,2024-04-30,617000000,469000000,-47000000,163000000,516000000,-40000000,-20000000,5000000,25000000,0.65,0.54,0.11,20.3704,8955000000,3002000000,322000000,None,1155000000,5953000000,-2870000000,167465000,307000000,None,12000000,219000000,5000000,None,-41000000,-40000000,15570895700.0,92.98,167465000.0
OKTA,2024-01-31,605000000,460000000,-83000000,156000000,543000000,-44000000,-43000000,-23000000,20000000,0.63,0.51,0.12,23.5294,8989000000,3101000000,334000000,31000000,1154000000,5888000000,-2830000000,166002000,559000000,None,12000000,174000000,8000000,None,None,-44000000,13720065300.0,82.65,166002000.0
OKTA,2023-10-31,584000000,439000000,-111000000,165000000,550000000,-81000000,-72000000,-51000000,21000000,0.44,0.29,0.15,51.7241,8740000000,3010000000,400000000,275724000,1302000000,5730000000,-2786000000,164381000,418000000,104000000,11000000,156000000,7000000,None,None,-81000000,11080923210.0,67.41,164381000.0
OKTA,2023-07-31,556000000,407000000,-162000000,172000000,569000000,-111000000,-102000000,-84000000,18000000,0.31,0.21,0.1,47.619,8713000000,3073000000,356000000,217782000,1451000000,5640000000,-2705000000,162755000,388000000,101000000,13000000,53000000,4000000,None,None,-111000000,12509349300.0,76.86,162755000.0
OKTA,2023-04-30,518000000,376000000,-160000000,163000000,536000000,-119000000,-112000000,-87000000,25000000,0.22,0.12,0.1,83.3333,8900000000,3366000000,125000000,None,1831000000,5534000000,-2594000000,161323000,290000000,95000000,10000000,129000000,5000000,None,6000000,-119000000,11073210720.0,68.64,161323000.0
OKTA,2023-01-31,510000000,371000000,-157650000,154000000,528000000,-152918000,-146310000,-120309000,26001000,0.3,0.09,0.21,233.3333,9307000000,3841000000,264000000,32000000,2193000000,5466000000,-2475000000,160038000,481000000,92000000,12000000,76238000,3353000,None,14430000,-152918000,11780397180.0,73.61,160038000.0
OKTA,2022-10-31,481042000,343389000,-207000000,148000000,549988000,-209000000,-202000000,-174000000,28000000,-0.07,-0.24,0.17,70.8333,9093736000,3686124000,249624000,5217000,2191547000,5407612000,-2322093000,158708000,380754000,None,49122000,10000000,4000000,None,5633000,-209000000,8906692960.0,56.12,158708000.0
OKTA,2022-07-31,452000000,314000000,-208000000,156000000,522000000,-210000000,-203000000,-172000000,31000000,-0.1,-0.3,0.2,66.6667,9074007000,3620991000,216022000,5209000,2190110000,5453016000,-2113196000,157400000,323377000,1,43708000,-19000000,6000000,None,22551000,-210000000,15508622000.0,98.53,157400000.0
OKTA,2022-04-30,415000000,284000000,-240000000,162000000,524000000,-243000000,-238000000,-208000000,30000000,-0.27,-0.34,0.07,20.5882,9045681000,3572987000,194227000,5198000,2188675000,5472694000,-1902724000,155875000,258911000,None,33752000,19000000,9000000,None,5386000,-243000000,19323823750.0,123.97,155875000.0
OKTA,2022-01-31,383015000,263513000,-214426000,147454000,477939000,-241186000,-212280000,-181299000,30981000,-0.18,-0.24,0.06,25,9206000000,3284000000,260000000,43000000,1815714000,5922000000,-1816000000,154720000,398000000,None,20000000,13532000,8611000,None,-94308000,-241186000,30617540799.999996,197.89,154720000.0
OKTA,2021-10-31,350680000,241006000,-198556000,130535000,439562000,-221311000,-197500000,-165772000,31728000,-0.07,-0.23,0.16,69.5652,8996973000,3012418000,372372000,15956000,1793970000,5984555000,-1574681000,153756000,253568000,None,11547000,37120000,3736000,None,126144000,-221311000,38469751200.0,250.2,153756000.0
OKTA,2021-07-31,315500000,214394000,-263440000,122407000,477834000,-276682000,-261272000,-229503000,31769000,-0.11,-0.33,0.22,66.6667,8932095000,2889905000,225265000,15723000,1772511000,6042190000,-1353370000,151357000,238478000,None,9414000,-2608000,1143000,None,126144000,-276682000,37170252060.0,245.58,151357000.0
OKTA,2021-04-30,251006000,184883000,-90681000,68863000,275564000,-109232000,-86462000,-73328000,13134000,-0.1,-0.2,0.1,50,3430447000,2747669000,659886000,20781000,1751326000,682778000,-1076688000,131777000,218474000,None,9542000,56075000,3382000,None,94308000,-109232000,35540256900.0,269.7,131777000.0
