ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
ORCL,2025-08-31,14926000000,10042000000,4277000000,2491000000,5765000000,2927000000,4277000000,4697000000,420000000,1.47,1.48,-0.01,-0.6757,180449000000,155783000000,10445000000,9079000000,82236000000,24154000000,-14054000000,2909000000,8843000000,None,8203000000,8140000000,8502000000,1413000000,-112000000,2927000000,655397700000.0,225.3,2909000000
ORCL,2025-05-31,15903000000,11162000000,5109000000,2654000000,6053000000,3427000000,5130000000,6826000000,1696000000,1.7,1.64,0.06,3.6585,168361000000,147392000000,10786000000,7271000000,85297000000,20451000000,-15481000000,2871000000,8558000000,None,5113000000,6157000000,9080000000,1403000000,-150000000,3427000000,478222470000.0,166.57,2871000000
ORCL,2025-02-28,14130000000,9935000000,4358000000,2429000000,5577000000,2936000000,4340000000,5891000000,1551000000,1.47,1.49,-0.02,-1.3423,161378000000,144117000000,17406000000,8167000000,88109000000,16730000000,-17368000000,2874000000,8051000000,None,2423000000,5933000000,5862000000,1119000000,-152000000,2936000000,477256440000.0,166.06,2874000000
ORCL,2024-11-30,14059000000,9974000000,4220000000,2471000000,5754000000,3151000000,4256000000,5755000000,1499000000,1.47,1.48,-0.01,-0.6757,148483000000,134247000000,10941000000,8162000000,80462000000,13746000000,-19045000000,2869000000,8177000000,None,2679000000,1304000000,3970000000,1118000000,-197000000,3151000000,520465290000.0,181.41,2869000000
ORCL,2024-08-31,13307000000,9401000000,3991000000,2306000000,5410000000,2929000000,4011000000,5439000000,1428000000,1.39,1.33,0.06,4.5113,144214000000,132945000000,10616000000,9201000000,75314000000,10816000000,-20939000000,2851000000,8021000000,None,2207000000,7427000000,2303000000,1103000000,-1001000000,2929000000,397714500000.0,139.5,2851000000
ORCL,2024-05-31,14287000000,10363000000,4686000000,2226000000,5677000000,3144000000,4660000000,6214000000,1554000000,1.63,1.65,-0.02,-1.2121,140976000000,131737000000,10454000000,10605000000,76264000000,8704000000,-22628000000,2834000000,7874000000,334000000,2357000000,6081000000,2798000000,1102000000,-327000000,3143000000,332116460000.0,117.19,2834000000
ORCL,2024-02-29,13280000000,9411000000,3750000000,2248000000,5661000000,2401000000,3741000000,5298000000,1557000000,1.41,1.38,0.03,2.1739,137082000000,130900000000,9481000000,5510000000,82470000000,5623000000,-24533000000,2819000000,7297000000,None,1658000000,5475000000,1674000000,1099000000,-582000000,2400000000,314825920000.0,111.68,2819000000
ORCL,2023-11-30,12941000000,9201000000,3622000000,2226000000,5579000000,2503000000,3608000000,5161000000,1553000000,1.34,1.33,0.01,0.7519,134324000000,129946000000,8244000000,6321000000,82468000000,3866000000,-25431000000,2817000000,6804000000,None,1107000000,143000000,1080000000,1099000000,-1123000000,2503000000,327363570000.0,116.21,2817000000
ORCL,2023-08-31,12453000000,8843000000,3296000000,2216000000,5547000000,2420000000,3247000000,4722000000,1475000000,1.19,1.15,0.04,3.4783,136662000000,133821000000,11613000000,4499000000,84442000000,2370000000,-26428000000,2823000000,6519000000,None,1034000000,6974000000,1314000000,1091000000,-1210000000,2420000000,339860970000.0,120.39,2823000000
ORCL,2023-05-31,13836000000,10106000000,4140000000,2226000000,5966000000,3319000000,4064000000,5650000000,1586000000,1.67,1.58,0.09,5.6962,134384000000,132828000000,9765000000,4061000000,86420000000,1073000000,-27620000000,2796000000,6915000000,298000000,1204000000,5647000000,1913000000,1082000000,-313000000,3319000000,296208240000.0,105.94,2796000000
