ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,revenueGrowthPct,netIncomeMarginPct,epsSurprisePct,freeCashFlow,debtToEquityRatio,totalDebt,cashRatio,rdIntensityPct,buybackRatio,marketCap,peRatio,psRatio
OTEX,2025-06-30,1310537000,947699000,181558000,187183000,766141000,28833000,103576000,264415000,160839000,0.97,0.83,0.14,16.8675,13774064000,9843476000,1156496000,111764000,6342071000,3928867000,1940113000,257711000,846387000,,136204000,158191000,34225000,66188000,-205777000,28884000,4.478288980143708,2.200090497254179,16.867469879518072,192416000,2.505423573768214,6453835000,10.347661143123009,14.282923717529533,7.1368570734921795,,,
OTEX,2025-03-31,1254363000,898254000,209090000,197333000,689164000,92805000,194422000,353778000,159356000,0.82,0.76,0.06,7.8947,13754826000,9624418000,1277950000,35850000,6345390000,4128738000,2082247000,263834000,641030000,,130481000,402241000,28412000,67405471,-119699000,92854000,-6.005020606968903,7.398576010293671,7.894736842105256,430653000,2.3310798602381646,6381240000,35.64714086471409,15.731729969713712,1.2897904207747428,,,
OTEX,2024-12-31,1334500000,977976000,295799000,180727000,682177000,229862000,376317000,536447000,160130000,1.11,0.93,0.18,19.3548,13731713000,9500206000,1122192000,185248000,6348814000,4229886000,2174514000,265193000,678819000,-1616000.0,128432000,347992000,41269000,68313000,-106026000,229906000,5.16113017679205,17.22457849381791,19.354838709677423,389261000,2.245972113669257,6534062000,6.057782000345483,13.542675159235667,0.4612593643142407,,,
OTEX,2024-09-30,1269005000,910358000,206242000,190693000,704116000,84368000,185145000,346064000,160919000,0.93,0.8,0.13,16.25,13779291000,9642404000,1000219000,111162000,6353277000,4135310000,2065221000,267821000,759450000,,113510000,-77806000,39316000,69616529,-112403000,84422000,-6.818801147960829,6.648358359502129,16.25,-38490000,2.3317245865485297,6464439000,8.997849984707004,15.026969948896971,1.3322942347809597,,,
OTEX,2024-06-30,1361868076,858108991,241686142,205210669,616422845,248229000,609740226,787353588,177613362,0.98,1.01,-0.03,-2.9703,14205707000,10006026000,1280662000,112296000,6356943000,4198158000,2119159000,271724000,753752000,1.0,151202000,183448520,40171880,67019807,-150017000,248177806,-5.469592483222241,18.227095882083074,-2.970297029702973,223620400,2.383432448230867,6469239000,11.404342095889435,15.068322153694421,0.604349209802239,,,
OTEX,2024-03-31,1440666672,918701749,245686594,232976624,673015154,98285000,249893720,430128997,180235277,0.94,0.94,0.0,0.0,16392676000,12262031000,1125323000,126810000,8305670000,4129167000,2059060000,273033000,734433000,,169451000,381952186,36168929,66660628,126671,97845961,-6.1374221105658595,6.822188776225123,0.0,418121115,2.969613725964583,8432480000,8.874087217096443,16.171445382058508,-0.001288813145444371,,,
OTEX,2023-12-31,1534868000,1129120000,253867000,220220000,821087000,37675000,194855000,412979000,218124000,1.24,1.19,0.05,4.2017,16443264000,12412917000,1003134000,132718000,8474599000,4028911000,2029643000,272141000,814344000,2096938000.0,144219000,350653000,45240000,68245797,-412374,37737000,7.677618457320579,2.454608474474678,4.201680672268911,395893000,3.080960835322498,8607317000,7.558386955801022,14.347813623060745,0.010945560716655606,,,
OTEX,2023-09-30,1425429000,1018418000,212892000,234437000,791732000,80901000,247701716,475874000,228172284,1.01,0.9,0.11,12.2222,16553876000,12539618000,919850000,236268000,8554569000,4012884000,2062107000,271902000,825335000,41351000.0,138460000,47121000,37539000,66965000,-53085000,80946000,-4.386885157932163,5.675554517271642,12.22222222222222,84660000,3.124839392317346,8790837000,3.8932483450996327,16.44676795547165,0.6561723588089146,,,
OTEX,2023-06-30,1490830000,1064014000,121287000,249958000,872505000,-48734000,115828463,348340000,232511537,0.91,0.86,0.05,5.814,17089200000,13067096000,1231625000,412275000,8562096000,4020775000,2048984000,270772000,753713000,45853000.0,162720000,115301000,24060000,65068000,-21919000,-48685000,19.776744754048046,-3.2689173145160746,5.813953488372099,139361000,3.249894858578259,8974371000,2.9873870596082712,16.766365044974947,-0.44976812902696267,,,
OTEX,2023-03-31,1244674000,874944000,224045000,210731000,736605000,57556000,169168517,359636000,190467483,0.73,0.47,0.26,55.3191,17427548000,13304401000,1396817000,589865000,8565238000,4121867000,2163338000,270650000,785457000,,179807000,336775000,31233000,64919000,9399000,57613000,38.6916116954894,4.624182717723677,55.319148936170215,368008000,3.227760866616997,9155103000,2.368028277656752,16.93061797707673,-0.16330182778511362,,,
OTEX,2022-12-31,897440000,635747000,358318000,109700000,440778000,258486000,362260455,479604464,117344009,0.89,0.78,0.11,14.1026,11218206000,7096822000,2820927000,68299000,5193158000,4120161000,2171236000,270189000,506707000,1.0,96007000,195170000,32215000,64864000,5736000,258523000,5.328882817157954,28.802594045284362,14.1025641025641,227385000,1.722462301837234,5261457000,41.30261057994993,12.223658406133001,-0.02219075694621759,,,
OTEX,2022-09-30,852036000,593688000,-28597000,110198000,433054000,-116885000,-31672629,81820472,113493101,0.77,0.76,0.01,1.3158,10077088000,6226947000,1704385000,68969000,4208547000,3848955000,1978442000,269804000,405945000,,101544000,131959000,36324000,61063099,-7537000,-116885000,-5.586766749330163,-13.718317066415034,1.3157894736842117,168283000,1.6178279558997182,4277516000,24.712334527106382,12.933491073147144,-0.06448218334260171,,,
OTEX,2022-06-30,902454000,633793000,137591000,118931000,469921000,102196000,136059889,260313230,124253341,0.8,0.77,0.03,3.8961,10178973000,6146713000,1693741000,66380000,4209567000,4031118000,2160069000,270394000,471074000,,113978000,251940000,38172000,59042000,-76803000,102235000,2.2862278883306164,11.324233700554267,3.8961038961038996,290112000,1.5248159443608449,4275947000,25.515833082253693,13.178621846653678,0.7515264785314494,,,
OTEX,2022-03-31,882283000,608047000,131609000,117730000,465407000,74681000,127557615,254243658,126686043,0.7,0.66,0.04,6.0606,10162639000,6106788000,1633702000,69182000,4210582000,4054748000,2151369000,271211000,476139000,31282000.0,87242000,323557000,17590000,59077000,-101150000,74722000,0.6254569177200242,8.464517620763406,6.060606060606049,341147000,1.5060832387117522,4279764000,23.614552918389176,13.343791051170657,1.3544274982927385,,,
OTEX,2021-12-31,876799000,615618000,192884000,103622000,413517000,88298000,163421856,290040061,126618205,0.89,0.88,0.01,1.1364,10164530000,6034705000,1511792000,72910000,4211488000,4128763000,2174467000,272931000,469211000,29061000.0,63321000,216644000,10635000,59658000,-110627000,88336000,5.345497099631391,10.070495062152215,1.1363636363636374,227279000,1.4616254311521393,4284398000,20.735043203950074,11.818216033549309,1.2528822849894674,,,
OTEX,2021-09-30,832308000,574185000,182689000,100165000,391152000,131915000,211840820,337417000,125576180,0.83,0.8,0.03,3.75,9519364000,5310849000,1735265000,68033000,3577520000,4207491000,2225363000,273232000,408036000,28684000.0,49794000,189669000,26712000,59878000,36324000,131966000,-6.85138781480582,15.849300979925701,3.7499999999999893,216381000,1.2622365680639602,3645553000,25.506224920259285,12.034607380921486,-0.27535913277489293,,,
OTEX,2021-06-30,893527000,621814000,171681000,117235000,446981000,181283000,170405058,296035200,125630142,0.8,0.72,0.08,11.1111,9609336000,5509883000,1607306000,68315000,3578859000,4097942000,2153326000,273981000,496203000,25628000.0,57500000,296189000,27408000,54374000,-119105000,181363000,7.275032385635782,20.28847477468504,11.111111111111121,323597000,1.3445488003490533,3647174000,23.527863573153773,13.120476493715355,0.6570114130944434,,,
OTEX,2021-03-31,832931000,571665000,152396000,110071000,416423000,91490000,158948000,288518000,129570000,0.75,0.69,0.06,8.6957,9556621000,5524696000,1475626000,66143000,3580206000,4030494000,2130047000,273924000,445974000,1.0,65074000,63572000,13311000,54519000,-22977000,91528000,-2.654491821364957,10.984103124988746,8.695652173913052,76883000,1.3707242834253073,3646349000,22.309632160621682,13.21490015379425,0.2511422013334791,,,
OTEX,2020-12-31,855644000,603082000,234470000,100238000,386106000,-65477000,238437000,367734000,129297000,0.95,0.85,0.1,11.7647,9769098000,5765851000,1500561000,69874000,3581565000,4001854000,2093076000,272433000,497818000,-24517000.0,42121000,282455000,7651000,54500000,13338000,-65433000,6.4216623363055,-7.652364768525227,11.764705882352938,290106000,1.440794941544594,3651439000,21.47524114835275,11.714918821378985,0.20370511782763412,,,
OTEX,2020-09-30,804013000,555088000,182356000,93903000,359488000,103376000,184291000,319324000,135033000,0.89,0.67,0.22,32.8358,10161814000,6094094000,1845582000,670447000,3582923000,4066371000,2213053000,272847000,450002000,1.0,31274000,233904000,15305000,47269000,-41870000,103406000,-2.7339307921975475,12.857503547828205,32.83582089552238,249209000,1.498656664627994,4253370000,2.75276345482939,11.67928876771893,0.40502631171645254,,,
OTEX,2020-06-30,826612000,565917000,91199000,100766000,398869000,26392000,98052000,277282000,179230000,0.8,0.61,0.19,31.1475,10234822000,6228113000,1692850000,674071000,3584311000,4005390000,2159396000,271986000,557113000,1.0,41469000,280250000,17704000,47335000,12424000,26423000,1.4647486924297848,3.1927917813919953,31.147540983606568,297954000,1.5549329778123977,4258382000,2.511382332128218,12.19024161275181,-0.4707487117308275,,,
OTEX,2020-03-31,814679000,532492000,95077000,108184000,428009000,25965000,76559000,224723000,148164000,0.61,0.57,0.04,7.0175,10162072000,6163895000,1452570000,678871000,3585684000,3996889000,2180339000,272202000,546335000,-59930000.0,50078000,329601000,16793000,47279000,29990000,26000000,5.588958430809399,3.187144875466288,7.0175438596491295,346394000,1.5421731751870016,4264555000,2.1396848591264024,13.279340697378968,-1.1550163681879453,,,
