ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
PATH,2025-07-31,361728000,297348000,-20185000,98341000,317533000,1584000,-19066000,-14836000,4230000,0.15,0.08,0.07,87.5,2592317000,926614000,629055000,None,None,1665703000,-2008846000,542865000,389128000,None,19743000,41587000,0,None,-101576000,1584000,6378663750.0,11.75,542865000.0
PATH,2025-04-30,356624000,292767000,-16412000,94839000,309179000,-22555000,-16412000,-13159000,3253000,0.11,0.1,0.01,10,2644442000,945981000,701079000,5519000,None,1698461000,-2010430000,548451000,371169000,None,16885000,119002000,12832000,None,-227525000,-22555000,6548504940.0,11.94,548451000.0
PATH,2025-01-31,423646000,359112000,33609000,98480000,325503000,51794000,33609000,36824000,3215000,0.26,0.19,0.07,36.8421,2865270000,1019508000,879634000,3587000,None,1845762000,-1987875000,555373000,542266000,None,33178000,146082000,7392000,None,-9348000,51794000,7897404060.0,14.22,555373000.0
PATH,2024-10-31,354653000,290890000,-43364000,96976000,334254000,-10655000,-43364000,-38830000,4534000,0.11,0.07,0.04,57.1429,2663291000,931446000,774068000,4802000,None,1731845000,-2039669000,562950000,448155000,None,18426000,28070000,4875000,None,-162651000,-10655000,6958062000.0,12.36,562950000.0
PATH,2024-07-31,316253000,252933000,-103349000,98433000,356282000,-86097000,-103349000,-98768000,4581000,0.04,0.03,0.01,33.3333,2701333000,867752000,939751000,4438000,None,1833581000,-2029014000,568042000,372413000,None,9910000,46376000,1418000,None,-196747000,-86097000,6913071140.0,12.17,568042000.0
PATH,2024-04-30,335112000,279196000,-49465000,85603000,328661000,-28736000,-49465000,-44563000,4902000,0.13,0.12,0.01,8.3333,2844976000,817972000,1147056000,13794000,None,2027004000,-1942917000,569925000,361867000,1,6864000,100037000,1238000,None,-22005000,-28736000,10811477250.0,18.97,569925000.0
PATH,2024-01-31,405253000,351183000,15090000,85639000,336093000,33916000,15090000,18932000,3842000,0.22,0.16,0.06,37.5,2954758000,938644000,1062116000,8357000,None,2016114000,-1914181000,583191000,523793000,1,3447000,145602000,3784000,None,-49966000,33916000,13401729180.0,22.98,583191000.0
PATH,2023-10-31,325921000,276001000,-55819000,84514000,331820000,-31537000,-55794000,-50399000,5395000,0.12,0.07,0.05,71.4286,2787058000,825845000,1003524000,6905000,None,1961213000,-1948097000,567036000,460555000,63997000,13664000,41854000,682000,None,-52649000,-31537000,8806069080.0,15.53,567036000.0
PATH,2023-07-31,287310000,238323000,-77585000,86606000,315908000,-60361000,-75868000,-70324000,5544000,0.09,0.03,0.06,200,2670140000,686774000,1094298000,6341000,None,1983366000,-1916560000,562883000,309929000,59726000,1887000,44285000,1006000,None,-26930000,-60361000,10176924639.999998,18.08,562883000.0
PATH,2023-04-30,289588000,245921000,-46411000,75342000,292332000,-31901000,-45522000,-39906000,5616000,0.11,0.02,0.09,450,2642683000,687146000,1311576000,7253000,None,1955537000,-1856199000,557878000,304643000,53355000,5734000,67341000,1870000,None,-25902000,-31901000,7893973700.0,14.15,557878000.0
PATH,2023-01-31,308549000,260858000,-45147000,81870000,306005000,-27689000,-45147000,-36297000,8850000,0.15,0.06,0.09,150,2735206000,815048000,1402119000,6997000,None,1920158000,-1824298000,553766000,446977000,49887000,8891000,93957000,2201000,None,-19795000,-27689000,8505845760.0,15.36,553766000.0
PATH,2022-10-31,262744000,219976000,-66991000,67341000,286967000,-57724000,-66991000,-58105000,8886000,0.05,-0.03,0.08,266.6667,2511684000,651860000,1451152000,6408000,None,1859824000,-1796609000,550164000,394695000,27209000,11253000,-27317000,5316000,None,-1493000,-57724000,6959574600.0,12.65,550164000.0
