ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
PCOR,2025-06-30,323919000,256187000,-30267000,88902000,286454000,-21089000,-21202000,6035000,27237000,0.35,0.26,0.09,34.6154,2004101000,786502000,324262000,7234000,None,1217599000,-1298871000,149830000,296575000,None,20159000,30828000,2975000,None,-3131000,-21089000,10251368600.0,68.42,149830000.0
PCOR,2025-03-31,310632000,245706000,-36245000,87609000,281951000,-32989000,-27410000,-555000,26855000,0.23,0.18,0.05,27.7778,1948714000,767067000,313734000,7150000,None,1181647000,-1277782000,149998000,161578000,None,22235000,66028000,4033000,None,-100029000,-32989000,9902867960.0,66.02,149998000.0
PCOR,2024-12-31,302048000,245214000,-66244000,89289000,311458000,-62291000,-60456000,-35830000,24626000,0.01,0.11,-0.1,-90.9091,2101371000,813018000,437722000,5974000,None,1288353000,-1244793000,149203000,246472000,None,33146000,29056000,28709000,None,None,-62291000,11179780790.000002,74.93,149203000.0
PCOR,2024-09-30,295885000,240931000,-36497000,80791000,277428000,-26388000,-26253000,-2020000,24233000,0.24,0.22,0.02,9.0909,2018737000,733088000,439298000,None,None,1285649000,-1182502000,148135000,206136000,None,25006000,39276000,16268000,None,None,-26388000,9142892200.0,61.72,148135000.0
PCOR,2024-06-30,284347000,236246000,-14776000,72308000,251022000,-6311000,-5349000,15494000,20843000,0.39,0.25,0.14,56,1967035000,711237000,356239000,1,None,1255798000,-1156114000,146938942,158700000,None,26951000,58695000,12092000,None,0,-6311000,9725888570.98,66.19,146938942.0
PCOR,2024-03-31,269428000,223705000,-18906000,70599000,242611000,-10966000,-10224000,9827000,20051000,0.3,0.16,0.14,87.5,1878710000,685029000,427656000,1,None,1193681000,-1149803000,145476006,138996000,None,16446000,69145000,11603000,None,None,-10966000,11684632801.919998,80.32,145476006.0
PCOR,2023-12-31,260041000,212210000,-37334000,74611000,249544000,-29519000,-28339000,-8649000,19690000,0.17,0.07,0.1,142.8571,1893568000,737958000,357790000,12418000,None,1155610000,-1138837000,144074303,208544000,1,13177000,40743000,11750000,None,None,-29519000,9758152542.19,67.73,144074303.0
PCOR,2023-09-30,247907000,203782000,-50351000,72708000,254133000,-43847000,-43164000,-25431000,17733000,0.09,-0.05,0.14,280,1783001000,659250000,318318000,95130000,None,1123751000,-1109318000,142828406,184770000,26656000,16911000,33674000,11215000,None,None,-43847000,9532367816.439999,66.74,142828406.0
PCOR,2023-06-30,228536000,186232000,-58729000,73216000,244961000,-52881000,-52068000,-34732000,17336000,0.02,-0.09,0.11,122.2222,1725952000,609517000,312518000,60090000,None,1116435000,-1065471000,141238489,138377000,25655000,15539000,-11674000,11921000,None,20223000,-52881000,9190388479.23,65.07,141238489.0
PCOR,2023-03-31,213526000,173324000,-69263000,80036000,242587000,-63447000,-62893000,-46019000,16874000,0.01,-0.12,0.13,108.3333,1711179000,606827000,328964000,None,None,1104352000,-1012590000,139646465,106188000,24220000,19451000,29275000,10124000,None,3722000,-63447000,8746058102.95,62.63,139646465.0
PCOR,2022-12-31,202053000,161483000,-75202000,75413000,236685000,-71184000,-70928000,-54342000,16586000,-0.08,-0.14,0.06,42.8571,1740410000,623630000,296712000,10655000,None,1116780000,-949143000,138415280,148683000,23600000,14282000,22692000,10977000,None,13639000,-71184000,6481987562.4,46.83,138415280.0
PCOR,2022-09-30,186429000,148650000,-71813000,71493000,220463000,-71205000,-70368000,-54465000,15903000,-0.09,-0.17,0.08,47.0588,1677304000,553003000,264622000,None,None,1124301000,-877959000,137180639,120349000,1,16277000,6587000,12768000,None,4741000,-71205000,6787698017.719999,49.48,137180639.0
PCOR,2022-06-30,172205000,135470000,-72302000,63822000,207772000,-73123000,-72514000,-57111000,15403000,-0.19,-0.17,-0.02,-11.7647,1661954000,515959000,563224000,None,None,1145995000,-806754000,135927677,101274000,1,21251000,-26955000,10528000,None,18940000,-73123000,6169757259.03,45.39,135927677.0
PCOR,2022-03-31,159516000,126184000,-71137000,60254000,197321000,-71419000,-70520000,-55373000,15147000,-0.15,-0.17,0.02,11.7647,1672264000,507879000,586914000,None,None,1164385000,-733631000,134530010,79777000,None,14408000,10284000,15157000,None,6907000,-71419000,7797359379.6,57.96,134530010.0
