ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
PDYN,2025-06-30,1015000,541000,-8094000,3125000,8635000,-7487000,-8094000,-7880000,214000,-0.2,-0.2,0,0,78309000,24477000,20148000,1906000,None,53832000,-475559000,37746302,1734000,76000,316000,-5326000,0,None,0,-7487000,326882975.32,8.66,37746302.0
PDYN,2025-03-31,1710000,1357000,-6931000,2870000,8288000,22759000,-6931000,-6708000,223000,0.55,-0.21,0.76,361.9048,63301000,35002000,10060000,1978000,None,28299000,-468072000,27066688,1930000,73000,273000,-7516000,93000,None,0,22759000,159152125.44,5.88,27066688.0
PDYN,2024-12-31,761000,207000,-6484000,2612000,6691000,-52969000,-6484000,-6271000,213000,-1.957,-0.26,-1.697,-652.6923,56253000,65786000,31188000,2158000,None,-9533000,-490831000,27066688,1313000,71000,435000,-5096000,48000,None,-21000,-52969000,332108261.76,12.27,27066688.0
PDYN,2024-09-30,871000,392000,-7299000,2582000,7691000,-7096000,-7486000,-7278000,208000,-0.2711,None,0,None,38738000,15317000,21328000,2392000,None,23421000,-437862000,26177413,2197000,0,178000,-4498000,12000,None,-12000,-7096000,46857569.27,1.79,26177413.0
PDYN,2024-06-30,2713000,2144000,-5875000,2348000,7931000,-5323000,-5875000,-5672000,203000,-0.1999,None,0,None,45114000,15303000,25831000,1312000,None,29811000,-430766000,26622924,2817000,0,410000,-5797000,143000,None,-30000,-5323000,41531761.440000005,1.56,26622924.0
PDYN,2024-03-31,3441000,1555000,-7270000,2895000,8908000,-7229000,-7270000,-7069000,201000,-0.2793,None,0,None,50402000,16201000,31798000,1367000,None,34201000,-425443000,25879043,1958000,0,758000,-7236000,62000,None,-42000,-7229000,50981714.71,1.97,25879043.0
PDYN,2023-12-31,746000,-344000,-37055000,7892000,15093000,-36476000,-15437000,-14780000,657000,-1.4095,-0.44,-0.9695,-220.3409,60426000,19521000,23139000,1360000,None,40905000,-418214000,25877865,2589000,1065000,1291000,-16497000,251000,None,-10000,-36476000,17428742.0775,0.6735,25877865.0
PDYN,2023-09-30,1827000,605000,-30754000,10011000,20137000,-28981000,-19614000,-18295000,1319000,-0.66,-0.59,-0.07,-11.8644,95583000,19428000,35310000,1311000,None,76155000,-381738000,25706023,3015000,1108000,2056000,-20138000,360000,None,-7000,-28981000,21335999.09,0.83,25706023.0
PDYN,2023-06-30,1277000,334000,-29959000,11706000,25187000,-28660000,-24835000,-23616000,1219000,-0.86,-0.71,-0.15,-21.1268,120666000,21617000,25566000,1040000,None,99049000,-352757000,25512057,2807000,3723000,4597000,-19863000,273000,None,-55000,-28660000,8202126.3255,0.3215,25512057.0
PDYN,2023-03-31,2296000,510000,-23188000,9403000,23698000,-21476000,-23188000,-21944000,1244000,-0.13,-0.12,-0.01,-8.3333,147860000,22128000,25368000,896000,None,125732000,-324097000,25471288.17,4635000,6058000,2652000,-20122000,400000,None,-6000,-21476000,12091220.494299002,0.4747,25471288.17
PDYN,2022-12-31,6121000,900000,-24940000,10197000,25840000,-92311000,-24940000,-23666000,1274000,-0.12,-0.15,0.03,20,167625000,23175000,35159000,887000,None,144450000,-302621000,25341966.50,6026000,3562000,3620000,-20943000,452000,None,-430000,-92311000,15965438.895,0.63,25341966.5
PDYN,2022-09-30,4667000,298000,-27250000,10497000,27548000,-22499000,-27250000,-26059000,1191000,-0.12,-0.11,-0.01,-9.0909,244810000,13816000,16129000,None,1686000,230994000,-210310000,25156755.67,4422000,3218000,2610000,-16524000,356000,112000,-1081000,-22499000,55847997.58740001,2.22,25156755.67
PDYN,2022-06-30,3038000,-682000,-28983000,7569000,28301000,-23118000,-28983000,-28109000,874000,-0.16,-0.1,-0.06,-60,264010000,17733000,73259000,None,3169000,246277000,-187811000,24379816.33,3971000,1896000,1646000,-15472000,176000,None,-1342000,-23118000,64850311.4378,2.66,24379816.33
PDYN,2022-03-31,743000,255000,-25629000,5881000,25884000,-19202000,-25629000,-25361000,268000,-0.14,-0.09,-0.05,-55.5556,215192000,14767000,198958000,None,7283000,200425000,-164693000,22984781.67,959000,1005000,1629000,-12452000,514000,None,-5254000,-19202000,152848798.1055,6.65,22984781.67
PDYN,2021-12-31,1004000,-56000,-27644000,6118000,27588000,-34062000,-27644000,-27439000,205000,-0.25,-0.07,-0.18,-257.1429,235823000,21861000,217114000,None,13701000,213962000,-145491000,22950515,1009000,1006000,1681000,-21195000,1649000,None,6000,-34062000,229046139.70000002,9.98,22950515.0
PDYN,2021-09-30,1129000,200000,-40488000,4529000,40688000,-36985000,-43998000,-40381000,107000,-0.35,-0.06,-0.29,-483.3333,250447000,14006000,239148000,108000,7157000,236441000,-111429000,17769148,833000,1314000,1933000,-19225393,3039000,None,-7232245,-36985000,137355514.04000002,7.73,17769148.0
PDYN,2021-06-30,1143000,467000,-1787620,4054000,1787623,-14001087,-10065000,-7563000,108000,-0.2592,None,0,None,276494937,39935706,14538,270000,25916100,-39440769,-39465769,17343995,709000,1259000,4324606,-642056,1320000,None,0,-14001087,,,
PDYN,2021-03-31,1799000,597000,-5188000,2815000,5785000,-5198000,-5188000,-5077000,111000,0.26,None,0,None,276963739,26403421,386594,None,13695500,5000002,4999007,17343275,708000,1018000,3050421,-3871000,962000,None,7052245,-5198000,,,
PDYN,2020-12-31,1505000,461000,-6894000,4606000,7355000,-6893000,-3861000,-6894000,113000,0,0,0,None,38051000,5147000,33664000,1328000,None,32907000,-63983000,17343995,1270000,707000,972000,-4441000,146000,None,None,-3877000,,,
PDYN,2020-09-30,1505000,461000,-6894000,4606000,7355000,-6893000,-6894000,-6894000,None,,,,,None,None,None,None,None,None,None,23786416,None,None,None,-4836000,462000,None,None,-6893000,,,
PDYN,2020-06-30,None,None,None,None,None,None,-5232000,None,None,,,,,,,,,,,,,,,,-4528000,185000,None,None,-5205000,,,
PDYN,2020-03-31,None,None,None,None,None,None,-5012000,None,None,,,,,None,None,None,None,None,None,None,None,None,None,None,-3077000,157000,None,None,-4951000,,,
