ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
PEGA,2025-09-30,,,,,,,,,,0.3,0.2091,0.0909,43.472,,,,,,,,,,,,,,,,,,,
PEGA,2025-06-30,384512000,274938000,17279000,78784000,257659000,30077000,25248000,31407000,6159000,0.28,0.245,0.035,14.2857,1324417000,699875000,201565000,13825000,None,624542000,195677000,182160000,385055000,None,17101000,86268000,1880000,2567000,119508000,30077000,9860320800.0,54.13,182160000.0
PEGA,2025-03-31,475633000,373183000,126989000,74286000,246194000,85422000,127337000,133300000,5963000,1.53,0.43,1.1,255.814,1321950000,710681000,231129000,14149000,None,611269000,170756000,188826000,424936000,None,16649000,204228000,1880000,2583000,-119508000,85422000,13127183520.0,69.52,188826000.0
PEGA,2024-12-31,490830000,388475000,142989000,76379000,245486000,119090000,155956000,178094000,22138000,1.61,1.47,0.14,9.5238,1768273000,1182793000,337103000,482021000,None,585480000,87901000,191272000,552898000,None,6226000,95229000,2791000,2573000,-59256000,119090000,17826550400.0,93.2,191272000.0
PEGA,2024-09-30,325050000,228344000,-11661000,74157000,240005000,-14390000,-9986000,-5509000,4477000,0.39,0.36,0.03,8.3333,1579232000,1106209000,287649000,516207000,None,473023000,-28606000,171250000,378534000,None,20103000,30454000,3064000,2561000,-11876000,-14390000,12516662500.0,73.09,171250000.0
PEGA,2024-06-30,351153000,254207000,12966000,75425000,241241000,6613000,16911000,25841000,8930000,0.52,0.25,0.27,108,1536532000,1101130000,258257000,515858000,None,435402000,-14216000,177000000,364392000,None,16682000,40097000,1253000,2550000,-355000,6613000,10490790000.0,59.27,177000000.0
PEGA,2024-03-31,330147000,235489000,-20412000,72113000,255901000,-12124000,-13410000,-5684000,7726000,0.48,0.43,0.05,11.6279,1511728000,1121542000,291905000,514169000,None,390186000,-20829000,168532000,390661000,775000,6353000,180146000,604000,2515000,-2005000,-12124000,10558529800.0,62.65,168532000.0
PEGA,2023-12-31,474233000,383587000,155266000,71250000,228321000,142665000,156549000,161114000,4565000,1.77,1,0.77,77,1510736000,1156898000,229902000,15000000,499368000,353838000,-8705000,178894000,558594000,None,11290000,79865000,2510000,2506000,-262000,142665000,8384761780.0,46.87,178894000.0
PEGA,2023-09-30,334643000,240880000,-10816000,74955000,251696000,-7279000,-2201000,2427000,4628000,0.44,0.01,0.43,4300,1222529000,1054893000,169023000,15532000,498753000,167636000,-151370000,166672000,401669000,None,20541000,24168000,338000,2496000,-232000,-7279000,7196896960.0,43.18,166672000.0
PEGA,2023-06-30,298268000,202128000,-41290000,73931000,243418000,-46804000,-38425000,-33596000,4829000,0.01,0.03,-0.02,-66.6667,1192438000,1047042000,186874000,14773000,498140000,145396000,-144091000,166078000,381405000,1,8438000,45645000,2446000,2488000,-315000,-46804000,8187645400.0,49.3,166078000.0
PEGA,2023-03-31,325472000,227538000,-22206000,75376000,249744000,-20774000,-13607000,-8883000,4724000,0.23,0.37,-0.14,-37.8378,1281841000,1127345000,168318000,15314000,561655000,154496000,-97287000,165208000,434671000,None,12565000,68107000,11487000,2474000,-1107000,-20774000,8009283839.999999,48.48,165208000.0
PEGA,2022-12-31,396470000,304197000,34236000,73176000,269961000,34613000,30069000,36468000,6399000,0.82,0.11,0.71,645.4545,1357672000,1226829000,145054000,14976000,593609000,130843000,-76513000,174678000,511769000,1,18195000,35782000,13094000,2466000,-3045000,34613000,6045605580.0,34.61,174678000.0
