ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
PONY,2025-06-30,21455000,3463000,-61268000,49030000,64731000,-53098000,None,-61268000,None,-0.1453,None,0,None,991046000,126781000,318533000,4825000,None,853363000,None,366831015,34527000,None,107804000,-25411000,0,None,None,-53098000,4842169398.0,13.2,366831015.0
PONY,2025-03-31,13979000,2316000,-56043000,47486000,58359000,-42988000,-58133250,-56043000,2090250,-0.12,None,0,None,972336000,54990000,379183000,7236034,None,899875000,-1287851000,351651363,30211000,None,40866000,-54159000,4745500,None,None,-42988000,3101565021.6600003,8.82,351651363.0
PONY,2024-12-31,,,,,,,,,,-0.99,None,0,None,1050821000,82110000,535976000,None,None,951122000,-1287851000,350292553,28555000,None,None,,,,,,5026698135.55,14.35,350292553.0
PONY,2024-09-30,25152500,4408500,-106902500,90727000,111311000,-111402000,-106902500,-105060000,1842500,,,,,1050820999,82109999,535976000,3970000,None,951122000,-1287851000,140830522,36877000,None,2180000,-25818000,4745500,None,None,-111402000,,,
PONY,2024-06-30,12360000,1293000,-35859000,29362500,37152000,-25658500,-35859000,-33521000,2338000,,,,,693564000,44516000,334756000,7148094,None,638432000,-790884000,87807008,34993000,None,None,-18046000,953000,None,None,-25658500,,,
PONY,2024-03-31,12360000,1293000,-35859000,29362500,37152000,-25658500,-35859000,-33521000,2338000,,,,,693564000,44516000,334756000,3574000,None,638432000,-790884000,87807008,34993000,None,1891000,-29561000,953000,None,None,-25658500,,,
PONY,2023-12-31,29805500,8329000,-32881500,31043000,41210500,-27729500,-32881500,-29646500,3235000,,,,,747117000,1413222000,425960000,10220000,None,-677250000,-739528000,90056571,37230000,None,None,-26301500,1590000,None,None,-27729500,,,
PONY,2023-09-30,29805500,8329000,-32881500,31043000,41210500,-27729500,-32881500,-29646500,3235000,,,,,747117000,51944000,425960000,5110000,None,684028000,-739528000,90056571,37230000,None,1795000,-26301500,1590000,None,None,-27729500,,,
PONY,2023-06-30,6144000,113000,-38738500,30310500,38851500,-34676500,-38738500,-34802500,3936000,,,,,685963000,1305834000,370095000,8172000,None,-631001000,-684042000,88144259,18684000,None,None,-31409000,955500,None,-2276000,-34676500,,,
PONY,2023-03-31,6144000,113000,-38738500,30310500,38851500,-34676500,-38738500,-34802500,3936000,,,,,685963000,48491000,370095000,8172000,None,626342000,-684042000,88144259,18684000,None,2772000,-31409000,955500,None,-2276000,-34676500,,,
PONY,2022-12-31,,,,,,,,,,,,,,771514000,1311099000,316262000,9249000,None,-551487000,-614659000,None,34205000,None,None,,,,,,,,
