ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
PRO,2025-06-30,88715000,59520000,-7599000,23019000,67119000,-1756000,28000,1899000,1871000,0.13,0.06,0.07,116.6667,443041000,527919999,178958000,5179000,312027000,-84879000,-673172000,47650000,65172000,None,6765000,3215000,41000,None,1030000,-1756000,746199000.0,15.66,47650000
PRO,2025-03-31,86322000,58390000,-3825000,22607000,62215000,-3689000,-1540000,318000,1858000,0.13,0.12,0.01,8.3333,427159000,492972000,160023000,6024000,270424000,-65813000,-671416000,47650000,68936000,None,5314000,1215000,103000,None,1030000,-3689000,906779500.0,19.03,47650000
PRO,2024-12-31,84969000,57590000,-1567000,22445000,59157000,-1967000,-422000,1510000,1932000,0.16,0.13,0.03,23.0769,419902000,488605000,161983000,6227000,270797000,-68703000,-667727000,47116000,64982000,None,8589000,24013000,497000,None,2079000,-1967000,1034667360.0,21.96,47116000
PRO,2024-09-30,82702000,54404000,31000,21081000,54373000,235000,1562000,3538000,1976000,0.14,0.09,0.05,55.5556,384169000,459393000,140564000,3590000,271173000,-75224000,-665760000,47338000,48225000,None,5270000,1594000,173000,None,10160999,235000,876699760.0,18.52,47338000
PRO,2024-06-30,82013000,53194000,-7184000,21786000,60378000,-7386000,-5861000,-3670000,2191000,0.07,0.02,0.05,250,384900000,467940000,139086000,8464000,271553000,-83040000,-665995000,47068000,47714000,1,6992000,6420000,256000,None,-1823000,-7386000,1248243360.0,26.52,47068000
PRO,2024-03-31,80688000,51855000,-10302000,24413000,62157000,-11357000,-9844000,-7640000,2204000,0.04,0.01,0.03,300,407889000,491906000,156423000,26837000,271937000,-84017000,-658609000,46817000,51035000,1,2535000,-4644000,240000,None,-8338000,-11357000,1704138800.0,36.4,46817000
PRO,2023-12-31,77484000,48748000,-10609000,23018000,59357000,-10195000,-8500000,-6094000,2406000,0.02,0.05,-0.03,-60,421833000,499706000,168747000,32978000,272324000,-77873000,-647252000,46370000,49058000,4856000,3034000,13844000,423000,None,-2468000,-10195000,1627587000.0,35.1,46370000
PRO,2023-09-30,77250000,48786000,-7842000,22205000,56628000,-13868000,-12130000,-9581000,2549000,0.09,0.03,0.06,200,431854000,486732000,159080000,29631000,272542000,-54878000,-637057000,46225000,49688000,6306000,4741000,8718000,345000,None,-1163000,-13868000,1602620750.0,34.67,46225000
PRO,2023-06-30,75792000,47221000,-13355000,21847000,60576000,-13289000,-11564000,-8813000,2751000,-0.01,-0.06,0.05,83.3333,433964000,485418000,184567000,152729000,147522000,-51454000,-623189000,46101000,54163000,6221000,6874000,-6542000,277000,None,-958000,-13289000,1419910800.0,30.8,46101000
PRO,2023-03-31,73182000,43640000,-18796000,22291000,62436000,-19002000,-17345000,-14344000,3001000,-0.06,-0.1,0.04,40,437557000,485525000,192376000,10922000,290152000,-47968000,-609900000,45926000,45787000,6433000,4197000,-6143000,1546000,None,-4710000,-19002000,1258372400.0,27.4,45926000
