ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
PTC,2025-06-30,643937000,533912000,209828000,116647000,324084000,141328000,212080000,245914000,33834000,1.64,1.21,0.43,35.5372,6229053000,2716170000,199321000,50112000,1208412000,3512883000,1735814000,120461000,712710000,None,8700000,243928000,1887000,None,-74987000,141328000,20760248740.0,172.34,120461000
PTC,2025-03-31,636366000,530104000,223464000,111023000,306640000,162644000,224855000,258532000,33677000,1.79,1.4,0.39,27.8571,6162431000,2775968000,235169000,49319000,1364393000,3386463000,1594486000,120854000,716624000,None,8500000,281309000,2808000,None,-75000000,162644000,18726327300.0,154.95,120854000
PTC,2024-12-31,565128000,453331000,115524000,115516000,326167000,82232000,115202000,148953000,33751000,1.1,0.89,0.21,23.5955,6075364000,2845543000,196338000,547425000,1019127000,3229821000,1431842000,121145000,694807000,-117902000,20689000,238429000,2767000,None,-75000000,82232000,22274931150.0,183.87,121145000
PTC,2024-09-30,626547000,513722000,193973000,110013000,319749000,126523000,170245000,207237000,36992000,1.04,0.99,0.05,5.0505,6383542000,3169144000,265808000,545686000,1227072000,3214398000,1349610000,120742000,861953000,None,24198000,98114000,4537000,None,None,126523000,21813249720.0,180.66,120742000
PTC,2024-06-30,518639000,396051000,96021000,110253000,300030000,68978000,96021000,130833000,34812000,0.98,0.96,0.02,2.0833,6128145000,3113466000,247749000,541358000,1293083000,3014679000,1223087000,120822000,674959000,-169063000,47153000,213799000,1639000,None,-21405000,68978000,21871198440.0,181.02,120822000
PTC,2024-03-31,603072000,482593000,179848000,106998000,302745000,114445000,179848000,214505000,34657000,1.46,1.22,0.24,19.6721,6205263000,3262131000,248971000,537513000,1491064000,2943132000,1154109000,120712000,705493000,-198344000,19637000,250730000,3639000,None,-20858000,114445000,22708341440.0,188.12,120712000
PTC,2023-12-31,550214000,440194000,118713000,105783000,322276000,66387000,120933000,155879000,34946000,1.11,0.97,0.14,14.433,6271157000,3464504000,264997000,36067000,2248355000,2806653000,1039664000,120250000,678000000,123160000,14384000,187341000,4563000,None,-50326000,66387000,20277757500.0,168.63,120250000
PTC,2023-09-30,546620000,430764000,121134000,102025000,309714000,45603000,124245000,159759000,35514000,1.2,1.14,0.06,5.2632,6288842000,3611552000,288103000,34112000,1695785000,2677290000,973277000,120112000,811398000,-81849000,43480000,49769000,6579000,6959000,-6959000,45603000,16916574080.0,140.84,120112000
PTC,2023-06-30,542342000,426488000,109900000,103819000,316627000,61398000,112362000,148409000,36047000,0.99,1,-0.01,-1,6207649000,3608985000,281513000,961132000,1738241000,2598664000,927674000,119392000,625471000,-196293000,18492000,169223000,5085000,19467000,-19467000,61398000,16989481600.000002,142.3,119392000
PTC,2023-03-31,542181000,428675000,122539000,100349000,306135000,63504000,122594000,158813000,36219000,1.16,1.15,0.01,0.8696,6299620000,3781086000,320477000,24521000,1917703000,2518534000,866276000,119041000,643017000,-202916000,37693000,210948000,3770000,3599000,-3599000,63504000,15264627429.999998,128.23,119041000
