ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,revenueGrowthPct,netIncomeMarginPct,epsSurprisePct,freeCashFlow,debtToEquityRatio,totalDebt,cashRatio,rdIntensityPct,buybackRatio,marketCap,peRatio,psRatio
QCOM,2025-06-30,10365000000,5759000000,2762000000,2226000000,2997000000,2666000000,3120000000,3737000000,617000000,2.77,2.71,0.06,2.214,54862000000,27653000000,5448000000,,14788000000,27209000000,26552000000,1099000000,3410000000,6338000000,2337000000,2875000000,294000000,968000000,-2849000000,2666000000,-5.59249476272885,25.721177038109023,2.214022140221404,3169000000,1.0163181300305046,14788000000.0,,21.476121562952244,1.068642160540135,158330803039.55078,59.38889836442265,15.275523689295783
QCOM,2025-03-31,10979000000,6042000000,3120000000,2216000000,2922000000,2812000000,2942000000,3120000000,178000000,2.85,2.82,0.03,1.0638,55372000000,27644000000,7203000000,1365000000.0,13258000000,27728000000,27333000000,1115000000,3699000000,6196000000,2479000000,2554000000,214000000,938000000,-1748000000,2812000000,-5.913103093666983,25.612533017579015,1.0638297872340514,2768000000,0.9969705712637046,14623000000.0,5.276923076923077,20.183987612715185,0.6216216216216216,166720943450.92773,59.28909795552195,15.185439789682825
QCOM,2024-12-31,11669000000,6508000000,3555000000,2230000000,2953000000,3180000000,3798000000,4234000000,436000000,3.41,2.99,0.42,14.0468,55575000000,28695000000,8713000000,1365000000.0,13212000000,26880000000,26607000000,1122000000,3550000000,6303000000,2581000000,4587000000,277000000,942000000,-1750000000,3180000000,13.910581803982813,27.251692518639132,14.046822742474912,4864000000,1.0675223214285714,14577000000.0,6.383150183150184,19.1104636215614,0.550314465408805,167288498504.63867,52.60644607064109,14.336146928154827
QCOM,2024-09-30,10244000000,5777000000,2582000000,2302000000,3195000000,2920000000,2776000000,3215000000,439000000,2.69,2.57,0.12,4.6693,55154000000,28880000000,7849000000,1462000000.0,13270000000,26274000000,25687000000,1130000000,3929000000,6423000000,2584000000,2647000000,256000000,948000000,-1303000000,2915000000,9.05993825188971,28.504490433424444,4.669260700389109,2903000000,1.099185506584456,14732000000.0,5.368673050615595,22.47169074580242,0.44623287671232875,184033941009.52148,63.025322263534754,17.96504695524419
QCOM,2024-06-30,9393000000,5219000000,2221000000,2259000000,2998000000,2129000000,2296000000,2715000000,419000000,2.33,2.25,0.08,3.5556,52741000000,28071000000,7770000000,1364000000.0,13190000000,24670000000,24273000000,1134000000,2948000000,6020000000,2586000000,3052000000,387000000,949000000,-1303000000,2108000000,0.04260304611780619,22.665814968593633,3.555555555555559,3439000000,1.1378597486826105,14554000000.0,5.696480938416422,24.049824337272437,0.6120244246124942,209103716384.8877,98.21687007275138,22.261654038633843
QCOM,2024-03-31,9389000000,5283000000,2340000000,2236000000,2943000000,2326000000,2340000000,2751000000,411000000,2.44,2.32,0.12,5.1724,53167000000,28698000000,9219000000,914000000.0,14543000000,24469000000,23965000000,1130000000,3054000000,6087000000,2314000000,3554000000,184000000,895000000,-731000000,2275000000,-5.495722194262709,24.7736713174992,5.172413793103453,3738000000,1.1728309289304835,15457000000.0,10.086433260393873,23.81510277984876,0.3142734307824592,164141706039.4287,70.56823131531759,17.48234168062932
QCOM,2023-12-31,9935000000,5623000000,2928000000,2096000000,2695000000,2767000000,2900000000,3337000000,437000000,2.75,2.37,0.38,16.0338,52135000000,29077000000,8133000000,914000000.0,14566000000,23058000000,22565000000,1127000000,3513000000,6247000000,2147000000,2949000000,214000000,895000000,-784000000,2811000000,15.10833043679758,27.85103170608958,16.033755274261598,3163000000,1.2610373839882036,15480000000.0,8.898249452954047,21.097131353799696,0.28333935670401156,133396437751.77002,48.20977150407301,13.426918747032715
QCOM,2023-09-30,8631000000,4751000000,1410000000,2135000000,3340000000,1490000000,1593000000,2055000000,462000000,2.02,1.91,0.11,5.7592,51040000000,29459000000,8450000000,1012000000.0,14484000000,21581000000,20733000000,1125000000,3183000000,6826000000,1912000000,4090000000,293000000,893000000,-400000000,1629000000,2.1299254526091493,17.263353029776386,5.759162303664927,4383000000,1.3650433251471201,15496000000.0,8.349802371541502,24.736415247364153,0.2684563758389262,117554996910.0952,78.8959710806008,13.620090013914401
QCOM,2023-06-30,8451000000,4659000000,1823000000,2222000000,2840000000,1803000000,1823000000,2302000000,479000000,1.87,1.81,0.06,3.3149,49002000000,28332000000,6087000000,914000000.0,14530000000,20670000000,20163000000,1124000000,3850000000,6628000000,1744000000,2657000000,306000000,893000000,-400000000,1735000000,-8.884097035040428,21.33475328363507,3.314917127071826,2963000000,1.3706821480406386,15444000000.0,6.6597374179431075,26.292746420541945,0.2218524681087077,119058173187.25586,66.0333739252667,14.088057411815862
QCOM,2023-03-31,9275000000,5122000000,2090000000,2210000000,3032000000,1704000000,2074000000,2544000000,470000000,2.15,2.15,0.0,0.0,48362000000,28664000000,3488000000,499000000.0,15486000000,19698000000,19280000000,1123000000,3691000000,6858000000,1430000000,1457000000,453000000,834000000,-903000000,1702000000,-1.9866849836204126,18.371967654986523,0.0,1910000000,1.455173114021728,15985000000.0,6.98997995991984,23.827493261455526,0.5299295774647887,129257016654.96826,75.85505672239921,13.936066485710864
QCOM,2022-12-31,9463000000,5419000000,2465000000,2251000000,2954000000,2235000000,2541000000,2939000000,398000000,2.37,2.34,0.03,1.2821,50014000000,31204000000,4808000000,1446000000.0,15431000000,18810000000,18517000000,1131000000,3960000000,6932000000,2562000000,3095000000,398000000,842000000,-1270000000,2273000000,-16.954804738920583,23.618302863785267,1.2820512820512928,3493000000,1.6589048378522062,16877000000.0,3.3250345781466115,23.787382436859346,0.5682326621923938,118451375633.23976,52.998378359391396,12.51731751381589
QCOM,2022-09-30,11395000000,6527000000,3666000000,2178000000,2861000000,2873000000,3666000000,4156000000,490000000,3.13,3.13,0.0,0.0,49014000000,31001000000,2773000000,2049000000.0,13537000000,18013000000,17840000000,1131000000,5643000000,6341000000,3796000000,1446000000,634000000,841000000,-500000000,2923000000,4.19714703730798,25.212812637121544,0.0,2080000000,1.721034808194082,15586000000.0,1.3533430941922888,19.113646336112332,0.1740341106856944,132416634757.9956,46.09002254020035,11.620591027467801
QCOM,2022-06-30,10936000000,6120000000,4472000000,2052000000,1648000000,3730000000,3413000000,3851000000,438000000,2.96,2.87,0.09,3.1359,47020000000,30972000000,2676000000,1945000000.0,13600000000,16048000000,15830000000,1134000000,3804000000,5418000000,3752000000,2895000000,554000000,842000000,-500000000,3730000000,-2.042278753135074,34.10753474762253,3.1358885017421554,3449000000,1.9299601196410767,15545000000.0,1.3758354755784061,18.763716166788587,0.13404825737265416,139112531463.62305,37.29558484279438,12.720604559585135
